,hotel,review,stars
0, Tanaya Bed & Breakfast,"lokasi di jalan legian dekat dengan sky garden, selalu ramai, hotel bersih dan nyaman, staf baik, harga yang masuk akal dengan lokasi dan fasilitasnya, di depan hotel ada rental motor, wifi bagus. Buat yang low budget mungkin hotel ini bisa jadi pilihan..",4
1, Tanaya Bed & Breakfast,"Awalnya saya mengganggap hanya bagus di lokasi saja ternyata bed room dan bath room yang sangat nyaman, dan 1 hal breakfastnya yang saya suka, tidak seperti hotel budget lainnya. recommended   Berlokasi tepat di pinggir jalan Legian dan dekat jika ingin berjalan ke pantai Kuta",5
2, Tanaya Bed & Breakfast,"Lokasi hotel ini sangat strategis, berada di jl legian raya. Kebetulan kami mendapatkan kamar yang kamar mandinya berada di luar, yang menurut kami cukup ribet ya. Namun kamar tidur dan kamar mandi yang kami dapatkan bersih. Untuk rasa makanan juga enak.",4
3, Tanaya Bed & Breakfast,"Tempatnya bagus, nyaman, bersih. Gak salah pilih akomodasi. Sarapannya enak dan viewnya langsung jalan Legian. Deket mau ke mana mana. Gak overpriced. Cuma amenitiesnya aja agak kurang, gak ada sikat gigi, odol, laundry bag. Staffnya ramah. Overall udah oke banget tempatnya.",4
4, Tanaya Bed & Breakfast,"harga murah, pelayanan ramah, selalu dibersihkan setiap pagi, sarapan enak, letaknya strategis di daerah legian, disediakan sabun shampo dan handuk. tetapi untuk lokasi parkir tidak menjadi satu dengan hotel, melainkan di sebelah hotel.",5
5, Tanaya Bed & Breakfast,"Lokasinya strategis banget di jalan legian yang  selalu ramai, mau cari makan gampang dan depannya lgsg indomart point. jadi gampang kalau perlu beli sesuatu. top deh !!] Kamarnya memang agak kecil tapi ya sesuai lah dengan harganya , lumayan bersih juga kok !",4
6, Tanaya Bed & Breakfast,"Jika Anda ke Bali dan ingin menginap di sekitar pantai Kuta dengan budget yg terbatas, tempat ini dapat dijadikan pilihan. Kamar yang cukup luas dengan kamar mandi dan air panas, juga mendapat sarapan yang sangat memuaskan (ada beberapa jenis, ditambah buah, juice dan kopi/teh) Lokasi sangat turistik, staff sangat ramah dan helpful.",4
7, Tanaya Bed & Breakfast,"Waktu itu menginap 2 malam di deluxe, untuk kamar sangat memuaskan fasilitasnya, bathroom juga mudah untuk ambil air wudhu, staff nya ramah banget, tidak ada balkon, tepat di jalan legian, maupun low budget tapi tidak mengecewakan",5
8, Tanaya Bed & Breakfast,"Tanya B & B sangat tepat sekali bagi mereka yang menyukai suasana khas Kuta dan Legian yang kental dengan Toko Souvenir, Pantai dan Nitelife.. Berada tepat dipusat Kuta menjadikan akomodasi ini merupakan pilihan yang sangat tepat untuk anda masukan ke Whislist liburan anda.. Percayalah menginap disini sangat menyenangkan sekali ",4
9, Tanaya Bed & Breakfast,"Saya menginap 4 hari 3 malam dan memesan 2 kamar yang semula hanya room standar dan bisa diupgrade ke deluxe sesampainya di hotel. Kamar deluxe sangat nyaman karna kamarnya paling luas dari semua tipe kamar dan fasilitasnya lengkap! Kamarnya bersih ,spreinya bersih kamar mandinya juga bersih ,para staff sangat membantu semuanya sangat murah senyum kepada turis lokal atau mancanegara. Lokasinya sangat strategis karna depan hotel ada indomaret dan minimart lainnya banyak bar juga disekitar hotel dekat juga ke sky garden ,breakfastnya ada indonesian food sama american food kalo saya sangat suka american food karna telur omelettenya enak ,suasana hotel jug sangat nyaman, samping hotel ada penyewaan motor, tidak bisa early check in tapi bisa titip koper di hotel jadi bisa jalan jalan…",5
