,hotel,review,stars
0, THE 1O1 Bali Fontana Seminyak,"Kami menginap di The 101 Fontana untuk 2 malam. Hotel ini memiliki lokasi yang cukup startegis dan mudah untuk mencari makanan. Kamarnya bersih, staffnya juga sangat ramah dan sigap melayani kami dari awal check in hingga checkout, terutama mbak Yuni, hanya saja menurut saya parkirnya kurang luas, tapi kami pasti akan kembali lagi ke hotel ini untuk staycation, trima kasih.",5
1, THE 1O1 Bali Fontana Seminyak,"Kamar yang bagus, pelayanan yg menyenangkan dengan mbak Sukma di bagian resepsionis. Next time pasti akan kembali kesini lagi, karna anak2 juga nyaman dan suka nginep disini. Tempat yg strategis sekali",5
2, THE 1O1 Bali Fontana Seminyak,"pelayanannya ramah banget, lokasi di jl. dewi sri, namun tulisan nama hotel menjorok di dalam sehingga sopir sering nyasar.  alangkah baiknya kalau di kasih plang nama hotel yang bisa terlihat dari jauh dari lobil. parkir cukup mudah, kamar cukup besar, toiletnya juga besar, hanya sayangnya area toilet yang tidak di beri karet (di bawah gantungan handuk) akan sangat licin bila ada genangan air, sementara lantai toilet posisi miringnya kurang bagus sehingga pasti ada genangan setelah mandi. harus ekstra hati2 aja.  selain itu semua ok😊👍🏻",4
3, THE 1O1 Bali Fontana Seminyak,"Dear Fontana,  Saya dapat experience yang kurang mengenakan di fontana  kami sekeluarga stay 3 days 2 night dengan book melalui traveloka  dari tanggal 30-01 November 2022 dengan bookingan an Wahyu Anugerah. ( Kamar 301) di hari pertama semua berjalan dengan aman dan nyaman, anak2 saya pun senang dengan anaknya mini play ground disana tapi ini terjadi di hari ke-2 dimana saya meminjam 1 mangkok, 2 sendok, 1 garpu dan 1 piring untuk kami makan malam di kamar  yang datang hanya 1 mangkok dan 1 set sendok garpu serta dikenakan biaya charge sebesar Rp. 20.000,- tanpa berikan bill dan yang kedua adalah suami meminta air pada pukul 2.00 dini hari namun diinfo bahwa ada biaya charge kembali tapi air minumnya pun tidak datang sampai pagi hari.  tapi untuk kamar dan pelayanan cukup…",2
4, THE 1O1 Bali Fontana Seminyak,"Bulan September nginep di 1O1 fontana Seminyak pelayanannya mantul, karyawannya ramah-ramah banget, breakfast nya juga variatif dan enak-enak, kamar bersih, overall semua OK. Next kalau ada kesempatan mau kesana lagi :)",5
5, THE 1O1 Bali Fontana Seminyak,"Kalau k bali slalu nginep d sini... Tempatnya dekat bandara,,,harga terjangkau,,, kamarnya bersih dan nyaman,, dekat ke pusat kota... Apalagi pelayanannya ramah dan bisa bantu kapan aja untuk tamu... Ga nyesel deh nginep di sini... Sangat recommended 👍👍👍",5
6, THE 1O1 Bali Fontana Seminyak,"nice location and service , bagu tempat nya ada coffeshop nya juga dan makanan terjangkau , tidak perlu keluar jauh jauh karna di situ semua ada dan lengkap ada swimming pool nya jugaa , staff nya ramah semua",5
7, THE 1O1 Bali Fontana Seminyak,"clean room and friendly staff. Seneng banget bisa stay di The 101 fontana seminyak, kamar nya bersih, nyaman banget dan untuk ukuran makanan dan minuman di Sunny 16 cafe it’s really good, worth it banget kalau mau staycation di sini :)",5
8, THE 1O1 Bali Fontana Seminyak,"Kita menginap 1 minggu lebih di Fontana hotel,dan kita berdua memang repeter guest di hotel ini. Lokasi nya deket sm tempat makan . semua staff friendly dan restoran ny makanany enak bgt. psti datang lagi ke hotel ini. Thankyou Fontana",5
9, THE 1O1 Bali Fontana Seminyak,"Lokasi sangat strategis bila anda punya rencana bepergian ke denpasar, kuta, seminyak, jimbaran. Mungkin sedikit jauh kalau ke canggu dan nusa dua. Kamarnya luas banget, pool juga cukuo bagus. Ada gym dan spa yang murah banget di lantai 4. Dekat hotel banyak banget pilihan tempat makan.",5
10, THE 1O1 Bali Fontana Seminyak,"Kalau cari hotel Oke dengan harga traveler, ini nih yang cocok. Kamar nyaman, fasilitas oke, makanan enak, pelayanan ramah, tempat wisata dekat dari hotel. Pokoknya bakalan balik lagi deh buat kesini sama keluarga!",5
11, THE 1O1 Bali Fontana Seminyak,Ini tempat yang bagus banget buat menginap dengan keluarga. Ada Cafe yg menunya cukup lengkap & kolam renangnya pun ada buat anak² yg luas dan nyaman. Hotel yang cocok banget buat Staycation bareng keluarga,5
12, THE 1O1 Bali Fontana Seminyak,"Saya datang tgl 9 mlm..suami terlebih dahulu check jn hotel..tp lsg di tinggal pergi,jadi begitu saya dtg saya masuk kamar 010 saya liat kotor kamarnya akhirnya saya komplain minta pindah kamar dg alasan kok masuk kamar ga enak gt .minta pindah ke lantai 2 aja krn jg saya ngeri td sepanjang koridor menuju kamar 010 itu banyak langit2 rusak..ngeri jg kalo kamar tau2 ada yg bocor..akhirnya saya pindah ke lantai 2,no 208,petugas cukup responsif kok..tp begitu masuk kamar okelah di kamar lbh keliatan bersih .tp begitu masuk kamar mandi..astagfirullah..licin bgt itu lantai...kena air dikit dah kaya mau kepleset itu tuh lantai kaya ga bersih gt bersihinnya jd kena air licin,cermin jg jorok bersihinnya..dinding kamar mandi itu ga lama bakal lumutan deh kalo kaya gt bersihinnya...dan…",1
13, THE 1O1 Bali Fontana Seminyak,"Check in pertama di Fontana malam hari jadi ga bisa liat apa2, pas masuk kamar luas banget, aq dapet kamar yg tidak ada balkonnya tapi malah luas, bersih, fasilitas komplit, dan bisa tidur nyenyak, pelayanan ramah dan baik, pagi hari nya pas mau sarapan , di dkt lobby ternyata ada taman dan sangat teduh trus utk menu sarapan lumayan, tempat sarapan juga cozy..someday bisa nginep disini lagi...😍",5
