,hotel,review,stars
0, The Bene Hotel,"Adik saya memiliki voucher 2 hari menginap di hotel ini ,di hari pertama adik saya dan suami nya yang menginap di hotel ini . karena dihari kedua adik saya sibuk jadi vouchernya dikasih ke saya dan suami . yang mana kita bayar voucher tersebut . saat kami (saya dan suami )check inn , kamarnya sangat bau dengan asap FOGGING NYAMUK . akhirnya kami meminta pindah kamar ke receptionist . saat itu semua kamar kosong , hanya ada kami yang akan menginap dihotel  tersebut .Tetapi jawaban dari receptionist nya sangat mengecewakan. Bukannya mencarikan solusi untuk kami yang akan menjadi satu satunya tamu mereka , tetapi mereka tidak mengijinkan kami pindah kamar . dengan alasan :   1. Yang booking bukan atas nama ibu tetapi orang lain( yang mana itu adik saya dan adik saya juga sudah…",1
1, The Bene Hotel,"Ini hotel ketiga selama menginap di Bali.    + Plus 1. Letak yang sangat strategist Dan agak kedalam sehingga tidak terlalu berisik dengan keramaian jalan 2. Semua kamar menghadap ke kolam renang Dan dilengkapi balkon 3. Kamar bersih, ac juga baik. Siaran televisi juga lancar. 4. Staff sangat ramah Dan membantu sekali.  - minus 1. Yang teramat disayangakan adalah air air dihotel ini terasa payau. Mungkin Karena dekat dengan laut karena bgtu juga air yg Ada di mall beach walk. Tp sangat tdk nyaman sekali.  Hal ini diperparah dengan suhu airnya untuk air panas nya hanya suam suam kuku kd serba nanggung,padahal biasanya Kita balik ke hotel sudah larut malam Dan perlu bebersih diri setelah seharian, mending sekalian mandi air dingin saja.  Hal ini yang sangat disayangkan sekali . Tp…",3
2, The Bene Hotel,"hotel ini cukup nyaman, tenang dari kebisingan walau letak nya dkt pantai kuta.. akses jalan ke pantai kuta dekat sama hotel ini.. makanan selama saya nginap, enak sesuai selera saya.. fasilitas ada kolam renang, spa, laundry dan restaurant",5
3, The Bene Hotel,"kamar bersih, breakfast harga murah, nyaman suasanya dekat dari pantai dan ada sewa motor dekat hotel yang ramah pemiliknya tamu bulenya gak jemur2 di pingir kolam dekat jalan kuta dan legian jadi mudah kemana2 untuk lihat2 souvenir",5
4, The Bene Hotel,"Pro: - Kolam renang besar dan bersih - Sarapan, jenis sedikit tapi cukup - Tenang di tengah Kuta yang berisik   Kon: - Bangunan sudah perlu diremajakan, terutama lantai dan sanitari. - Tidak tersedia kendaraan shuttle walau hotel ada di tengah jalan kecil yang tidak mungkin dimasuki bus.",3
5, The Bene Hotel,"Pelayanan yang ramah. Desain Kamarnya bagus.kamar type royal suitenya luas.cocok untuk liburan bareng keluarga. Kolam renang oke. Sarapannya enak. Jarak ke pantai kuta dan legian tidak terlalu jauh,kurang lebih hanya 5 menit. tp suasana di hotel sama sekali tidak berisik. Recommended hotel to enjoy your holiday. ",5
6, The Bene Hotel,"kebetulan besok tanggal 18 dan 19 februari saya dan keluarga akan menginap di The Bene Hotel. Yang saya tanyakan , apabila menggunakan mobil , saya harus masuk melalui jalan mana? dikarenakan saya melihat review hotel yang susah dilalui mobil.. terimakasih...",5
7, The Bene Hotel,"Hotel ini terletak di ujung gang tapi dekat kemanapun. Jarak ke pantai Kuta pun 5 menit hanya dengan berjalan kaki. Hotel ini juga menyediakan banyak pilihan untuk sarapan, tersedia menu barat maupun khas Indonesia.  Untuk kebersihan tidak perlu diragukan dan stafnya pun sangat ramah sekali.",4
8, The Bene Hotel,Pelayananan yg ramah memuaskan..kamar bersih..fasilitas oke..suasana adem tenang nyaman..hanya butuh waktu 3-5 menit jalan kaki ke pantai kita..cocok banget buat liburan keluarga dan cocok banget buat pasangan2 yg pengen suasana adem dan ehm2..romantis..,5
9, The Bene Hotel,"Interior dan eksterior yang khas hotel modern Bali. Sore hari tersedia Perform DJ di side poll. Pelayanan yang perlu ditingkatkan, terutama di Resto pada saat sarapan. Pembuat telur meninggalkan tempatnya cukup lama dengan keadaan kompor yang menyala, sehingga mengakibatkan asap yang cukup banyak di ruangan.",3
10, The Bene Hotel,"Pengalaman menginap 2 malam di the Bene di royal suite room, fasilitas kamar lengkap, bersih dan tidak ada berisik gangguan suara apapun. cocok untuk rombongan keluarga. Lokasi agak masuk gang dari jalan pantai kuta. rencana akan menginap di the Bene untuk kesempatan mendatang.",5
11, The Bene Hotel,"Saya menginap di family room bersama keluarga (istri dan 3 anak) selama 3 hari. Kita sangat suka hotelnya meski cukup tersembunyi.  Staf hotel cukup ramah dan menyenangkan. Anak-anak saya sampai minta kembali ke The Bene jika kami kembali ke Bali karena lokasinya sangat dekat dg pantai dan dekat  BeachWalk. Saya menamakan The Bene dg Amazing Hidden Hotel.  Sedikit saya ingin kasih masukan. Sebaiknya untuk breakfast sesekali menyajikan daging asap sapi, karena  saya muslim, namun 3 hari di sana, kami hanya bisa memandangi bacon pork yang kami tidak boleh makan.  Tetapi secara umum, menginap di The  Bene sangat menyenangkan. Suasananya juga sangat tenang padahal 5 menit dari sana benar-benar ramai seperti biasanya suasana kuta.",5
12, The Bene Hotel,"Saat check in jam 8 malam kami disambut oleh staf yg sangat ramah dan menyenangkan berikut dgn welcome drink, saat memasuki kamar juga nampak rapih dan nyaman, tp saat di tidur bantal gak nyaman, keras dan tampak ada noda di sprei. Hari pertama saya kelewat jam breakfast, hari ke dua saya baru merasakan breakfast yg mnrt saya terlalu gak sebanding dengan harga hotel, apalagi kl diliat dr tawaran diskon di salah satu booking link, dr harga 2 juta lebih jadi harga 650an ribu......makin terasa tak sebanding dengan harga yg tercantum,...",3
13, The Bene Hotel,"Hotel ini dua jempol lah.. Mulai dari pas check in di manja dengan hot towel dan wellcome drink, masuk kamar interiornya luar biasa bagus, bersih, nyaman! Kamar mandi bersih, dan view dari kamar nyaman! Kolam renang besar dan bersih, handuk yang disediakan juga bersih dan wangi. Ke pantai kuta tinggal nyebrang, layanan taxi call juga cepat, ke mall dekat. Puas deh",5
14, The Bene Hotel,"Kekurangan dari hotel ini lokasinya agak masuk, tetapi ini juga menjadi nilai positif karena suasananya tenang, kalau dari jalan pantai kuta, setelah melewati beachwalk kira2 200m ada minimmart, masuk gang ke kanan, kira2 sekitar 400m belok kanan lagi, kami book di type pool access, kamarnya cukup luas, ac nya dingin, kamar mandi cukup bersih, tekanan air shower sempurna, staffnya selalu tersenyum dan ramah, kami menginap 2 malam, dan menu makan paginya cukup bervariasi, hotel ini cocok bila anda ingin bersantai",4
15, The Bene Hotel,"Saya mendapatkan pengalaman sangat menyenangkan di The Bene! Meskipun lokasi hotel agak sulit dijangkau dengan mobil besar (karena berada di dalam Gang) namun semuanya terbayar ketika saya sampai di Hotel. Konsep hotel yang sangat romantis, dengan low light di malan hari, sungguh merupakan tempat yang pas untuk berbulan madu!  Plus point dari hotel ini adalah : Setiap kamar dilengkapi dengan balkon yang mengarah pada pemandangan cantik ke arah kolam renang. Konsep sarapan juga menyenangkan karena restaurant berada di area dekat kolam renang. Sangat menyenangkan! The Bene adalah rumah kedua kami di bali.  Thank you for having us, guys! Love, Katia xx",4
