,hotel,review,stars
0, The Dafish Accommodation Bar & Cafe,"Kami senang tinggal di sini, staf di Dafish akan pergi keluar dari jalan mereka untuk membuat perjalanan Anda mengesankan! Mereka sangat membantu dalam mengatur transportasi ke dan dari pulau dan membantu kami ketika rencana kami berubah. Setiap orang yang kami temui dan ajak bicara sangat ramah dan membantu",5
1, The Dafish Accommodation Bar & Cafe,"Tempat ini memiliki ulasan bintang 5 di Tripadvisor, jadi kami memesan di sini dengan beberapa harapan besar! Pada saat kedatangan, mereka menjemput kami di jembatan kuning yang luar biasa - terima kasih untuk itu, tetapi semuanya menurun dari sana. Kamar mandi memiliki bau paling mengerikan dan sangat kotor (gambar terlampir), kami tiba sore hari dan pergi mencari tempat untuk makan, kami tidak bisa menghabiskan waktu di tempat yang menyedihkan ini - kembali lagi nanti sekitar pukul 20.00. Ada tidak ada selimut di tempat tidur hanya selimut yang tampak kotor, untungnya pemilik duduk di daerah penerimaan / sarapan - pergi untuk bertanya kepadanya apakah kita bisa mendapatkan selimut (kita bisa melihat bahwa tamu di sebelah kami memiliki selimut yang layak! ) Pertama dia membuat…",1
2, The Dafish Accommodation Bar & Cafe,"Saya memiliki tinggal yang indah di Dafish. Pondok kecil yang saya tinggali sempurna, nyaman dan Anda bisa mendengar ombak menerpa setiap malam. Pemilik dan pekerja di Dafish ramah dan baik. Saya suka bahwa itu dekat dengan restoran, mini mart kecil, pantai rahasia dan bluelagoon. Pada malam hari saya akan duduk di teras dan mendengarkan ombak di bawah bintang-bintang. Ada kolam renang yang indah dan mereka melayani kopi dan sarapan di pagi hari. Tempat ini luar biasa dan dan juga sangat unik dengan luka mereka, akan kembali untuk tinggal di sini lagi!",5
3, The Dafish Accommodation Bar & Cafe,Tinggal di bungalo keluarga dan bersenang-senang. Staf luar biasa dan ramah dan itu membuat tinggal sangat menyenangkan. Itu bagus dan dekat dengan resor lain sehingga Anda dapat menjelajahi pulau dan mereka mengatur perjalanan ke Nusa Penida bagi kami yang merupakan keharusan jika Anda berada di sana. DaFish adalah salah satu permata kecil yang Anda temukan sekarang dan lagi di mana Anda langsung merasa santai dan nyaman. Saya akan sangat merekomendasikan berkunjung,5
4, The Dafish Accommodation Bar & Cafe,"Kami menikmati ikan - sangat indah dan sangat cantik! Bintik, baik staf, kolam renang indah dan hanya keseluruhan tempat yang bagus untuk tinggal. Kami pindah kamar karena kamar 1 berseberangan dengan semua anjing menggonggong, tetapi staf yang fantastis dan kami tinggal tepat di belakang kolam. Ingin merekomendasikan!",4
5, The Dafish Accommodation Bar & Cafe,"Saya sudah memesan hotel ini, karena saya melihat banyak ulasan bagus seperti staf yang ramah. Sebenarnya saya menghadapi staf yang tidak ramah. Saya tidak diperlakukan seperti tamu mereka, mungkin saya orang Asia. Di konter check-in, staf melihat saya seperti saya mengganggunya. Kemudian, dia berkata padaku ""tunggu di sini, salah satu wanita akan menunjukkan kamar Anda."" Jangan pernah menggunakan ""kata sopan"". Saya merasa dia memesan saya. Sangat mengecewakan. Tapi, dia sangat ramah kepada tamu lain, dan tamu ini terlihat Eropa atau Amerika. Keesokan paginya, kami berencana untuk pergi lebih awal. Pria di meja resepsionis berkata, ""Kembalilah lagi ke meja resepsionis di malam hari dan beri tahu apa yang Anda inginkan untuk sarapan"". Dia memintaku untuk kembali! ! ! ! ! ! ! Saya…",2
6, The Dafish Accommodation Bar & Cafe,"Menginap selama 3 malam di bulan Oktober. Hotel kecil yang lucu, staf yang luar biasa, lokasi yang bagus. Staff yang sangat bersahabat dan membantu. Memesan snorkeling perjalanan dan perahu ke Penida melalui mereka dan layanan hebat dan harga. Juga menyewa skuter untuk perjalanan kami. Kamar bersih dan menyenangkan. Ruang pertama kami udara rusak, mereka cepat untuk mencoba dan memperbaiki dan ketika itu tidak bekerja yang besar dan memberi kami ruang baru. Kamar memiliki penyejuk udara, brankas dan beberapa memiliki lemari es. Hanya con adalah kurangnya air panas untuk mandi dan kebisingan dari skuter di jalan dan hewan di kota. Sarapannya enak, cobalah pancake pisang! Banyak warung dekat untuk makan lain. Lokasi pusat yang bagus. Pemandangan laut. Kolam air asin bersih. Pasti…",5
7, The Dafish Accommodation Bar & Cafe,"Saya tinggal 1 malam di dafish pada 28 September 2018, di ruang keluarga karena kami adalah 4 orang. Saya dan teman saya tinggal di lantai atas, kamar tidur sangat bagus, tapi kamar mandi kotor dan bau. Saya suka balkon di lantai atas.  Para staf tidak baik dan bermanfaat.  Saya makan siang di dekat hotel bernama Yu Yu, makanannya enak.",3
8, The Dafish Accommodation Bar & Cafe,"Dari kapal cepat dan untuk penjemputan di sudut, maka anda akan padam pada sepeda di seberang jembatan kuning untuk akomodasi anda. Apa yang harta karun. Kami mendapat villa besar dengan tempat tidur yang nyaman dan besar, kamar mandi turun tangga dan balkon yang bagus. Kolam renangnya sangat bagus dan nyaman. Akomodasi yang dijalankan oleh keluarga yang luar biasa. Semua orang sangat membantu dan ramah dan kami tertawa. Mereka akan melakukan apa saja untuk anda dan membantu. Pulau ini aman untuk berjalan-jalan dan menikmati area ini.",5
9, The Dafish Accommodation Bar & Cafe,"3 teman-teman saya dan saya direkomendasikan oleh teman-teman lain Dafish kita yang telah tinggal di Dafish beberapa kali, dan ya tuhan sekarang saya mengerti mengapa. . . Ini adalah luar biasa! Kami berjalan ke dalam, memesan 2 bungalow, grabed bir Bintang dan bersantai di kolam renang yang menakjubkan. Kemudian mereka mengatur perjalanan snorkeling setengah hari untuk kami yang tak tertandingi! Orang-orang yang indah, menakjubkan dan kamar yang bersih, makanan yang lezat dan koktail. Saya tidak bisa merekomendasikan lebih! !",5
