,hotel,review,stars
0, The Kirana Canggu Hotel,"Hotel ini terletak di tempat terbaik, tepat di jalan utama dan 7 menit berjalan kaki ke pantai. Masalahnya adalah kamarnya tidak bagus. Kami akhirnya tinggal di 3 kamar yang berbeda, masing-masing dengan masalahnya sendiri. Baik itu bau selokan di kamar-kamar deluxe di dekat kolam renang, atau pancuran yang buruk.",3
1, The Kirana Canggu Hotel,"Kami tinggal di sini 5 malam, kesan keseluruhan. Agak lelah dan lelah, beberapa kebisingan konstruksi dekat. Kamar bertubuh kecil mahal. Wifi ok, kamar mandi ok, sarapan ok Staf yang ramah dan ramah. Lokasi dekat dengan pantai dan restoran yang sangat baik.",3
2, The Kirana Canggu Hotel,"Kami tinggal di sini sebagai pasangan selama tiga malam sebagai bagian dari perjalanan dua minggu di Bali. Jenis kamar kami adalah Deluxe dan kami meminta lantai tinggi ketika memesan yang ditampung. Ruangan itu besar dengan balkon besar yang menghadap ke kolam / atap dan laut di luar. Kamar cukup mendasar tetapi memiliki semua yang Anda butuhkan. Ada tiga set menu untuk dipilih dari semua sarapan termasuk teh, kopi, dan hal-hal seperti buah, telur, pancake, roti, kue-kue dll. Area kolam cukup kompak tapi bersih dan jarang sibuk karena kebanyakan orang keluar dan sekitar dan hanya menggunakannya untuk berenang sebelum atau sesudah hari mereka. Pemenang bagi kami adalah lokasi, hanya 5 menit berjalan kaki ke pantai dan terletak di antara beberapa toko / restoran / kafe / spa…",4
3, The Kirana Canggu Hotel,Hotel tidak berada di dekat lokasi di peta situs web. Maka mereka tidak akan mengizinkan kami untuk membatalkan reservasi meskipun pemasarannya curang. Sangat mengecewakan. Layanan pelanggan yang sangat kasar. Satu-satunya hal yang baik tentang lokasi adalah mereka dekat dengan restoran vegan yang disebut kartel tanaman.,1
4, The Kirana Canggu Hotel,"Sebagai seorang musafir wanita solo saya menemukan hotel aman dan staf sangat ramah. Sarapan yang dimasukkan sangat besar dengan banyak pilihan dan selalu disampaikan dengan senyum dari staf. Bahkan ketika saya menemukan sedikit celah di bawah pintu saya dan khawatir tentang serangga, mereka langsung datang dan menyemprot dan meninggalkan saya dengan semprotan serangga dan menutup celah-celah. Pada hari yang panas itu menyenangkan untuk kembali dan bersantai di tempat yang sunyi. Wifi juga sangat kuat.",5
5, The Kirana Canggu Hotel,"Tempat ini untuk harga dan lokasi sangat bagus. Jika Anda mencari Ritz, Anda mungkin sedikit kecewa tapi saya pikir itu hebat. Sarapan termasuk setiap pagi adalah fantastis. Satu-satunya keluhan saya adalah internet bukan yang terbaik tetapi apa pun. 5 menit berjalan kaki ke pantai dan dikelilingi oleh banyak tempat makan.",5
6, The Kirana Canggu Hotel,"Ini adalah kedua kalinya kami mengunjungi Kirana Hotel dan kami hanya memutuskan untuk mengunjungi menit terakhir karena campur aduk di Aston Canggu. Saya menemukan harga yang mahal di Penthouse jadi saya pikir 'kenapa tidak'. Temukan apa. Tumpukan kamar, tempat tidur dengan tirai dan besar, TV di dinding dan kamar mandi besar. Itu juga memiliki ruang tunggu dan ruang makan terpisah dengan kulkas ukuran penuh - semua yang Anda butuhkan. Penthouse memiliki kolam renang pribadi dan itu adalah hadiah. Tidak ada yang bisa melihat jadi itu benar-benar tenang. Staf sangat bagus dan sarapan sangat baik. Itu tenang, terpencil dan layak. Wed akan kembali. Hanya dua negatif sedikit. Kolam renang bisa lebih bersih dan kami harus meminta kertas toilet - tapi itu saja.",4
7, The Kirana Canggu Hotel,Staf di sini sangat bagus! Mereka benar-benar pergi di atas dan di luar untuk memastikan Anda memiliki semua yang Anda butuhkan. Anda mendapatkan tiga pilihan untuk sarapan dan semuanya adalah satu ton makanan. Kamarnya bersih dan tempat tidurnya sangat empuk dengan bantal yang sangat empuk. Lokasi sangat bagus. Anda hanya beberapa menit berjalan kaki dari pantai dan jalan tempat Anda berada memiliki banyak kafe yang luar biasa.,5
8, The Kirana Canggu Hotel,Saya selalu suka saya menginap di Kirana hotel dan terus setiap tahun. Staf luar biasa dan kamar super nyaman. Area kolam indah dan terletak di pusat di jalan batu bolong dan berjalan kaki ke pantai surfer yang sejuk dan banyak restoran dan kafe. Pilihan sarapan lebih baik daripada kebanyakan dan pisang goreng pisang sepadan dengan menunggu! Saya sangat merekomendasikan Kirana!,5
9, The Kirana Canggu Hotel,"Kamarnya sangat nyaman dan suasana yang bagus di lantai bawah juga. Kolam renangnya luar biasa dan terlihat s akan lebih baik di bulan-bulan yang lebih hangat. Makanannya sangat enak, meskipun sangat terbatas untuk vegetarian. Pelayanannya cukup ramah, meskipun saya yakin saya dikenakan biaya untuk mini bar barang yang saya sebenarnya tidak mengkonsumsi. Salah satu hotel "" lebih baik "" untuk menginap di Canguu",4
