,hotel,review,stars
0, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Hotel aestetic di kuta ini mah, setiap sudut ruangannya bagus buat fotoan 😁 Rekomen buat yg mau menginap deket pantai kuta viewnya juga gak kalah baguss😍 Terimakasih buat Risky, Dwiki, Tri & Oka kalian luar biasa ngtreat tamunya terutama kita🙏😍 Yg mau menginap aku saranin main di pool barnya, staffnya ramah + asik2 jugaa🥰🥰❤️❤️❤️",5
1, The Kuta Beach Heritage Hotel Bali - Managed by Accor,Keren banget roomnya dari yg deluxe ataupun yg suite semua keren. Harus banget nginep disini ke pantai kuta tinggal nyebrang. Ada riva  roof  top bar dan resto. Dan harganya affordable untuk hotel semewah ini. Makanan enak enak dan bikin liburan sangat berkesan. Trimakasih pa baga yang sangat baik sekali. Juga staf staf yang ramqh yang sangat welcoming semoga bali bangkit normal lagi .  @alfristash rekomended hotel kuta beach heritage. Kerennn,5
2, The Kuta Beach Heritage Hotel Bali - Managed by Accor,Alhamdulilah.. Selama menginap di hotel kuta beach heritage pas pandemic covid secara keseluruhan kamar dan restaurant higienis dengan staff yang ramah dan pelayanan yang cepat tanggap.. Sukses selalu untuk hotel kuta beach heritage,5
3, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Hotel letak strategis, tapi sudah waktunya untuk maintenance full dan air minum seperti sudah di simpan lama ada bau kecoa . Fasilitas untuk platinum member tidak ada yang spesial , agak kecewa.mudah mudahan bisa di maintenance, sayang sekali kalau letak strategis tapi fasilitas tidak ada.",3
4, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Jika dibandingkan dengan beberapa hotel yang berada tepat diseberang pantai Kuta, maka hotel ini layak dinikmati oleh keluarga, pasangan dan keperluan bisnis. Selain tarifnya yang terjangkau, untuk luas kamar cukup luas walaupun tingkat kebersihannya masih standard. Dari rencana menginap 3 malam, kami menginap kembali menjadi 3 malam berikutnya. Selain karena memang ingin menikmati kota Bali lagi, kamar hotel yang kami tempati membuat kami betah berlama - lama dikamar, dan pastinya nyaman juga untuk 'Bekerja Dari Kamar Hotel ini (Work from Bali). Mungkin sedikit saran untuk menu sarapan, karena dari hari pertama sampai hari ke enam kami menginap, menunya tidak ada perubahan. Walaupun menu yang disajikan, cukup untuk kami nikmati (harap maklum, mungkin level sarapan kami masih…",4
5, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Setelah keliling Bali, 2 hari terakhir kami pilih tinggal di daerah Kuta, dan The Kuta Beach bener strategis untuk lokasi nya, seberang sudah pantai Kuta, ke kanan jalan dikit sudah Kuta Beach Mall.   Kamar menyenangkan ada bathtub nya dan ac nya dingin.   Untuk sarapan ok lah, cukup lengkap dan rasa nya pas, ada egg station, roti dan kue, dan makanan indonesia. Pak Septa dan Mas Surya yg tugas untuk sarapan ramah dan membantu.  Untuk proses check in dan check out mudah gak ribet tinggal tunjukin voucher di HP.  Recommended",4
6, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Kami menginap sejak tanggal 7 April 2021 hingga 17 April 2021 di kamar 210. Dengan menjadi anggota ALL maka kami dapat early check in dan late check out. Saat melakukan reservasi kami diterima oleh Mbak Putu dan Pak Komang yang memberikan service yang baik dan senyum yang ramah. Esoknya kami sarapan di lantai 4 dimana pelayanan dari teman teman team Restaurant; Pak Surya Madyani dan Pak Hindra sungguh luar biasa baik dan ramah. Ketika kami hendak make up room team house keeping terutama Pak Agus sungguh memberikan pelayanan kepada kami seperti orang penting.  Mengenai lokasi hotel, sudah pasti dekat dengan Pantai Kuta dimana kami saat malam hari dapat mendengar demburan ombak dari balkon kamar kami.  Pertahankan kerja baik nya. Terima kasih atas pelayanan yang sangat baik yang…",5
7, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Hotel yg sangat nyaman. Pelayanan yg sangat rama dan memuaskan. Terutama buat mas fendi. Varian bread di breakfast mantab dan selalu fresh. Cuma sedikit bingung saat pertama parkir kendaraan di basement. Krn satu lift digunakan untuk akses 2 hotel. Sempat salah masuk hotel. Dan jalan kaki terputar putar. Masukan saja, harusnya ada yg mengarahkan saat mau masuk di lift basement. Biar tidak salah gedung. Rempong juga kmrn krn bawa koper dan anak. Harus kluar gedung kuta bex. Dan jalan kaki ke gedung kuta heritage nya. Thx ",5
8, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Hotel tepi pantai yang bagus. Pelayanan ok. Pantai tinggal menyeberang. Beachwalk dan kemana-mana tinggal jalan kaki. Sayang sarapannya monoton, perbanyak menunya dong. Cuma waktu high season jalan ke hotel macet ",4
9, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Saya menginap sekitar 3 hari, awalnya saya sedikit bingung dengan bangunan hotel yang di pakai untuk 2 hotel namun staff telah menjelaskan dengan sangat detail sehingga saya menjadi tau yang mana fasilitas yang dimiliki hotel kuta heritage. Kamar yang begitu luas dan bersih menjamin istirahat saya menjadi maksimal, view dari pool bar ke arah pantai sangat menakjubkan apalagi pas waktunya sunset  begitu juga dengan pelayanan yang ramah di berikan oleh pak Fendi yang telah menghandel kami mulai dari  check in hingga check out terimakasih semuanya telah menjadikan liburan kami menjadi istimewa.",5
10, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Sangat nyaman stay di hotel ini, sudah beberapa kali menginap disini selama ke Bali. Senang karena mudah mengakses pantai kuta, mudah mencari makanan di sekitar, menu breakfast di hotel juga banyak dan enak-enak. Kamarnya luas dan nyaman, untuk tipe superior ke atas ada bath tub, anak-anak senang berendam dikamar",5
11, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"saya menginap 3 malam disini untuk meeting, kamarnya bagus staff nya friendly banget terutama si mbak melin dan yg lain yg sudah menghandle breakfast dan lunch terimakasih banyak. kalau ada uang lg bakal nginep lg deh kehotel ini recommended bgt",5
12, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"The Kuta Beach Heritage Hotel , sungguh merupakan hotel yang strategis letaknya, nyaman, bersih staff nya ramah dan berdedikasi , terutama special terima kasih untuk Osin yang melayani dengan baik dan sopan sehingga kesan pertama waktu check in sangat menyenangkan dan sangat membantu. Dan pelayanan di wave restoran sangat ramah terutama special thanks untuk Sis Nita . Saya sekeluarga setiap tahun berlibur di Bali , tetapi dari beberap hotel yang kami pernah menginap belum bisa sebandingkan dengan Kuta Heritage dari segala segi, baik service, kebersihan, kwalitas .  Thanks Kuta Heritage  Benyamin",5
13, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Pertama smpe di depan hotel in, agak sedikit meragukan keindahan nya,krna looks like so horor,hehheheh . BUT,ketika smpe di lobi,di greetings very well oleh team Front officenya mulai dri bellboy pas turun dri mobil,lngsung offering help,dia bwain brngnya,dan kita tinggal sntai mnuju lobi tnpa mikir bwa barang hihihi (so very help full) smpe d lobi di smbut meriah sm best marketing ever Ms Janet,and all the staff in front office dri proses cek in smpe msuk k kmar very friendly dan helpfull bnget, dan trnyta dlm tidak se horor kliatan dri luar. Pas msuk kamarr, jreng jrengg .......... Dpet kamar yg cntik bangett with nice decoration for Honeymoon cntik bnget,smpe ngg rela di bongkar wkwkkw,kamar nya bersihh ,ac nya dingin bnget,view nya keren sangat, poolnya jg Terbaikkkk, srapan…",5
14, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Saya sangat puas dengan pelayanan seluruh staf & reception hotel Kuta beach heritage, serta lokasi yang sangat bagus akan tetapi yang kurang dari hotel ini adalah lahan parkir nya yang kurang memadai karena terlalu kecil untuk hotel sebaik ini",5
15, The Kuta Beach Heritage Hotel Bali - Managed by Accor,pelayanan pada waktu breakfast sangat tidak memuaskan. kebetulan kami rombongan harusnya per kamar dapat breakfast 2 tetapi hanya 1 yg 1 harus bayar. anehnya saya tanya reception semua kamar dapat breakfast 2 tapi kenyataannya harus bayar 1 walaupun setelah saya compalin uang di refund. staff di restoran sangat tidak ramah selama saya makan terus dilihat. sangat tidak sopan. kecewa sekali dengan pelayanannya.,1
16, The Kuta Beach Heritage Hotel Bali - Managed by Accor,"Hotel ini lokasinya sangat straregis,setiap saya datang ke kuta saya pasti stay di hotel ini,tapi kedatangan saya terakhir saya terkejut mendapat pelayanan yang jauh berkurang dibandingkan kedatangan sebelum sebelumnya,tolong diperhatikan untuk bath room terutam shower room keramiknya sudah banyak bernoda hitam.terima kasih",3
