,hotel,review,stars
0, The Menjangan,"Menempuh perjalanan dari Legian menuju The Menjangan dalam waktu kurang lebih 4 jam dengan mengemudi secara santai sambil menikmati perjalanan darat. Tidak terasa sampai di Taman Nasional Bali Barat saat hampir senja. Saat memasuki jalan menuju Taman Nasional , nama kami sudah tercatat oleh Tim Penjaga Hutan dan diberi petunjuk menuju Tower Bistro yang sekaligus menjadi lobby The Menjangan. Di Lobby kami bertemu dengan front officer Bapak Safi'i yang menjelaskan detail dari lokasi The Menjangan dan apa saja yang bisa dilakukan dengan sangat ramah. Sambil dijelaskan kami mendapatkan hidangan berupa vegetables springroll dan teh jahe dan handuk wajah yang dingin untuk menyegarkan kami.  Malam itu kami makan makan di Bistro Tower, dengan harga yang wajar untuk di daerah lokasi yang…",5
1, The Menjangan,"The Menjangan hotel sangat indah. Dari depan kita dapat melihat hotel dengan sentuhan alam dimana hotel dibangun sekitar 80% dari kayu serta arsitektur bangun vertikal yang sangat estetis. Ruang kamar juga sangat menawan dengan view pantai serta ruangan yang cukup minimalis. Di sisi lain, pantai yang terdapat di dekat the menjangan tersebut kita dapat melihat rusa.Pelayanan juga sangat baik. The Menjangan memang paling okee.",5
2, The Menjangan,"Kami berempat (saya, istri dan 2 anak dibawah 10 tahun) menginap di The Menjangan melalui jalur darat dari pulau Jawa. Awalnya kami agak heran mengapa pintu masuk hotel melalui hutan lebat dan cukup jauh dari desa terdekat. Kami tercengang dengan indahnya restoran Bistro, dekatnya hotel dengan pantai dan betapa menyatunya kamar-kamar hotel dengan kawasan hutan Taman Nasional Bali Barat. Kami bahkan malam-malam bisa mendengar suara kijang dari kamar. Kamar hotelnya pun sangat nyaman dan luar biasa. Karena hotel jauh dari kota terdekat, tempatnya sepi dan sangat nyaman untuk relaks, baik di area kolam renang ataupun pantai. Anak-anak kami pun senang bermain di pantai, trekking di hutan, naik mobil ala safari afrika sambil menyaksikan hewan-hewan liar. Benar-benar liburan yang…",5
3, The Menjangan,"Sudah lama kundengar tentang keindahan Taman Nasional Bali Barat, satu-satunya taman nasional di Bali yang menawarkan keindahan alam hutan bakau dan terumbu karang. Pencarian akan tempat menginap yang terletak berdekatan dengan kawasan tersebut pun akhirnya jatuh pada resor The Menjangan yang sejak awal sudah mencuri hatiku melalui foto-foto cantiknya di social media dan website resminya.   Proses reservasi kamar di The Menjangan berlangsung mudah, pertanyaan-pertanyaan tambahan dari saya pun dijawab dengan cepat oleh customer service resor via telepon.   Perjalanan menuju The Menjangan melalui pesisir barat pulau Bali berlangsung kurang lebih 4 hingga 5 jam dari Seminyak. Jalan masuk ke kompleks The Menjangan ternyata berbarengan dengan resor Plataran Menjangan, ditandai oleh…",5
4, The Menjangan,"Tempatnya keren...cocok buat pecinta kuliner, cocok buat yang suka foto2.. Sangat private...tapi kalau mau kesini memang jalannya gak mulus..krn msuk hutan..kalau kesini disarankan jam4an sore...kalau naik ke lantai atas anginnya kenceng banget..",4
5, The Menjangan,"Terbayarkan walaupun jarak dari bandara ditempuh 4 jam, pelayan ramah tamah staff memuaskan, makanan khas indonesia, wisata bawah lautnya indah, suasana alami . sunyi dan ketemu binatang yg tdk dijumpai didaerah lain, back to nature👍😍",5
6, The Menjangan,"Pengalaman menginap di hotel The Menjangan sangat menyenangkan. Untuk pertama kali saya merasakan bermalam di sebuah resort yang terletak di dalam hutan. Bayangan akan jalan kaki dari reatoran dan lobby hotel sampai di kamar, seperti kalau saya menginap di hotel lain ternyata tidak terjadi. Di hotel ini, ke mana kita menuju harus dengan mengendarai mobil yang sudah disediakan pihak hotel. Demi keamanan tamu, hotel menyediakan mobil ini yang bisa kita pesan secara gratis.  Fasilitas bintang lima bisa kita nikmati disini. Mulai kamarnya yang luxed, fasilitas lengkap mulai dari kolam berenang sampai perkakas standart di kamar bisa dinikmati.  Kalau mau sekalian liburab juga bisa, ada kapal pinishi dan fasilitas berkuda dan spa tradisional bali yang bisa dinikmati para tamu.  Untuk…",4
7, The Menjangan,"Wisata & edukasi. Tempat wisata yang menyajikan panorama alami yang cukup menarik & mempesona. Dilengkapi dengan fasilitas setaraf bintang 5. fasilitas berkuda, Diving, jet ski dan Kayak. Suasana yang tenang menjadikan libur anda lebih berkualitas. Sajian makanan setaraf bintang 5 dengan tempat yang sangat mempesona diatas tebing dengan pemandanagn jurang yang sangat indah. Edukasi karena masih banyak di lestarikannya tanaman langkah, serta fauna seperti rusa, dan jalak bali yang masih bisa kita nikmati dengan menyajikan habitat aslinya.",5
8, The Menjangan,"Sempat dikira sebagai seorang daily worker yang akan bekerja di resort terbaik di kawasan taman nasional bali barat tak mengurangi kenyamanan kami menikmati liburan kami. Karena memang kedatangan kami lebih mirip seorang daily worker dengan gaya biker dan pakaian sederhana. Sambutan hangat dan sebuah sureprise yang tak kami bayangkan sebelumnya menjadi sebuah kado manis buat kami. Kamar yang kami booking sebelumnya ""Deluxe Moonson Lodge"" diupgrade menjadi Beach Villa dan itu semua ""Free of Charge"". Seorang Guest Relation (Gelgel) menjelaskan semua fasilitas resort dan aktifitas yang dapat dilakukan selama menunggu proses cek in. Tak perlu menunggu lama, sebuah shuttle car sudah siap mengantarkan kami menuju kamar yang jaraknya kurang lebih 2KM dari lobby. Suasana sangat tenang…",5
9, The Menjangan,"Liburan yang sangat mengesankan baik untuk keluarga maupun pasangan ataupun grup, kami sangat merekomendasikan terutama wisata berkudanya sangat seru, juga wisata kayakingnya. Suasana secara keseluruhan mengesankan, baik pelayanan maupun situasi tempat liburannya secara keseluruhan",5
