,hotel,review,stars
0, The Royal Santrian,"Villa yang cukup keren, dekat bingit dengan pantai, pas d blkng villa tersebut. pernah ada teman saya adakan pesta nikah di villa tersebut, pernikahan di atas kolam renang, asik taman yg luas, dan angin laut yang adem. Keren banget dah, ohiya bs sunrise breakfast disana loh",4
1, The Royal Santrian,"Makanan yang di hidangkan pada acara pernikahan tersebut cukup enak. Villanya di lengkapi kolam renang kecil.  Deretan hotel ini ada hotel yang lain juga, Semua hotel tersebut dekat dengan pantai, Anda bebas berjalan sepanjang pantai.",4
2, The Royal Santrian,"Kami memutuskan menginap di sini selama dua malam, setelah pesanan kamar kami pada hotel di lokasi yang hampir sama di batalkan. Awalnya kami ragu, apakah hotel ini memiliki kualitas yang sama dengan yang kami batalkan, kebetulan hotel yg sebelumnya hendak kami tempati memiliki nama yang cukup terkenal. Tetapi setelah kami datang kemari, sejak awal kami sudah terpukau oleh keramahan para staf dan bahkan sang GM sendiri sempat berkenalan dengan kami. Kamar yg tersedia untuk kami, sangat luar biasa, terdekorasi dengan indah dan elegan, tanpa kehilangan nuansa liburan di Bali. Pelayanan sangat ramah, Makanan juga enak, sayangnya 2 malam tidak cukup untuk mencicipi semua menu. :-) Kesan kami pada hotel ini adalah : Reasonably Cheap for an Amazing Room, Food, Service and Hospitality..",5
3, The Royal Santrian,"saya tinggal di the royal santrian selama 3 hari 2 malam, sangat mengesankan dan juga suasananya sangat sepi serta sangat private.untuk pelayanannya sesuai dengan harga yang di bayar. saya makan pastanya kurang enak tapi harganya sangat mahal",4
4, The Royal Santrian,"Kami menginap di The Royal Santrian selama 4 malam. Sewaktu tiba saya begitu bersemangat karena tempat ini begitu indah apabila dilihat dari pintu masuk sampai ke taman dan kolam renangnya sampai lautan.  Kami menginap di vila 101 dan tempatnya luar biasa dan lebih dari yang kami harapkan. Stafnya sangat ramah dan pelayanannya cepat. Kami menikmati hidangan ikan beberapa kali di restoran dan sangat lezat. Saya tidak bisa mengingat kapan terakhir kali saya menikmati ikan seperti itu. Sangat lezat. Sarapannya juga lezat.  Apabila ada masalah, stafnya akan berusaha memperbaikinya untukmu. Kapan saja kami mau kemana saja, mereka mempunyai sopir yang siap mengantar kamu kemana kami ingin pergi. Mereka menurunkan kami di pusat perbelanjaan dan sewaktu kami sudah siap untuk pulang,…",5
5, The Royal Santrian,"Saya menginap di sana selama akhir pekan bersama pacar saya dan saya ingin berterima kasih kepada hotel ini dengan komentar ini. Kamarnya mengagumkan dan pelayanannya lebih dari bagus. Hanya saja pelayanan kamarnya tidak sesempurna yang lainnya. Jika kamu membandingkan dengan Fourseason, saya akan malah akan menyarankan orang-orang untuk mencoba Royal Santrian.",5
6, The Royal Santrian,"Saya baru saja menginap di sini bersama suami dan anggota keluarga lain. Merupakan kemewahan sempurna dan sama sekali tanpa cela. Layanannya mengagumkan, staf selalu tersenyum, penuh perhatian dan amat membantu. Ruangan selalu dijaga amat bersih, dan selalu berisi minuman dan pasokan lainnya. Sarapan a la carte amat luar biasa. Pantainya sendiri bukan yang paling bersih namun hal itu bukan masalah karena kami menghabiskan sebagian besar waktu di kolam renang privat di vila dan kolam renang hotel yang indah. Transportasi gratis ke Nusa Dua dan wilayah sekeliling merupakan bonus bagi kami karena kami tak ingin menghabiskan waktu hanya di hotel tetapi kami juga tak merasa perlu untuk pergi terlalu jauh. Tempat tidur amat nyaman, kolam renang privat di vila amat bersih dan…",5
7, The Royal Santrian,"Saya dan ibu saya menginap di sini selama satu minggu dan ini adalah salah satu tempat paling fantastis yang pernah kami kunjungi. Petugasnya membuat anda merasa seperti keluarga dan mereka senang mengajari melatih bahasa Bali kami... Makanan, suasana, dan layanannya lebih dari luar biasa! Mereka selalu ingat apa minuman kami dan menyarankan menu-menu yang lezat sesuai dengan selera kami. Kami sangat merindukan mereka dan akan langsung datang lagi ke sini jika ada kesempatan. Terima kasih banyak pada semua orang di sana yang membuat kunjungan kami begitu tak terlupakan.",5
8, The Royal Santrian,"Ini adalah sebuah hotel vila pribadi. Enam bintang untuk petugasnya yang ramah dan membantu, terutama pengemudi dan petugas resepsionisnya. Kami mengambil tur berlayar yang berangkat dari hotel jam 7:30 di hari ke-3 kunjungan kami. Petugas hotelnya sangat peduli, mereka datang ke vila kami dan membantu kami memesan sarapan sebelumnya, sehingga kami bisa bersiap-siap, sarapan di vila kami dan memulai pelayarannya tepat waktu. Mereka juga mendatangi kami untuk mengatur hari terakhir kami di situ (contoh: waktu check out, makan siang, perjalanan ke bandara) dua hari di depannya, hal ini membuat kami merasa kami diperhatikan dengan baik dan bahwa hotel ini diurus oleh manajemen yang istimewa. Namun, pantai dan air lautnya tidak sebersih yang kami harapkan dan spa 2 jamnya kurang…",5
9, The Royal Santrian,"Orang-orang hebat dengan begitu banyak kepositifan dan niat baik. Ke mana pun Anda pergi, perasaan dipelihara ada di sana. Vila-vila besar, luas dan intim. Setiap orang memiliki kolam untuk diri mereka sendiri. Saya akan kembali untuk ketiga kalinya kapan saja. Manajer restoran dan resepsionis mengambil waktu untuk berhubungan dan berbicara dengan Anda. Memimpin dengan memberi contoh selalu berhasil.",5
