,hotel,review,stars
0, The Samaya Bali Seminyak,"GWK Bali, tempat yang indah untuk dikunjungi oleh keluarga , wisatawan dan pelajar, ada suguhan atraksi tari tarian bali pada jam jam tertentu, gerai souvenir dan banyak yang dapat dilihat dan dipelajari disini, udara yang bersih, soal makanan tak usah pusing, disini juga tersedia cafe & restoran yang memadai, ok",5
1, The Samaya Bali Seminyak,"kamar bagsus dan terasa mewah sangat menyenangkan menginap disini dan juga bnyk fasilitas lain yg cukup lengkap unutk dinikamti oleh para tamu, terutama kolam renang yang besar dan bersih dan lokasi hotel ini jga sangat bagus",5
2, The Samaya Bali Seminyak,"Tidak salah lagi pilihan untuk tinggal disini, samaya bali pilihan tepat untuk bermalam di seminyak, begitu juga restorannya di tepi pantai dangat pantastic, staff hotel sangat bersahabat dan ramah sekali",5
3, The Samaya Bali Seminyak,"kami menginap 2 malam disini. villa disini terdapat kolam renang pribadi yang cukup besar dan bersih.  kamar mandi disini sangat besar dan komplit menurut saya. ada ruang mandi terpisah, jacuzzi dengan tv, toilet terpisah, dan ruang mandi outdoor. memang dari villa kita tidak dapat melihat pemandangan laut, tetapi berada di dalam villa dengan fasilitas lengkap seperti ini tidak masalah untuk kami. sarapan setiap pagi diantar ke villa dengan menu cukup beragam yang enak dan bisa dipilih sesuai dengan keinginan kita. para staff villa juga sangat ramah dan sangat membantu, jadi pelayanan disini sangat baik.  kami mencoba island romantic dinner di the breeze restaurant. memang lumayan mahal, tetapi worth every penny!! set menu yang baik, berkualitas dan mengenyangkan. settingan meja…",5
4, The Samaya Bali Seminyak,"kamar bagus dan sangat betah tinggal selama di bali,pelayanan bagus dan ramah ,staff yang baik dan sangat membantu kami jika kami memerlukan sesuatu ,hal ini lah yang membuat kami betah tingal di hotel ini,sangat dekat dengan kuta sekitar 30 menit perjalanan dari bandara ngurah rai,kami garantee tidak akan mengecewakn andan",4
5, The Samaya Bali Seminyak,"Hotel yang terletak daerah Seminyak ini sungguh mewah dan menyenangkan. Lokasinya strategis. Harga per malam nya cukup mahal namun worth it dengan konsepnya terkesan seperti villa privat dan ekslusif. Pemandangan kolam renang dan restoran di tepi pantai di hotel ini sungguh indah. Saya merekomendasikan untuk menikmati sunset sambil duduk di sisi kolam atau pantai. Saat santai, saya sarankan untuk mencoba toko es kris pas diseberang hotel yang bernama Lello Lello ataupun restoran bernama Urchin yang juga terletak dI seberang hotel.",4
6, The Samaya Bali Seminyak,"Salah satu resor terbaik yang saya dan istri saya kunjungi. Halaman villa dengan kolam renang yang sangat baik. Makan di restoran Breeze telah menjadi pengalaman menakjubkan bagi kami. Paket bulan madu yang saya pilih  lengkap dengan sarapan gratis tiap hari, teh sore tiap hari, satu makan malam candle light, satu makan siang dan 2 jam spa (dengan pijat dan body scrub). Kami terkesan dengan layanan dan respon dari staf. Berjemur di pantai juga sangat nyaman, dengan tempat tidur matahari di resort dan beberapa langkah dari pasir panas.  Satu kesempatan tak terlupakan adalah pelayan pribadi kami mendekati kami ketika kami sedang sarapan di Breeze, dan bertanya apakah kami punya acara untuk hari itu dan kapan kami akan kembali ke villa. Kami tidak berharap bahwa villa akan…",5
7, The Samaya Bali Seminyak,"Dari tiba di bandara sampai keberangkatan kami stafnya sangat bersahabat, perhatian dan efisien. Lokasinya istimewa dan untuk kami disediakan vila dengan dua kamar kolam renang tertutup yang ideal dan area bersantai di mana kedua anak kami santai-tanpa mengganggu penghuni yang lain. Vila sebelah pantai yang baru saja diberi perabot baru akan menjadi pilihan saya lain waktu..... dan akan ada lain waktu! Perjalan sehari ke Samaya di Ubud sangat memuaskan- sangat berbeda, tapi bergaya.",5
8, The Samaya Bali Seminyak,"Pengalaman menginap yang menyenangkan di vila Samaya, aku mendapatkan vila dengan satu ranjang yang ukurannya sangat besar, bersih tak bernoda, dan punya bak berendam spa dengan lilin yang diatur plus pancuran ganda, bahkan ada bidet terpisah, sabun mandi dan krimnya sangat bagus, ranjangnya besar dan sangaaat nyaman. Taman dan kolam renang pribadinya sangat bersih dan lagi ukurannya sangat lebar. Sarapannya enak dan mungkin porsinya kebanyakan tapi penyajiannya sempurna dan disediakan buah segar tiap hari di vilamu. Semua staf baik dan membantu dan kalau kau memanfaatkan layanan kamar atau memesan mobil maupun taksi pelayanan mereka selalu cepat, dan tak pernah menganggu. Lokasinya sempurna di Seminyak, untuk menuju restoran-restoran top cukup dengan jalan kaki. Jelas aku akan…",5
9, The Samaya Bali Seminyak,"Kami menginap di Samaya Seminyak dan Samaya Ubud pada bulan September.  Kaki saya patah di dua tempat pada hari kedua liburan tetapi manajemen dan staf yang luar biasa di kedua Samaya bagaimanapun berusaha agar kami dapat berlibur dengan menyenangkan.  Mereka diam-diam tetapi tulus menolong - yang tidak pernah mengganggu - pelayanan dan kehangatan para staf tidak terkalahkan.  Kami menginap di vila Royal Courtyard di Samaya Seminyak dan makan di restoran Breeze di tepi pantai.  Ubud bahkan lebih baik - vila yang indah dengan kolam renang pribadi yang luas dan lokasi yang luar biasa di sisi bukit, dikelilingi oleh tumbuhan tropis yang terhampar menghijau sepanjang Sungai Ayung - kami sarapan di restoran Scene dengan pemandangan ke arah sawah dan pegunungan dibelakangnya dan makan…",5
10, The Samaya Bali Seminyak,"Samaya Bali adalah sebuah pengalaman yang tak terlupakan, fantastis dari awal hingga akhir. Setibanya di Samaya kami disambut dengan kalung karangan bunga dan diantarkan ke vila dengan menggunakan salah satu mobil buggy golf milik kompleks. Selagi kami berjalan menuju vila kami, kami terpana dengan akomodasi yang dibangun dan disajikan dengan fantastis yang akan kami tempati, kami juga menemukan bahwa kami adalah tamu-tamu pertama yang menempati vila yang baru dibangun itu di mana hal itu sempurna karena saat itu adalah bulan madu kami. Vila-vilanya sangat mewah dan memberikan sensasi rumah yang besar. Dalam perjalanan kami menelusuri vila kami terlebih dahulu memasuki ruang TV dengan sebuah sofa yang dapat dengan mudah digunakan sebagai tempat tidur. Pada bagian selanjutnya ada…",5
11, The Samaya Bali Seminyak,"Kami telah mengunjungi Bali bertahun-tahun, dan hanya tinggal di hotel berbintang 5. The Semaya hotel di Seminyak sudah jelas merupakan hotel yang terbaik yang kami pernah tempati. Kami menginap di Courtyard villa yang ditempuh 2 menit dengan kendaraan buggy dari bagian hotel yang berada disebelah pantai. lokasinya sangat menawan. para staf sangat luar biasa. Kamar dan villanya sangat luas. Tempat tidurnya sangat nyaman. Semuanya sempurna. Saya tidak akan tinggal dilain tempat selama di Bali. ",5
12, The Samaya Bali Seminyak,"Kami tinggal selama 10 hari di The Semaya, dan menyukai setiap menitnya. Pelayananya sangat luar biasa. Kami sangat menghargai air dingin yang secara terus-menerus diantar saat kami berbaring di samping kolam renang, komplimen buah segar dan teh waktu siangnya. Kami senang karena semua pegawai mengetahui nama kami dari hari pertamanya. Hidangan sarapan yang banyak jenisnya di Semaya'Breeze Restaurant'sangat luar biasa, dari jus buah segar sampai Nasi Goreng, telur orak-ariknya yang sempurna, Oh ya dan pancakenya yang benar-benar enak! Salad udang untuk makan siang yang ringan dan menyegarkan dan dengan rasanya yang enak, sangat surgawi ditengah hari yang panas. kami selalu mendapatkan makanan yang lezat di Breeze namun kenapa tidak mencoba restoran diluar hotel, staf disana…",5
13, The Samaya Bali Seminyak,"Pengaturan yang tenang di pulau yang menakjubkan. Vila-vila hanya keluar dari dunia ini - dilengkapi dengan standar tinggi di seluruh. Layanan ini luar biasa - setiap orang berusaha keras untuk melampaui harapan. Saya dapat menyebutkan nama setiap orang, tetapi yang berikut ini membantu menjadikan kunjungan kami istimewa - Dewi, Mini dan Dirma. Disebutkan secara khusus kepada Egi yang merupakan kelas satu. Makanannya luar biasa - baik itu sarapan, makan siang, teh sore atau makan malam. Saya tidak bisa merekomendasikan hotel dan spa ini dengan cukup. Hotel populer di malam hari untuk pemandangan makan malam dan matahari terbenam. Terima kasih telah membuat bulan madu kami begitu istimewa.",5
14, The Samaya Bali Seminyak,"Kami bukan tamu hotel, hanya restoran. Setelah makan siang yang panjang dan indah, kami menikmati koktail yang menghadap ke kolam renang. Tiga anak kami yang berusia 7, 8 dan 9 memakai baju renang dan sangat ingin berenang di kolam yang kosong dari orang lain. Manajemen mengatakan TIDAK, sangat disayangkan karena kami cukup senang untuk menetap di sore hari dan menghabiskan lebih banyak uang untuk koktail. . . setiap resor lain di Bali memungkinkan tamu makan untuk berendam. Dapat dimengerti jika sedang sibuk. . .",2
15, The Samaya Bali Seminyak,"Saya baru saja kembali dari perjalanan ulang tahun satu tahun kami dan baru saja akan menyelesaikan pemeriksaan bulan madu saya di Samaya!  Kami memulai bulan madu kami di sini dan tinggal di salah satu Villa Royal Court. Itu adalah pengalaman terbaik yang pernah ada, kolam itu sangat besar dan hanya untuk kami berdua. Ruang makan di luar sangat bagus dan umumnya tempat yang luar biasa untuk menginap. Kami makan sarapan di restoran Breeze dan staf hanya indah. Kami tidur di beberapa pagi tapi mereka senang melayani sarapan kami meskipun itu lebih dekat ke waktu makan siang! Perawatan spa sangat baik. Sebagai sedikit negatif, kami makan malam di restoran Breeze yang tidak besar tetapi mungkin karena selera pribadi atau memesan hal yang salah. Poin konstruktif lainnya adalah bahwa…",5
16, The Samaya Bali Seminyak,"Bagus dan agak kecil, berarti resor intim dengan vila-vila yang memiliki kolam renang sendiri. Layanan sangat baik dengan staf yang ramah dan ramah.   Restoran ""The Breeze"" di tepi pantai menyajikan sarapan, teh sore gratis, serta makan malam yang sangat lezat (la carte).  Bagi mereka yang tidak ingin tempat yang sibuk dan bersemangat untuk tinggal, tentu saja lokasi yang sangat baik.",5
17, The Samaya Bali Seminyak,"Wow Samaya harus menjadi hotel / resort terbaik yang pernah saya tinggal di (dan saya telah melakukan perjalanan yang sangat luas) ini benar-benar fantastis. . .  Semua staf sangat ramah dan tidak bisa melakukan cukup bagi Anda, mereka benar-benar mencintai para tamu dan melakukan segalanya untuk membuat masa menginap Anda nyaman. Akomodasi fantastis (kami tinggal di salah satu Royal Courtyard Villas) memiliki kolam renang pribadi yang besar, tempat tidur tertutup dengan meja dan kursi, taman yang indah, tempat tidur yang sangat nyaman, kamar mandi besar dengan wastafel dan pancurannya ! , dan bak mandi jacuzzi 2 orang. Sekali lagi saya benar-benar tidak bisa kesalahan akomodasi sama sekali panggilan jalan lagi. Anda juga mendapatkan 2 item landry masing-masing bahwa hotel akan…",5
18, The Samaya Bali Seminyak,"Kami baru saja pulang setelah liburan yang tak terlupakan. Staf sangat ramah dan tidak ada yang terlalu banyak kesulitan untuk mereka, dari tukang kebun hingga manajemen. Kami senang kami memilih lokasi tepi pantai. Alasan dan area kolam itu indah dan terawat dengan baik. Hari itu akan dimulai dengan sarapan dengan beragam pilihan. Ini diikuti oleh teh sore hari yang bisa Anda miliki di sekitar kolam renang atau di villa Anda. Jadi beberapa malam kami hanya ingin makanan ringan yang restoran Breeze cukup senang bagi kami. Pada malam-malam lain kami makan dari menu mereka yang luas. Berharap untuk kembali suatu hari nanti. .",5
19, The Samaya Bali Seminyak,"Kami baru saja kembali ke Inggris setelah 6 hari yang paling menakjubkan di The Samaya.  Layanan ini luar biasa di kamar, di tepi kolam renang, pantai, dan di restoran. Semua staf berusaha sopan dan tidak ada yang pernah dipikirkan.  Kami tinggal di kolam renang villa (115) yang luar biasa. Mini bar gratis yang diisi setiap hari adalah tambahan yang menyenangkan, tempat tidurnya sangat besar dan sangat nyaman, kamar mandinya sangat besar dengan bathtub jacuzzi besar, shower indoor dan outdoor, serta wastafel miliknya dan dia.  Sarapan disajikan setiap hari di mana saja kapan saja yang berarti Anda tidak pernah harus mengatur alarm dan bisa memilikinya di tepi pantai, di tepi kolam renang, di kamar Anda atau di restoran dan memiliki menu besar untuk dipilih dan semuanya lezat. …",5
20, The Samaya Bali Seminyak,"Samaya benar-benar menakjubkan. Kami memiliki sebuah villa yang berjarak berjalan kaki singkat dari bangunan hotel utama, tetapi kami dirawat dengan sangat baik oleh kepala pelayan kami. Kami memiliki vila yang luas dengan kamar mandi yang sangat besar dan kolam renang serta teras. Sarapan sangat baik, semuanya dari telur dadar yang dimasak untuk bubur kayu manis. Kami makan malam beberapa kali di restoran hotel utama yang menghadap ke pantai yang indah. Umumnya, kamar dan hotel sangat bersih dan tidak ada yang terlalu banyak - terutama ketika kami berdua sakit selama beberapa hari, kepala pelayan kami sangat peduli dan memperhatikan kebutuhan kami.",5
