,hotel,review,stars
0, The Studio Bali,(+) room luas dan bersih. Staff ramah dan membantu. Pool oke untuk berenang.   (-) AC kurang berfungsi dengan baik. Air kamar mandi menggenang sampai ke living room dekat sink dan kulkas. Saya menemukan 1 sendok dalam kondisi masih kotor bekas makanan dan belum dicuci. Tolong diperhatikan untuk kebersihan peralatan makan dan minum supaya tidak jorok. ,3
1, The Studio Bali,"Saya liburan bersama teman2, hotel ini sdh sering sekali oleh teman saya tsb apabila ke Bali. Lokasi di area seminyak, di sekelilingi oleh toko2 furniture keren. Untuk ke area keramaian seperti seminyak dan legian tidak bisa ditempuh dgn berjalan harus pakai kendaraan. Hotel ini sendiri menyediakan sepeda untuk mengelilingi area sekitar, cool!  Hotelnya sendiri agak terpencil tp sangat mudah dicari, kamar yang ditawarkan sangat sangat worth for money, kamarnya besar, ada living room, kamar mandi yg besar dan ada small pantry dgn peralatan makan yg lengkap. Kamar sy menghadap pool, nyaman sekali. Overall suasana sangat homey. Pelayanan dari pegawai hotel juga oke bgt, helpfull dan informatif. Saya sangat merekomendasikan tempat ini utk yg mau ke bali.",4
2, The Studio Bali,"Surprised bgt ketika liat suite room yg kita pesan. Luas.... bedroom,living room,bathroom, dan gak ketinggalan ada balkon nya.. untuk kebersihannya juga oke. Lokasinya berada di seminyak deket2 kerobokan, memang gak deket sama pantai karena ini berada di sebelah timurnya sunsetroad..dan juga berada di area perkampungan gt. Tp lokasi ini cocok untuk kalian yg memang mau tenang dan menikmati bali dr sudut yg berbeda..contohnya bila kalian ingin jalan2 juga di area denpasar dll. Mrk menyewakan sepeda jg scr free  Beberapa minusnya adalah: Closet agak mampet dan jetwater nya bau,kasurnya  tipis dan tempat tidurnya bunyi, tv tabung..  Ya overalls untuk harga segitu dan dengan apa yg kita dapat menurut saya udah bagus bgt lah.. suite room berasa villa... :)",3
3, The Studio Bali,"lokasinya cukup tenang, kamarnyabersih dan nyaman, sangat seimbang dengan harga kamarnya, pemandangan bagus dan cukup memudahkan mencari makan/minuman. Pelayanan stafnya ramah dan cukup membantu; sangat cocok untuk liburan dengan keluarga",4
4, The Studio Bali,"Lokasi The Studio sekitar 2 km dari pusat keramaian Seminyak, jarak yang lumayan dekat. Dengan tarif hotel budget, fasilitas dan kenyamanan yang didapat sangat baik. Kamar luas, bath tub, sofa & balkon untuk bersantai. Sangat direkomendasikan.",4
5, The Studio Bali,"saya menginap selama 4 malam di studio. dan mendapatkan pengalaman luar biasa, dengan kamar yang nyaman, dan pemandangan sawah yang meneduhkan. Tempat menginap murah tapi tidak murahan. sangat ingin kembali menginap disini bersama keluarga",5
6, The Studio Bali,ruangan nya hommy... Fasilitas lengkap...  Masukan dr saya 1. Taman di beranda belakang spy bisa lebih ditata dan ditambah spy lebih cantik 2. Waktu saya menginap kebetulan ada acara di belakang yg suara speaker nya cukup mengganggu ketenangan  Overall ok banget lah the Studio..saya pasti akan menginap lagi,4
7, The Studio Bali,"tempatnya enak dan tenang , tetapi ada banyak kendala wifi dan error dan wc yg bermasalah . Ada banyak nyamuk juga sehingga kenyamanan sedikit tertanggu, tetapi untuk keseleruhan recommended untuk budget traveller .",4
8, The Studio Bali,"Utk secara keseluruhan bagus hotelnya. Service front office nya jg bagus. Cuma sayang utk service bell boy nya kurang, tamu dtg jd repot bawa barang sendiri. Ket info no telp front office ato room nya jg ga ada. Jd bingung klo mo tlp.",3
9, The Studio Bali,"Ini keempat kalinya saya menginap di hotel ini dan sampai saat ini belum pernah kecewa dengan hotel ini. Kamarnya cukup luas meskipun untuk kamar tipe standar. Kamarnya rapi, bersih, luas, dan mengesankan. Tipe kamar rata2 menghadap ke pepohonan dan sawah sehingga cukup nyaman bagi pasangan honeymoon. Breakfast yang disajikan hotel ini meskipun kurang variatif namun dari segi rasa cukup enak dan menggugah selera. Overall hotel ini tetap saya rekomendasikan untuk calon customer yang hendak berlibur ke Bali.",4
