,hotel,review,stars
0, The Sun of Granary Resort and Villas,"bagus bgt tempatnya, nyaman untuk lama lama dan staff nya ramah ramah bgtt bikin betah. view nya bagus banget pemandangannya, kolam renangnya juga bagus, ada tempat spa nya yang nyaman jugaa, pokonya wajib kesinii",5
1, The Sun of Granary Resort and Villas,"saya menginap sekeluarga di private villa, kamar sangat bagus, bersih, dan nyaman. kolam renangnya asik. secara keseluruhan hotelnya bersih, sangat bisa dibuat spot foto, dan semua pelayannya ramah. top sekali pokoknya",5
2, The Sun of Granary Resort and Villas,"Pelayanan yang sangat ramah,  memuaskan, asik, have fun, good service,  makanan enak enak, fresh, fasilitas lengkap, view yang sangat indah dengan restoran yang menyuguhkan view sawah 😇 Recomended bagi yang ingin liburan😇",5
3, The Sun of Granary Resort and Villas,"Terbaik.. pelayanannya memuaskan.. kamarnya bersih dan terawat.. makanan enak.. kamar luas.. untuk harga terjangkau.. untuk villa dan private poolnya harganya terbilang murah.. kolam renang dalam, enak untuk berenang.. jangan ragu untuk berlibur disini..",5
4, The Sun of Granary Resort and Villas,"service dr karyawannya sangat ramah, kamarnya bersih dan wangi, makanannya enak semua, lingkungan dan viewnya sangat bagus...pokoknya ini termasuk salah satu hotel favorite saya. Thank you The Sun Heaven...",5
5, The Sun of Granary Resort and Villas,Saya datang ke Bali sudah 4 kali. Pendapat saya liburan di Bali sangat menyenangkan. Penduduknya sangat ramah dan tulus. Baik di hotel maupun di tempat umum. Beda sekali dengan di Jakarta. Bali memang is the best 👍🙂,5
6, The Sun of Granary Resort and Villas,Layanan elit ramah luar biasa amazing view kolam renang yg cukup menghibur anak2 liburan yg mengesankan dengam keluarga hamparan sawah yang bikin mata hijau hati tenang semoga sun heaven makin sukses yaaa,5
7, The Sun of Granary Resort and Villas,"Stay disini dengan keluarga dan orang tua akhir april 2022, untuk service dan attitude sangat memuaskan, tempat sangat menenangkan, nyamuk hampir tidak ada, breakfast dan restauran juga sangat enak dengan pemandangan yang luar biasa. Sangat reccomended untuk ajak keluarga kesini.  Note hanya apabila membawa orang tua dan mengambil villa, turun anak tangga agak lumayan banyak, namun bli disini sangat membantu untuk membawa koper dan barang ke kamar.",5
8, The Sun of Granary Resort and Villas,"Tempatnya bagus dan ada macam-macam kamar di sini. Kolam renang lumayan luas, kamarnya bersih dan nyaman. Cocok untuk keluarga atau pasangan. Pemandangan sawahnya juga bagus banget. Pelayanan staffnya juga sangat ramah",5
9, The Sun of Granary Resort and Villas,"Excellent service Verry Good Villa Good parking  The most beautiful villa with good view   Suasanya nyaman , aman ditambah lagi hiburan dari tingkah laku ziro😍 dan kami sangat menikmati livemusic   For the food semua makanannya  dan minumnya enak  My favorite drink mango slushy",5
10, The Sun of Granary Resort and Villas,"Hotel baru yang sangat keren,bagus buat menghabiskan liburan di sini,,, pokoknya gak bakal nyesel ke sini,,, pelayanan yang sangat ramah, makanan juga sangat enak,, recomen banget banget pokoknya, terimakasih the sun heaven ubud",5
11, The Sun of Granary Resort and Villas,"Hotelnya nyaman cocok buat healing.. kebetulan ngajak anak 3 th dan happy nya sangat anteng dan ga ada nyamuk seharian..   Ada playground, kolam renang untuk anak sangat friendly ngajak anak cocok untuk liburan sekeluarga",5
12, The Sun of Granary Resort and Villas,Fasilitas nya lengkap dan semua staf nya ramah. Aku dapat kamar dengan view sawah dan sunset. Sangat recommended untuk staycation. Floating breakfastnya enak. Bakalan balik lagi sih pasti dengan teman lain,5
13, The Sun of Granary Resort and Villas,"Pelayanan yang sangat ramah dari seluruh staff, Fasilitas yang lengkap mulai dari spa, yoga area, gym area , pool yang cocok untuk keluarga dan anak dan kkrestoandcafe yang instagramabble, satu lagi menu breakfast yang variatif dan sangat enak",5
14, The Sun of Granary Resort and Villas,"Lokasinya berada di tengah persawahan yang cantik. Roomnya nyaman, dengan amenities lengkap, suka sekali dengan bantalnya.   Poolnya cantik. Sarapannya super enak. Suasananya juga tenang dan nyaman.  Cocok untuk pasangan maupun keluarga.",5
15, The Sun of Granary Resort and Villas,"Senang sekali rasanya setelah menginap 1 malam disini,kamarnya nyaman,bersih,terasa banget hotel nya baru,makanan direstonya enak dan pastinya recommended untuk dicoba. Para staff yg ramah"" juga buat nginap disini jadi betah banget. Oiya disini juga ada beberapa activity seperti morning walk,afternoon cycling,buat canang,dan masi banyak lagi. Next bakal kesini lagi 😍😀😀",5
16, The Sun of Granary Resort and Villas,"Resort  yang nyaman. Staf nya Ramah, Bli Made sangat Ramaah dan siap membantu....Recomended banget jika ke Ubud untuk stay di The Sun Heaven. Ga bakalan kecewa... kamar yg bersih dan kelihatan banget masih baru..Terima kasih untuk The Sun Heaven.",5
17, The Sun of Granary Resort and Villas,Hotel nya nyaman Dan bersih.. Staff nya sangat helpful rekomen untuk yg mencari hotel dgn view sawah terasering. Untuk sarapan nya juga sesuai selera lidah Indonesia..yang perlu diperhatikan Adalah Jalan menuju lokasi,5
18, The Sun of Granary Resort and Villas,"Bagguuss bangeet tempatnyaa, bisa rekomendasi ke temen2 nih..thank you the sun heaven atas pelayanan yang memuaskan...privat pool sama kamarnya bersih, makananya enak2 dengan suasana persawahaan yang bersih dan sejuk",5
19, The Sun of Granary Resort and Villas,"Hotelnya sangat bagus sekali di kelilingi dengan area view sawah dimana mana,, Kamarnya bagus dan bersih,, restaurantnya mantap, dan all staff nya sangat ramah ramah,, Sangat rekomend untuk stay disini😍😍😍",5
20, The Sun of Granary Resort and Villas,"Tempat yang nyaman,tenang dan jauh dari kebisingan kota, dikelilingi dengan hamparan sawah hijau,makanan di restorannya sangat enak dengan harga terjangkau dan kamarnya comfortable banget,cocok banget dijadikan tempat liburan bersama keluarga. semua staff nya ramah,next  bakal nginep lagi kesini bareng keluarga lagi",5
21, The Sun of Granary Resort and Villas,"Resort baru dengan fasilitas yg super lengkap, Pelayanan sangat baik, staff super ramah, pool besar. semua keperluan akan dibantu oleh staff dg fast response. Di era pandemi seperti ini masih ada fasilitas morning walk, kemarin kami di pandu oleh Bli Made, menyusuri sawah, irigasi, desa setempat (Desa Pinjul) dan dijelaskan tentang rumah adat Bali asli. Mengutamakan kenyamanan dan keamanan tamu di era pandemi bukan hal yg mudah, tapi diwujudkan oleh The Sun Heaven Resorts. Good Job!",5
22, The Sun of Granary Resort and Villas,"Lokasi yang sngat keren, tenang jauh dari kebisingan,,,,, kamarnya bersih,,, Makanannya enak2, di tambah staffnya yang baik dan selalu memberi pelayanan yang terbaik , terimakasih The Sun heaven ubud, pasti bakal balik lagi",5
23, The Sun of Granary Resort and Villas,"Sangat Recomend stay disini,, kamarnya sangat bagus dan bersih,, dibantu juga dengan staff nya yg ramah dan service nya memuaskan,,, restaurant dan cafe view nya sangat cantik untuk foto foto,,, makanan enak Harus kesini pokoknya !!!😍😍",5
24, The Sun of Granary Resort and Villas,Tempatnya oke bnaget..  Suasana tenang.. Kebersihan oke banget... Staf2nya mantuuul banget... Makanan okeee.... Next pasti balik dgn keluarga dan pasti akan buat recommens ke teman2...  Thx banget utj the sun heaven yg ssh memberikan pelayanan yg baik.,5
25, The Sun of Granary Resort and Villas,"Tempatnya sangat bagus,, jauh dari keramaian sangat cocok deh untuk honeymoon atau stay bareng pasangan,, staff nya sangat ramah ramah dan jga restaurant dan cafe view nya sangat indah mengarah ke pesawahan,, sangat recommended deh stay disini😍",5
26, The Sun of Granary Resort and Villas,"Hotel yg sngat Bagus sebagai tempat beristirahat yg nyaman, main pool yg bersih dan luas,staff yg sangat ramah. View kunang-kunang Restaurantnya juga Bagus banget, Dan juga servicenya juga sangat memuaskan. Next bakal stay disini lagi sama keluarga",5
