,hotel,review,stars
0, The Vie Villa,"menginap disini selama 3 malam karena sangat nyaman menginap disini , dari pelayanannya yang baik dan staffnya ramah semua dan membantu sekali. Kamarnya bersih dan kolamanya juga di jaga kebersihanya dengan baik.",5
1, The Vie Villa,"Saya menginap disini dengan pasangan kenyamanan nya terasa sekali, dilayani dengan baik dan stafnya membantu , kamarnya bersih dan luas ada kolam renang nya juga, letaknya strategis berada di pusat kota, thanks all",5
2, The Vie Villa,"Villanya cozy , all staff sangat membantu dan ada mas yoga yang bantu angkat koper saya thanks  banget untuk pelayanan the vie yang sangat bagus . Stay selama 2 malam rasanya kurang nih , next ke bali bakal kemBali lagi ke the vie . Thanks for all staff dan tetap pertahankan excellent servicenya.",5
3, The Vie Villa,"saya menginap selama 2 malam bersama teman saya. villanya sangat bersih, kolam renang terawat, kitchen set yang lengkap. Staff sangat ramah dan sangat responsif ketika saya butuh bantuan. Desain villa yang sangat baik membuat sirkulasi udara di dalam villa sangat sejuk. Mungkin nanti akan kembali lagi menginap disini🥰",5
4, The Vie Villa,"Senang banget bisa menginap di villa ini , villa yang letaknya strategis di kota tapi merasa nyaman banget saat menginapnya . Villanya lumayan besar bersih , rapi di rawat dengan baik . Cocok buat menginap bersama pasangan , teman ataupun keluarga . Thanks all✨",5
5, The Vie Villa,"Wow nice... villa yang bagus gini ada di pusat kota dekat dengan pantai , mall dan restaurant. Staffnya helpull dan ramah merawat villa dengan baik jadi terlihat masih cantik dan bersih. Sarapannya juga enak gak nyesel deh nginep disini . I like this villa🖤",5
6, The Vie Villa,menginap di villa sebagus ini mulai kamarnya yang rapi dan bersih gak lupa juga suasana yang nyaman waktu bangun tidur. breakfast yang disajikan delicious👍🏻 staffnya sangat membantu sekali dan juga ramah good attitude deh. maybe bakalan balik lagi lain kesempatan✨,5
7, The Vie Villa,"-Pelayanan di villa super ramah dan suasana yang romantis cocok untuk yg mau honeymoon  -fasilitas kmr yg memiliki penyejuk udara(AC),dapur,minibar,meja rias,dan ada private pool nya  -kamarnya super"" luas bgs,cck bngt buat kalian yg mau honeymoon moon atau yg mau staycation brg keluarga/tmn kalian.",5
8, The Vie Villa,"selama stay disini sangat nyaman kamarnya bersih dan pelayanannya overal good , stafnya sangat ramah dan membantu dari awal sampai checkout. villanya deket dengan pantai"" terkenal dan tempat rekreasi jadi tidak terlalu jauh kalau kemana - mana. sangat senang menginap disini🤍",5
9, The Vie Villa,saya sangat menyenangi villa ini karna faktor karyawan yang ramah konsep villa yang bagus sanget bersih dalam segi kebersihan dan juga breakfast yang sangat enak dan juga lengkap  Next weekk pasti menginap disana lagi🙏,5
