,hotel,review,stars
0, The Wakanda A Pramana Experience,"Bintang tujuuhh Pelayanan dan makanan serba OK Tempat nyaman, lengkap dengan view yang memanjakan mata Orang-orangnya juga ramah dan penjelasan juga lengkap jadi ngga akan bingung2 lagi Super recommended! 💜 Apalagi buat honeymoon sih mantab!",5
1, The Wakanda A Pramana Experience,"Wakanda ubud resort one of best resort di ubud, tempatnya jauh dr keramaian cocok banget buat yg pengen healing, kamarnya luas dan bagus banget, bathup nya juga favorit krn terbuat dari batu gitu lucu pokoknya, trs aku suka banget sama pool nya yg ada view sawah, that's so refreshing! Staff - nya juga baik2 dan ramah2, ada tempat juga untuk yoga buat yg suka yoga. Pokoknya best, definitely will be back soon. Thank you!",5
2, The Wakanda A Pramana Experience,"Kamarnya luas, artistik, bergaya industrial, dan dipadukan warna earth tone jadi buat kita nyaman banget. Sangat cocok bagi yang ingin menikmati Bali yang syahdu, tenang, dan dekat dengan alam. Hanya terdapat 2 lantai, kamar kita ada di lantai 1 dengan view dan privasi paling best karena adanya di paling ujung. Makanannya enak-enak tapi yang paling berkesan adalah menu laksanya.  Untuk pelayanan dan keramahan staff juga sangat oke. Untuk Kak Ayu, mungkin kalau baca, terima kasih ya untuk pelayanannya selama kita disana. So helpful. Sayangnya saya belum sempat sepedaan di sekitar situ padahal sewanya murah sekali dan di-provide oleh hotel. Kalau ke Ubud pasti mau ke Wakanda lagi sih 😄🥰",5
3, The Wakanda A Pramana Experience,"Saya terkesima dengan resort ini, tau kenapa? Karena kamarnya unik.   Interiornya bergaya modern industrial, dan uniknya lagi, nggak ada partisi beton/kaca untuk toilet dan bathub, jadi kamar terkesan luas (bahkan memang luas menurut saya), kira2 setengah lapangan badminton, kalau di ukur dari ujung ke ujung ruangan, seluas itu.  Udah gitu tata letak bed, toilet, bathub, shower sangat fungsional dan artistik.  Kamar saya di 801, lantai 2, pemandangan dari lantai 2 sekililingnya sawah, tenang, nggak berisik, nggak ada suara kendaraan, serangga yang kadang nggak disukai wisatawan mancanegara ketika menginap di daerah Ubud.  Baik situasi siang maupun malam sama2 memberikan kesan sejuk dan penuh privasi.  Keramahtamahan staffnya juga ok banget, meskipun dugaan saya, staff hotel…",5
4, The Wakanda A Pramana Experience,"Tempatnya bersih, nyaman dan fasilitasnya juga lengkap. Jauh dari keramaian sangat cocok untuk healing 🧘🏻‍♀️ Selain itu kamarnya juga aesthetic jadi kalau seharian dikamar pun tetep nyaman. Mungkin kalau ditambah tv lebih bagus heheh",4
5, The Wakanda A Pramana Experience,"Puas banget staycation di wakanda, pelayanannya ramah dan baik, roomnya bersih dan rapi, fasilitasnya lengkap hanya saja kurang hairdryer, makanannya enak.  Suasananya juga adem segar, cocok yang Pengen nuansa pedesaan.  diantara semua fasilitasnya Paling suka bathupnya unik banget. Pokoknya bakalan balik lagi ke sana deh. Cocok banget buat honeymoon. Roomnya unik juga dan nyaman banget",5
6, The Wakanda A Pramana Experience,"Semua staffnya sangat ramah. Dengan ukuran kamar yg luas, dan suasana kamar yang unik serta bathtub yg besar. Sangat nyaman utk istirahat dan menenangkan pikiran. Kolam renang dgn pemandangan sawah yg indah. I Love it!!",5
7, The Wakanda A Pramana Experience,I’ll come back soon. Very recommended to stay in Ubud Bali.  Langsung book ke hotelnya dapet harga special daripada di web2 yang lain. Dibantu dari penitipan koper sampe proses checkout. Sayang tidak ada tv di kamar but it doesn’t matter karena banyak bgt kegiatan yg ditawarin di wakanda seperti trip ke air terjun,5
8, The Wakanda A Pramana Experience,"In love with the view, the ambience, the service, staff, and every corner in this place. From the room, the pool, the yoga place. I definitely will come back again with my family.   Pemandangannya bagus, suasana hening (kecuali hotel lagi full booked, jadi ada banyak pengunjung lain juga) Aku paling suka berdiam atas pool bar di jam 05.00 gitu sambil melihat sunrise. Terdengar hening dan hanya ada suara hewan dan angin, lalu pemandangan jg dapat disaksikan gradasi warna yang berubah seiring dengan terbitnya matahari.  Staff disini semua friendly dan professional, untuk makanan juga taste not bad.",5
9, The Wakanda A Pramana Experience,"Pelayangannya sangat amat bagus.  Pelayannya ramah-ramah😍 fasilitas lengkap. Ada pool,tempat yoga,spa,reastaurant.  Kamarnya luas,bagus,bersih,nyaman. Ada minibar,safety box,bathubnya dan shower.  Dan juga ada balconinya,di kamar jg dilengkapi coffee tea😍",5
10, The Wakanda A Pramana Experience,"tempatnya nyaman banget asri suana asrinya dapet banget. suasana sore menjelang malem bikin tenang. fasilitas lengkap banget stafnya semua pada ramah ramah bngett. tempatnya cocok untuk staycation bareng temen, pasangan, maupun keluarga. so ini bakal jadi tempat recomendid banget buat orang orang sekitarku kalau mau liburan ke bali🥰",5
11, The Wakanda A Pramana Experience,"The wakanda emg the best bgt😍 selain tempatnya nyaman, pelayanannya juga ramah bgt🥰 recomened buat liburan bareng pasangan/keluarga😍❤️ Buat kalian yg mau liburan bisa banget booking di @wakandaubud",5
12, The Wakanda A Pramana Experience,Hallo teman teman. Buat kalian yang maku nyari tempat staycation bisa di wakanda ubud yaa. Tempatnya bagus dan cocok banget buat keluarga ataupun pasangan. Saya sendiri Seneng banget bisa staycation disini. Pelayanannya ramah dan fasilitanya juga lengkap banget. Sangat affordable. Yuk staycation disini🙌,5
13, The Wakanda A Pramana Experience,"Sangat cocok untuk honeymoon. Bathtub, toilet dan kamar hanya disekat dengan lemari kayu. Tapi cocok buat honeymoon. Malam hari lampu remang2 tapi so romantic. Sayangnya saat kesana, kolam renang sedang diperbaiki padahal salah satu alasan kesana karna kolam renangnya. Yang sangat terbaik karna staff disana ramah2. Pemandangan sawah. Ada parkiran mobil. Sarapannya enak sekali..i love it..",5
14, The Wakanda A Pramana Experience,"Saya ga nyangka bisa dapat pengalaman yang sangat menyenangkan. Proses healing dan refreshing nya dapet banget. Udara sejuk, pelayanannya oke banget, di tambah lagi wifinya kenceng banget. Sukses terus The Wakanda Ubud! See you in another time!",5
15, The Wakanda A Pramana Experience,"Pelayanan yg sangat ramah,fasilitas yg lengkap,temapat yg bersih dan nyaman ,tempatnya jga sangat asri dan strategis rekomended bgt buat pasangan yg lagi cari tempat buat honeymoon ataupun liburan keluarga,karena tempatnya yg memang cocok",5
16, The Wakanda A Pramana Experience,"Suka banget sama pelayanan disini, bintang 5 buah pelayanannya dan kebersihan tempatnya 💖, dan makanan minuman di restaurannya enak bangett nagihh🥰🥰 kamarnya luas banget fasilitas lengkap oke banget dehh⭐️⭐️⭐️⭐️⭐️ pokoknya next time pasti bakal kesini lagi sih😍",5
17, The Wakanda A Pramana Experience,"Ini tempat terbaik yg pernah tak datengin💖 pelayanannya super duper ramah, sekali dateng kesini nagih banget pengen lagi nginep disini, fasilitas lengkap tempat bersihh, makanan enakk bumbunya pas,pool nya luass",5
18, The Wakanda A Pramana Experience,"The best place and service, view sangat asri dan cantik, nuansa pedesaan tp konsep tdk ketinggalan jaman. Pkoknya suka bgt stay disini, kolam berenang luas dgn view sawah, kamar luas dan nyaman, pelayasan sangat baik . Klo ad waktu psti bakal balik lagi like it😍😍😍",5
19, The Wakanda A Pramana Experience,"Tempat yang sangat estetik,pelayanan ramah kamar bersih,luas dan wangi, D tiap hari Kamis terdapat penyambutan tamu dengan cara memberi air penglukatan dan bije khas Bali,pengalaman yang sangat menyenangkan Kolam renang sangat luas dan bersih d tambah pemandangan persawahannya,sangat wort it,makanan dengan harga yang sangat terjangkau dan juga resto bersih dan nyaman",5
20, The Wakanda A Pramana Experience,"good experience, semuanya serba baru, super comfy bener"" enak banget dah nginep disini klo ke ubud wajib nginep disini sayang ga coba spa nya but next time mau coba spa nyaaa😍😍 next time juga mau nginep disini juga hehehehe",5
