,hotel,review,stars
0, Tirta Sari Bungalows,"Saya menginap di Tirta Sari selama 5 malam sewaktu melakukan perjalanan sendirian pada bulan Januari (musim hujan), selama 2 malam di bungalow 'standar'  via Agoda, lalu diperpanjang secara langsung dan diupgrade ke bungalow 'superior' selama 3 malam.  Pertama untuk memahami daerahnya, Pemuteran adalah pantai yang sangat terisolasi dengan sekelompok resor di pantai menuju ujung barat (ujung yang satunya dari Resor Matahari yang berkelas). Tidak banyak apa-apa di kota - hanya komunitas nelayan dan petani dengan warung-warung di tepi jalan dan indekos dan desa nelayan di pinggir laut, dan sekelompok kecil resor dekat pantai, dengan harga yang bervariasi. Saya juga menginap semalam di Lovina dan saya jauh lebih memilih Pemuteran - pantainya jauh lebih bagus, tertata dengan indah…",5
1, Tirta Sari Bungalows,"Resor ini memiliki 16 bungalo bersebelahan satu dengan lainnya yang mengitari sebuah kolam renang besar dan restoran. Lantainya begitu indah dan dibutuhkan hanya dua menit berjalan kaki menuju pantai. Air lautnya tidak begitu bagus untuk berenang, namun Anda dapat menyaksikan para nelayan bersiap pergi memancing dengan perahu mereka. Layanan sarapannya cukup lambat, porsi makanan sedikit, dan rasanya kurang lezat. Perjalanan menuju dermaga kurang dari 15 menit dan lahan parkirnya luas. Anda juga dapat membayar sedikit lebih mahal per orang untuk minta dijemput dari resor Anda menggunakan minibus.",4
2, Tirta Sari Bungalows,"Tempat ini adalah surga kecil di Pemuteran. Taman terawat dengan baik, itu adalah tempat yang indah - seperti kebun raya kecil. Area kolam juga bagus dengan cukup sunbeds (di musim puncak mungkin tidak cukup untuk semua orang). Kita bisa memiliki telur, nasi goreng atau panekuk untuk sarapan - buah-buahnya luar biasa. Mangga untuk jus diambil dari pohon mereka sendiri. Pantai berjarak sekitar 1 menit berjalan kaki, dan ada sekitar 8 sunbeds yang dapat Anda gunakan. Bungalo itu sangat bagus dengan outdoor shower dan toilet. Satu-satunya kelemahan yang kami kenali, bahwa AC itu sangat keras. Bagaimanapun, jika Anda ingin sepotong Bali nyata, ini adalah tempat untuk Anda!",5
3, Tirta Sari Bungalows,"Tempat yang bagus dekat dengan setiap tempat Pantai, mini market. restoran. warung. Kami akan tinggal selama 3 malam di tempat ini semua adalah yang terbaik. jadi jika Anda memiliki liburan di Pemuteran, jangan lupa periksa hotel ini, mereka akan sangat sedih",5
4, Tirta Sari Bungalows,"Kami menyukai semuanya - taman, kamar, makanan, sarapan, snorkeling di dekat Pulau Rusa, tetapi ketika kami pergi, kami menemukan bahwa 200 euro hilang dari dompet kami selama kami tinggal. . . Jadi kami kecewa. . . . . . . . . . seseorang bukan orang baik!",3
5, Tirta Sari Bungalows,"Ikan terburuk yang pernah saya coba. Menunjukkan ikan dekat dengan panggangan di luar restoran, ikan yang kami dapatkan tidak datang dari panggangan saya dapat meyakinkan Anda. Ikan itu sangat kering dan rasanya tidak ada, tidak akan merekomendasikan kepada siapa pun",1
6, Tirta Sari Bungalows,"Kami tinggal di sini 3 tahun yang lalu dan karena itu cocok dengan kami, kami tinggal lagi. Lokasi sangat bagus, bisa snorkeling di pantai setiap hari. Kolam renang dan taman rapi seperti bungalo. Bagus untuk melihat botol-botol air gelas. Staf ramah seperti biasa.",5
7, Tirta Sari Bungalows,Benar-benar menikmati menginap di Tirta Sari. Lokasi sangat bagus - hanya satu menit dari proyek pantai dan penyu dan beberapa menit dari Mini Mart di jalan utama yang nyaman karena air tidak disediakan. Taman-taman indah dan kolam renang. Ini adalah hotel / resort kecil yang cocok untuk saya. Staf semua sangat ramah dan membantu. Hanya satu hal - tidak ada lemari es di kamar dan Anda benar-benar membutuhkan kulkas untuk menjaga air dingin meskipun itu bukan masalah utama karena jus segar tersedia sepanjang waktu. Akan kembali.,5
8, Tirta Sari Bungalows,"Saya menginap di sana selama 2 malam. Saya meminta kamar yang tenang. Sebagai ganti kamar superior saya mendapatkan sebuah kamar standar, karena ini adalah daerah yang tenang dari hotel. Kamarnya sangat kecil dengan AC yang berisik. Di 6:00 musik keras mulai datang dari restoran mereka yang kedua yang terletak di jalan. Pada pukul 7 malam, musik live performance dimulai. Manajer tidak mempunyai waktu untuk bertemu dengan saya karena dia terlalu sibuk dengan restoran. Pada hari Minggu malam ada pesta pantai. Semua ini untuk menikmati tamu mereka. Tetapi tamu yang lebih memilih tempat yang tenang untuk liburan mereka tidak diterima. Hotel ini tidak terletak di pantai. Saya merasa seperti terkunci di hotel ini.",2
9, Tirta Sari Bungalows,"Kami hanya memesan tur ke sini, bakau itu adalah tur mahal tapi sayangnya tidak sepadan sama sekali. Kami mendapat transfer ke sebuah tempat di pinggiran kota Pelabuhan Gilimanuk, yang dipimpin oleh seorang pria di sepeda motor. Kami harus menunggu untuk naik kapal yang datang dan menjemput kami. Kemudian di hotel, mereka mengatakan bahwa tiket masuk ke taman nasional dibeli di muka. Tapi kami tidak pernah melihat pintu masuk ke taman, atau informasi apapun tentang hal ini dalam cara apapun. Pemandu mari kita dari sebuah pulau yang kotor dan berkata: lima kata tentang bakau dan menunjukkan beberapa birdies. Rupanya itu adalah salah untuk melihat sesuatu, ombak yang tidak kami memutuskan waktu. Mereka. Secara keseluruhan, tur yang mahal, rasa adalah bahwa kami membayar biaya…",2
