,hotel,review,stars
0, Toyabali,"resor yang sangat tenang, kamar yang nyaman, kamar mandi luas, makanan yang baik - sarapan datang dengan piring buah dan roti panggang, pemandangan yang sangat menakjubkan - gunung di belakang, matahari terbit dari restoran, gaya kolam renang tanpa batas. tempat yang bagus untuk bersantai dan liburan beberapa hari. mereka menyediakan layanan pijat, sirip untuk snorkeling. Sayang sekali wifi tidak mencapai kamar saya, dan terkadang cermin ukuran penuh diperlukan",5
1, Toyabali,"Toyabali adalah tempat yang menakjubkan untuk menginap. Kami memiliki 4 hari yang indah di hotel. Kolam infinity itu sempurna. Dengan maksimal 5 pasangan membuat tempat ini terasa istimewa. Suami saya menyelam selama 3 hari yang diselenggarakan oleh wanita yang menjalankan hotel ketika kami tiba. Tidak ada yang terlalu banyak untuk staf, semua yang kami minta disediakan dengan senyum. Makanannya enak, kami makan sebagian besar di hotel dan harganya cukup masuk akal. Bungalo yang indah dengan pancuran luar yang fantastis, kami juga memiliki jacuzzi sendiri. Kamar bersih dengan mini bar dan lemari es dan juga brankas. Berharap untuk kembali suatu hari nanti.",5
2, Toyabali,"Telah menginap terbaik di Toyabali. Kamarnya luar biasa dengan pemandangan indah ke taman dan hanya beberapa meter dari kolam renang tanpa batas. Kamar mandi pribadi semi-outdoor yang indah lengkap dengan shower di bawah bintang-bintang dan taman (bak mandi dan toilet tertutup). Staf yang luar biasa - sangat ramah dan membantu. Mereka mengatur transfer untuk kami ke bandara, sopir untuk perjalanan lebih pendek ke Amed, pijat dalam ruangan dari inisiatif bisnis lokal, dan perjalanan sehari yang indah ke Pura Besakih Mother dan taman air Tirta Gangga. Makanannya juga sangat enak (sebagian besar adalah orang Bali, tapi kami menemukan banyak pilihan untuk makan di sana selama kami tinggal selama seminggu). Satu-satunya downside adalah tokek bodoh yang terus berbicara kepada kami di…",5
3, Toyabali,Tempat ini adalah harta terpendam. Ini sangat pribadi dan sangat cocok untuk liburan scuba diving pasangan itu. Saya berharap saya telah merencanakan lebih banyak waktu untuk menyelam karena ini adalah lokasi yang indah. Mungkin saya harus kembali suatu hari nanti! !,5
4, Toyabali,"Cuma wow! Tempat ini luar biasa, ya lebih mahal daripada kebanyakan namun batas 5 pasangan hanya pada satu waktu membuat tempat ini istimewa dan tenang. Fantastis dilihat, makanan dan layanan, tempat menyelam di pintu depan. Kami akan kembali karena tempat ini luar biasa. Surga terbaik di bumi!",5
5, Toyabali,"Kami menghabiskan waktu yang sedikit lebih dari seminggu di Toyabali, dan ini adalah akomodasi yang paling menakjubkan yang pernah kami alami. Dari tempat tidur kami, kami bisa melihat laut, dan juga taman yang indah di sekitar resor dan kolam renang. Hotel ini sangat bersih (cleaning service yang ditawarkan setiap hari, yang dilengkapi dengan bunga segar), dan kamar mandi terbuka dengan bak mandi air panas membuat kamar menjadi lebih spesial. Para staf sangat membantu, selalu tersenyum. Walaupun bukan yang terbaik, tapi juga Inggris menambah keajaiban tempat :) makanan adalah yang terbaik yang kami punya di seluruh Bali, dan juga cukup murah (dibandingkan dengan harga Eropa) . Area kolam renangnya hanya sebagai terpelihara dengan baik karena seluruh resort. Karena hanya ada…",5
6, Toyabali,"Setelah perjalanan ""sopir dari neraka"" lain dari Nusa Dua ke Tulamben kami akhirnya tiba di resort kami, Toyabali Tulamben. Saya tidak tahu apakah itu hanya kami dengan driver ini, tetapi mereka pasti tidak seperti itu. Saya tidak cukup mendapatkan 110 km jam di gigi keempat dengan deru mesin, tetapi itu biasa. Ketika saya mengatakan tiba, itu cukup jalan / trek yang menarik dari jalan utama menuju resor. Persempit, memutar jalan menuju perubahan haluan besar dan kemudian menuruni jalan yang sangat sempit dengan para pengemudi yang mengawasi dengan ketakutan untuk kaca luarnya sampai kita mencapai ujungnya - laut. Tidak ada papan nama, hanya jalan beton sempit di sepanjang pantai yang saya duga adalah jalan masuk. Kami keluar ke daerah rumput dengan dua jalur menanjak. Di bagian…",4
7, Toyabali,"Saya mendapatkan kesenangan dari 6 hari menginap di Toyabali dan sangat menyenangkan. Empat tempat tidur dan Jacuzzi yang besar berbentuk hati agak terbuang untuk solo traveler tapi kami menikmati yang sama.  Jauh dari keramaian yang membuatnya sulit untuk ditemukan jika anda tidak tahu di mana itu; tempat yang damai dan indah untuk menghabiskan liburan anda.  Bahkan jika anda tidak tinggal di sana, hotel ini layak untuk menikmati makan malam di restoran kecil yang unik dan menonton matahari terbenam.",5
8, Toyabali,"Bungalow yang luar biasa. Akomodasi yang sangat luar biasa. Staf yang ramah & hangat hadir untuk setiap kebutuhan Anda. Ruang makan dan kolam renang menghadap laut di depan pintu mereka. Sangat dekat ke wreck menyelam di Tulamben. Makanannya segar dan sangat dipersiapkan dengan baik. Secara keseluruhan, sebuah pengalaman yang fantastis",4
9, Toyabali,"Saya menginap di bungalow pantai ini Villa untuk 3 malam untuk snorkeling. Tempat ini sangat tenang dan didekorasi dengan indah. Saya menginap di salah satu dari lima bungalow, bernama Amy, dan ditata dengan rapi dan nyaman. Ada sebuah taman di sekelilingnya, jadi anda mendapatkan banyak hal-hal yang indah untuk privasi + melihat duduk di tempat tidur anda sendiri. Ini adalah di dalam dan wastafel kamar mandi berada di luar kamar mandi/, bersama dengan sebuah bak mandi penuh dengan air dingin. Pemandangan yang tidak bisa lebih menakjubkan. Saya memiliki semua yang saya makan di sini dan mereka semua dipersiapkan dengan baik dan lezat. Di malam hari setelah gelap saya duduk di recliner mereka sangat nyaman di teras depan dan melihat bintang-bintang dan mendengar suara laut.…",5
10, Toyabali,Tidak tinggal di sini tapi dianjurkan untuk makan. Mudah nilai terbaik untuk uang di makan begitu jauh di seluruh Indonesia. Dan pandangan yang spektakuler. Aku punya dada ayam dengan saus jamur. Datang dengan salad dan sayuran. Lezat.,5
11, Toyabali,Sayangnya kami hanya makan di sini sekali tapi berharap bisa lebih. Makanan yang sangat baik dan layanan. Besar nilai untuk uang. Lokasi indah dan resor tampak luar biasa. Sangat merekomendasikan tempat ini jika Anda pernah di Tulamben.,5
12, Toyabali,"Tinggal di sini selama satu malam. Lokasi adalah menakjubkan, tempat berjemur dan kolam renang yang menghadap ke laut. Dikelilingi oleh tanaman tropis yang indah di pondok tersembunyi di seluruh taman. Pondok itu sendiri adalah luar biasa, pancuran luar ruangan amat menyenangkan! Satu hal yang membiarkan turun adalah pondok benar-benar tidak nyaman dan berisik tempat tidur dilengkapi dengan bantal yang sangat wangi tidak bagus ketika mencoba untuk tidur!  Sarapan adalah buah dan roti untuk saya (vegetarian) yang sangat baik. Tidak ada yang khas pada menu jadi kami harus makan malam di tempat lain tapi itu tidak masalah karena pemandangan laut di jalan tidak biasa Mie Indonesia.  Staf yang ramah dan membantu Dan Lucu Kucing yang berisik di Sarapan adalah memperlakukan tambahan!",4
13, Toyabali,Kami menginap di resor kecil selama malam pertama kami di sepanjang - perjalanan ke Bali dan kami benar-benar menyukai tempat ini! Bungalow yang sangat baik dilengkapi dan memiliki kamar mandi luar yang bagus. Anda dapat menikmati pemandangan laut yang luar biasa dari restoran dan kolam renang. Staf adalah sangat baik dan kami menyukai suasana pribadi. Menyewa sepeda motor dan mengatur transfer yang sangat baik yang sangat rumit. Terima kasih banyak untuk tinggal yang tak terlupakan!,5
14, Toyabali,"Mencintai toyabali hotel, dengan 5 atau 6 vila pribadi di laut. Ruangan itu sendiri adalah sangat besar dan baik ditunjuk. Dengan bak mandi luar ruangan yang fantastis dan sejuk. Staf yang selalu membantu dan ramah. Dapur kecil memiliki menu yang terbatas namun selalu lezat",4
15, Toyabali,"Toyabali Beach Bungalows di berada di lokasi terbaik di Tulamben. Laut tepat di depan dipenuhi dengan beraneka ragam ikan tropis. Anda dapat benar-benar berjalan keluar depan, mengenakan masker, snorkel dan kaki katak dan melihat ikan 2 kaki dari pantai. Tepat di samping sebuah bangkai kapal karam Toyabali anda bisa menyelam atau snorkeling di. Lagi dekat ke pantai sehingga Anda tidak perlu untuk mengambil perahu untuk melihat itu, Anda dapat berenang di luar. Ini adalah yang terbaik snorkeling pernah saya alami belum. Toyabali untuk makanan di restoran mereka sangat luar biasa! Everydish terbuat dari awal ketika Anda memesan. Kami makan di sini selama kami 4 hari tinggal secara eksklusif dan tidak pernah bosan makanan. Kamar sangat bagus dan bersih. Satu-satunya hal yang saya…",4
16, Toyabali,"Kami ingin tinggal 3 malam dan melakukan beberapa scuba diving di Tulamben, dan memilih akomodasi untuk memilih karena ada begitu banyak hotel dan resor di Tulamben, setiap memiliki lokasi yang sangat baik dekat dengan bangkai kapal SS Liberty yang terkenal, dan masing-masing memiliki ulasan yang sangat baik. Namun, kami sangat senang kami memilih satu ini pada akhirnya karena kami ingin sedikit kemewahan untuk memanjakan diri, bersantai dan ""mendapatkan jauh dari itu semua"" bukannya sedang ramai, murah - gaya akomodasi. Untuk harga yang sangat terjangkau dan kami mendapat bungalow pribadi yang menghadap ke taman indah dan laut, dengan 4 - mewah, bahkan spa di bungalo kami sendiri! Kami ingin mendapatkan jauh dari keramaian di atas - wisata Bali dan pergi ke suatu tempat tenang…",5
17, Toyabali,"Selama 2 minggu kami tinggal di Bali kami berubah 5 hotel. Semua hotel yang kami telah juga sangat baik dan di tengah kota - bagian atas - kategori kelas. Di Toyabali adalah yang terbaik karena di sini hanya semuanya sempurna! Besar, sangat rapi dan sangat nyaman villa, masing-masing pada sudut yang tersembunyi dengan taman kecil pribadi. Kamar mandi indah dengan ""cinta untuk detail"" dekorasi.  Restoran memiliki pilihan makanan kecil, tetapi semua yang lezat. Sarapan terbaik yang kami telah di bali (mencoba telur dadar dengan daging dan sayuran) dan kopi yang memiliki rasa asli kopi: )  Bagus kolam renang dengan melihat tampilan.  Bangkai Kapal adalah Hanya di Depan Hotel - memasang masker dan di sini Anda berada di tropis yang menakjubkan ""aquarium"".  Hotel yang saya inginkan…",5
18, Toyabali,"Kami menikmati tinggal di bungalow penise. Kamar yang besar dan luas kamar mandi di luar.  Makanan yang sangat baik dan harga yang wajar juga. Pemilik, pasangan Jerman, sangat baik dan ramah. Staf yang baik. Anda dapat menyewa sirip dan masker snorkeling dengan harga murah.   Apa yang mungkin tidak menemukan di Hotel deskripsi bahwa snorkeling kondisi sangat baik dan Anda dapat pergi ke air dan menikmati dunia bawah laut tepat di depan resor. Juga, bangkai kapal Liberty hanya 300 m ke kanan dan 30 m dari pantai, jadi Anda dapat berjalan atau berenang untuk menikmati itu.   Ini adalah lingkungan yang sangat santai dan tamu hotel lainnya (semua pasangan) sangat muda dan orang-orang sangat ramah.  Anda perlu untuk beruang dalam pikiran bahwa di samping snorkeling/menyelam dan…",5
19, Toyabali,"Tempat terbaik yang kami sudah pernah ke.   Bagus dan tenang, benar-benar pribadi bungalow dengan kamar mandi yang besar.  Semuanya adalah sempurna di Toyabali berpikir, itu hanya fantastis surga.   Mudah-mudahan itu akan tetap bagus dan cukup untuk waktu yang lama.   Berharap untuk kembali segera!   Raymond dan Jasmijn",5
20, Toyabali,"Terletak 5 - 6 menit berkendara dari sebagian besar situs menyelam terkenal di Tulambem. sangat secruded, luas, romantis dan sangat pribadi bungalow. Lingkungan yang bersih dan rapi namun terbatas fasilitas (kolam renang kecil, tidak ada TV, tidak ada fasilitas menyelam, tidak ada spa/pijat dengan menu makan yang sederhana). Cocok untuk pelancong yang mencari tempat liburan alam/pasangan. Tidak cocok untuk pencari kehidupan malam atau kelompok besar teman-teman/keluarga. Disarankan untuk menggunakan kendaraan untuk masuk/keluar dari bungalo kecuali jika Anda tidak keberatan tranpassed cukup berbatu dan jalan dalam gelap.   Layanan pelanggan terbaik rata-rata.",3
21, Toyabali,"Toyabali adalah salah satu tempat yang saya berharap saya akan memesan lagi. Pacar saya dan saya menghabiskan satu malam di sini karena kami pergi ke Tulamben untuk menyelam bangkai kapal. Pertama-tama, Toyabali terletak 100 meter dari pantai di bangkai kapal. Kolam renang dan daerah sekitarnya adalah indah dan baik untuk bersantai sembari menikmati minuman dingin pada apa pun yang Anda pilih. Matahari tempat tidur yang semua baru dan bersih tanpa jamur (yang jarang di Bali) dan membeli yang nyaman.   Kami menginap di bungalo Lina dan itu sempurna. Bungalow ini baru, dirancang dengan baik dan dilengkapi dengan baik. Kamar mandi di luar ruangan dengan air dingin jacuzzi sempurna dan kamar tidur sangat bersih dan cerah.   Makanan di restoran yang baik. Makanan lokal dengan…",5
22, Toyabali,"Aku tidak bisa memikirkan tempat yang lebih baik untuk tinggal toyabali hotel. Kita bisa hanya tinggal satu malam. Aku berharap aku bisa tinggal lebih lama di surga kecil ini.   Hotel ini terletak di area taman besar yang indah dihiasi dan dipertahankan, dengan hanya lima vila, sempurna untuk bersantai dan menikmati alam dan tenang. Restoran dan kolam renang adalah area umum di mana anda dapat bersantai dan membiarkan hari pergi oleh. Mereka memiliki bir terdingin yang pernah saya alami di seluruh perjalanan saya di indonesia. Dan hanya dua menit berjalan kaki dari bangkai kapal usat liberty. Hanya sempurna.   Kamarnya luar biasa! Seperti gambar-gambar, atau bahkan lebih baik. Besar, nyaman dan sangat bersih. Mungkin kamar terbaik yang pernah saya tinggal di. Jacuzzi pribadi di…",5
