,hotel,review,stars
0, Villa Nirwana,"Tempat yang bagus! Layanan sangat baik dan ramah orang baik. Kami menikmati kami menginap di kolam renang pribadi yang nyaman :) Agak jauh dari jalan, jadi hubungi mereka untuk menjemput Anda dengan kereta golf mereka jika Anda datang dengan taksi.",4
1, Villa Nirwana,"Apa tempat yang menakjubkan untuk tinggal. Kamar tempat tingkat atas. Staf di mana tingkat atas. Nilai untuk uang adalah tingkat teratas. Saya akan tinggal di sini lagi tanpa keraguan. Kolam renang yang indah, jalan bagus ke kota, semuanya sempurna.",5
2, Villa Nirwana,Properti yang indah tetapi sedikit menantang untuk mendapatkan terlalu (tapi bonusnya tenang) Saya sangat terkesan dengan colokan USB di kamar (tidak ada lagi yang memperjuangkan steker listrik internasional yang harus kami bawa bersama) Villa bersih dan luas dan stafnya ramah. Bantal sangat lembut dan kolam bagus dan dingin. Restoran mendapat angin indah dan makanan enak.  Kami akan kembali!,4
3, Villa Nirwana,"Tempat itu adalah surga murni, dekat dengan jalan bisnis utama Ubud. Villa hingga harapan dan kami menikmati kolam meskipun cuaca agak dingin untuk kolam renang. Itu nyaman, dan hangat.  Staf sangat ramah dan responsif. Sarapannya enak tapi mungkin tidak cocok untuk semua orang, rempah-rempahnya kuat untuk sebagian orang.  Jika Anda membenci tokek pastikan untuk meminta staf untuk menempatkan ""baygon"" di kamar mandi dan di pintu masuk ruangan.  Sederhananya, itu menyenangkan dan ditempatkan dengan sempurna jika Anda bersedia berjalan.",5
4, Villa Nirwana,"Staf luar biasa, layanan luar biasa, dan sama baiknya dengan Komaneka $ 300 / hari yang mahal. Satu-satunya hal yang orang harus tahu adalah bahwa mendapatkan taksi dari Villas membutuhkan lima menit berjalan / dua menit perjalanan kereta pada siang hari (dalam satu arah) dan sepuluh menit menanjak / menuruni banyak tangga di malam hari ( arah lain). Pada malam hari, Anda mungkin akan turun di lokasi terakhir karena lokasi pertama sulit dijangkau untuk taksi, jadi bersiaplah untuk tangga itu.  Ini bukan masalah bagi kami karena kami telah menghabiskan seluruh liburan.",5
5, Villa Nirwana,"Oasis santai yang sempurna. Villa Nirvana persis seperti itu, sepotong kecil surga. Kami tinggal di villa 1 kamar tidur Ananda. Vila memiliki kolam renang pribadi besar, tempat tidur ukuran raja yang indah dan banyak ruang. Ini damai karena hanya dapat diakses dengan berjalan kaki atau bersepeda dan tidak menarik banyak lalu lintas. Sarapan termasuk dan memiliki variasi yang bagus. Kehijauan dan kehidupan burung hanyalah kelebihan lainnya. Staf yang luar biasa ingin membantu dengan cara apa pun yang diperlukan. Saya akan sangat merekomendasikan.",5
6, Villa Nirwana,"Kami selalu menyukai hotel yang tidak melindungi harga dirinya. Jika Anda menyebut diri Anda Villa Nirvana, maka Anda sebaiknya menjadi Nivana. Dan itu. Ini adalah hotel paling Nirvana - esque yang pernah kami masuki. Hotel ini kecil tanpa bijou, cerdas tanpa menjadi cantik, nyaman tanpa menyesakkan nafas dan mahal tanpa ... yah, tanpa malu. Makanannya sempurna: Indonesia - Bali - dan disajikan seolah layanan adalah panggilan. Hal-hal yang seharusnya menjadi panas menjadi panas; dan hal-hal yang harus didinginkan menjadi dingin. Kopi itu intens; dan sarapan pepaya matang (dan kombinasi rasa yang mereka sajikan bersama). Kami juga harus menyebutkan kolam renang yang tergantung pada pemandangan yang kami inginkan seperti Bali.  Sekarang, beberapa kiat untuk membuat masa menginap…",4
7, Villa Nirwana,"Kami datang ke sini pertama kali pada tahun 2016 dan sangat menyukainya kami memesan lagi selama seminggu ketika kami kembali ke Bali. Aku punya kekhawatiran yang berlalu bahwa mungkin itu tidak sesuai dengan ingatan atau mungkin itu tidak dipertahankan. Benar-benar tidak berdasar! Jelas bahwa mereka telah secara terus menerus dan cermat memelihara dan meningkatkannya. Kami tinggal di villa pribadi dengan kolam renang dan itu adalah retret pribadi yang sempurna untuk Hari Nyepi. Semuanya bersih. Perabot Bali modern dengan detail tradisional. Banyak detail tambahan, termasuk layanan penyiapan tempat tidur, obat nyamuk, jubah, buah segar di kamar.  Villa ini berada di lingkungan Ubud yang indah bernama Penestanan yang memiliki banyak studio dan seniman yoga. Itu di jalan yang…",5
8, Villa Nirwana,"Saya dan mitra saya akan kembali setidaknya untuk ke-7 kalinya menginap di Villa Nirvana bulan ini dan membawa pasangan lain untuk berbagi pengalaman hebat. Akan luar biasa untuk bertemu dengan staf yang ramah lagi dan untuk menikmati fasilitas fantastis termasuk suite besar bersih yang indah dengan kolam renang pribadi. Berjalan kaki ke kota dan jika saya tidak punya energi maka selalu ada seseorang dengan wajah tersenyum siap untuk mengatur transportasi ke kota dan juga wisata. Kami terakhir di sana untuk Festival Penulis dan Pembaca dan memiliki banyak hal yang harus dilakukan tetapi kali ini kami akan menikmati suasana yang indah, ketenangan, hari-hari malas yang tenang dan pijat yang fantastis. Sekali lagi terima kasih atas cara Anda memperlakukan saya dan teman-teman saya…",5
9, Villa Nirwana,"Jika Anda mencari vila-vila yang indah, damai, dan berkualitas tinggi yang terletak di ketinggian di desa seniman terkenal di Ubud, tidak ada yang lebih baik daripada Villa Nirvana. V dihias dengan selera tinggi, staf yang sangat ramah dan efisien, restoran yang hebat dan spa di lokasi, akses mudah ke pusat Ubud. Sangat merekomendasikan properti ini, kami pasti akan kembali. Terima kasih satu juta Villa Nirvana, Anda cantik",5
10, Villa Nirwana,"Kami adalah keluarga dengan 4 dan menginap 5 malam di Villa Nirvana. Ini adalah tempat yang indah, resor kecil dengan benar-benar layanan yang bagus. Kami mendapatkan villa dengan dua kamar tidur dengan kolam renang pribadi, dan menyukainya. Kami juga memesan tur sehari penuh di mana salah satu staf mengantar kami berkeliling. Dia sangat ramah dan berbagi pengetahuan tentang Bali-nya. Saya sangat merekomendasikan Villa Nirvana. Tempat ini merupakan tempat yang tenang dan bagus oasis di tengah-tengah Ubud yang sibuk.",5
11, Villa Nirwana,"Kami menginap di 2 tempat tidur yang baru direnovasi 'Villa Om' yang dilengkapi dengan kolam renang pribadi, yang sangat indah. ( 2 orang dewasa dan 17 tahun). Kamar yang indah dan kolam renang yang mewah! Tamannya indah, rapi dan subur, dan menciptakan privasi di antara vila ini. Staf yang sangat baik, peduli dan lembut, terutama koki yang pergi keluar untuk menyiapkan hidangan khusus untuk kami salah satu Bali malam hari. Menu makan malam bervariasi dan enak, akhirnya kami makan di sana setiap malam! Vila ini terletak di sebuah jalan yang tidak ada mobil (hanya dengan beberapa sepeda motor di siang hari) jadi tenang dan jauh dari keramaian dan hiruk pikuk pusat kota Ubud. Pada saat yang sama, sangat mudah untuk berjalan kaki menyusuri jalan dan kemudian ke kota langkah ( 15…",5
12, Villa Nirwana,Keluarga kami menginap di Villa Nirvana September tahun lalu dan kami mendapatkan liburan yang menakjubkan.  Kami semua setuju ini adalah tempat terbaik yang pernah kami menginap - kami upgrade ke dua villa yang luar biasa yang berbagi kolam renang yang luar biasa yang kami semua suka.  Vila-vila yang semua set di taman yang subur dan staf yang sangat membantu dan ramah.  Kami makan di restoran tapi juga menikmati menjelajahi daerah sekitarnya. Tempatnya sangat tenang namun hanya berjalan kaki sebentar ke keramaian dan hiruk pikuk Ubud.  Kami tidak ingin meninggalkan tempat ini dan akan senang untuk kembali lagi segera!  Terima kasih untuk liburan yang menakjubkan yang akan kami ingat untuk selamanya!,5
