,hotel,review,stars
0, Zest Hotel Legian,"Hotel di dekat pantai yang ok. Harganya cukup murah tetapi masih ok bgt. Kamar nya di bersihkan tiap hari, makanan lumayan murah dan enak. Kolam renang di rooftop dengan pemandangan pantai. Pelayanan nya super",5
1, Zest Hotel Legian,"Liburan sangat menyenangkan di zest hotel. Kamarnya bersih, makanannya enak enak. Kolam renang di atas cantik bisa lihat matahari terbenam. Pelayanan nya sangat ramah dan membantu. Terima kasih buat MB Lidia yang udah banyak membantu dan memberikan kami saran dan masukan selama berlibur di Bali. Beneran puas sama zest :)",5
2, Zest Hotel Legian,"Fasilitas memadai Staff ramah tamah Hotelnya sungguh bersih dan pool lngsung menghadap view pantai ,kenyamanan sangat diutamakan di hotel ini dan ada juga view pantai dan roff top menghadap view pantai",5
3, Zest Hotel Legian,"Fasilitas hotelnya sangat lengkap dengan poll berada di rofftop dan memiliki pemandangan langsung ke pantai kuta dengan sunset yg menawan, serta dengan pelayanan yang sangat ramah yg membuat pengunjung merasa nyaman",5
4, Zest Hotel Legian,"Pelayanannya bagus, ramah dan memuaskan. Kamarnyaa bersih dan nyaman. Viewnya ada gunung tadi. Pasti balik lagi kesini. Lain kaliharus coba poolnya bagus banget sayang tadi hujan 😭😭. Thank you Zest Hotel",5
5, Zest Hotel Legian,"Zest Legian, salah satu hotel Zest bertema warna hijau yang mempunyai fasilitas kolam renang. Letaknya di roof top loh guys 😍 hotel ini juga menyediakan flowing breakfast dengan harga terjangkau. Selain itu, makanan minuman juga enak serta lokasi nya strategis 😁👍",5
6, Zest Hotel Legian,"Hotel nya bagus, bersih, pegawainya ramah Makanan nya enak enak banget  Dekat dengan object wisata  Dan kolam berenang nya makyussssssss keren banget Pokok nya ini hotel kece bgt  Bikin nyaman Dan Aku pasti akan kembali kesini",5
7, Zest Hotel Legian,"Dengan tarif terjangkau, Zest Legian memang pilihan yang sangat sip dengan berbagai fasilitasnya. Areanya yang juga dekat dengan pantai memudahkan pengunjung untuk beredar mengelilingi atau sekadar berjalan-jalan.   Pelayanannya juga terbaik.",5
8, Zest Hotel Legian,"Hotel ini mempunyai maintenance yg bagus, dr segi kebersihan kamar, bed, kamar mandi, handuk hingga bantal terjaga. Staff ramah dan humble ke tamu,harga reasonable dan dekat dengan pantai.Resto jg menawarkan menu-menu yg variatif dan terjangkau. Kolam renang sangat indah di lantai paling atas. Perfect",5
9, Zest Hotel Legian,Liburan di Bali beberapa hari dan baru pindah ke zest di hari terakhir. Zest bersih banget kamarnya dan makanan nya juga enak walaupun agak lama. Servicenya jempolan.cocok untuk liburan bareng keluarga atau pasangan,5
10, Zest Hotel Legian,"Hotel Zest Legian selalu jadi pilihan saya jika menginap di sekitaran Legian... hanya 1km jarak dari pantai, harga terjangkau, pelayanan luar biasa, tidur nyaman. Makanan murah dan lumayan enak, view dri jalan raya langsung terlihat nice lobby, kolam renang di rooftop oke sekali dengan pemandangan yang luar biasa dan bisa lihat pantai dari atas",5
11, Zest Hotel Legian,"Fasilitas memuaskan, kamar nya bersih, makanan dan minumannya enak, pelayanan ramah, pokoknya recommended untuk nginap...lokasi yang dekat dengan pantai, menjadikan Zest Hotel tempat terbaik kalau mencari hotel budget di sekitar kawasan legian",5
12, Zest Hotel Legian,"Hotel Zest legian bali Top deh, bersih banget, handuk, sprey, kamar mandi semuanya putih bgt.stafnya ramahhhh bgtt. Kolam renangnya bersih bangt air nya, viewnya semua oke. Top deh. Desember sy kebali lagi sama keluarga besar. Pasti mampir. Terima kasih.",5
13, Zest Hotel Legian,"bagus sangat memuasakan, tempat bersih karyawan baik dan ramah  , makanan enak enak , teempat strategis, dekat dengan pantai, makanan murah murah ,akses dekat dengan tempat kerja, kolam renang bersih ..",5
14, Zest Hotel Legian,"Kamar nyaman dan bersih ac dingin, wifi cepat, staff ramah2 serasa di rumah sendiri parkir mobil mudah dekat ke pantai makanan hotel mantap dan harga terjangkau pokoknya jdi tempat favorite kalau ke bali lagi dan kolam renang ok banget view bagus dan asyik deh",5
15, Zest Hotel Legian,"Hotel minimalis yang mewah dan bersih. Di sambut dengan welcome drink dan staff yang super ramah. Kamarnya bersih, view balcon nya ke arah jalan. Dekat dengan pantai. Ada rooftp pool nya yang view nya keren.",5
16, Zest Hotel Legian,"Hotel bintang 2 dengan standard bintang 5. Bener bener puas dengan zest hotel Legian, dengan harga promo yang sangat murah tapi tidak mengurangi sama sekali kualitas kebersihan dan pelayanan dari staff staff nya. Highly recomended top bgt",5
17, Zest Hotel Legian,"Zest hotel best choose banget untuk liburan di Bali. Kamar nya bersih, makanan nya enak , poolnya affordable banget. Service nya super oke banget. Ramah dan fast response. Walaupun lagi sepi karna pandemic tapi tidak mengurangi kualitas sedikitpun. Semoga segera rame kembali ya zest See u next year",5
18, Zest Hotel Legian,Sangat menyenangkan dan penerimaannya sangat Ramah. Dan akan kembali Lagi ke Hotel Zest bersama keluarga dan menginfokan untuk teman teman menginap di Zest Hotel🇮🇩🙏🇮🇩🤲God Bless You ⭐⭐⭐⭐⭐⭐🌷🌏🤲Matur kesume✨♥️Astungkare,5
19, Zest Hotel Legian,"Hotel ini bagus,staffnya sangat ramah dan membantu,selama saya disana sangat memuaskan apalagi  rooftop tempat yang saya suka dan lokasi yang sangat strategis,kamar bersih dan kamar tidurnya sangat nyaman, Pokoknya kalau ke Bali stay di hotel zest lagi",5
20, Zest Hotel Legian,"Pergi berlibur bersama keluarga dan menginap di Zest hotel, so cozy di sini. Kebersihannya terjaga dan saya suka welcome drink nya. Easy to check in dan pelayanannya super ramah banget. Rekomen banget pokok nya di sini",5
