,hotel,review,stars
0,Aksari Resort Ubud by Ini Vie Hospitality,Birthday trip bersama keluarga di aksari resort ubud adalah pengalaman yang menyenangkan mulai dari staff yang friendly view forest yang sangat natural dan banyak activity yang bisa kita ikuti seperti yoga clas live music dan banyak lainya pokoknya recomended banget yang mau stay bareng keluarga atau pasangan deh🥰🥰🥰,5
1,Aksari Resort Ubud by Ini Vie Hospitality,"Pengalaman honeymoon yg tak terlupakan, dari room dengan private pool dan suprise gift dr pihak hotel. Juga service yg sangat mengesankan dari semua staff juga makan di restoran ANKHUSA  dan KOJIN yg sangat enak",5
2,Aksari Resort Ubud by Ini Vie Hospitality,Hotelnya sangat bagus dan luas. Karyawan hotelnya juga sangat ramah dan sopan. Kamar kami berhadapan dengan hutan dan itu indah sekali saat bangun pagi langsung dengar suara burung dan suara air di sungai.  Sayangnya kami hanya tinggal 1 malam saja. Next time akan datang lagi dan tinggal lebih lama lagi.,5
3,Aksari Resort Ubud by Ini Vie Hospitality,"Beautifull hotel,  kami sangat menikmati pengalaman menginap 4 malam di sini. Makanan di restoran sangat lezat erutama di restoran Kojin. yoga class juga luar biasa dengan pemandangan hutan yang indah. Tidak ada komentar lagi, kami pasti akan kembali",5
4,Aksari Resort Ubud by Ini Vie Hospitality,"Staffnya ramah-ramah, baik dan sat set sat set sigap bikin kita nyaman, makanannya enak, kamarnya bgersih dan rapih, dan paling seru banyak spot buat foto2. Keren banget sih pokoknya resort yang satu ini.",5
5,Aksari Resort Ubud by Ini Vie Hospitality,"The staffs are super amazing and helpfull. Hospitalitynya super banget. Kamar dan fasilitas sangat rapih, bersih, dan viewnya bagus banget langsung ke alam. Poolnya juga bersih dan banyak spot bagus untuk foto",5
6,Aksari Resort Ubud by Ini Vie Hospitality,"Resort yg sangat nyaman, modern dan hampir semua tempat instagrammable. Dua anak sy memberi nilai 10 untuk skala 1 - 10, pasti akan kembali untuk lebih lama stay dan merekomendasikan ke teman dan keluarga besar",5
7,Aksari Resort Ubud by Ini Vie Hospitality,"Tempat nya keren, staff nya ramah , kita enjoy banget disini makanan nya juga enak, best place untuk healing di bali , sempet cibain spa nya juga disini wajib banget kesini kalo keBali bakal kesini lagi soon bawa keluarga besar",5
8,Aksari Resort Ubud by Ini Vie Hospitality,"Puas banget..recommended banget..suasana tenang disini,tempatnya bersih,udara juga bersih..pelayanannya juga baek-baek..kapan-kapan kalo ke bali dan pas ada promo mau menginap disini lagi..tengkiu aksari resort",5
9,Aksari Resort Ubud by Ini Vie Hospitality,"Secara keseluruhan nyaman, staffnya sangat sopan dan ramah. Cocok sangat untuk couple yang pingin honeymoon / refreshing Ada banyak aktivitas di setiap harinya Makanan di restoran best deh di banding yang lain",5
10,Aksari Resort Ubud by Ini Vie Hospitality,"nemu aksari di ig keliatajya instagramable banget jadi nyoba stay mungpung masih di ubud,nyampe di aksari memang bener dah spot fotonya banyak tempatnya chill banget staff rama kamar bersih  staff super friendly dan helpful bli kyusa sangat helpful",5
11,Aksari Resort Ubud by Ini Vie Hospitality,"Kamar nyaman bersih, petugas ramah sekali, viewnya mantap, lingkungan resort juga nyaman dan bersih, spot foto2 nya banyak sekali, ada tmpt yoga, bisa bersepeda ria, ruang tunggu lobby sangat santai dan elegant terima kasih beli kiusa",5
12,Aksari Resort Ubud by Ini Vie Hospitality,"Puas banget selama stay di Aksari Resort, tempat bagys nyaman, asri pemandangannya cocok banget deh buat yg pengen staycation di ubud, rekomendasi pokoknya  Terimakasih untuk bli Kiusa dan mbo Ida udah bantu kita selama stay disini Ditunggu kedatangan kita lagi ya next time.... see you Thank you Aksari😊",5
13,Aksari Resort Ubud by Ini Vie Hospitality,Sangat menyenangkannn stay di sini..pemandangan dan resort yg sangatt indah dan mengagumkan...kami akan balik lagi jika ke balii..pelayanan yg sangat baik dan sangat sangat ramahhh...ga ada satu staff pun yg tak ramahhh...pengalaman yg tak akan terlupakan pokoknya deh..happy..happy..happy...tempat yang indahhh...🥰🥰🥰🥰,5
14,Aksari Resort Ubud by Ini Vie Hospitality,Pelayanan bagus dan ramah (padni dan desak).. Nuansa pemandangan bagus dengan suasana alam hutan..  Kojin resto di sana juga enak..  Fasilitas juga sudah mendukung dan wifi lumayan cepat.  Sudah ada alexa robot pintar dan smart tv,5
15,Aksari Resort Ubud by Ini Vie Hospitality,"Tempatnya nyaman sekali .. fasiliasnya juga lengkap ada jacuzzi restaurant jepang juga, jadi tidak perlu kelua lagi, hotelnya juga agak jauh dari kota, cocok yang mau relaxing disini, view forestnya yang megitu memanjakan mata  ditambah kamarnya yang bagus dengan view kolam  ada alexa pula di room staffnya juga helfull banget @padmi @wahyuni dan @ida  thank you Aksari",5
16,Aksari Resort Ubud by Ini Vie Hospitality,"Verrrryyyy comfy and romantic 🥰😍🤩🥰😍🤩🥰🤩🤩   View nya bagus, staff staff nya semuanya ramah dan membantu selama kita disana. Fasilitasnya lengkap untuk kamar. Semoga next bisa kesini lagi..   @Padmi (untuk stafffnya)",5
17,Aksari Resort Ubud by Ini Vie Hospitality,"Pengalaman baru untuk melihat Bali dari sisi lain Lokasi yg benar2 di pedalaman dengan lingkungan yg masih alami,cocok untuk healing,kamar luas,pelayanan bagus,tersedia area parkir yang luas,dan infinity pool nya bagus untuk spot foto",5
18,Aksari Resort Ubud by Ini Vie Hospitality,Pelayanannaya super bagus disini... Selain view resortnya yang sangat indah dn suasanaya yang sejuk dan nyaman...  Membut stya sehari sangat kurang Fasilitasnya yang lengkap  Restuarant ada jepang juga  Gym  Dan spa juga  Membuta tidk perlu kemana mana lagi  Thank you mbak padmi sudah sangat membantu,5
19,Aksari Resort Ubud by Ini Vie Hospitality,"Hotelnya sangat indah, viewnya juga dan pelayanan staffnya sangat ramah dan cepat responnya. Fasilitasnya lengkap restoran, spa dan gym.  Terima kasih aksari resort ubud Terima kasih mba padmi, mba ida, mba diah",5
20,Aksari Resort Ubud by Ini Vie Hospitality,"Aksari ubud emang best pokoknya stay 1 malam gak cukup pengen ketagihan lagi, lain waktu akan balik lagi ke sini karena dari awal check in sampai check out dilayanani dengan baik staff di sini juga ramah ramah terimaksih mba diah dan tidak lupa juga aksari😍😍",5
21,Aksari Resort Ubud by Ini Vie Hospitality,"Aksari ubud emang best untuk yang honeymoon, gak cuma yang honeymoon untuk keluarga juga sangat bagus dari muali check in sampai check out pelayanannya sangat oke terimakasih aksari sudah membari best staycatiin kepada kami tidak lupa juga mba diah atas pelayanan nya🥰🥰",5
22,Aksari Resort Ubud by Ini Vie Hospitality,Super duper kerennnn bgttt Suka selama stay disini dan kita bakal balik lagi😭 Selama disini dilayani dengan sangat baik dengan staffnya Makanannya juga oke dan enakkk Foto juga keren kalo disini karena banyak spot Apalagi difotoin sm Mba Desak😆😆❤ Tunggu kedatangan kita next time ya ❤,5
23,Aksari Resort Ubud by Ini Vie Hospitality,Stay dengan keluarga di tipe Suite Forest View sangat bagus dan kamarnya juga luas😁😆😆 Syaa senang dengan pelayanannya yang bagusdari staffnya terutama mba desak🥺🥺 Ditunggu kedatangan kita lagi ya 😍🥰,5
24,Aksari Resort Ubud by Ini Vie Hospitality,"Stay selama 2 malam bersama keluarga sangat menyenangkan pokoknya recomended banget yang mau stay di aksari resort ubud, dari mulai pelayanan dari awal check in sampai check out sangat puas sekali terimakasi mba diah dan aksari",5
25,Aksari Resort Ubud by Ini Vie Hospitality,Good hotel...sempurna untuk hotelnya..ramah pelayanan nya. Fasilitasnya juara. Will be back. Rate 10/10.  Makanannya enak banget apalagi kita terus terusan di bantu sama staffnya. Ada mba desak yang bantu fotoin dan rattama yang bantu selama stay.... Makasih banget yaa😍😍😍,5
26,Aksari Resort Ubud by Ini Vie Hospitality,really recommended for staycation good stay karena kita bener bener dimanja sama view yang super alami apalagi pelayanan yang super duper ramah dari staff aksari ada juga mba desak yang bantu kita untuk ambil foto pas check ou pokoknya keren deh  kalo bisa kita kasi bintang 10 buat aksari hehe ❤️🥰🥰,5
27,Aksari Resort Ubud by Ini Vie Hospitality,"Staff yang ramah, tempat stay cation yang nyaman, untuk suite forest benar- benar suara air terjunnya dan aliran sungainya bikin tenang saat tidur di malam hari, kolam renang yang luas puas banget berenangnya, untuk bli kiusa sangat perhatian sekali dengan guest resortnya. Top dehh",5
28,Aksari Resort Ubud by Ini Vie Hospitality,"Ke bali berlibur,stay di aksari resort, tempatnya sejuk, bagus, dan  menenangkan, suara gemercik air yg membuat semakin rileks,bisa beristirahat dengan nyaman,staf ramah, selalu siap membantu. Dan baik.terima untuk bli kiusa dan desak sudah bantu kamikemarin",5
29,Aksari Resort Ubud by Ini Vie Hospitality,"Stay disini nyaman banget,truss kami floatingnya bagus ,sport fotonya banyak banget. Pelayanannya juga ramah bagus banget rekomended lah .terima kasih untuk front desk bli kiusa sudah bantu kami selama stay.",5
30,Aksari Resort Ubud by Ini Vie Hospitality,Menenangkan. Nyaman. Jauh dari keramaian. Cocok untuk honeymoon. Kolam renangnya luas.  Staffnya ramah dan helpfull. Ada persewaan motor dan mobil.  Mba Padmi sangat ramah. Kalo mau menginap disini harus cepat2 book karena cepat sekali full.,5
31,Aksari Resort Ubud by Ini Vie Hospitality,"Stay satu malam di aksari tanpa booking terlebih dahulu langsung menuju aksari untuk masih ada villa available,nyampe di aksari liat semua jenis kamar di assist oleh bli kiusa super friendly and charming,nyampe check out juga di assist bli kiusa terimakasih banyak untuk excellent  services nya",5
32,Aksari Resort Ubud by Ini Vie Hospitality,Liburan bersama kelurga .. booking hotelnya dadakan .. tidak nyesel   Kamarnya bagus viewnya  ada waterfallnya dekat bathtubnya..    Kamarnya juga sudah lengkap dengan alexa dan speaker  Jadi tbah betah   Staff sangat ramah .. thank you bu Padmi untuk pelaganannya,5
33,Aksari Resort Ubud by Ini Vie Hospitality,Stay bersama kelurga di Ubud kita memilih Aksari dan tidak salah pilih... viewnya bagus.. pemandangannya forest semua sangat memanjakan mata...   Makanannya enak cum perlu ditambahkan menu varian untuk anak anaknya   Staff semuanya baik dan ramah  Bu Padmi dan front deak team sangat membantu kami   Will back soon  Thank you  Greeta kamar 921,5
34,Aksari Resort Ubud by Ini Vie Hospitality,"Kamarnya sangat nyaman pokoknya best banget view di kamar juga bagus, yoga activities di sini juga enak banget pokoknya recomended banget yang mau stay  di ubud area, sama mba diah yang sangat welcome dari awal check in samapai check out terimakasih ya aksari😘😘😘",5
35,Aksari Resort Ubud by Ini Vie Hospitality,"Untuk di kamar bagus suasananya cocok untuk healing honeymoon maupun keluarga seperti kita, staff di sini juga ramah ramah pelayanannya juga oke dari awal check in sampai check out memuaskan terimakasih aksari dan mba diah❤️❤️",5
36,Aksari Resort Ubud by Ini Vie Hospitality,"Stay di sini sangat nyaman kami stay selama 2 malam bikin ketagihan pokoknya recomended banget yang mau stay di ubud area, staff di sini juga ramah ramah pelayanannya juga oke terimakasih akasri untuk best staycationnnya and mba diah sudah membantu saat check out😍😍",5
37,Aksari Resort Ubud by Ini Vie Hospitality,"Hotelnya bagus pelayanannya baik, pemandangannya asri. cocok untuk pasangan yg ingin honeymoon Kita sempat coba floating jg loh dan enak bgt. Makasih ya Mba Desak udh bantu kita selama disini. Ditunggu kedatangan kita lg yaaa❣",5
38,Aksari Resort Ubud by Ini Vie Hospitality,"Loveee bgt kamarnya bikin gamau keluar2 hahaha, fasilitasnya, private poolnya, viewnya, staffnya juga ramah semua. Pas bgt emang nyari suasana tenang di ubud, privatenya kerasa bgt buat honeymoon Definitely will comebackkk!",5
39,Aksari Resort Ubud by Ini Vie Hospitality,"Pelayanannya bagus banget! Dari pertama datang sampai pulang di service dengan baik. Staffnya ramah semuanya. Area resort bersih, kamar jg bersih. Viewnya mantep! Puas banget nginep disini! Thank you!!",5
40,Aksari Resort Ubud by Ini Vie Hospitality,"Stay di aksari resort ubud selama 1 malam sangat menyenangkan gak mau pulang dari sini dari awal check in sampai check out pelayanan nya ramah, tempat yang pas untuk honeymoon healing dan keluarga juga oke, dari awal sampai alhir dibantu dengan mba diah yang ramah banget terimakasih aksari",5
41,Aksari Resort Ubud by Ini Vie Hospitality,Over all good staynya sangat nyaman apalagi pelayanannya sangat memuaskan akan balik lagi ke sini lain waktu pokoknya recomended banget yang mau stay di aksari resort kami aja sampai extend lagi 1 malam terimakasih aksari dan tidak lupa mba diah,5
42,Aksari Resort Ubud by Ini Vie Hospitality,"Hotelnya bagus sangat memuaskan, view nya sangat bagus, ada giest activity yoga keren banget’recommended lah pokoknya thanks to all staff for your service dan untuk mbok padmi bli kiusa yuni thank you audah bantu kami",5
43,Aksari Resort Ubud by Ini Vie Hospitality,"Kamar nya nyaman, pemandangan bagus, service oke ibu padmi sangat membantu kami kemarin dari check in dan checkoutnya, fasilitas juga lengkap selain itu mereka ada yoga class juga dan ada musik balinya juga.. sangat recommended deh pkoknya   thank you Aksari",5
44,Aksari Resort Ubud by Ini Vie Hospitality,"Oke sekali Aksari Ubud. Pelayanannya sangat baik. Tempatnya asri, tenang dan nyaman. Sangat memuaskan menginap disini. Rasanya pengen kembali lagi kesini dan serasa milik sendiri.  Terimakasih banyak untuk pelayanan Ibu Padmi yang ramah dan membantu kami selama stay disini. Sukses selalu untuk Aksari Resort Ubud",5
45,Aksari Resort Ubud by Ini Vie Hospitality,Cukup bagus dan  sangat nyaman. Cocok untuk refreshing dan istirahat. Semua staff ramah dan sangat membantu. Sangat recomended untuk bulan madu maupun liburan dengan keluarga dan teman teman. will be back,5
46,Aksari Resort Ubud by Ini Vie Hospitality,"Pelayanannya bagus, dari bu padmi. Penuh dengan kesopanan dan bersih. Fasilitas disini bagus dan nyaman.udara nya sejuk dan asri. Untuk olah raga jogging sangat disarankan. Dan penuh kesopanan dalam pelayanan.",5
47,Aksari Resort Ubud by Ini Vie Hospitality,"Stay di aksari ubud selama 2 malam puas banget dari awal check in sampai check out kita dilyani dengan baik ramah pokoknya the best deh, kamarnya juga luas dan bersih banyak spot foto di sini, akn balik lagi pokoknya terimaksuh juga buat mba diah🙏❤️",5
48,Aksari Resort Ubud by Ini Vie Hospitality,"Aksari resort ubud emang the best pokoknya mulai dari datang sampai check out pelayanannya sangat ramah staff di sini juga sangat baik baik, untuk di kamar vienya bagus banyak spot foto juga di sini pokoknya recomended banget deh yang mau stay di ubud. Terimakaih mba diah dan tidak lupa kepada aksari",5
49,Aksari Resort Ubud by Ini Vie Hospitality,"Untuk kamar fasilitasnya lengkap banyak spot foto juga, stay  cuma 1 malam tetapi bikin ketagihan, staff dan pelayanan di sini sanagat oke pokoknya recomended banget yang mau stay di daerah ubud area, terima kasih aksari untuk best staycationnya 😘 terimakasih juga mba diah",5
50,Aksari Resort Ubud by Ini Vie Hospitality,"Pengalaman stay yg the best ,main point dari  aksari yaitu view nya,privasi 100%  ,kamar bersih  jarak dari ubud center cuma  25 mnit ,pelayanan sangat ramah sy di handle dengan beli kiusa dari check in sampai check out ,super great hospitality & service",5
51,Aksari Resort Ubud by Ini Vie Hospitality,"Stay yang sangat menyenangkan ,saya stay dengan anak dan suami sayang cuma stay 1 hari di aksari padahal pengen lebih lama suasana nyaman sepi kamar bersih staff super duper friendly trimakasih banyak beli kiusa ,great service",5
52,Aksari Resort Ubud by Ini Vie Hospitality,Sudah bagus semua' untuk kamar sudah bagus .pelayananya juga bagus banget . View nya bagus cocok untuk foto-foto . Recomended nanti pengen balik lagi kesini next staycation. Thank to all staff untuk service..,5
53,Aksari Resort Ubud by Ini Vie Hospitality,"stay selama 2 malam di aksari resort ubud bikin ketagihan kamarnya nyaman banyak spot foto juga di sini, staff dan pelayanannya juga oke terimakasih mba diah sudah sangat welcome terimakasih juga akasri untuk best staycationnya❤️❤️❤️",5
54,Aksari Resort Ubud by Ini Vie Hospitality,"Semuanya bagus disini, kami tinggal semalam di Aksari terasa kurang rasanya, tempat nya bersih dan bagus, begitu juga kamarnya bestlah pokoknya fasilitasnya lengkap, tempatnya di alam jadi betah selama stay Staff ramah dan membantu terimakasih ya mbok Diah dan Ida👍",5
55,Aksari Resort Ubud by Ini Vie Hospitality,The perfect villa for honeymoon or holiday stay.. semua staff ramah dan super informatif.. next bakal balik kesini lg kalau ke bali❤️❤️ Recomended untuk yg mau healing ambil villa dan treatment spa di avani juga dinner di kojin teppanyaki . Lunch di ankhusa,5
56,Aksari Resort Ubud by Ini Vie Hospitality,Sudah baikkk. Kamarnya wangi. Tambah lampu biar lebih terang lebih baik. Tempat sampah dan tisu bisa ditambah. Secara umum sudah sangat nyaman sekaliii. Terima kasih atas pelayanannyaaa. Recommended sekalii,5
57,Aksari Resort Ubud by Ini Vie Hospitality,"Kamar bersih, nyaman dan luas ,pelayanannya ok dan juga ramah. Kemarin check in malem dan walaupun ada di tengah hutan tapi sungguh worth it Kami suka dengan dompet hadiah yang dikasi sama Mba Desak… makasih ya Aksari❤️🥰🥰",5
58,Aksari Resort Ubud by Ini Vie Hospitality,"Pelayanannya bagus banget, suasana resortnya juga nyaman dan aman di tengah situasi pandemi ini. Ini kali kedua stay di sini, next bakal ajak keluarga dan temen untuk stay disini lagi.  Makasi Aksari Ubud",5
59,Aksari Resort Ubud by Ini Vie Hospitality,"Memuaskan!!!! Makanannya enak kamarnya juga luas, all out nyaman banget resortnya juga bersih.pengen balik!!!! This resort is recommended banget untuk healing juga karena jauh dari kota,view vibes,special thank for desak,yuni,ratama for your help",5
60,Aksari Resort Ubud by Ini Vie Hospitality,"Meskipun beberapa hari dibali salah satu hotel terbaik adalah Aksari, kamarnya bersih viewnya bagus, pokoknya saya merekomendasikan hotel ini.  Nanti bakal balik lagi kesini thank you bli Budi for warm welcomenya",5
61,Aksari Resort Ubud by Ini Vie Hospitality,"Aksari the best hotel sejauh ini selama ada di ubud, pasti bakal kembali lagi kesini kamarnya juga besih makanan enak,   Terimakasih banyak aksari ubud bakal balik kesini lagi nanti, terimakasih banyak pak budi",5
