,hotel,review,stars
0,Alron Hotel,"kami menginap 4 malam di samrt room lantai 5, kamarnya kecil, pintu kaca kamar mandi agak tembus keluar (jadi dari luar bisa keliatan bayangan org yg mandi, agak risih aja), tidak ada ketle pemanas air, hair dryer, untuk istirahat cukup nyaman, lokasi strategis dekat dengan Kuta dan Legian, untuk parkir mobil kemarin sering penuh, sehingga parkirnya di luar di samping hotel. Buffet breakfast rasa lumayan enak meski tidak terlalu banyak pilihan, Jam breakfast agak siang menurut kami yang akan lanjut untuk berjalan-jalan (mulai jam 7.30 wita)",3
1,Alron Hotel,"Hotel yang sangat strategis di wilayah Kuta karena cukup dekat untuk mencari makanan di pasar kuta, dan sekitar 15 menit menuju pantai kuta. Untuk kamar oke lah, cukup bersih dan AC nya dingin. pelayanan juga cukup ramah dari resepsionis. ",4
2,Alron Hotel,"Hotel yang dekat dengan tempat wisata daerah kuta. kebersihan standar, kamar cukup nyaman walaupun fasilitas kurang tapi tidak masalah karena cuma dipakai untuk tidur. Overall cukup untuk yang ingin tidur enak dan tidak menuntut service banyak :D",4
3,Alron Hotel,"Plus point, lingkungan dekat dengan jantung kuta, jalan kaki saja bisa, staf cukup ramah, tempat tidur nyaman Minus point, tidak cocok dibilang hotel bintang 4, karena amenities tidak lengkap, di kamar mandi hanya ada sabun mandi dan sampho, sedangkan untuk minuman hanya tersedia pemanas, air dan gelas, kebersihan standar, makanan juga kurang banyak variasinya, overall cukup",3
4,Alron Hotel,"Parkiran hotel susah sekali, lokasi agak jauh dr pantai kuta, fasilitas kamar tidak tersedia sikat gigi, sendok coffe, cuma ac kamar dingin, breakfast kurang enak. Dan tembok2 cat di luar kamar banyak yg kurang besih & di perhatikan",3
5,Alron Hotel,"Hotel ini sangat dekat dengan tujuan tujuan wisata (pantai Kuta, pantai segara) dan dekat dekat pusat perbelanjaan. Anda bisa hanya berjalan kaki ke area area tersebut. Karena bila berkendaraan mobil.. benar2 macet umtuk jam tertentu. Parkiran kurang banyak (ada di basement juga). Kebersihan sangatlah kurang. Tidak tersedia toiletries (sikat gigi dan odol), tisu gulung tersedia... blower kurang.. tetapi pelayanan bagus. Jika ingin laundry tersedia di hotel ini (per item). Tetapi jika ingin mencari yg kiloan tersedia dekat cuma 200m dari hotel ke arah kiri.. (vivi laundry).. murah 15rn per kg. Pelayanan cepat dan bersih serta wangi",3
6,Alron Hotel,"lokasinya dekat dari pantai, pusat perbelanjaan Joger, pantai kutai dan tempat untuk makan juga tidak terlalu jauh dari hotel, dari bandara ke lokasi hotel hanya Rp.40.000 biaya tranportasi naek taksi online yaitu GRAB",4
7,Alron Hotel,"AC nya tidak dingin seperti yang di harapkan, sudah bolak balik complain hanya di jawab belum dingin juga ya, tidur jadi kepnasan, hanya bisa menyelesaikan complain wastafel mampet saja. Tempatnya deket hardisk kuta jadi bisa belanja kebutuhan dengan cepat, ada parkir basement dan juga kolam renang",1
8,Alron Hotel,"Letak Hotel strategis, tidak jauh dari pantai, pusat perbelanjaan dan tempat makan, kami menginap 5 hari 4 malam di hotel alron tanpa sarapan, tidak sulit mencari makanan untuk sarapan dan makan malam, karena di dekat hotel banyak pusat makanan dan dekat dengan pasar kuta, di sebelah hotel ada mini market, jauh dari pusat hiburan malam, jadi tidur bisa nyenyak di malam hari, staff ramah, kami di perboleh kan late check out hingga jam 2, dikarenakan pesawat kami sore hari, kamar bersih, parkir kendaraan ada di basement, air kamar mandi agak berbau ketika baru di nyalakan, handuk agak sudah lama, karena ketika saya pakai, handuk mudah robek. tapi tidak mengurangi kenyamanan untuk bersitirahat internet cepat, smart tv terhubung ke internet",4
9,Alron Hotel,saya menginap di hotel alron selama 3 hari bersama keluarga.. selama di sana hotelnya sangat bagus. sangat rekomendasi bagi yang akan liburan ke bali selain hotelnya bagus staffnya pada ramah dan sangat membantu bagi kita yang membutuhkannya. hotelnya bersih dekat dengan keramaian sehingga hampir setiap hari selalu ramai dekat dengan tempat makan dan dekat dengan tempat belanja oleh oleh khas bali terutama joger..  terimakasih,4
10,Alron Hotel,"Hotelnya bagus, harga terjangkau, view bagus karena ada balkon yg menghadap ke pool. Suasananya tenang, tinggal jalan  beberapa meter saja dari pantai. pencarian hotel ini juga mudah, karyawannya good service.. waktu itu malam2 pernah minta tea sama ginger lemon sama karyawannya dicariin.. di beliin di restonya, atau dibikinin saya ga tau tp mrka cb untuk service sebaik mungkin. Namun es chocolate di restonya kurang enak. ",5
11,Alron Hotel,"saya menginap di hotel ini 1 malam dan tanpa breakfast, lokasi hotel yang membuat nilai tambah hotel ini, dekat dengan mini market, pantai, pusat kota kuta, dan dekat dengan atm. oiia, kasur, selimut dan bantalnya sangat empuk membuat nyaman sekali badan yang seharian berwisata. ramahnya staff alron hotel membuat hotel ini menjadi lebih berkesan. thanks",3
12,Alron Hotel,"Lokasi tidak terlalu jauh dari pantai Kuta, masih bisa dijangkau dengan berjalan kaki, Kamar cukup luas, harga murah dan pelayanan baik. Dan disekitar hotel terdapat beberapa penjual makanan. Hotel dilengkapi dengan kolam renang, hanya saja kolam langsung menghadap restonya,",4
13,Alron Hotel,"Sempat terdapat kendala setelah check-in karena pintu kamar tidak bisa terbuka. sehingga dipilih kamar lainnya. lokasi hotel cukup dekat dengan beberapa destinasi wisata. kamar yang saya huni cukup dekat dengan jalan raya yang ramai, sehingga pada pagi hari sedikit berisik",3
14,Alron Hotel,"Saya mendapatkan kamar superior dengan nomor 213, hotel ini tempatnya cukup strategis untuk diwalayah wisata kuta, dekat jug dari bandara, hanya sekitar 30 menit dari bandara, saya stay disini 3 hari 2 malam.  sesaat kami sampai disana kami langsung disambut dengan petugas front office yang ramah, namun pada saat kami check in, prosessnya agak lama dikarnakan form booking saya belum diterima hotel, padahal saya sudah booking hotel ini dari 3 hari sebelum keberangkatan. entahlah ini kesalahan dari mana, tapi yang jelas masalah ini sudah ditangani oleh supervisor disana.  untuk suasa hotel ini tenang, sejuk, modern dan overall cukup lah untuk memenuhi kebutuhan liburan kita, fasilitas pun lengkap ada gym center, swimming pool, restaurant, karoke, dan lift 2 buah.  hotel ini punya…",4
15,Alron Hotel,"Kamarnya cukup luas dan lokasinya di daerah ramai sehingga memudahkan kami utk akses ke pantai KUta, pantai Legian.. Fasilitasnya cukup bagus dan sarapannya juga memuaskan. Lokasinya juga gak terlalu jauh dengan bandara membuat kami pasti akan kembal lagi ke Alron.",4
16,Alron Hotel,"Hotelnya bagus, bersih, dan nyaman. Hanya saja pelayanannya kurang bagus. Staff yang melayani tidak ramah, pada saat check in staff2 yang wanita sama sekali tidak senyum dan ramah, staff cuek.. saat itu saya datang sore sekitar jam setengah 6 dan kamarnya pun masih belom siap, dan tidak diinfo sm staff tsb kalo kamarnya tersebut twin bed dan kasurnya di jadikan satu.. untuk breakfast nya lumayan lah.. ",2
17,Alron Hotel,"Saya menginap tanggal 9-11 nov 2016 dengan tipe kamar smart Ketika saya pesan saya melihat ini hotel bintang 4 Pada saat saya datang, melihat kamar sangat terkejut dengan kamar yang luasan hanya 3 x 3,5 m tanpa dental kit, tanpa sandal, tanpa coffee maker, tanpa tea, tanpa kopi, tanpa gula, dan terparah tanpa telpon, jadi ketika saya ada perlu harus turun ke reception, jendela pun menghadap kelorong. Serasa menginap di gudang kecil dengan minim fasilitas Jd bertanya ini hotel bintang 4 atau losmen melati ? Sangat amat kecewa Tolong asosiasi yang memberikan penilaian hotel berbintang Adakan inspeksi Masa hotel seperti ini bisa jadi hotel bintang 4",1
