,hotel,review,stars
0,Amarea Resort Ubud by Ini Vie Hospitality,Tempatnya sangat keren. Fasilitas lengkap dan juga view dari public pool mengarah ke jungle. Selama stay sangat nyaman semua staff sangat ramah dan senang membantu. Sangat direkomendasikan untuk stay jika berlibur di Ubud,5
1,Amarea Resort Ubud by Ini Vie Hospitality,Nice trip here. Kamarnya sangat nyaman dan juga luas ada area private pool untuk type kamar kami. Pelayanan dari semua staff sangat ramah. Breakfast yang disediakan juga completed. We will back for sure,5
2,Amarea Resort Ubud by Ini Vie Hospitality,"Kalau di balang resort ini masih sangat baru sekali, akan tetapi untuk tempatnya sangat detail sekali, mulai dari penempatan furniture dan design di masing masing roomnya sangat unik. Sangat cocok dengan kami para penikmat seni. Di area public juga terdapat sangat banyak tumbuhan hijau yang membuat suasananya semakin sejuk",5
3,Amarea Resort Ubud by Ini Vie Hospitality,"Sangat  bagus, saya sangat merasa nyaman stay disini semua staff ramah dan sangat membantu . Resortnta Bene bener hidden gem 😍 buat honeymoon cocok banget sihh, public poolnya juga sangat keren  View jungle. Resort terbaik di Ubud😍😍",5
4,Amarea Resort Ubud by Ini Vie Hospitality,"Hotelnya recommend untuk couple staycation, nyaman dan dekat dengan pusat kota ubud, kalau ke ubud wajib banget stay yang di one bedroom villa karena ada private pool nya, next kalau ke ubud kami pasti stay lagi disini",5
5,Amarea Resort Ubud by Ini Vie Hospitality,"Kami stay disini selama 2 hari dan hari ini kami join yoga class, semua staff ramah ramah dan sangat membantu, hotel nya dekat dengan pusat ubud sekitar 15menit dari hotel, next kami bakalan stay lagi disini, see u",5
6,Amarea Resort Ubud by Ini Vie Hospitality,Staycation sangat seru di Ubud. Pelayanan dari semua staff sangat ramah dan sangat membantu selama stay. Breakfast yang disediakan lengkap dengan porsi yang cukup banyak. Ada fasilitas spa dan public pool menghadap ke jungle,5
7,Amarea Resort Ubud by Ini Vie Hospitality,Hidden Gem😍 perfect stay. Kamarnya sangat nyaman dan bersih. Selama stay ambience sangat happy. Breakfast yang disediakan juga enak. Pelayanan dari semua staff sangat ramah dan welcoming. We Will back for sure ,5
8,Amarea Resort Ubud by Ini Vie Hospitality,Nice room. Pengalaman yang sangat menyenangkan. Kamar saya dekat dengan area public pool dan juga yoga chapel. Bisa floating tray breakfast juga. Makanan yang disediakan juga sangat enak dan semua staff ramah,5
9,Amarea Resort Ubud by Ini Vie Hospitality,Best stay. Tempatnya nyaman dari proses check in sampai check out juga cepat. Pelayanan staff sangat ramah. Makannnya enak dan bisa floating tray dikamar. So far good. Sangat direkkmendasikan jika berkunjung ke Ubud,5
10,Amarea Resort Ubud by Ini Vie Hospitality,"kamarnyaa Unik untuk yg cottage dan suasananya sangat Cozy.. Kamar mandi juga nyaman dengan model semi outdoor. pelayanan juga sangat Baik dibantu dengan Ibu Novia, untuk proses check in dan check out sangat mudah dan sangat dibantu. banyak merekomendasikan tempat wisata yang bagus juga.. akan kembali stay dsini jika ada kesempatan.",5
11,Amarea Resort Ubud by Ini Vie Hospitality,Suasanan yg nyaman dan tenang tidak berisik. Kamar yg minimalis tapi nyaman. Fasilitas yang bersih dan pelayan yang sangat ramah. Kolam berenang yang asri. Lingkungan yang bersih. Karena saya kesini saat hari weekday mungkin masih blm banyak orang disini,5
12,Amarea Resort Ubud by Ini Vie Hospitality,So far smeuanya sudah bagus. Pelayanan staff sangat ramah dan makannnya juga enak. Saya stay dengan suami sangat nyaman dan pasti akan balik lagi. Sangat direkomendasikan dan juga akses cukup bagus dekat ubud ,5
13,Amarea Resort Ubud by Ini Vie Hospitality,Best stay here. Kamarnya oke dan fasilitas juga lengkap. Makananya enak dan bisa floating tray breakfst. So far semua nyaman dan semua staff sangat nyaman. Oke untuk liburan. Thank you dan sangat direkomendasikan,5
14,Amarea Resort Ubud by Ini Vie Hospitality,"pertama kali stay di Amarea, tenang banget suasananya bener bener nyaman dan keren banget tempatnya. Area kamarnya juga sangat bersih dan fasilitasnya lengkap sekali. kami akan rekomendasikan tempat ini ke teman teman yang lain",5
15,Amarea Resort Ubud by Ini Vie Hospitality,"Pengalaman yg sangat menyenangkan, saya pilih yg cottage, bersih, modern dan ada nuansa tradisionalnya. Kamarnya nyaman dan sangat berkesan. Lingkungan asri, suasana tenang, cocok utk honeymoon dan healing.  Saya juga bisa masak dan staff nya juara super helpfull.. 10/10 dari saya.",5
16,Amarea Resort Ubud by Ini Vie Hospitality,Good stay nice ambience. Makananya juga enak. Fasilitas lengkap dan semua staff sangat ramah dan membantu. Tempat strategis dekat dengan ubud center. Sangat direkomendasikan stay disini. Thank you❤️❤️❤️,5
17,Amarea Resort Ubud by Ini Vie Hospitality,"Nyaman dan bersih tempatnya, lokasinya juga mudah ditemukan, setiap sudutnya aestetik 👌🏻👌🏻 nginep semalam disini, tempat tidur nyaman, ada bathub, semua fasilitas berfungsi dengan baik. Terus pas pertama kali masuk juga udah dingin kamarnya",5
18,Amarea Resort Ubud by Ini Vie Hospitality,"Amarea Resort adalah salah satu resort terbaik di Ubud, Bali. Saya stay di property terbarunya yaitu Smart One Bedroom Villa yang baru saja lunching bulan ini. Suasananya sangat-sangat nyaman dan sudah ada private pool. Disini perfecf banget untuk solo vacation apalagi honeymoon. Very recommended!",5
19,Amarea Resort Ubud by Ini Vie Hospitality,"Buat yang suka alam boleh bgt nginep disini!! bagus banget tempatnya trus dia ada one - 3 bedroom.. ada private pool and pool yang sharingnya jugaa, trus makanannya juga enak bgt pokoknya wajib banget nginep disinii",5
20,Amarea Resort Ubud by Ini Vie Hospitality,Hospitality nya bagus pake banget. Semua staff ramah. Kamar bersih dan bagus. oke bgt! Bakal balik kesini lagi kalo ke Bali ❤️ Thankyou Amarea sudah bikin saya dan keluarga happy selama stay di Ubud Bali ❤️,5
21,Amarea Resort Ubud by Ini Vie Hospitality,"sangat recomended, suka sekali dengan arsitekturnya industrial. Kalau ke bali kemungkinan akan balik kesini kembali. service nya sangat bagus staffnya ramah ramah. pokoknya nggak bakal nyesel nginap disini",5
22,Amarea Resort Ubud by Ini Vie Hospitality,Kamarnya oke. Saya adalah solo traveler. Sangat direkomendasikan area kolam berenang sangat keren dan terdengar jelas suara sungai di sebelahnya. Semua staff sangat ramah. Lokasi hotel strategis dan hanya 10menit menuju Ubud Center.,5
23,Amarea Resort Ubud by Ini Vie Hospitality,Best stay here. Pelayanan dari semua staff sangat ramah dan welcome. Makanan yang disediakan juga enak . Public pool sangat keren dengan suara air sungai disebelahnya. Lokasi strategis dekat dengan kota Ubud,5
24,Amarea Resort Ubud by Ini Vie Hospitality,Hotel nya nyaman dan banyak spot foto yang instagramable dan cocok stay bareng keluarga ataupun temen temen karena disini ada room yang ada private pool nya jadi kalian pasti betah stay disini apalagi hotel nya juga dekat dengan pusat kota ubud,5
25,Amarea Resort Ubud by Ini Vie Hospitality,"Hotel nya dekat dengan beberapa restaurant di ubud dan lokasi nya juga strategis, disini facilities nya juga lengkap dan ada public kitchen nya juga dan langsung di sediakan alat alat nya juga, semua staff nya ramah ramah dan kami pasti akan balik lagi kesini bersama keluarga❤️❤️",5
26,Amarea Resort Ubud by Ini Vie Hospitality,"Villa yg private poolnya oke bgt, interior designya bagus instagramable. Apalagi msh baru bgt opening jd barang2 msh bagus2. Servicenya jg oke, ramah2 sekali. Breakfastnya enakk, bisa req pake floating jugaa. 👍🏻👍🏻",5
27,Amarea Resort Ubud by Ini Vie Hospitality,Best stay here. Kamar oke dan sangat nyaman. Susana nyaman. Breakfast enak dan bisa ambil floating tray juga. Fasilitas yang disediakan juga lengkap. Sangat direkomendasikan stay disini. Semua staff ramah,5
28,Amarea Resort Ubud by Ini Vie Hospitality,"Kami stay selama semalam disini, dan semua staff nya ramah ramah sekali kami serasa stay dirumah sendiri, kebetulan juga hotel nya dekat dengan beberapa restaurant yang famous di ubud, kalau mau ke ubud center juga deket banget kurang lebih 15 menit dari hotel, suasana disana juga adem banget di malam hari",5
29,Amarea Resort Ubud by Ini Vie Hospitality,"Kamarnya bagus dan dekat juga dengan center ubud , dan banyak juga restaurant di area hotel yang mudah di akses, dan semua facilitas juga lengkap dan setiap selasa, kamis, sabtu ada free yoga class. We will back for sure",5
30,Amarea Resort Ubud by Ini Vie Hospitality,"Kamarnya bagus, bersih. Fasilitas lengkap, pelayanan baik dan sangat ramah, harga dan fasilitas yg didapat sesuai, senang sekali bisa nginap disini Nyaman sekali menginap disini, area kolam bagus , cuma jalan menuju hotel masuk gang kecil, yg lainnya bagus, rekomendasi utk menginap disini",5
