,hotel,review,stars
0,Amaris Hotel Legian,"Lokasinya bagus dekat dengan pantai, stafnya ramah2, tapi kamar kurang terawat seperti wc nya yg terlihat kotor, handuk yang tidak putih lagi, makan paginya lumayan, untuk harga segitu mungkin karena lokasinya",3
1,Amaris Hotel Legian,"Hotel ini termasuk Budget Hotel tetapi dengan pelayanan yang cukup baik. Menu sarapan cukup bervariasi, Lokasi sangat strategis dan dekat dengan pantai di sekitar yang bisa ditempuh hanya dengan berjalan kaki sebentar.  Saya sempat mengalami kendala dengan pintu balkon yang menghadap ke arah kolam renang tetapi langsung dibantu oleh petugas yang sigap. Untuk daerah kamar mandi sebaiknya bisa ditingkatkan lagi kebersihannya. Petugas juga ramah dan siap untuk membantu tamu.",4
2,Amaris Hotel Legian,"Kamar Kotor dan bau amis, debu dimana mana, shower curtain berwarna kuning, kecoa di area kloset, dan air berbau tak sedap. Sangat Kotor dan terkesan jorok. Sebagian besar makanan sarapan selalu habis 30menit sebelum jam tutup. Saya menanyakan ke staff yg bernama ""Erni"" knapa bubur dan kondimennya sudah habis sebelum jam 10? Dan jawaban Dari staff tersebut sangat mengecewakan.""Sudah tidak ada lagi pak buburnya karena sudah mau tutup"". Sangat mengecewakan, terlebih bubur itu untuk sarapan anak saya. Hotel dengan budget rendah bukan berarti memperlakukan tamu seenaknya. Tidak akan pernah kembali lagi kesana apalagi merekomendasikan ke relatif dan rekan2 Kerja saya. Manajemen Harus lebih serius memperhatikan kondisi hotel dan kualitas pelayanannya.  Menginap 11 oktober 2018 sampai…",1
3,Amaris Hotel Legian,"Lokasinya dekat kemana-mana. Terletak di Legian bagian dalam, tinggal berjalan-kaki ke pantai atau ke tempat makan. Tipikal hotel budget, jadi jangan harap mendapatkan pelayanan sekelas bintang tiga. Secara umum pelayanannya baik, resepsionis yang ramah dan sabar, menu yang cukup enak, wifi kamar yang kencang, air panas yang cukup kencang. Beberapa kekurangan saat kami berada disini : - sedang ada pekerjaan renovasi kecil di sepanjang balkon yang menghadap ke jalan raya, sehingga ada suara-suara sedikit (it's ok lah) - saya mendadak butuh print tiket dan saya meminta tolong untuk bisa print di reception. tetapi ternyata koneksi email di resepsionis cukup lemot, dan akhirnya setelah mencoba berkali-kali, saya memutuskan untuk pergi tanpa print-out tersebut.  Oya, mereka…",4
4,Amaris Hotel Legian,"Tidurku nyenyak banget disini, mendapatkan kamar di lantai atas sehingga  pemandangan kota legian terlihat dari atas. Letak hotel sangat strategis, makanan sangat bervariasi, hanya saja tv tidak menyala tp segera d perbaiki oleh pihak hotel dan respon mereka sangat cepat.",4
5,Amaris Hotel Legian,"Hotel ini letaknya strategis banget, dekat airport, dekat pantai legain juga. Cocok banget buat yang benar-benar cari hotel low budget lokasi strategis. Kamarnya standard hotel low budget. Amenitiesnya cuma terbatas buat 1 orang. Kebersihannya bagus. Sarapannya cukup beragam dan rasanya enak ngga hambar seperti di hotel low budget lain. Ada kolam renangnya juga, dan tersedia kolam renang anak. Pas sarapan sebelahan sama kolam renang, jadi pemandangannya enak. Ada save deposit box juga di kamar. Staffnya juga ramah. Secara keseluruhan oke banget buat yang cari low budget tapi fasilitas lengkap.",4
6,Amaris Hotel Legian,"Kamar hotel bersih,fasilitas yahud breakfast enak,swiming pool bagus dan harga reasonable ..staff hotel sangat ramah i love stay at amaris padma pokok nya nyaman banget lokasi nya strategis ke pantai dekat trus ke pasar seni juga dekat.",5
7,Amaris Hotel Legian,hotel terletak di daerah legian yang ramai. jalan menuju ke hotel cukup sempit karena hanya bisa dilalui maks 2 kendaraan mobil. parikiran juga tidak terlalu luas namun staff hotel bisa membantu dengan menitipkan kunci mobil. kamar secara ukuran tidak terlalu luas namun cukup. perlengkapan kamar standar hanya ada 1 pasang sandal dan sikat gigi. air panas tersedia dispenser di setiap lantai. pada tempat sarapan ada kolam renang yang tidak terlalu besar namun cukup jika ingin berenang..,4
8,Amaris Hotel Legian,"Lokasi hotel strategis tinggal jalan kaki ke pantai legian, pada saat itu saya check in jam 12 malam dan pelayanan baik dan cepat. Kamar bagus dan bersih namun utk kamar mandi perlu ada perawatan krn terlihat kusam. Kolam renang OK, breakfast standar tidak banyak pilihan. Harga terjangkau.",4
9,Amaris Hotel Legian,"Amaris Legian letaknya ada di dalam gang-di ujung, lahan parkir yang disediakan terbatas namun petugas (security) mengarahkan dengan baik & sangat membantu.  Ukuran ruang kamar tidak terlalu besar namun cukup jika 1 kamar diisi 2 orang, sarapan disediakan dilantai bawah, bersebelahan dengan kolam renang.  Variasi makanan tidak terlalu berbeda dari hari ke hari, untuk rasa makanannya kurang pas dilidah saya.  Ada egg station dengan pelayanan ramah. Ketika masuk kamar saya selalu memeriksa keadaan ranjang, banyak bercak kuning pada bedsheet, selimut & sarung bantal. Ketika menyampaikan keluhan, diterima dengan baik oleh receptionist & segera ditindaklanjuti, perlu hingga 5x mengganti bedsheet baru saya mendapatkan yang bersih, padahal menurut petugas, bedsheet & perlengkapannya…",3
10,Amaris Hotel Legian,"Saya menginap selama 4 malam disini ( tanggal 20-24 September 2017). Lokasi sangat strategis di pusat legian, sehingga memduahkan kita pergi kemana saja. Ada akses jalan setapak ke pantai hanya butuh waktu 10 menit jalan kaki. Kebetulan saya check-in sudah larut malam ( sekitar jam 23.00 ). Resepsionis melayani dengan cepat dan ramah. Semua permintaan saya inginkan pada saat booking dipenuhi dengan baik ( kamar warna ungu dilantai atas dan menghadap kolam renang). Kondisi kamar tidak terlalu luas namun cukup untuk 2 dewasa dan 1 anak dan ada balkon kecil menghadap kolam renang. Kamar cukup bersih. Perlengkapan mandi ada shampoo dan sabun cair ada di kamar mandi ( dalam bentuk refill ). Sandal,sikat gigi, dan odol ada di dalam bungkus ( sayang kami hanya mendapat 1 bungkus).…",4
