,hotel,review,stars
0,Aquarius Star Hotel,"ini kunjungan kedua kami,dan kami langsung memilih room dengan akses kolam renang. Kamarnya terlihat lebih lusuh dari kamar tempat kami menginap tahun lalu. Handuk pun lusuh dan dekil, dan kamar mandi agak bau. tapi dengan harga 50 AUD untuk 2 malam dan mempertimbangkan lokasi nya yang sangat bagus, setara lah. sabun dan shampoo ditaruh didalam dispenser di kamar mandi (mungkin tidak ada di kamar bungalow?) makan pagi pun agak meningkat kualitasnya dibanding tahun lalu. kolam renangnya oke, dan karena lokasinya dekat tempat dugem, lebih baik tutup pintu saat malam biar tdk berisik. cobalah spa di hotel ini krn terapisnya bener2 bisa melakukan nya dengan baik, pijat refleksi terbaik! saya akan menginap lagi disini karena lokasinya dan harganya yang terjangkau untuk kamar hotel…",4
1,Aquarius Star Hotel,"awal memilih hotel ini karena perjalanan liburan kali ini bersama 3 teman lain yang mau 1 kamar tidak terpisahkan. dan sangat kebetulan sekali aquarius star hotel ini memiliki kamar dengan konsep seperti apartemen di mana ada 2 kamar yang cukup untuk berempat. dilengkapi dengan ruang tamu dan kitchen set yang membuat tempat ini berasa pas sekali. pas untuk berempat dan pas dengan kantong kami berempat.  dan selain alasan itu hotel ini dekat sekali dengan club malam Sky garden, club favorit saya setiap datang ke bali. hanya jalan kaki saja sudah sampai. dan juga banyak pusat perbelanjaan seperti sufer girl dan lain2. jadi ga salah untuk memilih hotel ini buat tempat menginap bersama teman-teman.",4
2,Aquarius Star Hotel,"Hotel ini sangat asri dan bernuansa tradisional. Terdapat pilihan kamar yang langsung menghadap kolam renang. Lokasi mudah dijangkau. Kamar bagus, rapi, dan bersih. Pelayanan baik. Namun kadang samar-samar terdengar suara dari klub di sekitarnya.",4
3,Aquarius Star Hotel,"Dari luar hotel ini tampak sangat tidak meyakinkan. Kalau bukan karena terlanjur membeli voucher di internet. pasti saya sudah pindah ke hotel lain.  jalan masuk hotel terletak di antara restoran dan area check in. yang pertama terlihat begitu masuk adalah area parkiran yang berantakan dan beberapa bungalow yang sedang dalam tahap konstruksi. Semakin tidak meyakinkan.  Melewati deretan bungalow baru tampak 2 gedung baru dengan kolam renang baru. kamar bersih dan besar. design kolam renang juga sangat cantik. apalagi terletak di lokasi strategis.  Sebelum memutuskan untuk mencorat hotel ini, coba minta ijin staff untuk tinjau kamarnya dulu. kemungkinan anda akan berubah pikiran.",4
4,Aquarius Star Hotel,"Memesan ruang akses kolam renang selama 5 malam setelah saya melihat cerita instagram teman bersama. Tidak yakin mengapa hotel ini diberi peringkat hanya 1 bintang di Agoda karena hotel ini melebihi harapan saya. Check-in tidak repot. Setoran 300 K dilakukan dengan kartu dan dikembalikan dengan uang tunai pada saat check out. Ketika kami memasuki ruangan, kami disambut oleh pendingin udara yang luar biasa mengingat itu sangat panas ketika ada di sana. Mereka meninggalkan kartu kunci di ruangan dengan AC menyala. Belum pernah saya mengalaminya. Kamarnya bersih bersih. Dari ulasan, orang-orang mengeluh tentang bagaimana tidak ada perlengkapan mandi tapi itu tidak masalah bagi kami karena kami selalu siap. Juga mereka harus menyediakan sandal hotel karena lantai menjadi dingin dan…",4
5,Aquarius Star Hotel,"Kamar di tepi kolam renang luar biasa, dasar bersih, luar biasa, pusat di Kuta di jalur tenang tanpa lalu lintas yang lewat, 10 menit berjalan kaki ke pantai dan banyak restuarants, bar dan hiburan dekat, semua mudah berjalan. . . . . . .",4
6,Aquarius Star Hotel,"Entah kenapa cuacanya panas tanpa musim ketika kami berada di Bali minggu lalu. Kami pergi ke Kuta untuk berbelanja tetapi mendapati diri kami layu di panas. Kami senang berhenti di Aquarius Star dan beristirahat dari panas dan hiruk pikuk Kuta. Hotel ini memiliki bagian depan yang terbuka, tempat kami duduk di atas bantal dan memesan seember Bintang. Ini cukup murah - mungkin $ 6 untuk tiga bir. Duduk di depan Anda terlindung tetapi masih ada angin sepoi-sepoi yang melintas untuk benar-benar dingin. Mereka juga menyajikan makanan di sini, tapi kami senang tempat berlindung di mana kami bisa minum. Populer dengan orang Australia lain juga ini bukan tempat yang buruk untuk berhenti jika Anda panas atau sedikit kewalahan.",3
7,Aquarius Star Hotel,Terletak di Central Place di Kuta. Jalan Sibuk Sepanjang Malam. Klub dan Restoran Bagus Terdekat. Jarak Berjalan kaki ke Pantai Kuta. Sarapan dan Kamar Bagus dengan Akses dan Pemandangan Kolam Renang. Tempat yang bagus untuk menikmati kehidupan malam.,5
8,Aquarius Star Hotel,"Dapat meringkas restoran tetapi beberapa bahan peledak sederhana dan dipilih dengan baik, tetapi TripAdvisor tidak akan membiarkan saya melakukan itu, jadi inilah versi yang dihapus dari apa yang ingin saya tulis. . . . . . Tempat ini mengerikan - titik. Saya tahu bahwa makan pizza di Bali sedikit gila, tapi itu yang saya bayangkan setelah mengonsumsi tidak lain dari makanan Indonesia selama seminggu dalam jenis cara “ketika di Roma”. Memesan dan diberitahu bahwa 4 halaman pizza, yang ada di menu 8 halaman mereka, tidak aktif. Mereka telah ""kehabisan"". Sosok pergi. . . Terburu-buru memilih rendang daging sapi sebagai jatuh kembali. Setelah pelayan salah memesan dua kali, akhirnya tiba, tetapi rendang di tempat ini, jelas, terdiri dari tiga potong daging dalam saus bistro yang…",1
9,Aquarius Star Hotel,"Tinggal di sini 19 April dengan keluarga di kamar akses kolam renang yang berdekatan. Kamar rapi tetapi menunjukkan banyak keausan. Laminasi mulai mengelupas lemari, tirai robek. Handuk benar-benar perlu ditingkatkan dan linen baru. Kamar akan menjadi bagus beberapa tahun yang lalu dan perlu menyegarkan, juga perlu tirai pemadaman karena kamar sangat terang, tidak baik jika Anda suka gelap untuk tidur. Secara eksternal deck kolam perlu diganti sebagai kayu membusuk dan berantakan. Kolam perlu bersih. Semua perbaikan mudah jika pemilik rela mengeluarkan uang untuk hotel. Bahkan dengan semua kesalahan kecil ini saya masih menikmati hotel ini karena Anda dapat melihatnya memiliki potensi. Mampu melompat langsung di kolam dari pintu sangat bagus dan akan jauh lebih mahal di…",3
10,Aquarius Star Hotel,"Untuk harga ini, Anda mengharapkan sabun di kamar mandi dan handuk kurang dikenakan, sama untuk seprei! Air co hanya aktif / nonaktif, Anda tidak dapat mengatur suhu, 16 atau 30. Tapi lokasi bagus dan cukup bersih! Kolam renangnya bagus, staf resepsionis juga tidak begitu baik.",2
11,Aquarius Star Hotel,"Awalnya kami telah memesan bungalo. Ini sangat usang, dan dari gambar kami memiliki harapan yang berbeda. Kami mengalami peningkatan ke biaya tambahan. Upgrade itu sepadan. Kami mendapat banyak kamar yang lebih baru, lebih baik dan lebih bersih dekat dengan kolam renang. Sangat senang dengan ruangan ini.",3
12,Aquarius Star Hotel,"Hotel terletak di pusat kota. Semuanya, toko, supermarket kecil, tempat binatu dan tempat makan. Juga banyak bar. Hotel ini memiliki bar dan restoran kecil. Menginap 10 malam. Kolam renang masuk akal mengingat hotel mungkin memiliki usia untuk itu. Kamarnya sangat tenang. Anda check in maka kamar Anda agak jauh dari jalan. Sangat sepi. Saya memiliki kamar tingkat kedua yang menghadap ke kolam renang. Tidak ada lift tetapi jalan curam dari permukaan tanah ke tingkat berikutnya. Dll. Tidak cocok untuk kursi roda. Kamar-kamar dilayani setiap hari dengan pembersihan dan handuk segar. Hanya malam ke-4 sejauh ini. Jadi, tidak tahu kapan lembar diganti. Tapi tempat tidur dibuat setiap hari dengan sangat baik. Beberapa laminasi datang dari fitting tetapi tidak masalah. Kamar mandinya…",5
13,Aquarius Star Hotel,"Makanan yang indah, banyak untuk memilih dari dan staf sangat membantu. Restoran itu indah dan bersih. Akan pergi lagi. Kami memiliki makan malam yang besar dengan minuman, makanan pembuka dan daya untuk di bawah $ 40 dolar Aussie.",5
14,Aquarius Star Hotel,"Hotel ini, seperti yang dijelaskan, adalah di pusat Kuta dan hal terbaik yang telah pergi untuk yang berada di lokasi yang bagus, dekat dengan segala sesuatu yang diperlukan. Tergantung pada kamar yang anda pergi, anda mungkin harus berjalan sedikit ke arah belakang hotel untuk pergi ke kamar anda. Kolam renang yang bagus dan saya meskipun mereka sangat bersih, begitu juga kamar yang saya tinggali. Kekurangan terbesar adalah internet, namun sangat jarang menghubungkan. Tentu saja, ketika itu tidak terhubung, sangat lambat. Ketika anda meminta barang untuk membantu, mereka hanya menjawab "" maaf, lambat "" . Makanan di restoran yang agak mahal dibandingkan dengan di luar dan dalam jumlah yang mereka sajikan sangat kecil. Sarapan adalah rata-rata. Secara keseluruhan tidak buruk,…",3
