,hotel,review,stars
0,Artini 2 Cottages,"Berjalanlah beberapa langkah dan Anda akan merasa seolah berada di taman yang sunyi selagi berada di pusat Ubud yang sibuk. Kolam renangnya spektakuler, dan di tengah udara panas Ubud, Anda akan senang menggunakannya! Kamarnya bervariasi mulai dari kamar kecil dengan kipas angin hingga kamar yang lebih besar dan lebih bagus dengan pendingin udara. Seluruh hotel ini tua dan bergaya Bali, dan beberapa kamarnya berbau apek, jadi mintalah untuk melihat kamarnya sebelum menyetujui harganya. Kami menginap di kamar deluxe selama beberapa malam setelah menginap di kamar yang murah sebelumnya, dan kami menikmati peningkatan kelas itu!  Sarapannya lezat, disajikan di tepi kolam di mana air mancur menakjubkan yang dipahat dalam dinding menjadi latar belakangnya. Layanannya memuaskan.…",4
1,Artini 2 Cottages,Tempat atmosfer yang indah dari jalan Hanuman yang sibuk dengan kolam renang dan taman dan saya memiliki pemandangan sawah yang menakjubkan dari balkon saya. Patung-patung Bali yang menarik hadir di seluruh. Stafnya ramah dan siap membantu. Satu-satunya alasan tidak mendapat 5 bintang adalah kamar mandinya agak tua.,4
2,Artini 2 Cottages,"Saya tidak memesan untuk menginap di hotel ini, saudara perempuan mereka di mana kami telah memesan ditutup untuk renovasi dan mereka mentransfer pemesanan kami (yang kami baru tahu 2 hari sebelum kami pergi ketika agen perjalanan kami pergi untuk mengkonfirmasi pemesanan kami). Kami telah meminta dua kamar di sebelah satu sama lain karena kami adalah keluarga 2 A dan 4 C dan tidak ada hotel yang saling berhubungan tetapi ketika kami sampai di sana, mereka telah memberi kami dua kamar di sisi berlawanan dari hotel. Kami menjelaskan bahwa itu tidak dapat diterima dan mereka dengan ramah mengubah salah satu kamar jadi kami setidaknya berada dalam jarak pendek satu sama lain tetapi masih belum bersama sehingga suami saya dan saya harus memisahkan antara dua kamar karena kami tidak…",2
3,Artini 2 Cottages,"Tinggal di sini dengan grup perjalanan, kalau tidak saya akan pergi. Taman-taman indah & kolam renang indah, tetapi kamarnya terus terang, menjijikkan. Untungnya ada pencahayaan yang buruk di ruangan sehingga Anda tidak dapat benar-benar melihat semua kekotoran. Seprai bernoda. Kamar mandi itu kotor, terutama kamar mandi. Tirai berjamur. Bukan masalah besar, tetapi menjengkelkan ketika mereka memiliki happy hour & tahu berapa banyak orang di hotel mereka tetapi kehabisan bir pada beberapa kesempatan. Saya akan diminta untuk mengganti kamar tetapi yang lain di grup saya mengatakan kamar mereka sama buruknya. Ada pilihan yang jauh lebih baik di Ubud - jangan menginap di sini.",2
4,Artini 2 Cottages,"Meskipun jalanan sibuk, pondok-pondok ini berada di taman yang tenang. Kamar luas dan nyaman tetapi seperti banyak hotel tropis, kamar mandi agak basi. Kolam renangnya indah. Staf sangat ramah dan membantu.",4
5,Artini 2 Cottages,"Tata letak hotel ini bagus, tamannya spektakuler. Namun kamar terasa kotor dan tidak terawat. . . Pahatan besar dari dinding dan kamar mandi berbau. . . kepala pancuran juga menunjuk keluar dari pancuran sehingga akan menyemprot ke lantai bukannya diarahkan ke kamar mandi di bawah. Jadi kamu harus memegang shower ha d sepotong. . . juga suara dari kamar di atas cukup keras. . . . kamar mandi sangat buruk dengan tirai berkarat dari Venesia yang tidak menutup sepenuhnya yang berada di atas bak mandi. . . benar-benar membutuhkan cinta. posisi bagus di kota. . .",3
6,Artini 2 Cottages,Di luar semuanya terlihat indah. Dan terletak sangat baik. Namun kamar bau tua dan berjamur. Saya diminta untuk pindah kamar dan kamar baru itu sedikit lebih baik tetapi masih tidak bersih. Tidak akan pergi ke sana lagi.,3
7,Artini 2 Cottages,"Anak remaja dan saya tinggal selama 4 malam. Kami menyukainya, bukan hotel besar, perusahaan, tetapi sebuah retret bungalow kecil. Layanan hebat, pemandangan, kolam renang dan taman indah. Kamar kami tinggal adalah furnitur yang lebih tua tapi bersih dan cukup. Sempurna untuk gaya perjalanan kami.",4
8,Artini 2 Cottages,"Cottage indah, dihiasi dengan sangat artistik. Tetapi untuk mencapai mereka, Anda harus memiliki kaki dalam kondisi sempurna karena Anda harus turun sedikit dari jalan dan kemudian berjalan berkeliling untuk menemukan pondok Anda, dan lebih banyak tangga. Banyak privasi. . .",4
9,Artini 2 Cottages,"Hal terbaik tentang hotel bergaya bungalow ini adalah pekarangan, staf, sarapan dan lokasi yang tepat di jantung Ubud menit dari pasar yang ramai, toko Yoga, restoran dan hutan monyet.  Kamar meninggalkan sedikit yang diinginkan. Kamar gelap dan suram yang termasuk bau jamur & lumut (meskipun diberi kelembaban yang diharapkan). Namun, ada yang merasa kamar bisa mendapat manfaat dari mata air yang bersih. Bintik-bintik kecil di bedsheets, tempat sampah kotor (lihat pix) dan bernoda bak di ruang gelap tidak secangkir teh saya. Ini murah dan merupakan tempat yang tepat untuk bertabrakan dan pulang-pergi untuk satu malam tetapi jika Anda mencari sedikit lebih mewah, Anda lebih baik menuju tempat lain.",3
