,hotel,review,stars
0,Atanaya Hotel,"Hospitality baik dan pelayanan nya membuat kami nyaman selama tinggal disana.   Lokasi strategis, mudah dijangkau karena tidak terlalu jauh dari pusat kota dan bandara. Cari oleh2 tidak usah bingung karena tepat di samping ada Krisna.  Saran saya adalah: sebaiknya tidak perlu terlalu menghighlight review feedback dan marketing makanan nya, karena kami merasa tinggal di hotel yang sudah cukup nyaman dengan price yang bersahabat. Mungkin lebih baik apabila marketing banner makanan dan restaurant nya jika dibuat lebih minimalis  elegan dan tidak terlalu ditonjolkan. Hotel ini punya potensi bagus untuk menjadi semakin berkelas sebagai pure hotel (bukan restaurant).   Makanan: variasi makanan cocok untuk turis lokal. Rasa dan kualitas baik, namun lebih baik jika diperbanyak lagi…",5
1,Atanaya Hotel,selama lima hari saya menginap di atanya hotel dalam rangka pertemuan dengan rekan kerja. Saya suka hotel ini terutama karwna pelayanan yang ramah yang saya dapatkan dari para staf hotel dan karena atanaya hotel memiliki fasilitas yang sesuai kebutuhan pertemuan kami,5
2,Atanaya Hotel,"KONPERNAS PSE KWI XXV, Hotel Atanaya, Kuta - Bali, 30 Mei - 4 Juni 2022.   Komisi Kerasulan Sosial Ekonomi, seperti Komisi-komisi lain, memiliki tanggungjawab evangelisasi, yaitu menyebarkan Kabar Sukacita menurut perutusan pembangunan manusia seutuhnya dalam bingkai solidaritas Kristiani.",5
3,Atanaya Hotel,"Saya dan teman ( rekan kerja) merasa sangat bahagia boleh menginap di HOTEL ATANAYA. Hotel ATANAYA selalu ada di hati. Pelayanan, kamar dan jamuan makanan yang beranekaragam membuat kita nyaman tinggal di HOTEL ATANAYA. Mari kita berlibur ke Bali dan menginap di HOTEL ATANAYA. Salam untuk semua.",5
4,Atanaya Hotel,"Hotel bersih, luas dan pegawai pegawainya super ramah, setiap bertemu pasti tegur sapa. Untuk staf kak deby orangnya super duper ramah, baik orangnya .. jadi berasa kaya keluarga sndiri.. Next kebali pasti nginep di atanaya lagi... Terus adain promo promonya yaa 🤭🤭",5
5,Atanaya Hotel,"Ini sudah kesekian kalinya saya menginap di ATANAYA Hotel Bali, selalu senang menginap disini, staffnya semua ramah, pelayanan luar biasa, makanannya sangat enak, saya paling suka nongkrong di pool nya yg super kece sambil ngopi ngopi cantik.   Posisi hotelnya bersebelahan sama Krisna Oleh Oleh jadi kalo mau beli souvenir sangat gampang Ke pantai cuma 10 menitan,  Akan selalu menginap di ATANAYA HOTEL kalau ke BALI  SUKSEME ATANAYA 🥰🥰🥰🥰🥰🥰🥰",5
6,Atanaya Hotel,"Saya menginap di atanaya hotel 3 hari 2 malam , over all Good dari fasilitas kamar, staff yang ramah ramah dari saat check in , sarapan sampai saya check out saya puas sekali . Harganya murah tapi pelayanannya bagus , staff ramah ramah dan sigap sekali dan sering membantu saya. Saya suka stay di atanaya selain lokasinya strategis dekat krisna oleh oleh dan juga mudah untuk kemana mana. Liburan lagi pasti akan kembali ke atanaya hotel lagi  Love it ❤️❤️❤️",5
7,Atanaya Hotel,"saya menginap di Atanaya 3 hari bersama keluarga, hotelnya sangat nyaman, bersih, lokasinya dekat oleh oleh krisna, staffnya ramah ramah resepsionisnya sangat tanggap, awalnya saya pesen kamar yg tanpa sarapan, jadi kami coba sarapannya cuma 60k sudah makan sepuasnya, menunya banyak jenis dan enak enak, kelupaan, RoofTop Pool nya THE BEST pemandangannya bagus BANGETTT, bisa liat kota kuta, dan ada pegunungan yang Indah  Akan kem-BALI lagi ke ATANAYA Hotel  semoga seukses selalu",5
8,Atanaya Hotel,"Perjalanan kali ini saya tidak langsung ke Bali, namun saya berangkat ke Lombok baru ke Bali. Ketika saya tiba di Bali dan ingin check in di Atanaya Kuta Bali, Di jalan Sunset Road sebelah Krisna (oleh-oleh) pihak receptionist mengatakan bahwa jam 14.00 waktu setempat kita baru bisa check in, karena ketika saya tiba di hotel baru pukul 13.00 kurang lebihnya. Jadi saya memutuskan untuk berbelanja di Krisna baru check in. Ketika pukul 14.10 saya coba untuk menanyakan apakah kamar saya sudah siap (3 kamar) ternyata baru 1 yang siap. Oke saya tunggu sekitar 20 menit. Ketika 20 menit berlalu, kakak saya datang dan menanyakan kamar, pihak receptionist mengatakan bahwa baru 1 kamar laginyang siap. Artinya menyisakan 1 kamar lagi. Ketika yang ke tiga kalinya kami menanyakan keadaan…",1
9,Atanaya Hotel,"Seneng bngettt setelah menunggu 2 th utk bisa Wisata Religi tertunda krn pandemi, 31 Jan - 4 Feb 2022 bisa ngetrip ke Bali dan stay mnginap di Atanaya Hotel Bali, hotelnya mantap, servisnya okeee, makanannya jg masuk rasanya di lidah 😁😁 pokoknya semua okee punya 👍👍 gak nyesel pokoknya",5
10,Atanaya Hotel,"Berada di jalan Sunset bagi kami menjadi lokasi yg pas utk bepergian ke sekitar Bali, suasana jalan besar tetapi tidak terlalu padat juga memberikan kualitas istirahat yg maksimal. Kolam renang ikonik apalgi bagi anak2 membuat senang hati para orangtua, pelayanan ramah dan cepat serta tanggal memberikan sensasi tersendiri. Proses check-in/out juga selalu cepat, tidak jauh dr pantai bahkan kuliner pak Malem atau Gusto gelato sangat mudah dan cepat dicapai, tak ketinggalan adalah bersebelahan tepat dengan Krisna toko oleh2",5
11,Atanaya Hotel,"Kamar hotel Atanaya sangat nyaman, segar, bersih dan rapi. Selain itu, Hotel Atanaya juga sudah dilengkapi dengan jalur evakuasi ketika terjadi bencana, sehingga lebih saya merasa tenang, dan keselamatan terjamin.",5
12,Atanaya Hotel,"hotelnyaaaaa kerennn  bangetttttt lohh,,, pool nyaa jugaa kerennn bangetttt dong cocok buat foto"" heheh.... makanannya juga enak enakk dan bervariasii, staff staff nya yang super ramah dan sigap membantu kapan aja. pengen balik ke atanaya lagiiiii",5
13,Atanaya Hotel,Pelayanan sangat memuaskan....  fasilitas cukup baik....    rekomen banget untuk keluarga....      Semoga bisa kembali menginap disana....        Lokasi strategis banget....           Sebelah Krisna....             Banyak tempat makanan dan resto2 ok....,5
14,Atanaya Hotel,"Tempat yang sempurna utk stay di Bali, dekat dengan pusat oleh2, restoran,mart. Yang saya suka di rooftop nya, bisa latihan yoga dengan nyaman, udara segar pagi hari, tempat bersih, Pasti akan menginap disana lagi kalau ke Bali 🥰",5
15,Atanaya Hotel,"Jamuan dan pelayanan nya bgus, para karyawan nya humble, pelayanan kepada tamu ramah dan cepat, makanan nya cukup oke, kebersihannya oke, fasilitas kamar standart. Overall pelayanannya sangat memuaskan dan menyenangkan.",4
16,Atanaya Hotel,"-Tempat nya sangat bagus, bersih dan nyaman - pelayanan & crew sangat baik dan ramah - menu makanan yang variatif dan enak - lokasi hotel yang strategis - problem solving yang baik dari semua teman-teman petugas hotel",5
