,hotel,review,stars
0,Bakung Ubud Resort and Villa,"Room : luas dan bersih. Hanya saja kasur + bantal gatal, sprei masih ada debu seperti pasir halus. Tolong kebersihan kasur + bantal ditingkatkan. Dulu saya sering menginap disini tidak gatal kasur + bantalnya, wajah saya sampai bentol-bentol merah kecil ketika bangun tidur. Sprei sudah lobanh tidak diganti. Fasilitas kamar sih lengkap, ac dingin, lemari es dingin. Exhaust fan bathroom berfungsi baik.  Breakfast : sudah mengalami kemajuan taste nya daripada dulu, ham sudah tidak terlalu asin lagi.   Pool : bersih.  Staff : respon cepat sehingga membantu. Tapi ada 1 staff FO wanita yang saat saya datang jutek ke tamu. Kalau setiap mengangkat telpon nada agak membentak, sangat tidak pantas, tanggal 2 desember 2017 sepertinya shift siang sampai malam, saya tidak tahu namanya. Staff…",3
1,Bakung Ubud Resort and Villa,"Suasana yg memberikan hati senang, udara yg sejuk,pelayanan yg baik, rasanya ingin menginap lg dan harapan dapat kamar yg lebih baik lagi. Trimakasih buat servicenya... Topi kenanganku kembali kpdku. Tks",5
2,Bakung Ubud Resort and Villa,"Ini kali ke-2 menginap di sini. Suka karena lingkungan yang nyaman & tenang, dengan view sawah di sekitar hotel yang jauh dari keramaian.  Staf yang ramah, breakfast yang bervariasi sesuai dengan tarifnya. Ada 2 pool, untuk umum & untuk villa. Sayangnya kebersihan kamar kurang. Kami menginap di 2 bedroom villa, lantai di outdoor berlumut & kotor. Kebersihan kamar mandi juga kurang karena mungkin ada celah di atap2nya, sehingga banyak binatang kecil masuk.  Tempat parkir yang sangat terbatas, hanya bisa menampung sekitar 6-7 mobil, sehingga agak susah kalo mau keluar/masuk.",4
3,Bakung Ubud Resort and Villa,"hotel nya bagus, bersih nyaman, tenang, staff sangat ramah, hanya untuk breakfast tidak ada nasi, dan makanan tidak halal nya tempatnya digabung dengan makanan lain, mungkin karna kebanyakan orang asing yang menginap disini, area parkir sempit.",4
4,Bakung Ubud Resort and Villa,"Suatu tempat yang menggunacang mata dan bathin , ketika saya baru sampai di hotel saya langsung disambut, entah dia staff atau murid , yah yang pasti sambutan tersebut sudah memberi kesan bagus, apalagi dengan staff di kantor depan, mereka sangat ramah dan murah senyum, staff seperti merekalah yang patut diacungi jempol, apalagi dengan suasananya, wah bagi orang yang sangat suka mencari suasana damai , tenang , disinilah tempat yang pas , yang sangat bagus untuk mencari suasana tersebut, apalagi dengan breakfastnya excellent ! ,mungkin saya akan datang lagi saat holiday, Bakung Ubud !!!! I Will Come Back Again,,,,",5
5,Bakung Ubud Resort and Villa,"Karena lokasi nya yang agak jauh dari sentral Ubud, tempat ini nyaman dan tenang. Saya menginap di kamar 401, kamar nya luas dan bersih, hotel nya dilengkapi dengan 2 swimming pool. Ranjang nya sih besar tapi mungkin sudah agak tua, spring nya itu kerasa banget pas tidur. Pelayanan nya juga ramah dan saat saya komunikasi lewat email sebelum ke Bali, mereka respon nya cepat. Overall sih good stay, cuma hopefully mereka bisa upgrade kasur nya deh. Kita kemarin ini booking nya room only jadi gak bisa review breakfast atau makanan nya. Saya juga post video room tour nya di Youtube dan blog saya, cuma sayang ga bisa diupload ke TA.",4
6,Bakung Ubud Resort and Villa,"Smua sudut dari hotel ini bagus bgt, bersih nyaman dan yg pasti kamarnya besar... cuma yg bikin ga nyaman sama receptionistnya dari dtg uda nunggu check in pesennya studio suite malah dikasi deluxe room y untgnyq stlh di cek mereka yg kliru,  uda gtu pas pagi2 dikira g ada tamu housekeepingnya buka pintu kamar pas kita tidur... selain itu hotelnya masuk gang yg cukup 1 mobil... ",4
7,Bakung Ubud Resort and Villa,Lokasi yg jauh dari keramaian.. Sepi dan tenang. Kamar menghadap ke pool.. Suka dengan kamar saya menginap. Kamar mandi bersih. Pelayanan ramah. Sayangnya breakfast tdk bisa di bungkus jika tdk sempat mkn di hotel.. ,3
8,Bakung Ubud Resort and Villa,"Saya menginap di room 105. Room yang cukup luas, sangat bersih, ammenities lengkap, bed besar dan nyaman. Hanya saja toilet nya beraroma kurang sedap, sepertinya bau berasal dari exhaust fan, seperti bau bangkai tikus. Tolong di cek lagi agar tamu yang lain menginap di room 105 bisa nyaman.   Untuk sarapan rasa nya perlu ditingkatkan lagi, daging ham nya sangat asin. Tapi untuk menu restoran yang lain saya pesan makan dikamar (room service) rasanya enak ( pizza & burger ).   Staff nya ramah-ramah dan sopan. Cepat tanggap permintaan tamu.  Lahan parkir kurang luas.   Overall Bakung Ubud very recommended..",4
9,Bakung Ubud Resort and Villa,"Hotel cukup bagus dan kamar cukup besar. Style : modern Asian. Kolam agak berbau kaporit. Pilihan breakfast very limited dan reloading agak lama. Lokasi jauh dari pusat keramaian dan terpencil di atas. Area sepi. Menyediakan bus transfer pp ke pura ubud, pusat. Bilamana membawa mobil, parkir mobil agak susah karena area parkir yang kecil dan sempit.",3
10,Bakung Ubud Resort and Villa,"Tidak jauh dari monkey forest, Resort dan villa ini sangat cocok bagi yang tidak terlalu menyukai keramaian. Tersedia shuttle dari dan ke pasar ubud. Bagi yang menyukai seni, lokasi resort dan villa ini juga tidak jauh dari museum antonio blanco. So far tempatnya keren meski lahan parkirnya sempit.",4
11,Bakung Ubud Resort and Villa,"Resort dan Villa ini mungkin belum lama dibangun atau baru direnovasi, karena masih terdapat beberapa alat bangunan waktu saya menginap disana. Akhir bulan Juni lalu, saya menginap disini dengan booking kamar deluxe double, di upgrade ke studio double tanpa dikenakan additional charges.  Bakung ubud juga menyediakan shuttle antar jemput bagi para tamu sampai dengan daerah monkey forest. Karena letaknya sangat dekat dengan monkey forest, pasar ubud dan puri ubud. Dan tersedia pula kolam renang outdoor.  Kekurangannya adalah lahan parkir yang sempit.",4
12,Bakung Ubud Resort and Villa,"front office tidak berkata apa adanya, akses tidak cocok untuk mobil besar, kamar di lantai 3 tidak ada lift, makanan kurang enak, kolam renang ada dua, yg pertama agak kecil di depan villa, yg kedua medium  kami menginap di Villa dan kamar hotel, Villa ok, dan di kamar bersih, cukup besar, tenang       ",3
13,Bakung Ubud Resort and Villa,"Kamar nomer 103 sangat luas, ada bathup di kamar mandi, air panas sangat bagus, ada 2 kolam renang yg cukup besar, pelayanan seluruh staff sangat bagus, recommended untuk menginap di ubud, kekurangan mungkin hanya lahan parkir yang hanya bisa menampung 5 - 7 mobil saja",5
14,Bakung Ubud Resort and Villa,"Hotelnya bagus dan lokasinya bagus juga, sangat bersih, kolam renangnya bagus. Dan hotel memiliki 2 kolam renang, Sarapan enak di restoran. Dekat dengan istana ubud, semuanya tersedia saat Anda melangkah keluar dari hotel.",4
15,Bakung Ubud Resort and Villa,"Area lansekap dan kolam renangnya bagus. Kamar membutuhkan sangat lelah dan membutuhkan banyak perhatian dan perawatan yang penuh kasih. Menu restoran juga membutuhkan upgrade. Staf sangat ramah dan berusaha keras untuk menyenangkan. Ya, Anda mendapatkan apa yang Anda bayar tetapi dalam hal ini, saya tidak percaya akomodasi ini menawarkan nilai uang. Memiliki potensi yang sangat besar.",3
16,Bakung Ubud Resort and Villa,"Kami tinggal di sini selama 2 malam dan hanya memiliki positif untuk mengatakan, staf yang ramah dan sangat membantu, sarapan sangat baik dengan berbagai. Kamarnya sangat bersih dan area kolam. Mereka bahkan menawarkan layanan antar-jemput gratis ke area utama.",5
17,Bakung Ubud Resort and Villa,"Kami tinggal sangat indah, banyak fasilitas, restoran, dan spa yang sangat bagus. Wifi sangat bagus dan sukses. Selain semua ini, yang membuatnya sangat bahagia adalah senyum dan minat staf. Mereka semua muda, orang-orang selalu tersenyum. Besar atau kecil, tidak ada permintaan yang ditolak, mereka berhasil menyenangkan kami",5
18,Bakung Ubud Resort and Villa,"Tinggal di sini 5 malam termasuk sarapan dengan tunangan saya, sangat singkat itu adalah rata-rata menginap, staf sangat baik. Kamar perlu TLC, kamar pertama kami tinggal, selokan di kamar mandi (206) sangat sangat menjijikkan dengan bau, juga langit-langit bocor, jadi kami memastikan kami mengubah kamar pada hari kedua. Rumah tangga lupa memberi kami handuk bersih 2 atau 3 kali, bukan masalah besar saya kira. Baca ulasan tentang sarapan menjadi surgawi. . tidak menilai, menghadiri 1 sarapan dan makan sesendok sereal. . hakim sendiri!",3
