,hotel,review,stars
0,Bali Corail Villa,Rekomended banget tempatnya untuk honeymoon .. tenang.. bersih .. cocok utk yg butuh privacy yg lebih ..  tiap pergi kamar di rapihin .. hehhe ... next mau nginep di sini lagi ... ga bs move on .. hahahhaha,4
1,Bali Corail Villa,"Suasananya sepi, nyaman sekali ada private pool nya, bersih dan ramah-ramah pelayanannya. Lokasinya memang agak sulit ditemukan, namun jika mengikuti maps, pasti ketemu. Villa ditengah kota, namun tidak menimbulkan kebisingan dari kendaraan yang lewat.",4
2,Bali Corail Villa,"Bagi pasangan yg ingin honeymoon, bali corail villa merupakan pilihan yg recommended krn tempatnya yg sgt tenang jauh dr kebisingan, aman, bersih, nyaman, pokoknya oke dan terjangkau dari groupon. Hanya saja variasi dan cita rasa makanan perlu ditingkatkan",4
3,Bali Corail Villa,Smuanya bagus bgt. Lokasi agak jauh tapi smuanya bagus untuk keluarga sangat recomanded deh.  Bersih nyaman alat masak tersedia. Cuma microwavenya tdk bekerja dengan baik. Dan tidak ada dispenser jadi harus beli mineral water lagi. Dan welcome drinknya dikasib syrup alangkah baiknya fresh juice. Krna jeruk disana murah sekali.  Breakfasgnya juga di perbanyak variannya.,4
4,Bali Corail Villa,"Villa ini sangat bagus, kamar nya juga luas serta ada private pool yang bisa kami gunakan secara pribadi. Ruang tamu juga berada di samping pool sehingga kami dapat menikmati pagi hari dengan nyaman. Dapur juga sangat lengkap dan kami bisa masak apabila kami ingin makan.",5
5,Bali Corail Villa,"recomended place..tempat yang nyaman, bersih, semua petugas sangat baik dan cepat merespon sesuatu untuk breakfast harus ditingkatkan dari segi rasa dan harus banyak variasinya untuk pelayanan sangat baik, bapak satpamnya sangat ramah ",5
6,Bali Corail Villa,"Desainnya sangat nyaman, Propertinya simpel & smua dapat dipergunakan dengan baik. Properti di dapurnya lumayan lengkap, berasa dirumah hehe Kebersihannya juga terjaga, Pelayanannya ramah, Fasilitasnya membuat kami, dibikin sangat nyaman karna ada fasilitas antar jemput ke airport  ",4
7,Bali Corail Villa,"Pelayanan bali corail sangat ramah, tempat yg tenang, villanya bersih. Harganya ok. Semoga makanan dapat ditingkatkan variasinya dan layanan kamar yg menerima pesanan makanan di saat malam2 malas untuk keluar.",5
8,Bali Corail Villa,Untuk makanan nya menu nya kurang variatif dan untuk shower air panas nya panas nya sebentar doang.. so far semuanya bagus dan memuaskan.. buat pasangan pengantin baru recommend bgt deh buat honeymoon di bali corail,4
9,Bali Corail Villa,"Walaupun letak Bali Corail Villa agak tak terduga, tapi pengalaman menginap disana sangat  menyenangkan. Tempatnya nyaman, cukup dekat dengan beberapa tempat wisata di Bali (usul kami gunakan motor agar lebih mudah). ",3
10,Bali Corail Villa,Tempatnya enak.. Bersih... Nyaman.. Service juga bagus.. Ukuran pool utk kategori private pool cukup.. Yang kurang dari saya.. Anduk yang tidak menyerap air...dan kurang adanya jemuran.. Dan lokasinya yg sangat terpencil.. Tapi overall oke.. Recomended!!,4
11,Bali Corail Villa,"Pengalaman yang menyenangkan, tinggal di Vilas yang memiliki kolam sendiri. Tempat istirahat yang nyaman (jauh dari keramaian wisatawan). Dapur yang memadai lengkap dengan alat alat yang dibutuhkan sehingga bisa masak sendiri bila membutuhkan ",4
12,Bali Corail Villa,"Memesan villa ini setelah membaca review disini, dan hasilnya sangat tidak mengecewakan. kondisi villa sangat memuaskan, kebersihan sangat terjaga. Didepan kamar ada private pool yang walau terlalu kecil untuk berenang, namun cukup untuk sekedar bermain-main air. Disebelah pool terdapat sofa, meja makan dan dapur. Dan yg menyenangkan dapur sudah dilengkapi dengan perlengkapan memasak, dari mulai kompor, microwave, kulkas, hingga panci & wajan. Untuk yang membutuhkan privasi, villa ini juga sangat cocok, karna tiap villa memiliki gerbang masuk tersendiri dengan tembok yang tinggi. Kekurangan villa ini hanya satu, letaknya yg cukp jauh masuk ke dalam perumahan. Agak menyulitkan apabila tidak membawa mobil pribadi. Papan nama dari jalan besar juga tidak ada, sehingga cukup…",4
13,Bali Corail Villa,"Villa nya enak banget, nyaman, bersih. Cocok buat yg mau Honeymoon  tempat nya private, sepi dr keramaian. Pelayanan nya juga baik.. Dapur nya suka bgt, lumayan lengkap, pool nya juga bersih.. Pokoknya Oke bgt pokoknya, Recommended!! ",5
14,Bali Corail Villa,"Saya menggunakan villa ini bersama orangtua dan adik-adik saya. Lokasinya didalam kota namun cukup sepi dan nyaman sekali untuk liburan bersama keluarga, private pool menjadi tujuan kami memilih villa ini. Harga nya pun terjangkau.",4
15,Bali Corail Villa,"villa yang bersih, nyaman, pelayanannya bagus, petugasnya ramah..suka banget karena tempat juga sangat private. Sangat merekomendasikan tempat ini untuk keluarga atau teman yang mau liburan je bali :)",4
16,Bali Corail Villa,"Bali Corail Villa dengan kitchen, plunge pool dan suasana yang tenang. Cocok untuk honeymoon ataupun liburan bersama keluarga. Banyak pula ditemukan makanan ""halal"" di tempat makan dekat dengan villa. Dapat menyewa motor untuk keliling sekitar Kuta-Legian-Seminyak-Denpasar",5
17,Bali Corail Villa,"1 hari stay di Bali Corail Villa kayaknya kurang, mau sebulan atau lebih kalau bisa.  Lokasi yang sangat cocok untuk menenangkan hati & pikiran. Walaupun agak jauh kemana2 tapi menyediakan untuk sewa mobil jg disana. Pelayanannya sangat baik, tempatnya sangat nyaman dan bersih. Semuanya memuaskan! Sangat....me-mu-as-kan. Yay, wait me there ya. Mau sebulan disana hahaha",4
18,Bali Corail Villa,Menginap di sana sangat puas sekali dan satu lagi masukan buat di sana mengenai breakfast nya kalau bisa menu breakfast nya banyak pilihan supaya tidak bosan dgn breakfast nya untuk semua fasiltas uda sangat baik,5
19,Bali Corail Villa,"Lovely..  Lokasi yg relatif jauh dari keramaian, private pool di dpn kamar membuat suasana sll tenang dan nyaman.. Sangat cocok untuk yg sedang mencari ketenangan. Peralatan kitchen lengkap dan bersih. ",5
20,Bali Corail Villa,"Awal, agak worried karna tempatnya masuk.perumahan.. Masuk di sambut security yang dengan ramah mengarahkan ke reseptionis.. Reseeptionnya kecil.. Aduh dalam hati, makin mengkhawatirkan... Kemudian kami di antar ke kamar.. perjalanan melewati pintu2 kamardengan gembok besi.. Waah makin horror, walaupun susananya asri. Setelah pintu kamar tempat kami dibuka.. Waah ternyata bersih.. Bagus overall.. Sayang capasity hot waternya, tidak banyak.. Apalagi kalau mandi pakai hot water khan byasanya enak berlama2. Tp baru mandi 10 menit, air sudah mendingin.. Recommended places..",4
21,Bali Corail Villa,"Villanya cukup bagus, private, komplit, nyaman. Tp saya sdkt terganggu dg susahnya mencari channel tv lokal. Saya kira nomor channel tv lokalnya dr 1-20, ternyata mulai 65 dst, bikin pusing.  Saya menginap 2 malam, di malam kedua kolam renang saya dicemplungin sama kodok, hihihi. Jadi besok paginya ga bs berenang deh. Yaa walaupun filter kolam renang jalan terus tp kan tetep ada rasa takut dan jijik. Btw, kitchennya komplit, jd bisa masak bareng suami, tambah makin romantis honeymoon nya",3
22,Bali Corail Villa,"nyaman dan amat relaxing, pelayanannya juga bagus. soal harga pas sesuai villa. walaupun jauh dari kuta tapi bali corail sangat worth it karna unwind dan relaxing. di villa juga menyediakan jasa rent car hanya 250/ malam (bisa bargain) breakfastnya lumayanlaah.. dan tiap hari ada yang membersihkan kamar. saya amat puas! definitely will come back",4
23,Bali Corail Villa,"Saya menggunakan voucher groupon, dan sangat puas dengan kondisi villa dan pelayanan nya, semoga dapat terus ditingkatkan lagi dari segi kualitas properti, parkiran dan akses jalan ke lokasi bali corail villa",4
24,Bali Corail Villa,Worth every penny ..! Kamar yang bagus dan nyaman.. Private pool yang bikin kesemsem bikin betah dan berasa rumah sendiri..  Mungkin yang perlu ditingkatkn adalah ketersediaan customer service nya krn sering tdk ad di front office,4
25,Bali Corail Villa,"Pengalaman menginap yang sangat menarik. Vila yang cukup luas. setting honeymoon room nya bagus dan menarik. kondisi vila tenang dan jauh dari keberisikan aktivitas kota sehingga, cocok untuk pasangan baru yang ingin honeymoon. Breakfast bervariasi,menarik,dan enak. keamanan, kebersihan,dan fasilitas yang ada sudah baik.",4
26,Bali Corail Villa,"Tempat sangat nyaman dilengkapi dengan privat pool, kitchen beserta prabotannya, bersih kamarnya, tertata rapi, dan harum... sangat terjaga privasi dan aman. Dilengkapi dengan Staff yang ramah dan sangat meberikan service dengan baik.",4
27,Bali Corail Villa,"Terbilang murah untuk mengambil paket honeymoon disini, apalagi pada saat itu saya mengambil 5D4N hanya 2,6 juta saja. Sudah termasuk free return airport transfer PP, 1x Massage 60 menit, Breakfast All Day. Shuttle Seminyak Centre, Private Pool with 2 Bed Room, Furniture Lengkap...  Bagi saya, tidak hanya bagi para pengantin baru. Tapi villa ini juga cocok untuk keluarga muda. Feels Like Home deh pokoknya hehe",4
28,Bali Corail Villa,"Saya menginap bersama suami dan anak saya yg berumur 3 thn.. Kami sangat menikmati liburan kami.. Plunge pool yg bersih, kamar tidur yang nyaman dan wc yang bersih.. Saya sangat merekomendasikan bali corail villa.. Saya akan datang lagi next time untuk berlibur.. Thx bali corail..",5
