,hotel,review,stars
0,Batur Mountain View,Recomended buat yg kangen atau cari udara sejuk di bali dan yg suka fotografi asik juga sih buat foto disini ...pas dah mountain batur view pilihannya..  +-40km /1jam30menit dr kota denpasar  *jng lupa pake jaket yeee biar ga hipo hahahaha  Enjoyyy and brrrrr,5
1,Batur Mountain View,Tidak pernah bosan dan selalu ingin kembali kesini. Coba turuni jalan kebawah anda akan sampai ke tempat yang lebih spektakuler. Ada pemandian air panas terkenal dan daerah sepanjang jalan dipenuhi dengan batu batu alami yang indah. Spektakuler!!!,5
2,Batur Mountain View,"Salah satu tempat paling damai yang pernah saya tinggal, ini adalah suatu keharusan jika Anda di Bali. Ini adalah bisnis milik keluarga, dengan kamar yang sederhana namun indah, dan pemandangannya menakjubkan. Makanan di restoran juga luar biasa. Keramahan dari dunia ini. Anda akan merasa seperti keluarga. Anda juga dapat mengatur transportasi dan wisata ke Mt. Batur dan sumber air panas. Tidak banyak yang bisa dilakukan di daerah itu di malam hari, jadi bawalah beberapa kartu dan mungkin beberapa alkohol. Perjalanan ini adalah bulan madu saya jadi itu sempurna untuk itu. Suan dan keluarganya bahkan membuat api unggun untuk kami. Saya akan terus kembali pasti dan saya merekomendasikan hal ini kepada siapa pun yang ingin bersantai dan bersantai. Ini bisa menjadi sedikit dingin di…",5
3,Batur Mountain View,"Kami tinggal di Batur Mountain View selama 3 malam dan terpesona oleh pemandangan spektakuler Batur, Gunung Agung, kawah, danau, dan area sekitar Kintamani.  Tuan rumah sangat ramah dan ramah, membuat kami merasa sangat welcome dan kami mengundang kami untuk mengalami budaya Bali yang benar, asli, dan otentik. Makanan yang luar biasa, segar dan begitu banyak pilihan untuk dipilih.  Kami awalnya merencanakan untuk melakukan perjalanan matahari terbit ke Batur tetapi mengubah rencana karena hamil 6 bulan. Matahari terbit dari hotel akhirnya sama-sama menakjubkan. Banyak kegiatan lain yang dapat dilakukan di daerah setempat dan dapat dipesan langsung melalui hotel dengan harga yang bagus; sumber air panas alami, air terjun, tur berpemandu melalui beberapa kuil terbesar di Bali.…",5
4,Batur Mountain View,"Ketika kami tiba, mereka tidak memiliki kamar yang kami minta dan memberi kami upgrade gratis ke kamar superior. Ruangan itu bersih dan memiliki pemandangan yang menakjubkan. Staf ramah dan merawat kami. Kami memiliki gado gado untuk makan malam di restoran mereka dan itu sangat bagus.  Bagian terbaik dari tinggal di sini adalah trekking. Kami melakukan perjalanan panjang. Pemandu kami, Mavid, tahu jalur dan tempat terbaik untuk menjauh dari keramaian yang melakukan perjalanan matahari terbit. Dalam perjalanan, kami sendirian di jalan. Dia menemukan tempat di mana tanahnya hangat untuk tetap hangat saat matahari terbit. Dan, saya agak takut menuruni jalan yang curam, jadi Mavid memberi kami tongkat jalan dan memegang tangan saya melalui semua halte yang sulit. Dia berasal dari…",5
5,Batur Mountain View,"Setiap orang sangat ramah dan membantu penuh, seorang gadis (saya tidak tahu nama) sangat membantu penuh selama kami tinggal, sangat baik untuk istirahat, kamarnya sangat bagus dan saya baru saja bangun dengan pemandangan gunung Batur di luar rumah saya. kamar Menyenangkan Terima kasih banyak",5
6,Batur Mountain View,"Mengunjungi lokasi ini pada perjalanan satu hari, lokasi yang luar biasa di Bali, alam waktu berikutnya akan melakukan pendakian ke puncak, sayangnya di area pengintai ada banyak orang yang mencoba untuk menjual barang-barang masih, sayang sekali hal ini terjadi di lokasi yang indah alami. Pasti layak dikunjungi. Beberapa banyak suhu lebih dingin di atas gunung-gunung, perubahan yang menyenangkan dari panas menyengat di tanah rendah.",5
7,Batur Mountain View,"Staf bekerja keras dan sangat ramah dan menyambut. Pemandangan Gunung Batur yang sangat luar biasa! Namun makanan sangat rata-rata (kami hanya makan Carbonara) dan kopi sangat mengerikan! Kami duduk dan makan di luar tapi ada begitu banyak lalat dan kami harus duduk di dalam. Dapur adalah baik-baik saja, jika Anda tidak melihat ke dalam. Kami memesan perjalanan kami melalui hotel dan kami pergi pada perjalanan panjang. Saya tidak akan merekomendasikan perjalanan ini jika Anda takut ketinggian atau tebing atau dekat pengalaman kematian! Semua perjalanan turun satu tapi perjalanan melalui hotel ini pergi dengan cara yang berbeda dan semua dari mereka adalah mengerikan, sangat berbahaya. Perjalanan singkat yang lebih dari cukup. Kamar yang sangat dasar, kami memiliki semut…",2
8,Batur Mountain View,Hotel yang bagus di daerah Kintamani di Bali. Saya telah tidak tinggal di sana tetapi menghabiskan beberapa jam ada dan makan siang. Pemandangan Gunung Batur dan danau dari hotel ini spektakuler. Tapi menjelang Road Hotel adalah tidak dalam kondisi yang baik. Banyak kendaraan besar yang membawa batu terus lewat jalan lingkungan yang berdebu dan membuat kebisingan di luar. Ini adalah negatif besar bagi hotel ini. Makanan yang berkualitas baik dan kuantitas yang bijaksana. Staf sangat ramah.,4
9,Batur Mountain View,Pacar saya dan saya tinggal di sini selama 2 malam. Pemandangan luar biasa dan saya benar-benar menikmati makanan. Namun sisi buruknya adalah truk! Hotel ini terletak di sebelah jalan besar kuart truk yang akan naik dan turun sepanjang hari (mereka mulai berhenti di 12 pm dan mulai di 2 jam) sangat sulit untuk tidur. Kami harus pergi ke ATM dan staf yang cukup baik untuk memberikan pacar saya lift di sana dan kembali dengan tidak ada biaya. Hotel ini sangat terisolasi dan Anda tidak dapat berjalan ke restoran atau bar dll.  jika Anda berencana tinggal di sini membeli makanan/makanan ringan dan mengambil novel yang bagus untuk membaca dan bermain kartu.,3
10,Batur Mountain View," lokasi yang buruk. Ada truk membuat kebisingan sepanjang waktu.   Kamar yang sangat buruk. Itu dingin di dalam dan tidak ada pintu antara kamar dan kamar mandi.   Tetap masalah dengan air panas  Tidak ada wifi - wifi di dalam kamar, mengerikan kecepatan internet di lobi.   Staf tidak berguna.   Ya, dengan pemandangan amasing, tapi itu tidak layak.",1
11,Batur Mountain View,Saya membaca ulasan buruk tentang pemesanan ini. Com dan kami memesan itu juga. Kesalahan besar untuk beberapa alasan.   1. Jalan ini terletak di sebuah tambang jadi ada tugas berat truk itu sepanjang hari dan sepanjang malam. Maksud saya ini. Jalan penuh dengan lubang dlm batu karang dan ditutupi oleh banyak dari truk diesel yang dapat Anda lihat dalam hujan. Ini sangat berbahaya.   2. restoran yang kotor dan tercakup dalam lalat. Saya tidak melebih-lebihkan ini. Kami melihat ke dapur dan juga kotor.   3. Makanan yang tidak memiliki rasa. Telur yang dikremasi dan miskin pilihan buah.   4. Staf seragam kotor. Tuhan tahu apa yang mereka adalah seperti. Kami juga telah diambil dalam dari balkon kami. Aneh.   5. Ada dua anjing yang berkeliaran di halaman. Ini sangat tidak peduli…,2
