,hotel,review,stars
0,Brits Hotel Kuta Legian,"Kamarnya lumayan luas untuk berdua, kebersihan kamar oke dan playanan stafnya cepat dan ramah2... lokasi lumayan bagus krn di pinggir jalan raya jd gampang kalau mau gojek makan...pokok eee mantap lah................",4
1,Brits Hotel Kuta Legian,"Hotelnya bagus dan berada tepat di pinggir jalan Sunset Road, Kuta, Bali. Akan tetapi karena konsep jalan di depan adalah searah sehingga jika ingin berencana ke arah pantai Kuta, harus memutar jalan dari belakang.",4
2,Brits Hotel Kuta Legian,"Hotel nya sangat nyaman sekali, pelayanan nya sangat memuaskan,kamar bersih dan rapi.lokasi nya cukup strategis dipinggir jalan mudah untuk mengakses kemanapun.tingkat keamanan hotel pun sangat baik dan memuaskan",5
3,Brits Hotel Kuta Legian,"Hotelnya sudah bagus, tapi sayang pegawainya kurang ramah & tidak informatif. Dari awal masuk sy tidak di informasikan kalo kamar yg sy minta tidak tersedia.   Syg sekali, hotel sekelas bintang 4 memiliki pelayanan seperti ini!",1
4,Brits Hotel Kuta Legian,"Dari awal check in,  front office jg tidak ramah. Setelah check in pun,  karena saya menitip barang sblm check in.  Katanya mereka akan mengantarkan langsung barang saya ke kamar.  Akan tetapi setelah 1 jam saya menunggu di kamar, barang saya belum juga kirimkan ke kamar,  saya sampai beberapa kali menelpon ke front office. Alasan mereka troley nya dipakai.  Kalau memang troley dipakai harusnya mereka bisa info ke kita supaya kita tidak menunggu terlalu lama untuk itu.  Belum lagi di malam kedua saya minta kunci cadangan,  jawaban dari front office adalah ""kami tidak bisa memberikan kunci cadangan"" Seumur saya dari hotel ke hotel belum pernah satu pun yang menolak memberikan kunci cadangan. Belum lagi renovasi di kolam renang yang tidak selesai2,  kamar saya yang berisik karena…",1
5,Brits Hotel Kuta Legian,"Kamar hotelnya lumayan besar,nyaman,walau lokasinya tidak dekat dengan pantai namun cukup strategis.fasilitas cukup lengkap.restaurant dengan pilihan makanan yg cukup lenglap,bar,swiming pool.pelayanan ramah dan helpful..",3
6,Brits Hotel Kuta Legian,"Hotel yang nyaman menurut saya sebagai tempat transit dan istirahat kala expolre tempat tempat wisata di pulau bali, aksesnya mudah dan jaraktdk terlalu jauh klo mau menuju kuta atau legian. Kamar ckp bersih, makan jg cukup baik. Kekurangan nya hanya drpan hotel jalan raya, jd suara bising kwndaraan msh terdengar sampai kamar. ",4
7,Brits Hotel Kuta Legian,"Hotel Berbintang dengan harga terjangkau. pelayanan yang ramah dan cepat, kamar hotel yang bersih, rapi dan luas membuat hotel ini cocok untuk menjadi destinasi liburan bersama pasangan atau keluarga. fasilitas lengkap dari kolam renang, area gym dll. letak hotel yang sangat strategis dipinggir jalan sunset road sangat mendukung akses liburan kemana-mana",4
8,Brits Hotel Kuta Legian,"Hotel pilihan di pusat keramaian Kota Denpasar/Legian/Kuta Bali. Pelayanan yang ramah, kamar yang bersih, dan makanan yang enak. Akses yang gampang kemana-mana. Cocok buat liburan pasangan ataupun Keluarga.",4
9,Brits Hotel Kuta Legian,"Staff ramah banget,ada kolam renang,ada tempat bermain anak,kamar lumayan besar,lumayan bersih,ada sofa juga dlm kmr,ada balcon,ada cafe n meja billiard, tapi parkir sempit. Sarapan gak tahu enak apa ngga soalnya sya ambil tanpa bf.",4
10,Brits Hotel Kuta Legian,"Menginap di Hotel Horison Legian Bali selama 2 malam, ada kolam renang cocok untuk yang mempunyai anak kecil, menu breakfast kurang variasi, kamar mandi kurang bersih, staf hotel ramah, jarak Hotel ke daerah Kuta agak jauh dan macet (menggunakan mobil)",4
11,Brits Hotel Kuta Legian,"Dengan harga yg murah, saya mendapatkan kamar yg bagus. Bisa set up honeymoon gratis pula lalu tersedia hair dryer. Kamar yang saya dapatkan sangat nyaman dan luas. kamar mandi bagus dilengkapi dengan pancuran yg bisa untuk berwudhu. Terdapat safety box dan sandal..",4
12,Brits Hotel Kuta Legian,"Lokasi hotel strategis, dekat kemana-mana serta akses trasnportasi mudah. Untuk membawa anak kecil cukup nyaman, karena ada kolam yang tidak terlalu besar untuk anak-anak serta beratap, dan bisa berenang sampai malam. Untuk kebersihan cukup bagus, dan staf ramah. Recomended banget untuk menginap disini bersama keluarga.",5
13,Brits Hotel Kuta Legian,"Dengan nama besar Hotel Horison, seharusnya punya standar yang baik, namun kenyataannya tidak. Pada saat masuk kamar, seprai dan bed cover kotor, sehingga kami harus minta diganti yang baru. Sarapan tidak banyak pilihan dan sayangnya banyak lalat di sekitar. Pengalaman yang tidak menyenangkan menginap di Hotel Horison Legian jalan Sunset Road ini.",2
14,Brits Hotel Kuta Legian,Menginap tgl 18-19 jan 18.. Sangat puas dengan pelayanan mulai checkin sampai checkout.. Staff sangat ramah.. Lokasi lumayan strategis.. Kebersihan cukup ok..  kamar cukup besar & ada seperti sofa bednya.. Overall sangat puas untuk menginap disini..,4
15,Brits Hotel Kuta Legian,"Kami menginap di Horison Legian selama 3 hari 2 malam. Kami memilih menginap disini karena lokasinya sangat strategis di Jalan Sunset Road, dekat untuk ke area Legian, Seminyak, dan Kuta.  Sales Manager dan staf-staf di Horison Legian sangat membantu kami sebelum dan selama kami menginap, apalagi saat kami menginap sedang terjadi erupsi Gunung Agung dan bandara Ngurah Rai ditutup untuk beberapa saat.   Makanan yang disediakan cukup bervariasi dan rasa cukup baik.",5
16,Brits Hotel Kuta Legian,"Hotelnya lumayan bersih, sempat saya telepon hotelnya mau tanya apakah makanannya halal, karena saya muslim. dan mereka bilang ada sertifikat halal. dan waktu saya sampai mereka menunjukkan sertifikat halal nya. dan staf nya ramah. kalau saya ke bali lagi, saya akan nginep lagi d horison. thanks horison bali",4
17,Brits Hotel Kuta Legian,"horison mempunyai standar tersendiri, kamarnya bersih dan nyaman, hotel berkonsep resort, makan paginya standar tidak ada yang istimewa, berlokasi di sunset road daerah legian, bagi yang senang shoping tempat ini agak sedikit jauh dari daerah shoping",4
