,hotel,review,stars
0,Bucu Guest House,"Properti hotel cantik. Kolamnya besar, ada pohon buah-buahan, dan lansekap yang indah. Kamar besar dan beberapa termasuk kulkas tetapi tidak semua. Hotel ini di gang yang aman. Saya menyebutkan ini karena sulit untuk menemukan pada saat kedatangan. Sayangnya kami harus memotong kunjungan kami singkat karena kelembaban di kamar menyebabkan kita batuk dan sakit. Kami percaya itu jamur. Beberapa orang seperti kami terganggu oleh itu tetapi yang lain mungkin tidak. Hanya perlu ditunjukkan. Juga, ada meja tur sangat minim. Mereka bersedia melakukan panggilan untuk Anda.",3
1,Bucu Guest House,"Kami mendapatkan kamar yang paling indah dengan pemandangan yang paling indah! Sedikit berjalan kaki ke jalan utama, tetapi tidak ada perubahan drastis.  Benar-benar menyukai tempat ini! Pilihan sarapan rata-rata tetapi suara mereka sangat lezat! ! Kami pasti akan kembali!",5
2,Bucu Guest House,"Menginap selama 2 malam di Kamar Standard Double. Lokasi bijaksana, Bucu Guest House terletak sangat baik di Ubud, banyak hal untuk dilihat dan dilakukan semuanya dalam jarak berjalan kaki - 10 menit berjalan kaki dari Monkey Forest dan Ubud Palace / Market adalah 15 - 20 menit berjalan kaki. Banyak tempat untuk makan dan minum semua closeby dan Coco Supermarket hanya berjarak 5 menit berjalan kaki. Kolam renang dan area taman sangat bagus dan sarapan disajikan di daerah teras kecil hanya untuk sisi kolam renang. Sarapan baik-baik saja, bagian bisa lebih besar untuk beberapa pilihan yang kami tahu beberapa orang lain telah disebutkan di ulasan. Hanya ada satu soket listrik di ruangan itu, dua lainnya terletak tinggi di dinding dekat langit-langit yang tidak bisa digunakan.…",3
3,Bucu Guest House,"Hotel yang sangat bagus dekat dengan hutan monyet di Ubud. Terletak di tempat yang sangat tenang. Kamar yang besar dan staf yang luar biasa. Kolam renangnya juga sangat bagus. Ada ATM, supermarket dan restoran yang bagus di dekat hotel. 10 - 15 menit berjalan kaki ke jalan utama di mana anda dapat menemukan pasar ubud.",5
4,Bucu Guest House,"Sopir saya parkir di Jl Hanoman jadi saya harus berjalan di gang. Mobil cocok jadi pastikan sopir Anda membawa Anda ke bawah. Itu tepat di ujung geng di sebelah kiri sebelum Anda berbelok ke kanan. Saya tiba di tengah malam dan meskipun saya harus menunggu sedikit, saya disambut oleh Ketut yang cantik. Saya menikmati sarapan dan Ketut sangat akomodatif ketika saya mendambakan nasi goreng di penghujung hari meskipun restoran tutup segera. Putri dan Ketut sangat cantik dan mereka membuat dekorasi yang indah untuk pernikahan. Pada dasarnya terbuat dari playdough. Mereka menceritakan semuanya dan bahkan membiarkan saya mencobanya. Mereka jauh lebih terampil daripada saya. Saya suka bahwa ada kebun sayur di situs yang mereka gunakan dalam masakan mereka juga. Kolamnya sangat bagus.…",5
5,Bucu Guest House,"Apa yang hebat. . . Di bawah jalur Anda berjalan ke jalan masuk yang terlihat sangat sederhana, kemudian sampai ke wisma - Wow! ! ! kolam renang dan taman fantastis. Kamar besar dan nyaman, dibersihkan setiap hari dengan handuk segar. Sangat tenang meskipun Anda berada di jantung Ubud dengan restoran, supermarket, kafe & yoga lumbung di ujung jari Anda - nilai besar untuk uang termasuk sarapan yang menyenangkan.",5
6,Bucu Guest House,"Tempat itu begitu dekat dengan jalan utama tetapi masih sangat tenang dan tenang. Sarapannya ok, laundry yang terbaik sejauh ini di bali (5 minggu tur di belakang saya), kolam renangnya besar, dalam dan bersih. Kamar dan balkon besar & bersih. Tempat tidur nyaman dan besar.  Satu-satunya titik negatif yang mengambil satu poin dari sempurna dalam kisaran harganya, adalah bau bau kotoran yang kadang-kadang muncul di dalam ruangan. Bau yang begitu kuat membuatku terbangun di tengah malam.",4
7,Bucu Guest House,"Lokasi yang tenang, namun cukup dekat ke pusat kota. Pemiliknya sangat baik dan membantu. Kamarnya luas dan menghadap ke taman yang bagus dengan kolam renang yang dapat anda lihat dari balkon anda sendiri. Sarapan standar, tetapi pelayanannya cukup baik.",5
8,Bucu Guest House,"Kami hanya tinggal satu malam di sini, tapi berharap bisa tinggal lebih lama! Tempat ini menandai semua kotak. Kamar kami adalah indah, luas dan sangat ringan. Kami memiliki balkon kecil yang indah yang menghadap ke taman dan kolam renang yang sangat cantik.  Kami tiba cukup awal, pukul 11, tapi mereka mampu untuk memeriksa kami dalam tidak ada masalah, dan itu sangat bagus. Lokasi adalah sempurna, karena itu hanya beberapa menit dari suka Yoga barn dan Monkey Forest, plus banyak restoran dan toko, tetapi karena itu adalah terselip di sisi jalan yang sangat tenang dan damai.  Staf yang fantastis, dan memungkinkan kita untuk meninggalkan kantong kami pagi berikutnya ketika kami pergi untuk kelas memasak. Mereka berbicara bahasa Inggris dengan baik dan sangat ramah dan membantu.…",5
9,Bucu Guest House,Tinggal di sini selama tiga malam sementara menjelajahi Ubud. Lokasi sempurna karena dekat dengan Monkey Forest dan 10 menit berjalan kaki dari Istana Ubud.   Properti sangat bersih dan mempunyai segala yang kami bisa butuhkan. Kolam renang dan tamannya sangat bagus.   Akan merekomendasikan untuk tinggal pendek!,4
