,hotel,review,stars
0,Bumi Ubud Resort,"Kami dipindahkan ke sana oleh hotel lain karena menghadap. Mereka meyakinkan kita bahwa standarnya sama tetapi jauh dari kenyataan. Tidak ada yang mengeluh tentang fasilitas, seperti kolam renang atau restoran, bahkan tentang staf hotel. Apa yang kami temukan benar-benar tidak pada tempatnya adalah kamar mandi. Potongan yang sangat tua. Ada shower dan bath tube. Air dari kamar mandi diarahkan di mana-mana tetapi tidak Anda, dan mandi sangat kotor dan itu sangat menyukai di luar. Ruangan itu ok tapi digigit oleh nyamuk di malam hari karena lubang besar yang kami temukan di kelambu kami di atas tempat tidur. Seprai tempat tidur juga penuh lubang, yang mereka coba tutupi dengan syal khas yang bisa Anda temukan di setiap tempat tidur hotel. Ketika kami dipindahkan, mereka memberi…",2
1,Bumi Ubud Resort,"Jika Anda berada di Bali, dan berencana untuk tinggal di daerah Ubud, Anda tidak dapat melewatkan mengalami keindahan menarik permata properti ini. Bumi adalah salah satu resor tertua dan terbaik di seluruh Bali, mengingat penempatan geografisnya (tepat di sebelah sawah yang subur), Villa yang subur dan fasilitas yang kaya dan flora yang terawat indah (membungkus beberapa fauna yang tersembunyi dan menarik - jangan khawatir, benar-benar aman di sini). Seluruh properti telah dikembangkan sebagai surga alam, dengan penyebaran hijau yang memukau dan bunga berwarna-warni, dan sawah yang menghadap ke kolam renang tanpa batas tepat ke arah Sunrise. . . . . . saya saya, apa yang Anda lihat di sini berenang pagi hari; satu saja tidak bisa cukup! Restoran ditempatkan dengan nyaman di…",5
2,Bumi Ubud Resort,"Kami tiba di hotel dan makan di restoran. Kolam renang indah dan bersih dan makanan oke. Kami pergi ke kamar dan memeriksa tempat tidur dan menemukan beberapa bedbugs. Kami pergi untuk memberitahu resepsionis dan dia bilang itu akan dibersihkan, tapi kami meminta kamar lain. Kami melihatnya ketika mereka membersihkan kamar yang lama, mereka menyemprotkan semut dan hanya mengganti seprai. Yang tidak cukup untuk menyingkirkan kutu busuk. Kami memeriksa kamar baru di mana kami menemukan bedbugs juga. Sepertinya kami harus menjelaskan ke hotel apa bedbugs. Mereka tidak menganggapnya serius dan berpikir itu sama dengan semut.",2
3,Bumi Ubud Resort,"Hotel ini benar-benar damai suasana serta alami. Ini adalah personels alao sangat ramah dan membantu. Tempat ini juga menyediakan shuttle ke ubud, jadi anda tidak perlu membayar uang untuk naik taksi. Namun, suara dari hewan kecil : ) di malam hari bisa sangat mengerikan, anda jika anda ingin tempat ini cukup bksda normal.",4
4,Bumi Ubud Resort,"Apa yang dapat kami katakan, kami sangat dimanjakan! Staf yang hadir dengan semua kebutuhan kami dengan kebaikan asli. Kamarnya sangat luas dengan tempat tidur yang sangat indah dan kanopi taman ini melebihi harapan kami mengingat harga yang murah yang kami bayar. Seluruh hotel rapi dan rapi, tamannya terasa seperti tempat persembunyian yang benar jauh dari kegilaan kota Ubud. Staf yang terhormat, jika anda membaca ini, harap tahu bahwa kami memiliki pengalaman menginap yang luar biasa dan berharap untuk kembali lagi di masa depan.",5
5,Bumi Ubud Resort,Resor ini benar-benar indah. Kamarnya sangat luas. Tempat ini memiliki bak mandi shower terbuka juga. n Hotel ini memiliki taman pribadi di setiap villa. Kami sangat menyukai kamarnya. Kolam renangnya juga indah dengan lanskap. Kamarnya bersih dan kami tidak menemukan jenis serangga. Mereka juga menyediakan layanan antar jemput sampai area pasar.,5
6,Bumi Ubud Resort,"Saya lebih suka tempat yang tenang dan damai daripada ramai suasana pusat kota Ubud, jadi ini adalah tempat terbaik untuk bersantai dengan suasana yang tenang. Kolam renang yang bagus, layanan yang baik dari resor, kondisi kamar dilengkapi dengan baik, dan tidak terlalu jauh dari pusat kota Ubud. Saya rasa harga per malam yang cukup masuk akal. Lain kali saya akan kembali lagi tanpa keragu-raguan.",5
7,Bumi Ubud Resort,"Kami tinggal selama satu minggu di ini tenang hanya Selatan dari propety Ubud. Vila-vila yang baik dipisahkan oleh taman tertutup sehingga tidak banyak suara dari tetangga. Ini adalah tempat yang sangat damai terutama karena kami di sini saat musim liburan bulan Juni.   Hotel ini memiliki sebuah bus shuttle gratis untuk antar dan jemput Ubud sehingga Anda dapat pergi untuk makan malam dan makan siang.   Area kolam adalah luar biasa dengan kolam renang tanpa batas yang menghadap sawah, dan pandangan dari gunung berapi Batur di hari yang cerah. Sarapan adalah tidak sangat menarik dibandingkan dengan hotel lain kami tinggal di, tempat yang lebih murah dan menyediakan sarapan dengan pilihan yang lebih banyak.   Staf yang indah meskipun, seperti yang di mana-mana di Asia Timur sth.…",4
8,Bumi Ubud Resort,"Benar-benar menyukai tempat ini. Itu persis apa yang saya dan mitra saya sedang mencari. Anda berjalan di terkesima dengan keindahan. Ada bunga semua langkah Anda berjalan di dan senyum di wajah semua orang. Anda merasa seperti bangsawan di Anda merasa disambut. Mereka berjalan kaki Anda ke vila yang mengagumkan itu semua milikmu. Itu pribadi, besar dan persis apa yang Anda inginkan dalam liburan. Kolam renang yang besar dan pemandangan ke sawah. Anda akan merasa santai segera setelah tiba. Dekat dengan Ubud, dengan banyak yang harus dilakukan dan penduduk setempat yang akan memastikan kunjungan anda adalah semua yang anda inginkan dan banyak lagi.",5
9,Bumi Ubud Resort,"Layak setiap sen saya 3 - hari menginap di bumi. Jika Anda ingin privasi, berbagai vila yang luas mereka sempurna. Tempat ini tua kindda tapi terawat dengan baik. Semua personel meja depan kru dari Wayan dan juga restoran yang menyediakan sarapan pagi kami Gang setiap hari, kade, terima kasih. Plus gratis transfer ke pusat Ubud. Anda hanya perlu berkoordinasi dengan staf mereka memilih frontdest - sampai waktu.",5
10,Bumi Ubud Resort,"Ini adalah tempat yang damai dan luar biasa 3 hari tinggal, pasti akan kembali ketika saya mengunjungi Ubud lagi. Topi ke Wayan, dayu, dan Kade Ngura untuk mengurus kami. ### hari 3 Ubud Bali ## bumiubudresort villaliving ",5
11,Bumi Ubud Resort,"Kami benar-benar menyukai bumi Ubud - tinggal tiga malam di sini. Benar-benar indah dengan kolam renang yang menghadap ke sawah, makanan yang baik dan sebuah villa yang sangat bagus. Staf yang sangat ramah. Tidak ada tikus yang terlihat, hanya sesekali cicak dan Semut - di mana-mana di bali di rumah dengan atap tradisional. 10 menit berkendara dari pusat Ubud, layanan antar-jemput gratis.  Nilai yang sangat bagus!",4
12,Bumi Ubud Resort,"Suami saya dan saya memilih untuk tinggal di sini untuk bersantai selama 3 hari setelah menginap di hotel lain di hutan monyet jalan selama seminggu. Ini adalah 10 th perjalanan ke Bali dan kali ini dengan anak-anak tidak jadi kami sangat senang untuk bersantai di kolam renang, makan dan membaca buku. Hotel ini sangat bagus untuk itu. Kami menghabiskan hari melihat para petani yang bekerja di sawah. Anda juga dapat menonton bebek dan ada loncatan sepanjang hari (mereka sangat lucu)  Kami berada di villa 107 yang sangat besar, bersih, baru handuk, kamar mandi yang cerah, dapur kecil (yang kita tidak menggunakan) dan taman yang indah. Harga yang kami bayar sangat murah mengingat anda mendapatkan vila pribadi Anda sendiri.  Tukang kebun yang terawat di taman setiap hari sangat…",4
13,Bumi Ubud Resort,Kamar yang sangat besar. Maksud saya besar. Setiap kamar sebenarnya adalah sebuah bangunan kecil. Lokasinya cantik. Infinity kolam menghadap sawah yang indah. Staf sangat ramah dan membantu. Kadang-kadang bahasa inggris adalah masalah ketika ada mobil jemputan. Saya akan senang untuk kembali.,5
14,Bumi Ubud Resort,"Saya tinggal di sini untuk hanya satu malam, untuk merasakan suasana :) saya pikir itu adalah tempat yang bagus untuk menghabiskan bulan madu di sini. Tempat yang tenang, kolam renang yang bagus dengan pemandangan dan staf yang ramah.  Menu sarapan sangat lengkap dan memiliki cita rasa yang bagus.",5
15,Bumi Ubud Resort,"Terletak kembali dari jalan yang sibuk di taman berdinding indah, tenang unit akomodasi, dengan kebun mereka sendiri juga.  Ruangan itu baik ditunjuk, banyak air panas dengan tekanan air yang baik dan kamar mandi yang nikmat. Ruangan itu luas dan tempat tidur ukuran King sangat nyaman. Kulkas kecil, pemanas, gratis botol air setiap hari.  Restoran dan kolam renang menghadap sawah. Yang menakjubkan, pemandangan yang damai. Restoran adalah hanya salah satu yang pernah saya lihat di Bali di mana merokok adalah dilarang. Yang berani dan senang bergerak pada bagian manajemen. Sudah termasuk sarapan yang menawarkan pilihan Amerika, Benua atau Indonesia. Panci besar teh atau kopi Bali - empat cangkir ukuran per orang.  Layanan antar jemput gratis dari Hotel ke pusat Ubud buka dari…",4
16,Bumi Ubud Resort,Staf yang sangat bagus. Kamar yang sangat bersih dan sangat luas. Indah taman dan kolam renang. Makanan yang baik dan tidak sangat mahal. Benar-benar menakjubkan pemandangan sawah dari kolam renang dan restoran.  Hotel menawarkan layanan antar-jemput gratis ke Ubud kota dan mereka juga sangat membantu dan memberikan kita dengan semua informasi tentang seluruh daerah. Kami akan mengunjungi di sini lagi! ,4
17,Bumi Ubud Resort,"Resor yang sangat bagus, jika anda mencari tempat yang tenang dan tenang, bumi ubud resort adalah pilihan yang tepat bagi anda. Bumi ubud memiliki kolam renang indah, makanan yang baik, pemandangan sawah yang bagus dengan harga yang... Saya senang untuk berada di sini untuk satu malam. Saya akan kembali ke sini jika saya memiliki kesempatan lain untuk mengunjungi ubud... ",5
18,Bumi Ubud Resort,"Resort ini sangat luas, dan kamarnya juga besar. Desain kamar agak tua tapi cukup baik jika itu bersih (yang tidak). Ada gecko turun, bahkan bersih mereka, mereka turun lagi di pagi berikutnya. Serangga datang keluar dari wastafel. Namun, di samping hal-hal yang menyeramkan, semuanya bagus. Keramahan, kolam renang dan pemandangan yang luar biasa.  Ada shuttle gratis ke daerah ubud di waktu-waktu tertentu, mereka akan berikan jadwal, tapi saya lebih memilih untuk menyewa sepeda motor (menghubungi resepsionis)",3
19,Bumi Ubud Resort,"Saya sendiri & 2 teman-teman menginap di vila ini selama tiga malam. Lokasi adalah sedikit keluar dari pusat ubud tetapi mudah diakses melalui layanan antar jemput dari hotel dan taksi (tidak membayar lebih dari 80IDR untuk perjalanan). Kolam renang dan sekitarnya sawah indah dan makanan di restoran ini cukup baik.  Namun, kami memiliki beberapa masalah dengan hotel ini. Pertama, ada noda darah di seprai kami, handuk dan kelambu yang terkepung di tempat tidur. Ini sangat tidak nyaman untuk melihat. Kedua, ada banyak lalat dan hewan lain di sekitar kamar, termasuk sebuah gua yang tampaknya terjebak di atap dan terus kita terjaga di malam hari.   Beberapa poin yang baik untuk dicatat adalah bus antar-jemput gratis ke pusat ubud, staf yang ramah (terutama wayan) dan sarapan gratis.",3
20,Bumi Ubud Resort,"saya menginap dengan saudara saya untuk malam terakhir 2 liburan idul fitri idul dan kami sangat senang dengan akomodasi dan staf di sana sangat baik, dan sarapan yang disajikan sedikit lebih lama dari normal, tapi itu baik... semuanya sangat layak dengan tarifnya. villa adalah besar dan bersih, makanan dan snack di hotel ini sangat baik harga dan rasa :) Mereka juga membolehkan kami untuk check out terlambat karena sopir kami terjebak di tengah kemacetan lalu lintas dan datang terlambat untuk menjemput kami. terima kasih kepada semua orang di bumi ubud resort dan berharap dapat datang dekat agaiin.",5
21,Bumi Ubud Resort,"Memesan dua malam mengunjungi melalui pemesanan. com dan mendapat kesepakatan yang luar biasa. Kami tiba di akhir april, saat musim tidak ramai, dan hanya memiliki seluruh resor untuk diri kita sendiri. Villa kami tinggal di adalah besar, dan terorganisir dengan baik, sangat bersih dan nyaman. Setiap villa dikelilingi oleh sendiri/dinding batu beton. Ini adalah tua dan dinding ditutupi oleh pepohonan, yang membuat setiap vila terpisah, tempat peristirahatan pribadi.   Wifi di kamar fantastis dan kolam renang/restoran daerah. Menu di restoran menawarkan masuk akal berbagai hidangan barat dan tradisional.   Ada sebuah bus shuttle gratis yang akan membawa anda ke ubud dan kembali.  Kolam renang adalah sangat bersih dan tidak lebih dari terklorinasi. Sangat baik ukuran kolam renang…",5
22,Bumi Ubud Resort,"Kami punya waktu yang indah di resor ini. Bagus besar santai dengan kolam renang yang luar biasa. Staf sangat ramah dan sangat membantu. Tidak semua staf bisa berbicara bahasa inggris, yang merupakan masalah ketika kita disebut hotel untuk mengatur transportasi dll. Mereka membuat setiap usaha untuk memastikan kebutuhan tamu mereka terpenuhi. Aku tidak ingin meninggalkan.",5
23,Bumi Ubud Resort,"kamar itu besar, mereka memiliki sofa dan meja makan, fasilitas lengkap, baik taman pribadi mereka menyediakan tempat bersantai di taman pribadi.  Pemandangan dalam perjalanan ke restoran tapi rapi n bagus, secara khusus di kolam renang...  pemandangan indah bidang padi hijau di sepanjang jalan, jadi santai dan damai...  Aku merencanakan untuk mengajak keluarga besar saya di kunjungan saya berikutnya.  lokasi hotel ini agak jauh dari beberapa, tapi itu baik-baik saja jalan disana...",5
24,Bumi Ubud Resort,"Makanan, kenyamanan & eksotis. Anda bisa melihat pemandangan dari sawah dan kolam renang. Kamar memiliki ruang yang luas dan kamar mandi juga. Aku membawa keluarga saya di sini untuk liburan natal. Anak-anak saya benar-benar menikmati kolam renang. Hanya mengagumkan!",4
25,Bumi Ubud Resort,"Untuk alasan apa pun yang telah kami semua untuk diri kita sendiri dan tempat ini adalah surga. Masing-masing vila lengkap dengan tekstl. Staf tidak berbicara bahasa inggris yang baik tapi mereka benar-benar penuh perhatian. Meja depan manajer mengantar kami di mana-mana. Mereka babysat bagi kita, membuat makanan khusus, dan bahkan membunuh orang berdasarkan permintaan.",5
26,Bumi Ubud Resort,"Kolam renang yang indah dan pemandangan - indah dan tenang. Staf yang besar, satwa liar adalah besar dan lokasi adalah besar. Kamar luas seperti kamar mandi, namun, mereka sangat, sangat lelah dan membutuhkan beberapa dasar pemeliharaan penegasian. Ini juga akan menjadi baik untuk tahu bahwa jika anda menggantung handuk anda untuk menggunakan hari berikutnya itu tak akan berubah... grrr! Ini juga akan menjadi besar untuk kembali mengisi botol air anda, bukan mendapatkan baru botol air setiap hari. Itu fantastis untuk memiliki beberapa besar penggemar untuk bergerak udara di sekitar... itu akan membuat perbedaan besar untuk kenyamanan tamu di luar ruangan di area restoran. Wifi di kamar sangat baik, namun, sebagian besar teman-teman dan kolega punya masalah dengan wifi di kamar…",3
27,Bumi Ubud Resort,"Saya dan istri saya mengunjungi minggu lalu untuk 3 jam di malam hari. Ini adalah tentang 1 jam dari bandara denpasar dan sekitar 15 menit dari 'pusat' ubud. Ini berarti bahwa hotel adalah area tenang namun dalam beberapa menit anda ketika dikelilingi oleh moped & mobil oleh 100 's.   Staf hotel adalah sangat ramah dan sangat membantu. Kamar-kamarnya sangat besar dan jika anda digunakan untuk minimum 3 bintang, anda harus sedikit berpikiran terbuka. Apa yang anda dapatkan dalam kepribadian kulikat kaudobrak di umum. Saat makan di sekitar kolam renang, anda mulai melihat bagaimana anda dikelilingi oleh banyak serangga. Saya kira ini adalah yang diharapkan jika anda tersembunyi di dalam nasi paddys namun bantal bulu sebelum anda pergi.   Kolam renang adalah baik-baik saja, sedikit…",3
28,Bumi Ubud Resort,"Kami memiliki enam malam di sini dengan tiga kamar dan pikir itu hebat, dan nilai untuk uang yang luar biasa.  Restoran itu baik, yang selalu suka musik bali seperti tempat-tempat lain, tapi ini adalah bali setelah semua. Beberapa hal yang hilang dari menu, tapi bukan masalah besar, dan staf selalu sangat serbasalah.  Antar-jemput ke ubud bekerja benar-benar baik dan kami selalu fleksibel. Lalu lintas dapat buruk di ubud jadi bertanya di resepsionis jika bekerja pada jadwal yang ketat.  Suasana yang tenang dan selalu Wonerful dibandingkan dengan tempat-tempat untuk pertama kali.",5
29,Bumi Ubud Resort,"Setelah mengatakan bahwa kamar adalah tempat yang indah dan aku bisa menghabiskan lebih banyak waktu bersantai di tempat yang tenang ini. Kamar besar dan begitu adalah kamar mandi. Udara con tenang dan air panas adalah panas! Bye dan cabana pribadi anda berarti anda merasa seperti itu adalah rumah anda. Kolam renang tampak lebih dari bekerja di sawah dan bebek-bebek lucu juga melihat :)  Hal ini seperti bar membuat pengaturan untuk kegiatan sehari-hari, selalu memberikan saran pada anakku. Ada antar-jemput efisien dan cara efektif untuk pergi ke ubud. Satu-satunya kelemahan adalah bahwa tidak semuanya pada menu restoran yang tersedia, mungkin menu harian akan lebih baik dan bir selalu dingin tidak! ",4
30,Bumi Ubud Resort,"Kami memutuskan untuk tinggal di bumi ubud resort karena itu agak jauh dari pusat kota, sehingga kami dapat menghindari lalu lintas malam besar di lokasi yang sangat damai dan lingkungan:  hotel ini besar, modern, dengan benar-benar baik dan tempat tidur yang nyaman, kamar mandi besar dengan banyak cahaya + kolam renang adalah benar-benar bagus, dengan pemandangan ke sawah. + anda memiliki perasaan bahwa anda sendirian di tempat ini. Tidak ramai di semua.  + sarapannya baik. Mereka membantu kami untuk menemukan dan memesan wisata terbaik taksi ke bandara, mereka sedang menunggu di semua waktu dan layanan sangat mengagumkan + sarapan termasuk dan itu sangat menakjubkan! Anda bisa memilih 3 jenis sarapan, semua benar-benar pada buah-buahan dan telur atau termasuk indonesia.  + ada…",4
31,Bumi Ubud Resort,"rata-rata adalah ok + Kolam renang yang sangat bagus dan pemandangan luar biasa di green field hotel Bungalo adalah indah dan modern dengan kamar yang cantik + Sarapan ok  - Kamar mandi adalah tua dan perlu diperbaiki - Hotel ini jauh dari pusat dan terdapat layanan antar-jemput tapi sekali kita telah menunggu 45 menit untuk kami untuk datang. Kami tinggal di 21:15 Meetibg dan mereka hanya tiba di 10,00 tanpa terlihat kuno yang kombi - ini adalah pengalaman yang sangat buruk - tidak merekomendasikan - Aku benci pengebun untuk datang dan membersihkan garden di 9:00 bugalow iooking di dalam - sangat miskin privacity, idem untuk layanan kamar di bungalow datang lebih awal di pagi hari - resepsionis adalah sopan di hari terakhir saat kami meminta di apa waktu kita akan pergi…",3
32,Bumi Ubud Resort,"Kami makan di luar tentang 8 kruku vila dan tampaknya ada lebih banyak tamu tinggal tapi anda tidak tahu karena itu begitu pribadi dan tenang, area kolam renang adalah sepotong surga, pemandangan indah tempat untuk makan dan berenang, dan vila kami adalah luar biasa! Secara keseluruhan, kunjungan kami ke ekspedisi iook kunjungan berikutnya!",5
33,Bumi Ubud Resort,"Kami baru saja kembali dari menginap di bumi ubud dan menyukainya. Karena itu, itu sangat damai tempat untuk tinggal dan kamar pribadi/taman sangat fantastis! Itu merasa seperti sedikit surga dari hiruk pikuk dengan staf yang sangat ramah (bahkan jika mereka tidak berbicara banyak bahasa inggris.) Mereka yang sangat membantu dengan anak-anak kita dan membantu kami dengan bayi kami kami bertanya. Ini adalah perjalanan singkat ke ubud, meskipun kami merasa itu benar-benar baik karena mereka fleksibel dan mengantarkan kami ke kota setiap kali kita dibutuhkan...   Di kolam renang itu menghadap ke sawah yang sesungguhnya dan seluruh suasana adalah hanya dingin... nilai yang besar untuk uang! ",5
34,Bumi Ubud Resort,"Kami tidak cukup istimewa untuk menjadi satu-satunya tamu di resort ini. Kami tinggal di sana selama 3 malam dengan bayi kami 10 bulan dengan kami untuk menikmati bulan madu. 10 babybed di dengan kelambu, tanpa ada biaya tambahan. Staf sangat ramah dan pergi di atas dan di luar untuk melayani kami. Mereka bermain dengan bayi kami dan tampak setelah. Mereka menawarkan layanan antar-jemput gratis ke kota setiap kali kita datang. Dan kita punya beberapa menyenangkan percakapan dengan mereka. Villa kami tinggal di adalah sangat luas dan kami terutama menyukai mereka taman dengan bayi kami yang sangat berguna dan memberi kami privasi yang kami berharap untuk. Makanan yang luar biasa, terutama sate. Sarapan gratis sangat baik dengan banyak buah. Kami pasti akan merekomendasikan hotel…",5
35,Bumi Ubud Resort,"Ini adalah damai dan tenang keluarga menjalankan resort hanya keluar dari ubud, jauh dari hiruk pikuk kota. Mereka akan membawa anda di dalam dan keluar dari kota (untuk biaya seperti yang saya ingat.) Cottage yang terpisah dan sangat pribadi, masing-masing sangat bagus di kebun tertutup yang rimbun dengan itu sendiri pintu kayu, untuk menutup keluar dunia jika anda inginkan!  Kamarnya keren dan ramah lengkap dengan kipas pendingin dan ac ditambah kulkas dan kamar mandi en suite.  Bagian terbaik adalah kolam renang yang indah dengan sawah di luar!  Indah gunung berapi dari kembali turun!  Makanan sangat sehat dan sederhana, tapi tidak banyak bahasa inggris adalah berbicara atau mengerti oleh staf menunggu! Banyak indah buah segar disajikan di sarapan!   Dua kekurangan kecil:…",4
36,Bumi Ubud Resort,"Kami menginap di bumi ubud resort untuk 7 malam. Resor ini di lokasi yang indah, pemandangan yang bagus, kolam renang dan taman-taman indah 70% dari menu tidak tersedia, kami bahkan tidak bisa mendapatkan bir bintang kecil, persediaan di kamar tidak mengisi kembali, dan staf berbicara sedikit bahasa inggris yang membuat komunikasi berlangsung sulit. Wifi hanya tersedia di resepsi yang terbuka untuk nyamuk, jadi ketika anda memeriksa email dll anda juga sedang digigit. Tempat ini memiliki begitu banyak potensi tapi sayangnya saya tidak berpikir pemilik peduli banyak tentang hal itu.",3
