,hotel,review,stars
0,C1 Smart Villas,Harga menentukan kualitas mungkin cocok untuk hotel yang satu ini untuk dinilai dari segi harga memang tergolong cukup mahal tetapi akan terbayarkan dengan fasilitas dan lokasi yang ditawarkan oleh hotel yang satu ini lokasi ***** kenyamanan ***** keamanan ***** Pelayanan ***** Kebersihan ***** hotel ini cocok untuk kalian yang sedang honeymoon atau mencari hotel dengajn suasanan yang nyaman dan tenang karena persis berada di pinggir pantai. Rekomendasi buat kalian yang lagi Honeymoon bintang lima deh untuk hotel ini (Y),5
1,C1 Smart Villas,"Kamis, 16 Mar 17 saya dan istri memutuskan untuk menghabiskan waktu berlibur di villa yang 'katanya' sangat spektakuler ini, awal kedatangan disambut baik oleh staf, kami menyewa villa nomor 3 lalu ketika kami ditinggal berdua, bencana pun terjadi satu persatu : 1. Akses wi-fi sangat jelek, saya terpaksa memakai aktifitas internet menggunakan sinyal seluler sendiri selama berada disana 2. Tirai penutup kamar yang berada di lantai paling atas rusak dan kami tidak bisa membuka lebar padahal kami ingin memanfaatkan momen berfoto dengan view laut tapi terhalang oleh tirai 3. Jacuzzi nya rusak dan diperbaiki pada saat kami memberitahukan, yang jadi masalah kenapa pihak villa tidak mengecek sebelum ada tamu yang datang 4. Tombol lampu yang katanya smart villa ini nyatanya banyak yang…",2
2,C1 Smart Villas,"kamar sangat nyaman,ruangan cukup luas dan sudah di lengkapi teknologi modern menggunakan digital di semua ruangan dari mulai kamar mandi sampai ruang tamu,lokasi sangat strategis di daerah seminyak dan tidak sulit untuk mencari makanan atau cafe,fasilitas dan pelayanan cukup baik",4
3,C1 Smart Villas,"Untuk unitnya bagus, dengan fasilitas yg memuaskan sesuai dengan harga yg ditawarkan. Toilet nya serba elektrik, untuk kolam renangnya terdapat speaker dlm air. Tp sayang fasilitas hotelnya kurang, seperti cafe tdk ada. Banyak unit yg sepertinya terdapat permasalahan dengan pihak lain, sehingga tdk dapat dipergunakan. Hotelnya sepi....",4
4,C1 Smart Villas,"Villa yang mewah dan benar-benar private. Dengan fasilitas serta kenyamanan yang ada menjadikan villa ini sangat nyaman untuk dinikmati bersama teman keluarga dan kerabat. Suasana yang mendukung dan juga kecanggihan teknologi yg dipadukan di setiap kamar, serta keramahan staff membuat villa ini sangat disayangkan untuk ditinggal pergi begitu saja. Fasilitas private pool, ruang tamu yg luas serta kamar tidur dan toilet yg disertai kecanggihan teknologi masa kini membuat kenyamanan tersendiri. Sangat menyenangkan memiliki kesempatan tinggal di villa  ini.",4
5,C1 Smart Villas,"tempatnya bener-bener cozy banget, disini cocoknya sih bareng temen-temen buat seru-seruan..karena disamping tempatnya luas ada satu kamar utama, dua kamar tambahan, kira-kira bisa menampung 20 orang. belum lagi dilengkapi dengan private pool yang cukup besar. interiornya modern,dan kalau yang suka clubbing tinggal jalan kaki aja 5 menit udah sampai di Kudeta. dan yang ga kalah penting, dari segi keamanan juga terjamin..pokoknya overall keren and recommended..",4
6,C1 Smart Villas,"Jika Anda mencari kamar yang agak mewah untuk liburan, maka coba pertimbangkan C151.  Kolam pribadi. Hebat. Akomodasi dan perabotan. Hebat. Staf. Hebat. Sarapan. Bagus. Transportasi. Hebat. Lokasi. Hebat. Kenyamanan. Sudah Pasti!  Apabila ada hal yang perlu ditingkatkan - lebih baik jangan memakai kopi instan dan pasang mesin pembuat kopi. Sudah banyak lokasi yang kualitasnya lebih rendah memasang mesin pembuat kopi Nespresso atau Illi.",5
7,C1 Smart Villas,"Memesan 2 - villa kamar tidur melalui hotels.com selama 2 malam. Karena beberapa gerakan personil tak terduga, kami membuat pemesanan tiga kali, dan dua kali dibatalkan. Ketika kami tiba di pagi hari, kami ngeri, kami diberitahu oleh manajer penjualan asisten bahwa ada tidak lebih 2 - kamar tidur villas. Rupanya ada beberapa miskomunikasi antara hotels.com dan C151. Kami sangat tegas dalam meminta dia untuk memberi kita ruang karena kita dibayar penuh, dan jelas kita tidak ingin tidur di jalanan tanpa tempat tinggal! Dia terganggu dan setuju untuk memberi kami 3 - kamar tidur vila (dengan 3 kamar terkunci) pada hari 1, dan villa presiden hari ke-2. Kedua Vila-vila yang dari desain yang sama, tetapi villa presiden memiliki taman yang lebih besar, dan outdoor jacuzzi. Kelemahan…",4
8,C1 Smart Villas,"Villa C151 benar-benar luas dan sangat mewah. Lokasinya sangat dekat dengan pantai, restoran yang bagus, serta bar seperti di Seminyak. Bahkan ada pasar di samping, juga sebuah restoran kecil yang bagus - Sate Bali yang mengadakan kursus memasak dan sangat cocok untuk sajian yang dibawa pulang jika kita tidak ingin meninggalkan villa. karena kami sangat terpesona dengan kamarnya, kami tidak terlalu memperhatikan demonstrasi teknologi yang seharusnya kami miliki dan membuat kami terlepas beberapa kali - seperti tidak bisa membuka tirai atau tidak bisa mematikan lampu sepenuhnya - stafnya sangat bersedia membantu, tetapi tip dari saya adalah memberikan perhatian (jika anda bisa) kami memiliki villa dengan 2 kamar tidur dengan 2 X tempat tidur King size, 2 kamar mandi marmer besar…",5
9,C1 Smart Villas,"Pertama-tama, staf sangat ramah, dan cenderung untuk semua permintaan dengan segera. Sangat dekat dengan restoran dan toko, dan hanya 5 menit berjalan kaki dari pantai Seminyak, di mana matahari terbenamnya sangat mengagumkan. Sangat merekomendasikan C 151 untuk keluarga yang sedang berlibur di Bali.",5
