,hotel,review,stars
0,Crystal Kuta Hotel,"Tempatnya strategis. Staf sangat ramah termasuk,kamarnya bagus dan tempatnya nyaman jika untuk urusan bisnis atau keluarga.hotelnya juga sangat bersih dan dekat dengan mall bali galleria dapat dijangkau dengan berjalan kaki",5
1,Crystal Kuta Hotel,"Lokasi di pinggir jalan, tempat parkir yg sangat terbatas, kamar kurang terawat, pelayanan ramah, murah meriah, breakfast nya buka jam 06.30 tapi menu telor seperti omlette baru disediakan jam 7.15..aneh menurut saya sy dikamar 519",4
2,Crystal Kuta Hotel,"Hotel bagus dan murah cocok untuk backpaker atau liburan dgn budget hemat, dilengkapi dengan kulkas di setiap kamarnya, ada kolam renang untuk harga dibawah 400rb itu sangat terjangkau, bersih dan dekat dengan kota",5
3,Crystal Kuta Hotel,"Hotel letaknya di jalan bypass ngurah rai ini benar2 strategis, anda bisa ke arah kartika plaza tanpa ada macet2 dijalan, dan arah balik hotel pun banyak jalannya. Kamar hotel bersih dan nyaman walaupun dinding kamar sudah banyak yg terkelupas tp tidak berbau jamur. Tersedia coffe dan tea, tv kabel jernih. Pemandangan yg sy dapat cuma pasar tradisional di sebelah hotel tp tidak mengganggu kenyaman kita. Sarapan amat berkualitas karena merupakan asuhan dari Prabhu, so banyak makanan enak disini, dari yg tradisional sampai mancanegara, perut kenyang nampol walaupun baru sarapan.  Pelayanan ramah dan pengunjung diberi welcome drink saat registrasi ulang di Lobby. Ini merupakan nilai plus hotel ini, karena mengingat hotel2 dengan jumlah bintang yg sama sudah at sangat jarang…",4
4,Crystal Kuta Hotel,"Saya berkunjung saat acara gathering kantor bertepatan waktu libur panjang. 1 ruang bertiga ( saya, suami dan anak 6 tahun). Pas kebetulan dapat kamar yang sebenarnya adalah double bed single yang kasurnya dirapatkan jadi 1. Yang saya herankan, kq bisa kasurnya dirapatkan saja. Jadi kalau dipakai kasurnya geser2.. sungguh tidak nyaman.. tidak cuma 1 kamar saya saja... beberapa kamar teman juga seperti itu.. desain lantai KM saya rasa kurang nyaman.. setelah mandi airnya tidak terbuang semua.. sebagian masih membasahi depan wastafle.. toling lebih diperhatikan lagi.. pelayannya juga kurang ramah.. ",2
5,Crystal Kuta Hotel,"Saya menginap disini dengan airyrooms diskon 50% Wow, kolam renangnya nyaman sekali. Harga minuman makanan di cafe wajar sekali, tidak mahal. breakfastnya macam macam tapi beberapa tidak di refill...lokasi dekat airport",5
6,Crystal Kuta Hotel,"Saya menyukai menginap di hotel ini. Kami bersama keluarga menginap di kamar suite. So far is good enough. Tapi, kami kurang menyukai staff fo wanita yang selalu memasang wajah menyebalkan kemarin ketika kami check in. You work in hospitality, no matter what you feel you must serve your guest with warm smile. Please note ya.",4
7,Crystal Kuta Hotel,"Hotel ini memiliki lokasi yg strategis krn dekat dengan bandara, kamar bersih, namun kamar mandi menurut saya perlu perawatan, kolam renang OK, namun sepertinya hotel ini perlu pembaharuan dgn adanya pernak pernik atau sedikit bermain warna agar tidak terlihat kaku.",3
8,Crystal Kuta Hotel,"Saya adalah slah satu manager hotel bintang 3 di banyuwangi dan ke bali karna ada urusan pekerjaan,  Bnyak teman travel agent yg merekomendasikan crystal hotel,  Dan akhirnya pun saya booking dan stay,  Saya sangat merasa kecewa dg pelayanan nya dan staff yg kurang responsif.  Yg 1. Lantai kamar kotor, ada rambut2 dilantai dan debu 2. Pada saat breakfast restoran kotor bnyak lalat dan saya melihat kurang lebih ada 6 staff di bar dan mengobrol sampai ada tamu arab datang tidak dilayani, tamu tsb kebingungan,  Dan saya pun demikian, tidak diarahkan tempat sendok dll,  Pada jam closing breakfast, ada bebrapa staff menggoreng omlet sendri dan makan sambil jalan menuju bar, apakah semua staff seperti itu, di depan tamu loh.  Tamu arab menghampiri bar hanya 1 staff yg menyapa, tamu…",1
9,Crystal Kuta Hotel,"Terletak di daerah wisatawan. Dekat kemana2. Keramahan staf oke. kamar banyak debu. Sarapan kurang variatip. Untuk hotel yg berumur 5 tahun seharusnya masih bisa dirawat. Kami memesan lewat traveloka, kamar tidak ada ventilasinya😭",3
10,Crystal Kuta Hotel,"security dan staff semua sangat ramah dan membantu pada saat parkir dan check in, kamarnya lumayan sesuai harga, hotelnya bagus cuma mungkin kurang perawatan saja. toiletnya agak bau, hotelnya dekat dengan bandara.",3
11,Crystal Kuta Hotel,"Seandainya ada pilihan bintang nol,saya akan memilih nilai itu!!! Saya datang bersama rombongan studytour kampus,hari pertama air benar2 mati..kami tak bisa mandi sampai pukul 2 pagi. Kebersihan kurang. Makanan tidak enak. Ada satu kamar yg tdk ada remote control TV,sayang sekali teman saya tdk mengerti kalau harus lapor bila perlengkapan di kamar kurang (mereka br pertama kali tidur di hotel). Hari terakhir,kami dituduh mencuri remote control!!! You must be kidding me?! Why do we steal a remote control? Kami stay 3 malam,dan housekeeping br menyadari remote hilang di hari ke3????? Gimme a break.. Saya sama sekali tidak akan kembali ke hotel ini ataupun merekomendasikan pada orang lain. Servis dan fasilitas sangat buruk.",1
12,Crystal Kuta Hotel,"Lokasi memang dekat bandara dan tarif kamar cukup murah. Namun pelayanan sangat tidak profesional. Kamar mandi menggunakan shower yang fix menempel di tembok, namun tamu tidak diberikan shower cap. Breakfast selesai jam 10. Jam 7:30 susu cair sdh habis. Sewaktu ditanyakan ke staff dikatakan susunya sold out karena supplier tidak kirim barang. Padahal hanya susu cair di dalam kotak, yang bisa dibeli di supermarket jika kehabisan stock. Sewaktu kami menginap, kebetulan malam itu ada yang booking ruang pertemuan untuk acara ulang tahun dengan suara musik yang keras sehingga sangat mengganggu ketenangan kami yang ingin istirahat. Sewaktu kami tanyakan ke reception melalui telepon : acara pestanya sampai jam berapa, dijawab oleh seorang staff wanita di reception selesainya jam 11…",3
13,Crystal Kuta Hotel,"Ya... memang lokasinya strategis dan dipinggir jalan. Namun sayang di kamar terkesan sangat kotor dan kumuh. Sepertinya tembok tidak pernah dibersihkan, dan terkesan jorok. Padahal area lobby sangat cantik dan bagus.",3
14,Crystal Kuta Hotel,Crystal Kuta Hotel terletak di daerah yang sangat strategis dengan tarif kamar yang terjangkau. Di sekitar hotel ini terdapat beberapa toko dan restaurant cepat saji. Fasilitas yang terdapat di hotel ini pun cukup lengkap. Hidangan yang disajikan oleh pihak hotel memiliki citarasa yang lezat dan beragam pilihan makanan saat sarapan. Kamar di hotel ini pun nyaman dan bersih tentunya. Kekurangan hotel ini adalah tidak memiliki fasilitas pendukung untuk bisnis (business centre).,4
15,Crystal Kuta Hotel,"Lokasi cukup baik di by pass Ngurah Rai. Di sebelah hotel ada minimarket dan restoran, diseberangnya ada resto cepat saji McD. Dekat ke bandara namun cukup jauh untuk ke area pantai Kuta maupun Legian. Kamar standar dgn ukuran cukup sempit. Menu sarapan perlu mendapat perhatian lagi dari manajemen hotel, banyak menu yg rasanya tidak enak.",3
16,Crystal Kuta Hotel,"Kamarnya lumayan, bersih, dan tidak bau. Kolam renang juga oke. Untuk makanan juga enak pilihan banyak. Lobby besar. Tempat parkir g terlalu luas. Di kiri kanan banyak mini market dan tempat jual makanan.",5
17,Crystal Kuta Hotel,"letak yang strategis, ruangan tidak begitu luas, air panas pas dan sempurna, pilihan menu sarapan yang sedikit, tenang walaupun di pinggir jalan raya utama. namun secara keseluruhan nyaman dan staf hotel sangan ramah dan membantu.",3
18,Crystal Kuta Hotel,Saya merasa nyaman.. kamarnya nyaman.. hanya di kamar saya 232 ac nya kurang dingin.. karena di kamar teman saya yg lain ac nya dingin.. jadi saya tetap keringat kalau siang hari di dalam kamar.. terima kasih..,4
19,Crystal Kuta Hotel,Hotelnya nyaman Resto dan Kolam renangnya juga cukup bagus. Kamarnya tidak begitu besar tapi lumayan. Lokasi sangat strategis kemana mana gampang pelayanannya juga lumayan bagus. Makanannya cukup enak dan bervariasi.,4
20,Crystal Kuta Hotel,"Saya tinggal di lantai 2. Kamarnya biasa saja, standard tetapi cukup bersih dan nyaman. Kolam renangnya standard. Namun para staff pekerja dan pelayannya sangat ramah serta sangat sergap dan sangat membantu para tamu.",3
21,Crystal Kuta Hotel,"Wahhh... saya pikir ini adalah salah satu hotel trerbaik di kuta, pelayanannya ramah dan para staff sangat respek terhadap para tamu, mungkin jika saya berkunjung lagi ke bali saya akan menginap di crystal hotel lagi, tempatnya juga sangat strategis, tidak jauh dari pusat wisata yang berada dikuta.",4
22,Crystal Kuta Hotel,"lebih nyaman dan lebih baik memilih kamar suite room  pelayanan kamar bagus dengan housekeeping atas nama pandu ,untuk receptionistnya (mitha) terima kasih pelayanannya ,untuk dikamar overal bagus dan nyaman",5
23,Crystal Kuta Hotel,"Saya dan keluarga menginap di sini selama 3 malam.  Beberapa hal yg menurut saya tidak memuaskan adalah kamar.  Saya tidur di kamar 261. AC berbunyi sangat keras,  lantai tidak bersih, dan sabun cair 3 in 1 berbau tidak sedap. Selain itu,  breakfast yg disediakan tidak enak dan selalu dlm keadaan habis.  Pelayanan tidak cepat dan tidak Ramah. Mohon kekurangan yg ada segera di perbaiki.  Karna lokasi hotel ini sangat strategis. 😉",2
24,Crystal Kuta Hotel,"Lokasi hotel ini tidak jauh dari airport, sangat jauh dari kuta, legian & seminyak. Jika ingin ke Krishna, Restorant Laota, Pecel Bu Tinuk & Nasi Pedas Bu Andika yg berada di Jalan TUban tidak terlalu jauh dr hotel ini.  Pelayanan pada kamar, front office dan restaurant cukup baik dan ramah.  Kamar cukup kecil, untuk tempat tidur ukuran single bed sangat kecil. Perlengkapan di kamar mandi tidak lengkap, shower cap harus bayar, hair dryer terbatas.  Pilihlah kamar di lorong bagian dalam, karena ada kamar yg menghadap ke jalan raya & rumah orang.  Karena hotel ini seperti budget hotel, jadi jangan terlalu berharap dengan rasa makanan yg enak dan di saat byk tamu, makanan sering habis.  Kolam renang sangat bagus & wifi jg bagus.",3
25,Crystal Kuta Hotel,"Bagus, bersih & bagus city hotel dengan menu sarapan yang enak dan lezat memasak di hidangan lainnya. Hotel yang belokasi di jalan utama bypass""sunset road"" dan dekat dengan bandara dan pusat bisnis. Staf yang ramah dan menyenangkan dengan kamar dan kamar mandi yang sangat bersih dan suasana yang menyenangkan. Hotel yang disarankan untuk menginap bagi orang yang sedang bepergian.",4
26,Crystal Kuta Hotel,"Bulan september tgl 28 saya check-in di hotel crystal kuta. Saya menginap 2 hari. Saya sangat senang disana, mulai dari pelayanannya begitu ramah tamah. Saya suka dengan makanannya yang banyak pariatif dan beragam.  Sesuai dengan lidah saya orang indonesia asli. Apa lagi minuman yang di sajikan trisional JAMU, memang top brow joss kesegarannya. Dengan letak hotel crystal kuta, sangat strategis.  Untuk akses ke pantai kuta dekat.. Untuk akses ke bandara dekat.. Apa lagi untuk shopping and clubbing dekat banget. Saya angat senang dan puas banget. Trimakasih crystal kuta. See uu next time.",4
27,Crystal Kuta Hotel,"Ini kali kedua saya menginap d hotel ini. Pertama x menginap wkt itu namanya msh FAVE hotel dan skrg sudah berganti nama menjadi CRYSTAL KUTA jujur saja saya merasa kaget dgn sgala fasilitas,pelayanan dan makanan yg mrk twrkan skrg amat sangat berbeda jauh dgn nama yg sebelumnya. Saya yg dlu menginap d room 551 waktu msh namanya fave hotel dan kembali lg menginap skrg d kamar yg sama d 551 saat sudah ganti nama jd crystal selama 3 hr 2 mlm dr tgl 20 sep sampai 23sept 2015. Service,food n room yg sekarang jauh lebih baik dr pd dlu. Makanan yg d tawarkan dan d sajikan lbh banyak dan enak sekali. Pelayanan kamar yg bagus sangat bersih, fasilitas d kamar lengkap,wifi nya aksesnya cepat. Staff nya ramah. Tempat parkir yg memadai. Everything was good Perfect Kalau liburan dgn budget…",5
28,Crystal Kuta Hotel,"Hotel budget dengan fasilitas yang memuaskan, ada swimming poolnya, beragam variasi makanan, wifi lancar dan staffnya yang baik terima kasih atas pelayananya semoga bisa lebih d tingkatkan lagi....see u again bali",5
29,Crystal Kuta Hotel,"Saya menginap di hotel ini tepat saat namanya berganti dari Fave Hotel menjadi Crystal Hotel. Harga yang murah, kamar dan kamar mandi bersih, kolam renang yg menyenangkan, dengan kolam anak, dan air kolam yg tidak terlalu dingin. Love this hotel. ;)",4
30,Crystal Kuta Hotel,"Pelayanan lumayan baik, lokasi cukup stategis ,fasilitas wifi lumayan cepat namun tata letak kamar yang kurang memuaskan, sarana lift perlu di tambah karna kurang bisa dijangkau bagi tamu yang menginap di bagian belakang dan kolam renang relatif kecil tidak sebanding dengan jumlah kamar",3
31,Crystal Kuta Hotel,"Sudah beberapa kali saya menginap di Favehotel di kota kota lain tapi untuk yang di bypass Kuta jujur saya nggak comfort. Kamar nya kurang nyaman , ada kecoanya berkeliaran dan juga banyak semut merah di dinding. Cat temboknya juga mengelupas dengan kondisi bathroom tile yang sdh agak usang. Yang mengesankan dari Favehotel bypass kuta adalah service dari staff yang bagus. Lokasinya sangat bagus, easy access to everywhere, close to the airport. Tolong dilakukan improvemen terutama fisik kamar.",3
32,Crystal Kuta Hotel,"Saya menginap hanya satu malam. Ratenya sangat murah, ukuran kamar untuk harga seperti itu sangat pantas. Letaknya strategis, hanya saja jauh dari pantai. Lampu kamar sangat redup, dan saya menemukan kecoa kecil, di kamar mandi ada 5dan di dekat meja samping tempat tidur ada 1 dan di sekitar tempat tidur ada dua. Kalau mencari hotel sangat murah, hanya satu hari saja dan hanya untuk tidur saja, barangkali ini pilihan tepat. Namun untuk berlibur panjang dan menikmati suasana hotel, ini adalah pilihan yang kurang tepat. Setidaknya kita akan mendapat sesuai dengan uang yang dikeluarkan.",3
