,hotel,review,stars
0,Dedy Beach Inn,"Booking tempat ini untuk transit sebelum penerbangan malam. Bersebelahan dengan lippo mall bali. Tempatnya bagus, nyaman dan staff yang ramah. Sayang waktu saya check-in sedang ramai tamu, sehingga harus menunggu cukup lama untuk masuk ke kamar. Selain itu tempat ini cukup oke",3
1,Dedy Beach Inn,"Awalnya kami memilih hotel ini adalah karena mereka menyediakan fasilitas kolam renang. Sehingga suami saya bisa renang tiap pagi disini. Harganya terjangkau jika kalian memesan via online lewat beberapa situs booking. Petugas check in-nya ramah. Kamar cukup luas, tempat tidur meski tidak begitu empuk, tapi masih nyaman. Untuk memudahkan peejalanan, kami menyewa motor sehingga liburan kami di Bali tidak repot dengan naik kendaraan umum",4
2,Dedy Beach Inn,"Pihak hotel mengatakan akan menghantar kami ke airport dgn percuma namun bila tiba waktunya, mereka kata harus bayar. Tapi tak mengapa kerana pengalaman tinggal di hotel 4 hari memang best. Staf sgt friendly. Pada mulanya kami dapat bilik kecil dan tidak muat letak katil tambahan. Dan toilet pula leaking. Jadi mereka tukarkan kami ke bilik besar secara percuma.",3
3,Dedy Beach Inn,"Baik  1. Tuan rumah yang ramah dan membantu. Namanya Wayang. Ia mengantar kami ke sebuah spa dengan SUV-nya tanpa memungut bayaran. Ia memberi informasi tentang tempat yang harus kami datangi dan selalu tersenyum saat melihat kami. 2. Lokasinya yang dekat dengan Kuta, namun jauh dari kebisingannya. 3. Kamar/kamar mandi yang besar dan bersih. 4. Nyaman. Anda bisa meminta mereka membawakan sarapan ke kamar Anda. 5. Sesuai harganya. Anda tak bisa mengharapkan layanan/fasilitas bintang lima untuk harga yang Anda bayarkan. Namun, saya pikir tempat ini memberikan lebih daripada yang Anda tawar.  Info lain: Dekat dengan Discovery Mall. Jika Anda menyewa sepeda, jaraknya hanya lima menit dari Pantai Kuta (yang berada di pusat Kuta)  Buruk  1. Tak ada telepon di kamar sehingga Anda tak…",4
4,Dedy Beach Inn,"TIKUS! Hindari sebisa mungkin! Kami memesan Dedy Homestay daring sebelumnya sebab kami tiba dengan penerbangan larut malam. Saat kami tiba pria pemarah itu mengeluh karena menunggu kami. Ia mengantar kami ke sebuah kamar dan menghilang. Begitu kami tiba di kamar kami menyadari semuanya keliru. Saya berlari kembali ke luar dan mendapati meja dan lobinya kosong. Kamar penuh nyamuk itu bau dan TAK ADA seprai, tisu toilet, WASTAFEL, atau air panas. Ternyata mereka menyerahkan kamar kami dan menempatkan kami di guesthouse sebelah. Esoknya kami pindah ke kamar yang lebih baik, namun harus meminta seprai bersih dan menunggu empat jam untuk handuk bersih?! Sarapan disajikan tak hangat lagi atau nyaris dingin. Ada ratusan lalat mengerubungi makanannya. Sekali kami menemukan rambut di…",1
5,Dedy Beach Inn,"Kami memesan melalui booking.com yang tidak meminta kami uang muka, tapi disaat kami tiba. Ketika kami pergi menuju sebuah gang dari jalan utama, untuk sesaat Saya pikir ""Oh tidak!Apa yang saya telah lakukan?"" tapi segera saja rasa takut saya hilang. Kamar kami sangat luas dan bersih. KAmar itu bahkan dilengkapi dengan playstation untuk anak-anak bermain. Sebuah TV plasma di dinding yang dilengkapi saluran tv kabel dan sarapan yang dengan indahnya dimasak oleh ketut. Sang pemilik , Wayan tidak cukup berbuat banyak bagi kami, bahkan membiarkan kami meninggalkan barang bawaan kami dibelakang meja saat pendaftaran keluar karena pesawat kami terbang di hari itu masih lama. Saya akan rekomendasikan tempat ini pada semua teman saya.",5
6,Dedy Beach Inn,"Wayan dan keluarganya serta pembantu-pembantunya sangat fantastis dan membuat kami merasa sangat diharapkan. Sangat baik dan sepi, nasehat lokal yang bagus dan teh dan kopi gratis kapanpun anda mau! Kami akan tinggal disana lagi pastinya jika kami kembali.",5
7,Dedy Beach Inn,"Kami sebenarnya tidak menginap di tempat ini. Kami berjalan dari jalan ketika kami sedang mencari tempat untuk satu malam dengan kolam renang. Saat kami berjalan ke atas untuk melihat sebuah ruangan, kami memperhatikan betapa kotor semuanya. Namun, itu akan baik-baik saja hanya untuk satu malam untuk harga. . . sampai saya perhatikan bahwa seprai tidak berubah setelah tamu sebelumnya. Kami ditunjukkan kamar lain, hal yang sama di sana. Bukan hanya bahwa seprai penuh dengan noda dan rambut, tetapi bahkan pasir. . .",1
8,Dedy Beach Inn,"Apa yang saya perhatikan tentang banyak menginap di hotel yang telah saya miliki dan saya telah memilih untuk menginap di berbagai hotel adalah untuk dapat berbagi ulasan jujur dengan tamu.  Sangat penting untuk tidak memihak dan masuk dengan pikiran terbuka seperti yang saya lakukan saat berbelanja untuk hotel. Namun, apa yang saya perhatikan adalah standar kebersihan yang kurang di banyak properti bintang 3.  Imsa yakin kita semua tahu bahwa ada tingkat harapan kualitas tertentu ketika tinggal bintang 4 atau 5. Namun, menurut pendapat saya, apakah itu hostel, bintang 2 atau 3, higienis, standar sanitasi, dan pemeliharaan properti seharusnya tidak disukai oleh hotel kelas atas saja.  Tidak masalah bagi saya jika itu adalah sebuah asrama, 3 bintang karena saya sering bepergian…",1
9,Dedy Beach Inn,"Hotel ini sangat cocok untuk bagpacker dengan ruang tamu dan kolam renang terbuka sederhana dengan menu sarapan gratis terbatas. Lokasi sangat bagus semuanya dekat hotel ini seperti mall, pasar, pantai dan kehidupan malam di Kuta. .",3
