,hotel,review,stars
0,Dekuta Hotel,"Hotel dekat pantai kuta dengan toilet bocor. Akses ke pantai cukup dekat, hanya 3-5 menit jalan kaki. Sebenarnya hotelnya cukup bagus, disayangkan mungkin maintenancenya kurang. Menginap untuk malam tahun baru di kuta dan sayangnya dapat kamar dengan toilet bocor dari tempat flush. So so lah dengan harga yang relatif murah.",3
1,Dekuta Hotel,"Great place, strategis berada di tengah-tengah Legian(10 minutes on foot) dan pantai kuta(5 minutea on foot). Dekat juga dengan kuta beachwalk (5 minutes on foot). Staff nya friendly dan sangat membantu terutama bapak Yakob, fasilitas lengkap. Cant wait until next trip..thanks dekuta🙏",5
2,Dekuta Hotel,"review ini agak usang, karena menginap disini liburan idul fitri 2017. bersama rombongan keluarga, kami mengambil 10 kamar. ada di lantai bawah, 2 dan 3. alasan dilantai bawah karena ada orang tua dengan kursi roda. maklum hotel ini tidak menyediakan lift. kalau untuk orang muda tidak masalah naik lantai 2 maupun 3 karena tidak terlalu tinggi. kamar bawah rate lebih mahal, tappi jujur lebih nyaman kamar diatas, lebih terawat saja kamarnya. ada kolam renang yang walupun ukurannya kecil tapi lumayan bisa berenang bersamakeluarga disini. sarapannya unik, ada smoothie bowls, nasi goreng, jadi per pesanan bukan prasmanan. keramahan petugas juga baik. dan lokasi juara, walaupun dalamgang, tapi gangnya bisa dilewati mobil. dari gang tersebut kita bisa ke pantai kuta, ke mall beachwalk,…",4
3,Dekuta Hotel,"Baru ini nieh sy ke bali bersama anak cari hotel sendiri yg deket pantai kuta.. Landing di bali baru sibuk cari hotel. Dapatlah coba di dekuta ini. Booked pertama hanya 1 malam, keesokan nya tambah 1 malam, keesokan nya lg tambah 2 malam, keesokan nya lg tambah lg 2 malam , dan seterusnya .... sampai total jd 2 minggu 😁😄 Rencana mau pindah hotel lain, batal semuaaaa. Anak sy ga mau pindah,, ktnya hotel ini sangat nyaman. Anak sy usia 5th. Secara dr hotel ini kemana2 sangat mudah.. Mall ada di depan, pantai kuta tinggal nyebrang, suasana dalam kamar pun cukup nyaman, kebersihan oke banget. Puasss pokok nya. Dan akan kembali lg ke Dekuta hotel. Soon 👌",5
4,Dekuta Hotel,"Kerennn. Ga pernah nyesel nginep disni utk berlibur k bali. Nyaman. Bersih. Deket k pantai. K pantai kuta cm jalan kaki ga nyampe 5 mnt. Stafnya ramahhhh bgt. Baik scra langsung, maupun scara online. Layanan pembersihan kamar stiap hari tanpa diminta.  Shower pun panas dan dingin. Ada electril kettle. Mini kulkas. Handuk selalu diganti yg baru stiap hari. AC nya super dingin. Tenang suasananya. Dicariim rental speda mtr lgs+cepat.Dan waaaaah pokonya saya recomended bgt stay dsni. Next, sy pasti stay dsni lagi. Trimakasihh banyak ya dekuta.   Min: tdk ada toiletries + slipper. Tp no problem, krna sy terbiasa bawa sndri. Heheheheh...",5
5,Dekuta Hotel,"Hotelnya bersih, kamarnya luas. Dekat ke mall dan pantai. Staf nya ramah. Tiap kamar punya balkon dan kolam renangnya bersih. Hanya untuk yg muslim sebaiknya tdk memesan kamar berikut breakfast karena masih tidak jelas pemisahan antara halal dan tdk halal. Secara keseluruhan hotelnya OK",4
6,Dekuta Hotel,"Hotel boutique tapi tidak modal sikat gigi! Memangnya seberapa mahal penyediaan sikat gigi? Handuk diantar karna tidak stand by d kamar mandi. Lantai masih ada sisa genangan dan hitam2. Tombol push kloset rusak jadi biarkan saja air mengalir sampai besok. Tidak ada sandal hotel padahal lantai lembab. Kasur berpasir. Tidak ada gantungan baju. Tidak ada lift, kasihan porter mengangkat koper tamu. Nebula cafe jam 11 malam saya telpon2 sampai 4x tapi tidak diangkat2. Sarapan pilih dari menu cafe, tidak variatif. Minum hanya segelas. Staf ramah, sayang sekali mereka harus bekerja di tempat itu. Saya bayar 560.000 untuk semalam tapi sangat mengecewakan, tidak usah mengumbar ngumbar boutique hotel padahal kualitas di bawah budget hotel. Memang lokasi strategis, tapi kalau harus bolak…",1
7,Dekuta Hotel,"Hotelnya Keren, Rapi, Bersih dan Bagus. Pelayanan ramah. Fasilitas hotel lumayan lengkap. Kamar ada balkon dan menghadap kolam renang. Pemandangan keren. Yang terpenting adalah DEKAT PANTAI KUTA DAN BEACHWALK. Cukup jalan kaki.  KEKURANGAN= Tidak ada sikat gigi dan Sandal. ",4
8,Dekuta Hotel,"Hotel Dekuta lokasi sangat strategis, dekat dengan pantai Kuta, mall Beachwalk & resto2. Halaman parkir jg ada sehingga jika bawa mobil bisa parkirlah. Para pegawai cukup ramah & responsif. Saya ambil 2 kamar berhadapan dekat tangga jd enak ga capek karena ga ada lift. Hanya saja handuk dan peralatan minum (teh, gula, sendok) harus minta terus tiap hari ga otomatis dikasih. Saya pergi berlima tapi handuk kadang hanya dikasih 3 atau 4 ga pernah langsung dapat 5. Kamar lumayan bersih, air panas juga lancar. Kamar juga lumayan luas...Menurut saya rekomendasilah...",4
9,Dekuta Hotel,"Keramahan : baik  Ruangan : kita dapet kamar bagus , bersih , no sandal & sikat gigi , ac cukup dinginnya cukup lah  Fasilitas : parkiran kecil 6 mobil saja , resto nya mayan lah buat sarapan pagi , kolam renangnya juga mayan Lokasi : cukup baik , walau masuk gang, jadi ngak terlalu berisik , deket mall dan tempat jajanan , gang masuk agak gelap tapi relatif aman lah  ",4
