,hotel,review,stars
0,Desak Putu Putera Homestay,"Dari luar tak tampak tapi begitu masuk ke dalamnya, kami menemukan kamar2 unik tradisional Bali yang tertata rapi. Kamarnya bersih. Semua staf nya selalu tersenyum. Membantu kami mendapatkan shower air panas meski pun sudah malam. Ternyata karena gas nya habis. Breakfast nasi gorengnya juga ok banget. Dari lantai atas bisa memandang pura keluarga dan taman tradisional Bali yang tenang.",4
1,Desak Putu Putera Homestay,"Tempat ini enak sekali. Pemiliknya ramah, kamarnya luas, kamar mandinya juga lega. Waktu itu saya menginap dengan teman saya berlima, jd kami menyewa 2 kamar. Kami check in cukup malam jam 9, bapaknya dengan sabar menunggu kami di depan rumahnya. Sesampai sana, kami sungguh puas sekali karena suasananya tenang sekali. Dan ada wifi gratis! Di sana juga bisa menyewa sepeda dengan harga yang murah sekali. Lokasinya juga dekat dengan Ubud market. Pokoknya puas sekali! :)",5
2,Desak Putu Putera Homestay,"Kami berada disana untuk 2 hari. Homestay ini memberikan semua keperluan dasar, fasilitas kamar mandi sangat bagus, terdapat pancuran air panas. Kamar bersih, dan tempat tidurnya nyaman. Makan paginya juga enak sekali. AC dan Wifi berjalan dengan baik. Secara keseluruhan, sesuai dengan uang yang kami keluarkan. Tempat yang bagus untuk menginap untuk penginapan murah.",4
3,Desak Putu Putera Homestay,"Kami disambut dengan hangat oleh keluarga, dan diberikan kamar dengan balkon pribadi. tempat tidur cukup, mungkin agak keras. Shower/ kamar mandi juga sedikit berbau aneh. Tetapi kamu tidak harus menghabiskan waktu disana jadi tidak terlalu mengganggu. Hanya butuh 10 menit berjalan kaki ke pusat Ubud dimana semuanya ada. Internet lancar. Kami memutuskan pergi sehari lebih awal dari yang direncanakan, karena kami telah melihat keseluruhan Ubud dalam 2 hari. Bukannya harus membayar penuh, kami hanya membayar setengah (untuk menutupi biaya booking.com), jadi kami rasa mereka murah hati.  Meski, saya tidak benar-benar mengalami perasaan keluarga yang sebenarnya sebagaimana digambarkan banyak orang, tapi jika Anda kedatangan banyak tamu yang keluar-masuk, saya benar-benar dapat…",4
4,Desak Putu Putera Homestay,Pro Lokasi sangat bagus. Keramahan yang bagus. Sarapan enak dengan pilihan. Kamar besar. Banyak restoran (Worungs) di dekatnya. Cons. AC kecil dengan kapasitas lebih kecil untuk mendinginkan ruangan besar. Pencahayaan sangat buruk. Kecoak dan serangga di dalam kamar pada malam hari. Tekanan air sangat sedikit di kamar mandi.,4
5,Desak Putu Putera Homestay,"Ulasan ini khusus untuk Homestay dan bukan untuk hotel / pondok lain dengan nama yang mirip.  Pro: Kamar Bersih, Murah Kekurangan:  1. Ruangan itu penuh dengan semut-semut besar dan kami takut mereka akan menggigit kami saat kami tidur  2. Sarapan di bawah rata-rata, teh dingin dan hambar  3. Meja sarapan kayu tua memiliki ribuan semut berjalan di atasnya dan tidak akan membiarkan kita makan dengan damai - pengalaman mengerikan saat sarapan  4. Lokasi cukup jauh (minimal 20 menit berjalan kaki ke Pasar Seni Ubud) Semua dalam semua, tidak ada yang besar dari saya.",2
6,Desak Putu Putera Homestay,"Saya menginap 2 hari 1 malam dan teman saya, hotel desain sangat bagus, sangat santai dan saya bisa beristirahat. Sarapan sangat lezat (saya memesan Nasi goreng, kopi, buah). Fasilitas sangat bagus. Suasana sangat alami. Saya sangat menyukai kamar saya. Lain kali saya kembali.",5
7,Desak Putu Putera Homestay,"Ini adalah tempat yang indah. Kami sangat banyak yang perlu beberapa beristirahat ketika kami memesan di sini, dan ternyata memang benar apa yang kami butuhkan. Tradisional, tenang dan sangat ramah. Bersih, luas, dan balkon yang besar. Baik air panas dan kolam renang yang indah. Lokasi yang bagus juga. Sangat merekomendasikan",5
8,Desak Putu Putera Homestay,"Kami menginap di sini selama 3 malam dan ini adalah hotel yang paling indah yang saya tinggali di Bali. Ini dibangun saya ke hutan jadi walaupun anda berada di Ubud, anda merasa seperti jika anda dikelilingi oleh hutan. Berjalan kaki ke pusat Ubud dengan mudah dan hanya membutuhkan waktu beberapa menit. Area kolam renang sangat memukau, kami menginap di bulan April jadi hotel cukup kosong dan kami sering menggunakan kolam renang untuk kami sendiri. Sarapan yang sangat bagus, pilihan saya vegetarian dan mereka melayani dengan sangat baik untuk saya. Stafnya luar biasa, sangat ramah dan membantu. Jika anda menginap di sini anda tidak akan kecewa. Saya tidak sabar untuk datang kembali.",5
9,Desak Putu Putera Homestay,"Sangat luar biasa menginap di homestay ini sebagai akomodasi pertama kami di Bali, jadi kami bisa melihat bahawa sebuah rumah Bali asli dari dalam dan ritual doa. Kamarnya sangat sederhana tapi bersih, balkon yang bagus di mana kami sarapan setiap pagi. Sarapannya ok, anda dapat memilih antara beberapa opsi termasuk hidangan khas Bali. Lokasinya tidak terlalu jauh dari jalan utama dan warung tapi kafe susah untuk berjalan di sekitar sebagai trotoar di dalam kondisi yang buruk.",4
