,hotel,review,stars
0,Dura Villas Bali,"Ini adalah tempat yang indah untuk tinggal jika Anda ingin bersantai dan melepas lelah. Agak jauh dari sana, tetapi ada layanan antar-jemput gratis satu arah dan Anda dapat kembali sendiri. Sarapan enak dan disajikan di tepi kolam renang Anda. Itu indah, bersih dan staf kami hanya luar biasa. Terima kasih khusus untuk Boby yang berusaha keras agar kunjungan kami sangat istimewa. Kami akan kembali.",4
1,Dura Villas Bali,"Ini adalah pertama kalinya saya tinggal di sana selama 2 malam dan selama saya tinggal di sana tidak ada air panas sama sekali, air kolam terasa begitu asin dan membakar wajah dan mata saya dan ada 2 kadal besar (lebih seperti buaya) jatuh dari bagian atas pohon dan berjalan di sekitar kolam. Tapi staf di sana sangat ramah dan ramah.",3
2,Dura Villas Bali,"Tempat ini luar biasa damai dan begitu luas, kami tidak dapat mempercayai ukuran hanya untuk kami dan merasa bersalah bahwa kami tidak membawa 4 anak-anak kami, karena villa 2 kamar tidur pasti akan memiliki cukup ruang! Kolam renangnya indah, tidak untuk dingin atau hangat, dan taman-tamannya begitu tenang (saat saya berbaring di sini di lounge luar yang besar yang saya bisa di sini adalah burung, jangkrik, dan katak ...!) Saya hanya berharap kami telah memesan lebih lama!",5
3,Dura Villas Bali,"Untuk ulasan lengkap, buka laparfizzio di blogspot  Fasilitas - 3/5 Kehilangan poin untuk internet jelek, celah di bak mandi, pintu geser yang tidak bisa ditutup sepenuhnya. Mendapatkan poin untuk ukuran kolam.  Makanan - 3. 5/5 Kehilangan poin untuk minuman selamat datang jus apel dan daging, tetapi mendapat poin karena memiliki ikan koi segar.  Lokasi - 2/5 Rideshare adalah suatu keharusan. Meskipun layanan pelatih sangat andal, Anda harus kembali entah bagaimana. Poin yang hilang untuk kawanan ayam tetangga.  Layanan - 5/5 Layanan yang saya tidak harapkan di tempat kisaran harga dan kaliber ini.  Internet - 2/5 Orang-orang hari ini tidak dapat hidup tanpa internet, dan itu adalah S. H. I. T, seperti tidak dapat terhubung, atau tidak ada transmisi. +1 poin untuk wifi saku yang…",4
4,Dura Villas Bali,Staf di sini sangat ramah dan sangat sopan. Selalu menghormati privasi Anda. Di tempat ini ada banyak hal. Villa itu sendiri luar biasa. Sangat bersih. Sangat luas. Deffinately akan kembali lagi.  Terima kasih Ari dan tim untuk membuat kunjungan kami menyenangkan.,5
5,Dura Villas Bali,"Menginap di Dura Villas Bali adalah perhentian pertama dalam perjalanan dua minggu kami di Bali. Kami mendapat penerbangan yang cukup terlambat dari Singapura yang ternyata lebih lambat setelah kami melewati bea cukai, tetapi setelah mengatur penjemputan di bandara, kami senang melihat seorang pengemudi menunggu setelah pengambilan barang bawaan kami untuk membawa kami ke villa gratis! Apa yang kami butuhkan setelah penerbangan yang sangat lama dari London.  Villa itu sendiri sangat indah dan luas. Hanya ada dua dari kami jadi kami hanya menggunakan salah satu kamar. Pemilik bahkan meninggalkan kami memperlakukan Paskah kecil karena kami tinggal selama akhir pekan Paskah yang saya pikir adalah sentuhan yang indah! Sarapan dibawa ke kamar setiap pagi pada waktu yang kami pilih…",5
6,Dura Villas Bali,"Villa besar dan dengan staf yang ramah dan kolam renang pribadi yang luar biasa ini jelas merupakan tempat untuk tinggal. Saya benar-benar ingin mengucapkan terima kasih kepada Ari, Hadi, dan Bobby untuk membuat masa menginap saya sangat ramah.  Satu-satunya bidang utama untuk perbaikan adalah untuk menutup celah di pintu dan pintu geser untuk mencegah masuknya beberapa serangga kecil. Namun demikian, ini masih harus datang ke villa.",5
7,Dura Villas Bali,"Tempat persembunyian yang indah di lingkungan yang terpencil, Dura Villas menawarkan tempat pribadi yang indah untuk bersantai, bersantai, berenang, berjemur di semua ruang Anda sendiri.  Ditambah dengan sarapan yang luar biasa dan staf yang luar biasa ramah, yang sangat menyambut dan hangat, Dura adalah sebuah Villa yang tidak boleh dilewatkan jika seseorang mencari tinggal pribadi yang berkualitas. . . dan Seminyak tidak jauh dengan Bus Courtesy yang disediakan.",5
8,Dura Villas Bali,"Villa luas yang bagus. Staf yang sangat membantu dan ramah. Kamar yang bersih, sangat nyaman bantal - kami benar-benar membeli dua untuk mengambil kembali. Sarapan adalah rata-rata - tidak ada yang luar biasa tapi banyak makanan. Vila-vila itu sendiri besar, tetapi tidak ada TV luar ruangan (jika itu penting bagi Anda) Hanya masalah kecil yang mungkin sulit ditemukan karena terselip di ujung jalan kecil.  Kami menyewa mobil kecil dan ada parkir di tempat. Akan kembali ke sini lagi mengingat harga dan layanan.",4
9,Dura Villas Bali,"Kami menghabiskan 3 malam di Villa. Daisy . Makanan yang sangat baik. Tempat ini bersih dan terawat dengan baik. Kami memasak bacon, karena mereka tidak memiliki di menu mereka. . Hanya beberapa staf dapat berbicara dalam Bahasa Inggris dengan baik tetapi itu cukup baik. Tempat ini benar-benar sempurna bagi kami. Kami pasti akan merekomendasikan tempat ini. Stafnya sangat membantu dan ramah, mereka bahkan membiarkan kami melihat vila keluarga hanya dalam kasus kami ingin kembali lagi dan membawa keluarga kami dengan kami.",5
