,hotel,review,stars
0,Ecosfera Hotel,"Tempat indah, harga bagus, ramah staf sambutan hangat. Pilihan sarapan sehat gratis yang lezat dan jus lezat. 2 menit berjalan kaki ke pantai. Kelas yoga yang luar biasa sepanjang hari. Kafe yang indah. Penerimaan yang membantu.",5
1,Ecosfera Hotel,"Saat ini tinggal di hotel, termasuk sarapan fantastis, itu saja layak tinggal. Kamarnya bersih dan sederhana, kasurnya nyaman. Kolam sangat bagus. Stafnya ramah dan sangat membantu. Lokasi sangat dekat dengan pantai dan sejumlah besar pilihan makan. Akan tinggal di sini lagi, nilai yang luar biasa.",4
2,Ecosfera Hotel,"Ini bukan hotel yang paling bagus, kamarnya agak tua tapi besar, tempat tidurnya bukan yang paling nyaman, tapi lokasinya luar biasa, 3 menit berjalan kaki ke pantai, super dekat dengan segala sesuatu di canggu cukup banyak, staf luar biasa, mereka menagih Anda 2% lebih banyak jika Anda membayar dengan kartu. Area kolam hanya stunnish, sempurna untuk bersantai. Dan tidak ada kata-kata untuk sarapan, itu hanya fantastis. Minuman tidak termasuk tetapi mereka menagih Anda 50% lebih sedikit jika Anda tinggal di ecosfera. Saya telah datang ke sini selama 3 tahun terakhir dan saya pasti akan kembali lagi.",4
3,Ecosfera Hotel,"Bersenang-senang di ecosfera, dengan restoran yang indah yang menyajikan pilihan sehat. Yoga itu fantastis, dengan instruktur hebat & pandangan baik. Lokasi sangat bagus dekat dengan aksi, tapi masih sepi. Spa itu baik - sangat merekomendasikan",5
4,Ecosfera Hotel,"Semuanya diatur dengan sempurna di hotel ini! :) mereka mengurutkan formulir transportasi saya ke bandara, mengatur perawatan spa dan selalu tersenyum! Kamar sangat nyaman, makanan di kafe sangat bagus dan secara keseluruhan semuanya cukup baik! Satu-satunya hal (tetapi berlaku untuk Bali secara umum) ada orang-orang yang merokok di mana-mana. . . jadi Anda mencoba untuk bersantai di tepi kolam renang tetapi baunya membuatnya agak sulit. . . tetapi seperti yang saya katakan, ini terjadi di mana-mana di Bali!",5
5,Ecosfera Hotel,"Saya dan mitra saya mendapat pijatan pada saat bersamaan. Dia mendapatkan wanita, aku mendapatkan pria itu. Dia bersenang-senang dan mengatakan bahwa pijatan Bali-nya hebat, tetapi bagi saya itu pertama kali mengerikan, saya tambahkan untuk bertanya lebih kuat dan kemudian menyakitkan. Tidak ada gunanya, teknik dan perasaannya tidak menyenangkan, kadang-kadang dia memijat tulang. Saya harus meminta perubahan dan seorang wanita di tengah-tengah pijat dan itu jauh lebih baik. Saya menyesal mereka tidak menawarkan setengah jam yang saya habiskan bersama lelaki itu untuk saya bersantai jadi saya hanya mendapat setengah dari pijatan yang bagus dan itu cukup sulit untuk bersantai dengan pengalaman babak pertama. Terlalu mahal.",3
6,Ecosfera Hotel,"Sebagai kelompok keluarga kecil kami tinggal di suite pantai dan taman. Kamarnya sangat besar, dilengkapi dengan baik dan nyaman. Staf sangat ramah dan membantu. Kami berubah ke hotel ini setelah malam yang buruk di hotel yang bising dekat. Saat mengunjungi staf Ecosfera segera membuat kami jauh dari kemungkinan kebisingan dari bar Barisa - jika mereka memiliki salah satu malam pesta mereka. Kami menemukan ini sebagai pendekatan yang sangat jujur. Saat memeriksa situs web bar, kami diyakinkan bahwa tidak ada pesta yang berlangsung selama kami tinggal dan kami memiliki tidur yang nyenyak dan damai. Sangat dekat dengan semua kegiatan yang ditawarkan Canggu.",5
7,Ecosfera Hotel,Sangat lambat dan mahal jika Anda menganggap Anda berada di Bali. Semuanya termasuk ekstra dan wifi adalah yang terburuk. Anda dapat menemukan tempat yang lebih baik dengan mudah di dekatnya. Bahkan satu potong roti juga ekstra Anda bisa melihat pada gambar yang belum pernah saya lihat dalam perjalanan saya sebelumnya di Bali atau negara lain. Kami hanya mencobanya dengan istri saya dan tidak akan datang lagi.,1
8,Ecosfera Hotel,"Tempat yang bagus untuk bersantai bagi orang yang suka ketenangan. Kolam sangat bagus, sarapan lezat dan staf sangat ramah dan membantu. Mereka juga menawarkan penyewaan sepeda ciak. Lokasi bagus, hanya 3 menit berjalan kaki ke pantai.",5
9,Ecosfera Hotel,"Ecosfera adalah tempat saya menginap di perjalanan Bali kedua saya. Sejak awal, saya menyukainya. Layanan mereka sangat baik, perilaku staf sangat ramah dan profesional, dan kamar saya menginap sangat bagus menghadap ke kolam renang. Kamarnya luas, fasilitas untuk shower air panas dan AC, restoran milik hotel semuanya ada di sana. Dekat dengan pantai, ini adalah tempat yang sangat baik untuk tinggal jika Anda lajang atau bersama keluarga. Perjalanan menjadi jauh lebih baik dengan tempat yang bagus untuk tinggal. Sangat dianjurkan.",5
10,Ecosfera Hotel,Kotor. . . hotel. . . kehabisan. . . mereka bahkan kehabisan handuk kolam renang. . . kamar tertanggal. . . Hotel harus lebih murah untuk mencocokkan kualitas yang mengerikan. . . hotel kumuh tidak bisa repot mengambil lebih banyak foto. . tapi saya tidak akan merekomendasikan. . .,1
11,Ecosfera Hotel,"Saya dan suami saya menginap di sini selama 4 malam. Hotel yang diatur untuk mengumpulkan kami dari bandara, yang sangat kami hargai setelah penerbangan yang panjang. Kamar kami sangat indah dan kami memiliki banyak ruang. Area kolam renangnya kecil tapi cukup bagus. Sarapannya lezat setiap pagi dengan pilihan yang bagus. Saya juga melakukan yoga, salah satu yang sangat santai pagi. Saya akan menginap di sini lagi karena lokasinya dekat ke pantai dan membantu dari staf. Terima kasih untuk pengalaman menginap yang luar biasa! X",5
12,Ecosfera Hotel,"Lokasi hotel ini sempurna. Berjalan kaki sebentar ke pantai, dikelilingi oleh banyak restoran, kafe, toko kelontong kecil dan bahkan apotek. Saya menginap di triple room yang oke tapi perlu beberapa perubahan untuk tirai & sedikit yang ketinggalan jaman untuk kamar mandi. Makanan untuk sarapan, kopi, dan para stafnya baik.",4
13,Ecosfera Hotel,"Setelah memesan di sini dan membaca beberapa ulasan yang tidak begitu baik di trip advisor kami tidak yakin apa yang kami akan mendapatkan ketika kami tiba jadi datang dengan pikiran terbuka. Tapi sejauh ini sangat fantastis!  Kami memesan kamar Ocean View, kita pasti akan melihat laut dari kamar kami. . . ya ada di tempat ini bagaikan naik dengan sapi (ini adalah Bali ingat) juga mengingat tempat ini tidak mengiklankan dirinya sebagai yang di depan pantai, jadi mungkin itu yang salah tafsir pengulas lain.  Kami mendapatkan dan kamar tidur ekstra untuk salah satu dari dua anak-anak di sana masih banyak ruang untuk anak-anak.  Wifinya sangat bagus, jadi tidak memiliki tv seperti orang lain telah disebutkan tidak menjadi masalah di malam hari atau ketika anak-anak perlu istirahat…",5
14,Ecosfera Hotel,"Makanan yang baik, staf yang baik! Benar-benar tempat yang bagus di Bali, dengan berbagai macam makanan dan layanan yang bagus selama sepanjang malam kami sudah pernah di sana. Kami pasti akan segera kembali lagi karena hotel ini benar-benar tempat yang bagus.",5
15,Ecosfera Hotel,"Kami menginap di ecosfera luar biasa! Sarapan yang disediakan adalah salah satu yang terbaik yang kami punya di Bali! Semua sangat bersih dan stafnya sangat sangat ramah! Pantai hanya menjadi menit dan di depan hotel adalah sebuah supermarket dan ATM, semua di dekat kaki! Kami menginap di sana bagus!  Salam  Vicky dan Patrick",5
16,Ecosfera Hotel,"Lokasi yang sempurna, berjarak selemparan batu dari pantai Echo dan Batu Bolong juga dekat dengan restoran terbaik/kafe di sekitar Canggu. Kamar dapat meningkatkan seperti kami mendapat sangat tua dengan membantu memperbaiki sirkulasi buruk dan kepala shower yang buruk. Juga akan membantu jika ada ketel di dalam kamar dan cangkir untuk minum. Stafnya sangat ramah dan murah hati. Pilihan sarapan yang bagus dan musik!",4
17,Ecosfera Hotel,"Hotel yang sangat bagus. Lokasi yang sempurna, hanya beberapa meter dari pantai echo, dengan banyak restoran dengan berjalan kaki. Staf yang sangat ramah dan kolam renang yang bagus, ada spa di hotel ini. Sarapan yang ditawarkan adalah benar-benar baik, bervariasi untuk makanan.",5
18,Ecosfera Hotel,"Kami ingin dekat ke pantai Echo dan La Brisa Beach Club dan hotel ini hanya berjarak selemparan batu (2 - 3 menit jalan kaki) .  Staf resepsionis sangat menyenangkan, kami mendapat upgrade kamar karena ada yang tersedia, dan memasuki kamar suite yang lebih besar, kamar yang luas dengan tempat tidur dan balkon impian. Putri saya menikmati perawatan spa saat saya mencoba tiga kelas yoga yang berbeda di shala terbuka di lantai atas. Saya terutama menyukai Yin kelas Yoga dan merekomendasikan dengan tulus anda mencobanya.  Ada area kolam renang yang kami gunakan setiap hari, ada terbatas jumlah kursi matahari, tetapi itu tidak sibuk ketika kami berada di sana, jadi tidak masalah.  Menu sarapannya benar-benar bagus dan kreatif, dengan hidangan yang menyenangkan dan modern, sangat…",4
19,Ecosfera Hotel,"Hotel ini benar-benar indah dan bersih. Kamarnya luas dan tempat tidur yang nyaman. Sarapannya luar biasa dan staf sangat baik. Mereka memiliki lokasi yang bagus dekat dengan pantai dan restoran dan spa yang menawarkan kelas yoga, dan swimpool . Saya sangat merekomendasikan hotel ini.",5
