,hotel,review,stars
0,Full Moon Bungalows,Waktu stay disini kamarnya oke dengan desain kontemporer tempo desa jadi kita berasa tinggal disuatu village dengan atap jerami. Keren semuanya tradisional tapi bagus banget untuk menu breakfast kita bisa pilih 3 jenis dan akan di served sesuai keinginan. Enak pokoknya next kesini lagi,4
1,Full Moon Bungalows,"Tempatnya strategis, dekat dengan pelabuhan, serta beberapa tempat makan dan minum. Sangat recomended bagi kalian yang berlibur di Nusa Penida berpasangan, bersama teman, maupun keluarga. Kamarnya sangat bersih, begitu juga lingkungan sekitar bungalow.  Saat sy menginap disini, sy diberi kesempatan untuk mencoba kamar barunya yang baru selesai dibangun dan belum di launching. Sangat bersih sekali.  Namun sayangnya beberapa pegawai hanya ramah terhadap wisatawan asing.  Oiya, kalau kesini bawa botol minum sendiri yak. Mereka menyediakan refil air putih dan murah!",4
2,Full Moon Bungalows,"Sebuah pengalaman yang menyenangkan bisa menginap disini. Lokasinya strategis, dekat dengan warung makan murah di depan Pura Ped.   Kamu akan dijemput dan diantar ke pelabuhan tempat kamu berlabuh dan menyebrang secara cuma-cuma.  Mas Kadek bersaudara yang sangat ramah dan begitu juga dengan karyawan lainnya.  Kamarnya besar, bersih, wangi, kasurnya empuk, dan serasa mengajak kita kembali ke alam.",5
3,Full Moon Bungalows,"Full Moon Bungalow menyediakan free pick up dan drop off bagi tamunya di/ke pelabuhan. Jadi ngga perlu khawatir bagaimana menuju ke Full Moon. Stafnya semua ramah. Kecuali salah satu expat yang katanya salah satu owner. Agak kurang attentive pada saat check in dan selama stay.  Untuk kamar nya sendiri itu bersih, tempat tidurnya memakai kelambu, kamar mandi bersih dan setiap kamar ada terasnya. Kekurangan dari tempat ini adalah kamar saya yang tidak di make up. Ketika saya pulang dan kembali ke kamar, tempat tidur saya masih berantakan seperti semula saya pergi. Di Full Moon menyediakan wifi, tapi jujur saja memang di Nusa Penida susah sekali mendapatkan signal HP. Jadi wifi tidak terlalu banyak membantu.  Full Moon tidak menyediakan restoran atau room service. Tapi disebelahnya…",4
4,Full Moon Bungalows,"Takdir yang membawa saya ke Full Moon Bungalow Nusa Penida. Beberapa hari sebelum perjalanan ke Bali, saya mencoba melakukan booking di resort yang berada di jalan Ped ini. Namun sayang sekali, kamar Full Moon sudah full booked. Jadi, saya berencana mencari penginapan on the spot dengan berpikir optimis bahwa berserakan homestay di Nusa Penida.    Memang ada banyak sekali homestay, resort, atau hotel di Nusa Penida dengan harga yang bervariasi. Namun menjadi sulit ditemukan karena saya dan adik saya baru mencari hotel setelah makan malam. Minimnya penerangan membuat kami melewatkan beberapa penginapan yang disarakan penduduk setempat. Cahaya bulan purnama malam itu lumayan membantu penerangan jalanan. Dari mulai jalan Sakti sampai jalan Ped kami lalui, hingga saya menangkap…",4
5,Full Moon Bungalows,"Tidak akan merekomendasikan, bungalo itu sendiri adalah cukup bagus, dengan harga sedikit curam untuk lokasi. Ada pilihan makanan yang buruk dan staf di bar dan resepsionis tidak ramah. Kami telah memesan malam sebelum kami pergi jika itu cukup baik untuk kami check out di 6:30 pagi dan mengatakan itu baik dan kami akan bisa transfer ke pelabuhan.  Ketika kami datang ke resepsionis di pagi hari pria di resepsionis tidak dapat berbahasa Inggris, jadi dia bangun orang lain yang sedang tidur di lantai untuk membantu kami. Dia bangun untuk pindah ke meja dan tidur di sana. Kami tidak membayar dan dia hanya pindah ketika kami mengatakan kepadanya bahwa kami ingin pergi dan masih belum membayar dia bangun. Sangat kasar dan tidak peduli. Membuang struk di kami yang hanya setelah kami…",1
6,Full Moon Bungalows,"Saya akhirnya di bulan purnama karena saya bertemu dengan seorang gadis di perahu yang memberitahu kami tentang ini dan 4 dari kami semua pergi ke sana bersama-sama. Ada 8 tempat tidur asrama (4 tempat tidur) dengan mandi air dingin (dengan tidak ada tempat untuk menaruh barang-barang Anda kecuali lokasinya kait) dan toilet terpisah serta wastafel kecil. Tidak ada privasi. Teman sekamar anda akan mendengar berwudu.  Mereka memiliki loker untuk barang-barang Anda tetapi satu adalah rusak dan mereka memiliki kunci cadangan untuk mereka semua toh dan secara rutin datang dan membuka mereka karena mereka tidak dapat melacak orang yang tidur di tempat tidur dengan apa yang menarik. Kamar tidak mendapatkan terkunci di semua, tapi tampak relatif aman Penida.  Asrama adalah 150, 000…",2
7,Full Moon Bungalows,"Kami tidak tinggal di bungalow tapi makan di restoran. Pertama dari semua staf memiliki tidak tahu apa yang dia lakukan. Hal kedua, makanan adalah terlalu mahal dan benar-benar tidak baik. Kami benar-benar tidak bisa makan. jadi kami menyarankan Anda untuk tidak berhenti.",1
8,Full Moon Bungalows,"Gambar terlihat benar-benar berbeda dari kamar. Setelah kedatangan pemilik mengatakan kepada kami bahwa itu akan baik bagi kita untuk memiliki vegetarian sarapan di pagi hari seperti itu termasuk dalam harga kamar tetapi pagi berikutnya ketika kami pergi untuk sarapan dan meminta untuk pilihan vegetarian dan kami disambut dengan kasar oleh staf yang muda tertawa saat diberitahu itu tidak mungkin. Kamarnya sangat biasa-biasa saja dengan lalat yang sangat kotor kelambu atas tempat tidur. Kamar mandi tidak terlalu bersih dan pintu adalah sangat sulit untuk menutup. Mereka bungalow sehingga mereka terbuat dari bambu yang berarti ini bisa menjadi sangat berisik dan anda dapat mendengar percakapan di luar, anjing dan ayam. Acara yang tidak lain adalah ayam balapan yang berlangsung…",1
9,Full Moon Bungalows,"Kami tinggal di sini selama 5 malam dengan tidak ada masalah sama sekali. Full Moon Bungalows memiliki AC yang sangat dingin, dan itu sangat bagus! Ini adalah nilai yang besar untuk uang dan lokasi yang bagus.  Kamar mandi tidak memiliki air panas dan saya tidak menyadari sampai kami tiba di sana, tapi karena itu panas, tapi itu tidak menjadi masalah bagi kami. Saya percaya banyak tempat serupa di Nusa Penida, karena saya melihat tanda iklan air panas banyak, seperti itu tidak selalu hal yang umum.  Kekuatan keluar di pulau jadi kadang-kadang Anda harus berurusan dengan tidak ada wifi. Tetapi ada hal yang lebih buruk. Itu bukan kesalahan dari full moon Bungalows. Ketika ada listrik, wifi bekerja sempurna!",4
