,hotel,review,stars
0,Gede Homestay,"Kami senang tinggal di tempat ini, kami menghabiskan tiga malam di sini dan saya pasti akan kembali! Lokasi sangat bagus, pantai pada dasarnya di luar kamar Anda, staf ramah dan mereka memiliki perahu mereka sendiri untuk memesan snorkeling dan melihat lumba-lumba, murah dan indah! Anda tidak akan menyesal tinggal di sini.",5
1,Gede Homestay,"Kami memesan kamar standar selama 3 malam melalui telepon. Ketika kami tiba, kami bisa melihat bahwa ada semacam renovasi di sisi kiri dan kanan bungalo tempat kami ditugaskan. Masalah sebenarnya dimulai pada pagi hari berikutnya ketika mereka mulai merobek salah satu bungalow batu yang sudah selesai. . . secara harfiah satu meter di sebelah kami. . . kami harus check out karena tidak mungkin untuk beristirahat. . . . untuk menawarkan kamar untuk disewa di situs konstruksi seperti ini tidak ok!",2
2,Gede Homestay,"Kami tinggal di homestay Gede saat kami pergi ke imigrasi untuk perpanjangan visa. Staf yang ramah dan bersahabat, dan memiliki pengetahuan tentang wisata lokal. Kamar kami adalah besar dan nyaman, dengan udara con. Kamar dasar tetapi untuk harga itu sempurna untuk beberapa malam. Sarapan adalah pilihan pancake, jaffle, atau roti panggang. Kami akan tinggal lagi!",4
3,Gede Homestay,"Ini adalah tempat kecil yang bagus tapi sederhana.   Itu hanya saya biaya 150, 000 untuk kamar untuk satu untuk satu malam - sekitar. 8 termasuk sarapan sederhana.   Ini adalah apa yang akan seperti. Orang-orang hebat, tempat yang sederhana tenang, tepat di pantai.   Apakah saya akan kembali lagi - ya dalam sekejap.   jika anda datang ke sini tidak berharap banyak. Tapi jika Anda suka kesederhanaan maka ini adalah tempat untuk Anda. Saya sangat menyukai tempat ini.",4
4,Gede Homestay,Saya ot sangat bagus sekali tempat untuk tinggal selama satu malam. Anda bisa mendapatkan harga yang bagus dengan pandangan yang baik. Kamar besar dengan pendingin ruangan dan kipas angin. Air panas dan harga yang baik di restoran. Anda juga dapat menikmati perjalanan seperti lumba-lumba dengan perahu tradisional bali.,5
5,Gede Homestay,"Mr gede dan keluarga langsung (perlu ditekankan) sangat ramah. Sayangnya orang-orang datang dan pergi di tempat yang mengatakan bahwa mereka tidak hanya terkait untuk melakukan ""bisnis"" dengan anda. Dan bahkan lebih bahagia itu adalah turis itu bukan yang terbaik baik.  Harga adalah lebih tinggi daripada kata e.g di.. Wikitravel.   Tempat itu kotor, bau, kotor dan tempat tidur merasa sama. 90% dari orang-orang yang tinggal yang ada benar-benar untuk orang-orang tua karena gadis-gadis muda.   Ini adalah poin yang bagus: Hal! Restoran adalah sangat murah. Keluarga adalah besar dan sangat membantu.   Aku tidak benar-benar baik di pantai lovina",2
6,Gede Homestay,"Pertama dari semua, semua orang di tempat ini hanya menginginkan uang anda, mereka selalu berusaha mencabikmu dari. Lumba-lumba, harga sepeda motor, dll. Lebih di mana-mana. Pantai adalah indah, penuh thash, air kotor, bahkan mencari di pantai ini lama, tidak berpikir tentang berlarian di pantai. Setiap kali, ketika anda pergi ke restoran atau pantai selalu ada setidaknya 4 - 5 staf mencoba untuk menjual anda tur atau sesuatu yang lain. Kami memesan 3 kamar tidur. Kamar mandi adalah kotor, wastafel diblokir, dan jangan terkejut jika anda melihat tikus di kamar mandi anda, untuk itu anda mungkin seorang pembohong. Ketika saya mengatakan pemilik ada tikus di dalam kamar mandi saya ia hanya melakukan apa-apa. Saya meminta mereka untuk mengubah kamar mereka menolak. Aku telah pergi…",1
7,Gede Homestay,"Kami memiliki 45 min berjalan kaki dari sibuk ""segar"" di sekitar area pusat kota lovina dan itu mengapa aku suka tempat ini. Kami tepat di pantai, staf yang murah dan bagus di sekitar, ada indomaret dekat dengan tempat ini dan homestay itu sendiri memiliki banyak bir. Kamarnya bagus tetapi dasar (tidak ada tv, pilihan kipas angin atau a/c) dan staf adalah super ramah. Kami memesan kamar untuk 15 orang-orang di sini untuk tahun baru dan mereka super italia! Kamarnya tersedia mulai dari 200 - 300, 000 rp per malam. Mereka juga dapat mengaturkan perjalanan ke mata air panas atau snorkeling (jika anda suka hal semacam itu.)",5
8,Gede Homestay,"Salah satu bagian favorit saya dari waktu saya di bali! (Maaf untuk itu sudah 8 bulan untuk menulis) saya telah ditulis untuk bertemu mr gede, bertanya jika dia akan memberi saya pelajaran gamelan. Kami punya itu dan lebih. Hari kami tiba, mr gede kata keluarganya akan bermain untuk kami setelah makan malam, anak-anak dan orang dewasa. Lain hari, ia diatur untuk membawa kita ke guru utama. Ia dan dimainkan bersama gamelan pengetua kuil bfor 3 dari kami dan kemudian saya ditawari ikhtisariah shaldr. Mr gede juga membantu saya di gamelan bambu di tempatnya. Kami berbagi makan, memiliki pelajaran di kepercayaan bali, memiliki pijat di pantai. Mr gede dan masih tersedia untuk naik/wisata di sekitar daerah itu, seperti kuil buddha dan syukurlah, bank. Terbaik tempat untuk tinggal…",5
9,Gede Homestay,"Setelah mengambil bus dari ubud kami telah menendang di terminal bus kaubutuhkan lovina. Sayangnya, kami membiarkan diri untuk diseret oleh salah satu penduduk setempat untuk guesthouse ini. Kami bertanya apakah ini adalah pantai lovina dan saya mengatakan ini. Ini bukan, itu masih 3 km ke lovina. Pantai adalah benar-benar menjijikkan. Babi-babi, ayam, dan banyak kapal besar. Tidak cocok untuk berjalan, tidak untuk berenang. Kamar baik-baik saja, tapi terlalu mahal untuk apa tempat memperlepas (kita dibayar 250 untuk kamar ber-ac dengan sarapan, pastikan untuk menurunkan harga seperti yang anda bisa). Wi-fi hanya di restoran, yang adalah satu-satunya hal yang baik tentang tempat ini. Kami juga dibayar 300 untuk menyaksikan lumba-lumba dan snorkeling (untuk 2). Juga besar. Kita…",2
10,Gede Homestay,"Kami tiba oleh sepeda motor di lovina yang mencari tempat untuk menginap. Cari hotel ditemukan di gede homestay dan memutuskan untuk menginap.  Kamar (kedua lantai, ""suite"") sangat luas dan juga memiliki balkon yang luas dengan sofa yang kita suka sangat banyak. Lokasi itu sempurna bagi kami; langsung di pantai. Ruangan itu sendiri adalah agak kotor, termasuk hasil. Harus meminta untuk handuk. Sarapan adalah baik-baik saja. Wi-fi hanya di restoran.  Selama kami tinggal staf dalfin/menginap di tur yang sangat baik, meskipun mungkin lebih murah ketika makan di luar hotel.  Secara keseluruhan baik nilai untuk uang.",3
11,Gede Homestay,"Kami tinggal di sini selama seminggu, kami punya kamar double dan single, ac dan kipas angin langit-langit, kamar sangat bersih, dan kamar mandi yang memadai, staf yang indah dan ramah, kami memesan semua perjalanan kita dengan Rasta yang menunjukkan kita beberapa tempat menakjubkan dan memberi kami tips tentang tempat untuk makan baik tradisional, ini adalah pengalaman menginap yang ekonomis",5
12,Gede Homestay,"Aku memilih gede bagus untuk menjadi ulasan yang bagus di sini dan mereka tidak akurat. Kamar-kamarnya yang sederhana (kecuali jika anda membayar lebih untuk itu di atas hotel)   Mr gede dan rekannya adalah benar-benar ramah dan aku menikmati mengobrol dengannya selama masa menginap saya. Dia sangat membantu dalam mengatur kegiatan budaya seperti tarian kunjungan ke festival di singaraja, serta situs wisata umum di dekatnya. Berenang di kolam renang dengan air terjun gitgit membungai.   Gede juga Gamalan musik benar kemenungan musik di rumah guru (50,000 r donasi) tidak ada banyak dengan cara latihan tapi musik ini mengatakan untuk menempatkan orang-orang di serikat kerasukannya. Aku merasa kamarnya sangat cepat dan pikiran anda menjadi geremeng gendeman, jadi harga masih…",4
13,Gede Homestay,"Pantai di desa anturan ini tidak baik. Ada ayam dan babi berjalan dan pantai adalah benar-benar kotor. Di sisi lain adalah suasana yang tenang dengan tidak ada toko, tidak ada klub dan tidak terlalu banyak kepariwisatawan.   Terletak di pantai, gede homestay adalah salah satu akomodasi terbaik di wilayah ini. Kamar-kamarnya bagus dan terbaik adalah teras untuk sarapan atau makan ikan panggang untuk makan malam.",3
14,Gede Homestay,"Kami berhenti di singaraja untuk melihat kami dan di samping kami peta ketut berhenti dan mengatakan 'tidak perlu untuk peta, anda mengikuti saya untuk tempat yang sangat bagus di lovina' dengan senyum menawan seperti itu sulit untuk menahan. Dan kami senang kami terpercaya garisah. Kamarnya besar, bersih dan nyaman. Berlokasi tepat di pantai tapi tidak cukup di lovina sekitar 2 km ke timur. Saya tidak akan merekomendasikan berjalan kaki, pantai adalah cukup menjijikkan kami menghindari sampah setiap langkah dari jalan. Keramahannya. Saya tidak bisa mengatakan banyak untuk restoran ini karena kami hanya menginap satu malam dan makanan kami adalah rata-rata tapi setidaknya itu disajikan dengan senyum. Aku melihat sendok garpu dan gelas tidak terbersih tapi tidak ada yang tidak…",4
