,hotel,review,stars
0,Gino Feruci Villa Ubud,"Menginap disini selama 2 malam, lokasinya tidak jauh dari central Ubud. Kesan pertama masuk lokasinya terlihat asri dan sejuk, pohon yang rimbun dan suara air yang mengalir. Ternyata ditengah terdapat sungai kecil buatan yang cantik.   Kami memesan villa untuk honeymoon, room service langsung sigap untuk membawakan barang-barang kami dan diantarkan ke villa. Villanya bersih, kamar dirapihkan dengan baik, terdapat dekorasi yang cantik dengan bunga-bunga. Kolam renangnya juga besih. Pagi harinya sangat sejuk, suara burung dan air sangat terdengar sehingga menambah kenyamanan kami. Area villa sangat private jadi suasana romantis tidak hilang.  Sarapan yang dihidangkan cukup enak dan variasi, pelayanan room service nya juga cepat dan tidak lama. Bahkan kami juga dapat sewa motor…",4
1,Gino Feruci Villa Ubud,"pelayanannya bagus, pegawainya smua baik dan ramah, penataan ruangannya menarik sehingga siapapun merasa nyaman tetapi kekurangannya adalah tidak tersedianya kompor dan air panas yg kadang keluar dan tidak dari shower",4
2,Gino Feruci Villa Ubud,"Ketika book Hotel kami memilih Single Room namun pada saat Check in kami dikasih Doble Room dengan harga yang sama.jadi sangat menyenangkan dapet Room yang luas..kamarnya rapih bersih.  Hotel berada jauh dari keramaian.. suasana yang tenang asri sangat cocok untuk anda yang ingin honeymoon..karna perjalanan kami backpacker, kami harus menyewa kendaraan untuk pergi ke tempat wisata karna jarak yang cukup jauh. namun over all sangat baik.bisa dijadikan recomend place buat anda saat liburan dibali",4
3,Gino Feruci Villa Ubud,1. Tempatnya nyaman 2. Cocok buat honeymoon 3. Lingkungan dan staffnya ramah 4. Makanan nya enak 5. 10menit keubud center 6. Nuansa alam banget 7. Tenanggg 8. Tempatnya romantis Bakalan kesana lagi dehh..,5
4,Gino Feruci Villa Ubud,"villa nya nyaman, pemandangan bagus sesuai dengan yang di ada di foto, tidak berisik. agak susah menemukan sign hotel Ginno Ferucci nya, hampir tidak keliatan. untung pake waze jadi bisa ketemu. overall bagus",4
5,Gino Feruci Villa Ubud,"Villa ini jauh dari keramaian. Anda akan diberikan ketenangan disini, makanan restorannya pun enak. Cocok untuk yang ingin honeymoon atau mencari sebuah inspirasi. Untuk keluarga pun cocok, pegawainya sangat ramah. Relax, Enjoy! ",5
6,Gino Feruci Villa Ubud,"Maaf baru kasih review, hampir setahun yang lalu menginap disini 2 malam, staff by phone sangat ramah. pada saat check in pun langsung sajikan welcome drink. Pak Wayan yang saat itu mengurus check in sangat cekatan, Saya di Caldora villa. Kamar Luas, bathroom yang lengkap dan konsep semi terbuka yang sangat menarik. begitu buka pintu langsung terdengar suara alunan musik khas bali dari dalam Kamar. Breakfast sangat lengkap. Udara sejuk khas Ubud. Saya sangat puas dan berkesan menginap di Gino Feruci Villa Ubud. Tidak ada perbedaan layanan antara turis lokal dengan turis luar. Ini yang menjadi poin penting wisata ke Bali.   Memang ada minus poinnya yaitu tokek. saya sih biasa aja. tapi istri ketakutan karena posisi persis di langit2 diatas kasur kita. pada saat check out staff…",5
7,Gino Feruci Villa Ubud,"dari semua fasilitas menurur saya sudah sangat baik di tambah keramahan para karyawan villa yanga sangat membantu kami ketika menginap disana hanya saja ada permasalahan sedikit di air shower untuk mandi, air shower di kamar mandi sempat tidak keluar air dan cukup lama menunggu air menyala untuk mandi tapi pihak villa cepat tanggap untuk menanganinya. jadi sejauh ini saya akan datang kembali untuk berlibur di Gino Feruci villa ubud",3
8,Gino Feruci Villa Ubud,"Lokasi mudah di temukan, tempat nyaman dan tenang, privacy ok, menu makanan enak. pegawai ramah sekali, ada private pool, ada bathtub, deket ke ubud market. ada massage juga. pas banget untuk HoneyMoon",4
9,Gino Feruci Villa Ubud,"Saya suka room dan servicenya..sarapannya jg enak.. Hanya saja air hangatnya hanya berfungsi sekitar 5 menit pertama,  setelah itu sudah tidak hangat lg.. Pintu depan terkadang agak sulit dikunci.. Overall saya puas",4
10,Gino Feruci Villa Ubud,Sangat sesuai bagi anda yang ingin mencari ketenangan di Bali. Namun beberapa bagian kayu di kamar hotel sudah mulai lapuk. Secara keseluruhan hotel ini sangat diekomendasikan bagi anda yang ingin berbulan madu di Bali atau untuk sekadar mencari ketenangan.,3
11,Gino Feruci Villa Ubud,"Villa mewah yg di kelilingi oleh pohon yg rindang..Memang agak susah untuk menemukan lokasi villa ini di karenakan plang/nama villa yg kurang besar... Private pool yg bersih,breakfast dgn banyak pilihan yg di antarkan oleh pegawai villa,kamar mandi yg unik... Rate Villa 1jt++",5
12,Gino Feruci Villa Ubud,"agak jauh dr pusat keramaian dan sedikit seram kalau malam. berasa tenang banget sehingga saya dan pasangan saya kira kalau cuma kami yang menginap disana. tp villa nya bagus, recommended kok sarapannya jg luar biasa enak",4
13,Gino Feruci Villa Ubud,"pelayanannya baik sekali walau kita sampe sana udah malem bgt, pas masuk kamar ada musik2 khas bali. cuma kolam renangnya aja harusnya sering dikuraz biar ga ada lumut di lantainya. bellboynya juga sigap sih kalau dimintain tolong. overall oke.",4
14,Gino Feruci Villa Ubud,"Pelayanan saat check in, mulai dari security, reception, bellboy sangat friendly. kamarnya bersih balinese modern, kolam renang bersih, seluruh perlengkapan bersih. namun ada satu hal saja yang kurang, di dalam ruangan kurang cermin. jadi ketika berpakaian harus ke arah toilet dulu dan cerminnya pun tidak full body. untuk makanan, untuk indonesian food rasanya enak.",4
15,Gino Feruci Villa Ubud,"tempatnya nyaman cocok buat yg lg honeymoon, suasana alamnya masih asri dan terasa bgt dg kamar mandi semi terbuka, saya dan suami menginap di Villa Coldora 8 dan pelayanannya ramah sayang ga ada pakaian handuk pdahal seluruh kamar ada privat poolnya. ada obat nyamuk elektriknya jg cm untuk alat makannya kurang pisau, pdahal disediain buah jeruk peras, kita minta dekorasi honeymoon nya jg gratis, tp over all great loving it ",5
16,Gino Feruci Villa Ubud,"Tempat nyaman tenang , untuk istirahat enak. Suasana nyaman seperti di pedesaan dengan suara air sungai. Kamat luas dengan tempat tidur nyaman, kolam renang privat walaupun kecil. Tempat parkir luas dan aman.",4
17,Gino Feruci Villa Ubud,Tempat yang nyaman dan sangat baik untuk liburan keluarga dengan  tingkat privasi yang tinggi.saya berada disini hanya 1 malam tapi sanagat menikmati vila ini dan saya akan datang lagi di liburan berikutnya. Staf dan secuitynya sangat ramah . Feel like home.,5
18,Gino Feruci Villa Ubud,"Mohon tokek bisa di berantas, krn sgt mengganggu sekali pada saat saya berkunjung ksana, istri dan saya tidak bisa tidur krn ada tokek di langit langit kamar kami. Untung ada security yang membantu mengeluarkan tokek pada saat itu, sisanya kami sangat menikmati pelayanan di hotel ini.",4
19,Gino Feruci Villa Ubud,"Saya datang kesini saat honeymoon, interior villanya sangat menawan, masih terdengar suara - suara hutan yang cocok untuk relaksasi saat liburan. Untuk sarapannya masih standar kualitasnya, terutama rotinya.",4
20,Gino Feruci Villa Ubud,"Sungguh buruk sekali perawatan villa gino feruci ini, ketika kami check in dan masuk ke villa, sampah berserakan dimana-mana yaitu di halaman dan kolam renang. Mesin filter kolam renang pun tidak menyala, ketika saya meminta untuk dibersihkan dan dihidupkan mesin filternya hanya mesinnya saja yg dihidupkan, tidak dibersihkan.  padahal villanya sungguh besar, komplit dan cantik.  satu lagi kotoran rayap pada atap villa sungguh menggangu tidur",2
