,hotel,review,stars
0,Grand Mega Resort & Spa,"Hal tidak menyenangkan dimulai ketika baru check-in dimana saya yang mem-booking kamar lewat Traveloka diharuskan membawa print out dari voucher menginap dan tidak bisa hanya menunjukan lewat ponsel saja atau setidaknya hanya menggunakan kartu identitas saja. Hal tersebut lumayan merepotkan karena saya yang sudah lumayan lelah harus mengirim voucher tersebut ke email reception disana. Petugas reception tidak menanyakan special request dari tamu yang menginap, padahal saya ingin request menu vegetarian utk breakfast keesokan harinya. Saya menyampaikan ke staff reception, tapi saya malah disuruh menyampaikan langsung ke restaurant dengan memberi nomor restaurant. Bukankah seharusnya department front office terintegrasi dengan seluruh departemen yang ada di hotel??! Saat baru…",1
1,Grand Mega Resort & Spa,"Nice hotel. I like the aroma in the room. Paling suka sama warna dan dekorasi kamarnya, nuansa ungu dengan putih elegan sekali. Cuma menginap seminggu agak bosan dengan pilihan sarapan yg itu2 saja. Mungkin bisa ditambah variannya. But, most of all, ini hotel yg sangat comfy. Thanks.",4
2,Grand Mega Resort & Spa,"Check in check out cepat,  kamar tidur dan kamar mandi hampir sama luasnya,sehingga kamar tidur terasa sempit,breakfast standard, kolam renang lumayan bagus,kolam renang anak tidak berfungsi lagi ? Pas Didepan hotel ada mall bali galeria. Cari makan gampang,",4
3,Grand Mega Resort & Spa,"kamarnya terlihat tua, tidak bersih. check in hari pertama tidak dapat handuk. ada tv di dekat bathtub, tapi tidak bisa nyala, tidak ada safety box di dalam kamar. untuk sarapannya kurang bervariasi, tapi ok sih",3
4,Grand Mega Resort & Spa,"Sebelumnya saya pernah ke Mega Boutique, yang masih satu management dgn Grand Mega. Sama2 bagus di bathroomnya, bathup terpisah dengan shower, dan ada tvnya di kamar mandi. Lorong menuju kamar menurut saya kurang cahaya, channel TV juga kurang bagus jaringannya banyak semutnya. Lokasi di seberang mall galeria, bersebelahan dengan minimarket dan tdk jauh dari bandara.",3
5,Grand Mega Resort & Spa,Sebenarnya kamar hotelnya nilai 8 tp kita kecewa di bagian resepsionisnya yg cewek. Judes bgt.. sy berharap makanannyaa enak2 ... hemmmbt biasa aja kog.. yg cepet tanggap adalah bag house keeping... sippp ramah dan cekatan ,2
6,Grand Mega Resort & Spa,"Lokasi hotel strategis, dekat dgn Mall Bali Galeria...keadaan hotel bgs dan rapi...pelayanan baik dan ramah...keadaan kamar, kamar mandi bersih dan rapi... kolam renang tidak besar tapi bersih dan langsung ada barnya...",4
7,Grand Mega Resort & Spa,"Pertama memang ingin cari hotel yang modern dengan fasilitas lengkap + bathup untuk bayi 8bulan saya maka terpilihlah ini hotel dengan pesanan kamar deluxe pool view. Karna full, oleh hotel diupgrade executive room.  Untuk kamar executive didesain etnik, cuma karna saya tidak begitu suka nuansa etnik. Pegawainya responsible dan fasilitas ok untuk liburan di bali. Lokasi hotel dan restoran yang yang terbaik. Berada di tengah2 untuk yg mau liburan ke pulau bali sehingga dekat kemana mana, untuk restorannya juga breakfastnya mantab pilihannya. Cuma mungkin untuk hotelnya bisa lebih bersih lagi dan lebih rapi penataannya. Great.",4
8,Grand Mega Resort & Spa,"Hotel ini pasti jaya dimasanya, tetapi sekarang kurang perawatan, kotor dan bau pengap, bau berasal dari selokan kamar mandi. Untuk tamu yang mau menginap dimintai deposit 300 ribu rupiah kontan, kalau pakai credit card kembalinya 2 minggu. ",3
9,Grand Mega Resort & Spa,Hotel yang didesain cantik dan indah dengan fasilitas bagus dan pelayanan yang memuaskan...para pegawai juga ramah dan murah senyum...Harga yang ditawarkan pun tak terlalu mahal...jika ada kesempatan mungkin akan kembali menginap disana 👍👍👍,5
