,hotel,review,stars
0,Gunung Merta Bungalows,"Anda mendapatkan apa yang Anda bayar. Saya pikir ini adalah penginapan termurah di Ubud. Ruangan itu begitu - begitu tapi cukup baik untuk tidur. Mereka tidak memiliki ac, air kemasan, minibar di kamar tetapi mereka menyediakan Anda dengan kipas angin, kulkas kecil, tv lama, lemari, tirai tempat tidur dan air panas berdasarkan permintaan. Ini juga sedikit berdebu tetapi memiliki pemandangan hijau di belakang. Kamar kami tepat di depan kolam renang yang sangat bersih dan segar. Mereka tidak memiliki sarapan prasmanan. Kami mencoba sarapan Inggris & nasi goreng. Ini sangat lezat. Hal bagus lainnya adalah tempatnya sangat dekat dengan pusat ubud. Hanya 10 menit berjalan kaki atau 5 menit dengan sepeda motor. Ini juga cukup dekat dengan hutan monyet, campuhan, dan tegalalang.",3
1,Gunung Merta Bungalows,"Kami menginap sebagai sebuah keluarga yang terdiri dari empat orang di dua kamar yang berdampingan. Staf yang penuh perhatian dan membantu dan kemungkinan satu-satunya kesan positif dari pengalaman menginap kami, namun ada beberapa hal negatif yang perlu disebutkan. Keadaan kamar mandi sangat buruk, saya tidak mengharapkan bintang lima tapi kebersihan sangat buruk dan kondisi yang sama sehingga. Handuk Rel kereta api dari balkon di luar terlalu rendah dan saya tidak merekomendasikan untuk menginap di sini dengan anak-anak. Ada sekitar 20 kaki jatuh ke bawah dengan alasan pagar hanya 60 cm tinggi di terbaik. Anak-anak laki-laki saya adalah 9 & 11 tetapi anak-anak bisa jatuh di atas. Saya pikir anda dapat menemukan tempat yang lebih dekat ke pusat kota dan meninggalkan dengan…",2
2,Gunung Merta Bungalows,"Saya telah tinggal hanya untuk satu malam, yang terletak tidak di pusat Ubud menawarkan Anda tempat ini cukup tapi masih bisa untuk beberapa tempat menarik di Ubud. Kamar saya di lantai 2 nd dan menghadap ke kolam renang dan hutan Tho. Staf yang ramah dan ramah, sarapan yang baik dan meninggalkan kenangan romantis untuk kami.",5
3,Gunung Merta Bungalows,"Tempat ini terletak di jalan utama dekat dengan patung Arjuna. Anda mungkin akan kehilangan tempat ini karena pintu masuknya kecil. Tapi setelah Anda memasukkan Anda melihat blok besar yang indah. Mereka memiliki seluruh Villa untuk Keluarga Di depan, ruang makan yang umum dan kamar tamu di halaman belakang. Mereka juga memiliki kolam renang yang bagus. Makanan yang menakjubkan dengan resep masakan Indonesia dan bubur dengan telur adalah harus mencoba. Dengan lembut kelapa di Indonesia sangat besar dan pasti layak harga yang mereka jual di tempat ini. Kamar-kamar dilengkapi dengan baik dan yang menghadap ke ladang padi di hutan tapi tidak seperti yang mereka katakan. Mereka memiliki kamar bagus pemandangan kolam renang dan memiliki terpisah kamar teras di mana Anda dapat duduk…",5
4,Gunung Merta Bungalows,"Kejutan yang menyenangkan untuk menemukan ini bungalow. sangat baik harga. Saya sangat terkejut dan fasilitas untuk harga yang murah. Kolam renang yang besar dan mewah, termasuk sarapan dan kamar saya memiliki tempat tidur ganda yang besar, 2 Lantai dengan balkon dan tempat tidur yang kecil. Angin yang indah di atas lantai kamar yang membuatnya besar untuk membaca atau bersantai. Bangunan tradisional Bali sehingga mendapatkan suara hutan untuk tidur dengan. Mohon maaf saya harus pergi di sini setelah 1 hari! Staf yang sangat baik dan membantu",5
5,Gunung Merta Bungalows,"Gungung Merta adalah sebuah harta karun yang hangat dan ramah, hotel ini sangat dekat dengan pusat kota Ubud dengan banyak trendi Kafe dan warung makan yang murah. Sarapan adalah 10/10 dengan pilihan yang baik. Kamar saya adalah luas dan dibersihkan setiap hari dengan kamar mandi ukuran yang baik dengan air panas dan dingin, tempat tidur besar dan sangat nyaman. Juga kamar memiliki kulkas. Hotel ini lebih tua dan membutuhkan beberapa bekerja di sini dan di sana, tapi masih sangat bagus nilai. Kolam renang indah dan terus bersih. Ada Wifi di area restoran, tetapi pada saat tidak ada di kamar, mereka di dalam hal yang saya percaya. Semua staf yang bekerja di sana indah, membantu, ramah dan berbicara bahasa Inggris yang baik. Wayan yang saya percaya mengelola ini sangat membantu…",5
6,Gunung Merta Bungalows,"Terletak sedikit di luar pusat kota di jalan utama, tetapi sangat tenang sekali di dalam properti. Staf yang ramah, kolam renang yang baik, dan kamar masuk akal, tapi siapa yang peduli jika mengingat harga. Sarapan disajikan di teras tertutup. Bagus.  Kamar mandi yang kuno dan handuk yang harus diganti sudah 5 tahun yang lalu; ini adalah satu-satunya negatif yang dapat saya temukan.",4
7,Gunung Merta Bungalows,"Staf di sini sangat bahagia dan ramah! Itu benar-benar membuat Anda merasa diterima.   Sarapan termasuk dan sangat bagus! Saya akan merekomendasikan pancake.   Kamar sangat bagus dan luas dengan tempat tidur yang nyaman. Bisa dilakukan dengan perbaikan dan kamar mandinya agak usang, tapi itu tidak mempengaruhi pengalaman menginap kami. Balkon besar dan memiliki pemandangan yang indah dari hutan.   Foto kolam yang menyesatkan, itu indah untuk memiliki berenang untuk mendinginkan tetapi tidak ada tempat untuk berbaring di bawah sinar matahari yang memalukan seperti itu akan lebih baik untuk memiliki jalan-jalan pagi atau sore hari dari untuk bersantai dan berjemur.   Namun, kami menemukan tempat yang bagus untuk mengunjungi resor disebut Jannata untuk hari - tidak seperti…",5
8,Gunung Merta Bungalows,Bagus: staf yang ramah dan pemandangan yang luar biasa. Kolam renang tampak bagus tapi tidak menggunakan.   buruk: toilet dan kamar mandi berdua sangat kotor. Toilet tidak menyiram dan ada air panas dari kamar mandi. Seprai memiliki noda pada mereka dan handuk memiliki bau aneh untuk mereka. Banyak semut di mana-mana jadi jangan meninggalkan tas anda terbuka di malam hari. Toilet dan kamar mandi kedua banjir dari hujan semalam.,2
9,Gunung Merta Bungalows,"Kamar yang membuka ke hutan yang menciptakan angin alami yang lembut. Jika Anda ingin pengalaman Bali yang sebenarnya dengan keramahan dan taman yang indah dan kolam renang, memesan kamar di Gunung Merta. Gratis sarapan adalah bagus. Saya Merekomendasikan Nasi Goreng.",5
