,hotel,review,stars
0,Home@,lokasi hotel yang sangat ideal sekali dekat untuk kemana saja & memiliki budget dengan harga yang sangat bersahabat dengan fasilitasnya yang sangat baik. terutama mas ari.... dia salah satu staff home@36 yang sangat baik&ramah yang dengan ramahnya memberikan saya info banyak tentang bali & destinasi liburan di bali yang belum saya ketahui.... dengan info dari nya saya menjadi tau tempat-tempat liburan di bali yg bagus apa aja.... thanks,5
1,Home@,explore daerah sekitar hotel dengan jalan kaki sangat menarik! dikelilingi oleh cafe dan restaurant. cukup dekat dengan pasar oleh-oleh tradisional dan mall. serta suasana malam dan siang sama-sama menarik. berdekatan dengan cafe yang menyediakan live music di waktu-waktu tertentu. 5 menit dari waterboom bali.,4
2,Home@,Lokasi hotel sangat strategis..kamar nyaman dan bersih serta ukuran kamar cukup besar. Gak percaya ada budget hotel d kuta yg begitu bagus.. Makanan nya lumayan utk ukuran budget hotel gini. Pelayanan staff nya juga baik. ,5
3,Home@,"Kamar luas,,  kolam renang depan pantai,,  ac dingin sekali,,  hanya saja wifi agak lemot,,  secara keseluruhan saya suka dan puas tinggal di hotel ini,,  saya dan teman teman punya tempat yang luas untuk ber 3 dalam satu kamar. ",5
4,Home@,Hotel yang bagus dengan lokasi yang sangat strategis dan pelayanan yang ramah dan sopan.. Hotel bintang 3 satu2nya yang memiliki akses ke pantai Segara. Terimakasih kepada pak Putra sebagai Manager On Duty yang telah banyak memberi perhatian dan membantu. Bravro Hotel Home@36 !!!,5
5,Home@,"Sudah 4 kali menginap di hotel Home@36 pelayanannya selalu menyenangkan. Tahun ini saya menginap tanggal 14-17 januari 2018, dari proses booking, diskon dan permintaan kamar dekat lift karena bawa orang tua prosesnya mudah dan semua permintaan  dikabulkan oleh manajemen hotel. Untuk kamar bersih, dan makanan sangat enak dengan view saat sarapan langsung memandang pantai dan lautan... Untuk staff hotel sangat ramah dan sangat membantu, terima kasih juga buat Ms Yunina yang mengabulkan permintaan saya lewat akun gmail  saya. Terima kasih juga untuk Bli yang mengantarkan ke airport (mohon maaf lupa namanya) yang dengan senang hati mengantarkan dengan mobil pribadi karena 1 mobil hotel tidak cukup karena saya bawa keluarga besar.. Semoga selalu bisa berkunjung ke Home@36 lagi...",5
6,Home@,"Secara umum saya merasa nyaman denann hotel ini, pertama karena hotle berada di dalam mall discovery, selain itu juga pelayanan yang diberikan sangat baik. Tetapi karena akses ke kamar yang bisa dibilang jauh apalagi lift hanya di ujung gedung dan disisi lainnya tidak ada. Jadii kalau ada di kamaar nomor 226 maka harus berjalan sangat jauh karena layout hotel yang memanjang.",4
7,Home@,"Lokasi Sangat Bagus krn bisa connection dg pantai kuta, mau makan dan belanja gampang banget krn connect dengan diacovery mall kuta bali, dkt dengan ngurah rai airport, waterboom kuta, kuta square hard rock cafe, harga terjangkau,pelayanan baik, luasan kamar keci spt hotel budget umumnya, kebersihan dan nilai kamar 7 dr 10, over all direkomendasikan untuk cr hotel di kuta, bali dg lokasi bagus budget sedang, selamat berlibur",4
8,Home@,"kelebihan hotel ini adalah swimming pool berada langsung di tepi pantai kuta, dan dapat akses langsung ke tepi pantai kuta dengan harga yg terjangkau, dibanding hotel2 yg dekat dengannya. Akan tetapi menu breakfast kurang, wifi juga lemot. kamar hotel tidak ada view karena berada di dalam mol.",3
9,Home@,"Pernah ke Bali cuma 2 hari 1 malam, dan itu pun iseng karena pengen liburan aja tanpa persiapan tabungan sebelumnya. Cari hotel dan ini hotel yang pas untuk budget yang pas-pasan. Pertama datang disambut dengan ramah, suka sama gaya pakaian pegawai hotel yg casual, jd terkesan santai. Kamar nyaman, kebersihan juga standar, pas lah untuk yang memang bukan mau all day long stay di hotel. Yang menarik pintu luar langsung ke pantai, jd menjelang sunset ga perlu kemana-mana, bisa menunggu sambil berenang atau sekedar duduk2 saja. View ini juga bisa didapatkan juga saat breakfast. Dengan budget yang pas-pasan, tapi dapat fasilitas yang super, recommended..",4
