,hotel,review,stars
0,Hotel Santika Seminyak Bali,"kamarnya lumayan besar, lokasi lumayan strategis kemana2 asal naik mobil, service excellent, yang kurang cuma breakfastnya aga kurang variatif dan rasanya mungkin bisa coba di perbaiki lebih lagi. Overall Puas",5
1,Hotel Santika Seminyak Bali,"Layanan cukup baik dari staff hotel, kamar tanpa jendela sangat tidak manusiawi, lokasi sangat jelek jauh dari keramaian, fasilitas hotel baik, yang sangat saya suka cepat tanggap dari staff hotel ,yang segera memindahkan ke kamar yang berjendela, yang tidak saya sukai breakfast, tidak ada yang enak",3
2,Hotel Santika Seminyak Bali,"Santika seminyak terletak di sisi kota denpasar, jadi agak terhindar dari macetnya lalulintas di tengah kota denpasar, akses langsung dari dan ke bandara sangat nyaman dan cukup lengang. Saat dari hotel ke bandara hanya ditempuh dalam waktu 15 Menit sudah sampai di dalam ruangan cek in keberangkatan bandara denpasar. Kamar superior maupun deluxe yang ditempati cukup nyaman dengan luasan yang cukup untuk aktifitas dan ibadah. hanya kamar2 yang disediakan memang untuk tamu menginap yang bukan perokok/non smoking room.  Ruang makan dan pool ada di rooftop sangat nyaman karna dimanjakan dengan udara terbuka dan view kota Denpasar",4
3,Hotel Santika Seminyak Bali,"Kami menginap di Hotel Santika Seminyak selama 1 malam dengan total 3 kamar (group booking). Ketika hari check-in kami tiba sekitar pukul 15.30 WITA, namun sangat disayangkan ternyata ketiga kamar kami belum siap dengan alasan hotel sedang ramai padahal setau kami, kamar seharusnya bisa ready di pukul 14.00 WITA.  Setelah menunggu 1 jam, akhirnya 2 kamar ready dan bisa ditempati, sedangkan untuk kamar saya, saya masih harus menunggu 30 menit lagi dan baru bisa ditempati sekitar pukul 17.00 WITA padahal seharusnya pukul 17.00 WITA tersebut kami sudah berangkat ke daerah Nusa Dua untuk menghadiri pernikahan saudara.  Total menunggu 1,5 jam dan tanpa kompensasi apapun dari pihak hotel membuat kami sangat kecewa dengan Santika Seminyak.  Untuk kamar, kami tidak mengalami kekurangan…",2
4,Hotel Santika Seminyak Bali,"kalau bisa dibilang ini hotel semacam klikbait. karena dari depan ia hanya berupa parkiran mobil dan lobby saja. tetapi ketika kita memarkirkan kendaraan di halaman dalam, baru terasa besarnya gedung Santika seminyak. lokasinya yang berada di sunset road yang merupakan jalanan ramai dan banyak aktivitas serta dekat dengan pusat oleh-oleh yang cukup terkenal di Bali, dengan posisinya tersebut memudahkan kita mobilisasi menuju tempat wisata yang dituju, kamar di hotel ini desainnya mengesankan, cuman sayangnya dikamar yang saya tempati(lupa nomor kamarnya) diberikan akses jendela namun ditutup tembok alias tidak ada pemandangan. secara keseluruhan baik dari segi staff, fasilitas, makanan. oiya kolam renangnya berada di rooftop hotel, sehingga sangat cocok digunakan untuk sunrise…",5
5,Hotel Santika Seminyak Bali,Kamar lumayan besar dan juga bersih. Lokasi hotel sangat strategis dekat ke Seminyak dan Kuta. Lokasi juga tidak macet dan dijalur utama. Sayangnya parkiran mobil kurang luas. Menu sarapan kurang bervariasi,4
6,Hotel Santika Seminyak Bali,"Suka banget di Santika...kesan pertama saat dtg segar sekali ruangan lobby nya, terang dan bersih. Pelayanan OK ramah semua. Saat masuk ke kamar waooo nyaman banget tenang tdk gaduh suara di jalann raya. Untyk resto nyaman banget suasananya, dan makanan ok banget jd pingin balik sana lagi nih...mantap sekali....oh ya dan 1 lagi ruangan meeting nya nyaman banget...recomended deh intinya. Semoga semakin sukses Santika Hotel. Tq",5
7,Hotel Santika Seminyak Bali,"Dari depan hotelnya kelihatan nya biasa aja kaya kecil gt tp pas masuk kedalam...bagusss ga nyangkaaa..hotelnya bagus, bersih dan staff nya ramah2...breakfast jg enak...cm ada yang missed..sblm keluar hotel aku info ke GRO nya untuk minta kamar aku dibersihkan tp pas malam sampai hotel..ternyata kamar nya belum diapa2in...hikss hikss hikss...pasti dia lupa deh untuk di info kan ke housekeeping nya...aku coba sampaikan ke operatornya...dan malamnya dibersihkan...itu aja sih keluhan aku...Thanksss",4
8,Hotel Santika Seminyak Bali,"hotel bagus, bersih, nyaman Tempat bagus  bersama suami nice place nanti kesini lagi nginep di sini 4 hari 3 malam masukan: makanan perlu ditingkatkan dalam hal taste yah, btw over all semua baguss.... ",5
9,Hotel Santika Seminyak Bali,"Saya menginap bersama pasangan, kami menginap selama 3 malam. Kesan pertama yang kami rasakan adalah pelayanan yang ramah, untuk kondisi kamar dan kamar mandi bersih. Untuk tempat tidur, double bed di kamar kami adalah twin bed yang dibungkus seprei menjadi satu sehingga bed tampak besar, tapi ini tidak mengurangi kenyamanan kami tidur enak. Restaurant hotel ini berada di roof top, makanannya cukup enak (7/10) namun kurang variatif... Terima kasih santika seminyak, anda memberikan istirahat yang nyaman untuk kami.",4
