,hotel,review,stars
0,Hotel Sorga Cottages,"Jadi, kami pergi ke tempat ini sesuai dengan saran dari seorang teman. Saya tekankan, hotel ini tidak jelek, tapi tidak luar biasa.  Kelebihan:  Hotel ini murah dan dari sana bisa pergi ke pantai dengan berjalan kaki 10 menit.  Dilengkapi dengan kolam renang yang lumayan untuk melarikan diri dari keramaian Kuta.  Kekurangan:  Seperti yang dikatakan orang lain, tempat ini tidak terawat, kasurnya jelek.  Siapa yang masih menuntut bayaran untuk internet? Bodoh.  Anda akan ingin makan di hotel karena murah, tapi makanannya biasa-biasa saja dan makan waktu, saya janji saya tidak melebih-lebihkan, 2 jam mulai dari saat kami duduk.  Secara keseluruhan, ini hotel budget, tapi menurut saya Anda bisa dengan mudah mendapat tempat yang lebih baik untuk harga yang sama jika Anda mencari tahu…",3
1,Hotel Sorga Cottages,"Terdapat serangga hampir di seluruh area kamar, matrasnya benar-bear lusuh dan kotor, belum lagi lantai dan kepala ranjangnya. Koalm renangnya oke dan para stafnya juga ramah - jadi terdapat 2 poin di sini namun tak ada nilai lebih.",2
2,Hotel Sorga Cottages,"Saya telah mencuri US $ 1600 dari kamar saya sementara kami keluar. Ketika penerimaan informasi, kata satu-satunya orang yang memasuki kamar kami adalah anak laki-laki kamar. Ketika diminta untuk menghubunginya, manajer mengatakan dia sedang berlibur dan tidak bisa dihubungi. Kami segera check out dan tidak akan pernah tinggal di sana lagi. Lawrence Mcgraw dds.",1
3,Hotel Sorga Cottages,"Hotel Sorga terletak sangat dekat dengan pantai utama Kuta, hanya 5 menit. Hotel ini terletak di sekutu, jadi mencari tahu bahkan dengan taksi mungkin merepotkan. Tetapi google maps membantu menemukan hotel. Lingkungan cukup jauh dari kebisingan kota. Kamar memiliki balkon untuk duduk, merokok. Pemandangan di luar tidak terlalu terbuka. Penerimaan hotel berperilaku baik dan mendukung. Mereka memiliki kolam renang, kami memiliki akses gratis, tidak yakin untuk semua. Restoran memiliki barang terbatas, cukup baik untuk kunjungan singkat.",4
4,Hotel Sorga Cottages,Tempat yang bagus dan bersih. memiliki pemandangan indah ke halaman dan sarapan yang enak. Staf yang ramah dan ramah. Hotel ini memiliki brankas. Jalan menuju pantai adalah sekitar 10 menit berjalan kaki tetapi di sekitar hotel gelap dan tidak ramai di malam hari. Menakutkan tetapi tampaknya aman. Banyak restoran dan toko yang sangat dekat dengan hotel yang membuatnya yakin. Benar-benar itu bisa menjadi pilihan yang bagus untuk berada di kuta,5
5,Hotel Sorga Cottages,"Yah, pertama-tama saya tidak bisa merekomendasikan cukup berapa banyak Anda tidak harus pergi ke kuta. Itu adalah dump mutlak. Tapi ulasan saya di hotel tidak ada hubungannya dengan itu. Stafnya tidak ramah, kamarnya oke dan lokasinya tidak bagus. Jadi, kami tiba di sekitar 11 malam dan hotel itu sendiri sangat sulit untuk menemukan dan jalan itu terasa sangat tidak aman di malam hari. Kamar kami sendiri (harap diingat kami mendapat kamar paling mahal) tidak hebat. Pintu balkon tidak terbuka. Selama mandi di pagi hari saya mendengar suara keras dan itu adalah wastafel yang jatuh! ! ! Saya telah melampirkan gambar. Ini tidak aman dan jelas merupakan bahaya keselamatan. Tempat tidur adalah satu-satunya hal yang dapat saya puji. Itu sangat nyaman dan bersih. Kami hanya tinggal…",2
6,Hotel Sorga Cottages,"Baik anggaran ramah hotel, kamar bersih, staf sangat ramah, resepsionis 24 jam, 5 menit berjalan kaki dari pantai kuta, baik untuk pelancong solo, sarapan baik, coba pancake pisang mereka, peringkat 8. 5 dari 10",4
7,Hotel Sorga Cottages,"Jika ada bintang minus, saya akan memberikan minus ke hotel ini, sebenarnya saya harus suka 15 menit di jalan peta menunjukkan kepada saya untuk menemukannya, tidak benar-benar kesalahan hotel. Saya sudah mengirimi mereka berkali-kali sebelum pergi ke sana, tetapi tidak pernah mereka menjawab! ! Saya masuk ke sana dan menemukan bahwa mereka bahkan tidak memiliki kamar yang saya pesan secara online ketika saya memilih kamar dengan balkon, tempat tidur utama. Tapi mereka hanya bisa memberi saya balkon dengan tempat tidur kembar! ! Apakah kamu bercanda? ! Bahkan Anda harus membayar ekstra untuk menggunakan pendingin udara! Mereka seperti sebuah comode tetapi tidak ada shower tangan, bagaimana bisa kau membersihkan pantatmu! ! Mereka seperti bak mandi, yang sebenarnya ketika…",1
8,Hotel Sorga Cottages,"Baru kembali ke rumah setelah 3 minggu di Bali, sekitar setengahnya dihabiskan di Sorga. Staf sangat ramah dan membantu, hotel terasa sangat aman dan tenang, meskipun sangat dekat dengan kegilaan Kuta. Sarapan kecil tapi enak (panekuk pisang adalah favorit saya) dengan banyak kopi. Penjemputan bandara gratis adalah bonus yang pasti karena sebagian besar taksi tidak akan turun ke jalan sempit untuk sampai ke sini. Untuk harga, tempat ini tidak dapat dikalahkan.",5
9,Hotel Sorga Cottages,"berjalan kaki ke titik-titik utama di Kuta, tetapi tersembunyi pada saat yang sama, kolam renang yang bersih dan taman. sarapan ok untuk memulai hari Anda. Dalam 3 minggu kami tidak pernah memiliki masalah, tentu saja, kamar lelah, itu sebabnya Anda mendapatkan harga anggaran, tetapi semuanya berhasil.",3
10,Hotel Sorga Cottages,"Saya tidur 2 malam di sini, lorong di hotel agak sempit. tapi hotel ini sangat strategis, pekerja hotel bagus, sarapan sedikit tapi bagus. Saya paling suka konsep bangunan di Bali. kolam itu bersih. hotel ini berdekatan dengan toko-toko dan pantai-pantai kota.",4
11,Hotel Sorga Cottages,"Kamar yang sangat membutuhkan renovasi. Kamar mandi sangat membutuhkan scrub dan reparasi yang baik. Kamar berbau urin. Beddings dan handuk kotor, bernoda buruk dan tua. Seluruh tempat tidur perlu diubah, terlihat tua dan bernoda. Staf baik tetapi tidak tertarik membersihkan kamar secara teratur. Diakui, ini adalah hotel murah tapi tidak ada alasan untuk tidak menjaga kamar bersih. dan menyediakan kebutuhan dasar seperti kertas toilet. Sarapan dasar dan Anda perlu waktu yang baik karena mereka tidak top up terburu-buru. BAIK UNTUK SATU MALAM TINGGAL DAN APA LEBIH LAMA DARI ITU YANG FRUSTRASI!",1
12,Hotel Sorga Cottages,"Saya tinggal selama 5 malam & sangat puas. . . kamar cukup tua tapi sangat bersih & nyaman. . . mereka memiliki semua yang saya butuhkan. . Staf yang ramah & membantu. . Dengan alasan cantik, & meskipun saya tidak menggunakan kolam renang, itu tampak sangat bersih & mengundang. . Sarapannya ok, & tidak terbatas pada satu hal. . . Anda bisa memasak telur seperti yang Anda inginkan, roti bakar ekstra, Nasi Goreng, & kue. . . kopi tanpa dasar. . .  Saya pribadi memiliki merembes yang menyenangkan. . . kucing hotel kecil, yang pada dasarnya pindah dengan saya, selama saya tinggal. . . lol",4
13,Hotel Sorga Cottages,"Sejujurnya aku tidak mengerti peringkat yang bagus.  - kamar sudah tua dan kamar mandi menjijikkan  - tidak ada AC di kamar  - Kami hanya membawa handuk setelah kami meminta waktu untuk mereka  - Anda tidak dapat mengontrol (menghidupkan / mematikan) lampu di balkon dan mereka secara otomatis di malam hari sehingga kamar kami diterangi oleh itu meskipun tirai  - wifi tidak berfungsi dengan baik di kamar (kami memiliki kamar di lantai atas)  - sarapan ""prasmanan"" adalah benar-benar tidak mencukupi (kami harus meminta beberapa kali untuk isi ulang) dan kualitas makanan agak miskin - jadi kami sarapan di tempat yang berbeda  - Satu-satunya poin yang baik adalah sebagian besar staf yang ramah, kolam renang dan kedekatan ke pantai",1
14,Hotel Sorga Cottages,Hotel ini berlokasi di pusat kota. Kamar-kamarnya cukup besar . Tempat tidur yang nyaman. Tapi kamar mandinya perlu diperbaiki. Staf sangat membantu. Sarapan cukup baik. Kolam renang dan tamannya bagus.,3
15,Hotel Sorga Cottages,"Sangat dekat ke pantai, toko-toko suvenir, restoran, bar, klub malam, . . . , tapi masih sangat sepi di malam hari. Staf yang ramah, pelayanan yang baik. Kamar mandinya terlihat agak ketinggalan jaman, tapi mereka masih fungsional. Penjemputan gratis di bandara jika anda memesan di situs web mereka.",5
16,Hotel Sorga Cottages,"Kamarnya sangat standar dan WiFi tidak sangat stabil. Tapi kamar standar yang bisa diharapkan untuk harga yang bagus.  Kolam renang yang bagus, sarapan yang baik, tempat tidur yang baik, harga yang bagus. Lokasinya bagus: dekat dengan restoran dan pantai, tetapi di jalan yang tenang.",4
17,Hotel Sorga Cottages,"Menginap di Hotel dan benar-benar menikmatinya Sorga . Anda mengambil karena anda menemukannya , yakin, ada hal-hal yang mungkin tidak untuk selera anda, tapi setelah semua ini di Bali, anda tidak bisa menjadi kritis. Hotel ini orang-orang sangat membantu dan makanan sarapan yang baik . Hotel ini dekat dengan pantai, pisang goreng dari pedagang sangat bagus .",4
18,Hotel Sorga Cottages,"Kami tinggal di sini selama dua minggu, staf terkesan saya banyak, sangat ramah dan akan pergi keluar dari jalan mereka untuk membantu Anda dalam setiap aspek.   Jika saya bisa mengubah satu hal yang saya akan mendapatkan yang lebih baik dengan AC di setiap kamar.   Sarapan adalah dasar tetapi, semua sama ini termasuk dalam biaya kamar, dapur staf dan pelayan benar-benar, benar-benar baik. Jika anda mencari sebuah hotel yang murah dekat dengan tindakan maka ini adalah itu.",4
19,Hotel Sorga Cottages,"Saya kira untuk harga, Anda mendapatkan apa yang Anda bayar!   Bagus:   - lingkungan, dekat dengan segala sesuatu, nach, mall, restoran, tempat pizza terbaik (segera)   - kolam renang yang bagus, tempat yang tenang di sini, bahkan dengan berjalan kaki singkat ke pantai , - staf yang sangat bagus  - TV dengan banyak saluran seperti Australia, Jerman dan banyak lagi.   tidak begitu baik:   - kamar Tua  - toilet tidak akan menyiram setiap kertas toilet,   - kamar mandi tidak memiliki sebuah tirai sehingga air dikumpulkan dan membuat lantai sangat licin  - kamar mandi telah tidak ada tekanan dan dingin, tidak ada air hangat  Saya tidak yakin jika saya kembali, . nanti akan memeriksa kamar lain di daerah ini. Tetapi jika Anda pada anggaran. Saya akan mengatakan itu baik.  Karena AC…",3
20,Hotel Sorga Cottages,"Bulan lalu saya dan istri saya tinggal di hotel kami keempat Sorga. Staf, seperti biasa, sangat membantu dan ramah dan selalu ingat kita yang membuat kita merasa lebih selamat datang.  Lokasi yang strategis di Kuta untuk pengunjung dan mudah berjalan kaki ke pantai adalah bonus dan lingkungan yang tenang di area yang sibuk yang paling selamat datang.  Harga telah naik (seperti yang terjadi di mana-mana) tapi merasa bahwa mungkin waktu teh/kopi membuat fasilitas dan kulkas kecil yang tersedia di setiap kamar.  Saya akan merekomendasikan hotel untuk teman-teman dan pengunjung.",4
21,Hotel Sorga Cottages,"22 $untuk malam tempat ini adalah cukup baik. (+) Lokasinya sangat cantik dan kolam renang adalah cukup baru mencari.   (+) Tempat yang tenang tapi hanya dari jalan utama.   (+) staf yang ramah  Sisi bawah  ( - ) toilet kami tidak akan menyiram setiap kertas toilet,   ( - ) kepala pancuran tidak tetap di tempat dan tidak memiliki tirai mandi sehingga air dikumpulkan dan membuat lantai sangat licin  ( - ) dan kasur sangat keras sehingga tidak ada lembar slip off sepanjang malam   ( - ) bantal sangat sulit  ( - ) yang dipertanyakan tentunya merah di dinding  ( - ) colokan listrik hanya satu dan itu bekerja dengan baik di kamar mandi",3
22,Hotel Sorga Cottages,"Saya telah baru saja kembali dari 2 minggu di Bali, 12 hari yang dihabiskan di Hotel Sorga. Ini adalah tempat yang luar biasa jika menjelajahi karena sangat sentral tapi Anda tidak akan tahu itu ketika di hotel ini karena tidak berisik dan hotel ini sangat aman. Sarapan adalah prasmanan bagus dengan kue, sereal dan nasi/mie goring, teh, kopi dan jus. Lalu telur yang dimasak dengan keinginan Anda atau Anda dapat memiliki pisang pancake (favorit saya). Staf semua sangat ramah dan tidak bisa melakukan cukup untuk membantu. Kolam renang yang sangat bagus dan indah untuk bersantai di kedalaman. Wifi sangat sangat bagus dan bisa streaming langsung acara olah raga di HD di kamar dan di kolam renang/Bar.  Semua ini untuk harga. 14 malam untuk double kamar ber AC.",5
23,Hotel Sorga Cottages,"Staf ramah dan membantu tetapi tempat yang merasa seperti mereka tidak yakin jika mereka ingin menjadi sebuah hostel, hotel, penginapan atau hotel bintang 3.  Fakta bahwa ada tidak ada teh membuat fasilitas yang sedikit menjengkelkan mengingat dapur/bar ditutup pada tengah malam.  Secara keseluruhan tempat ini bersih dan nyaman dan memiliki tinggal yang bagus, wifi bagus tapi harga tur harus bekerja di - staf jelas menyadari fakta bahwa harga itu tidak murah.  Lebih banyak interaksi dengan tamu tentang apa yang ada untuk melihat dan melakukan di Bali dan di sekitar mungkin adalah apa yang membuat tempat yang lebih hidup untuk itu terasa seperti Minggu sore yang malas yang terus-menerus semacam suasana hati (yang tidak selalu buruk. tetapi Anda mendapatkan point :)  Kolam renang…",4
24,Hotel Sorga Cottages,"Pacar saya dan saya tinggal di sini selama 4 malam. Kami hanya memesan hotel ini karena itu salah satu dari beberapa hal meninggalkan karena kami memesan menit terakhir untuk malam tahun baru dalam kisaran harga kami.    ( - ) Internet lambat. Mereka juga menggunakan beberapa pintu gerbang sehingga beberapa situs yang tidak.   ( - ) Tidak ada lembar dipasang di tempat tidur sehingga Anda selalu bangun hanya di kasur.   ( - ) Lembar/bantal/sprei kotor  ( - ) Dan tidak banyak colokan listrik   (+) Murah  (+) Lokasi Bagus  (+) Sarapan yang baik  (+) Staf yang ramah  (+) Ada Kolam Renang  Secara Keseluruhan. Saya tidak akan menginap di sini lagi. Itu hanya sedikit terlalu kotor menurut saya bahkan untuk harga. Tetapi jika Anda sedang mencari sesuatu yang murah, terletak di pusat…",3
25,Hotel Sorga Cottages,"Mereka berpikir tentang hal-hal yang tambahan seperti, meninggalkan termos dengan air hangat dan memberikan pilihan yang cukup untuk sarapan. Saya sangat menyukai Pancake Pisang! Hotel ini terletak di pusat Kuta dan Legian, sehingga mendapatkan sekitar sangat mudah dan dekat untuk semua tempat utama. Itu adalah tempat yang menarik dengan total nilai untuk uang (nilai mutlak) dan staf yang ramah yang pergi keluar dari cara Anda untuk. Temuan yang bagus!",5
26,Hotel Sorga Cottages,"Hotel yang bagus, kolam renang yang bagus, kamar yang bagus dan bersih, makanan yang baik dan cukup dekat ke pantai. Besar staf yang ramah. Hotel ini terletak di antara pantai dan kehidupan malam, tempat yang tenang, tidak ada gangguan dari berpesta di malam hari, secara keseluruhan sangat nyaman tinggal.",5
27,Hotel Sorga Cottages,"Dibuka sejak 39 tahun yang lalu - mereka benar-benar peduli untuk tamu mereka dan tamu mereka tahu itu. Banyak dari mereka yang kembali setiap tahun...  Ada tamu dari segala usia dan bahkan penduduk lokal (indonesia) memesan...  Terletak di pusat kuta, tapi tidak di jalan utama=ini adalah damai dan tenang.  Sangat bagus, tersenyum dan membantu staf... Kamar yang bersih dan baik layanan kamar... Harga di restoran (utama dari 15000 rupiah)... Kolam renang yang bagus untuk bersantai dan berenang sebentar...  Mereka bahkan memiliki tombola untuk tamu untuk makan malam perayaan y 39 + gratis dan musik & pertunjukan tari untuk semua tamu! :)   Kami berada di sana selama bulan, merasa seperti di rumah sendiri. Dan kami akan kembali tahun depan.  Akan merekomendasikan untuk semua orang. ",5
28,Hotel Sorga Cottages,"Saya sangat senang untuk menemukan akomodasi ini luar biasa!  Lokasi: tepat di pusat kota, hanya beberapa menit dari restoran dan toko. Hanya 5 menit ke pantai. Meskipun lokasinya di pusat, tempat ini adalah tempat yang sangat tenang dan santai Pelayanan: sangat ramah dan pelayanan yang luar biasa!  Saya akan kembali!",5
29,Hotel Sorga Cottages,"Dari segi kualitas ruang, sarapan dan fasilitas, anda mendapatkan apa yang anda bayar. Kolam renang yang bagus, pancake untuk sarapan (telur tidak enak), tv dan wifi di kamar. Secara umum kamarnya sangat bagus.  Dekat dengan jalan utama tetapi jauh cukup bahwa itu adalah tempat yang bagus dan tenang.   Apa berdiri keluar untuk saya adalah tingkat layanan yang anda dapatkan untuk uang yang anda bayar. Staf yang benar-benar indah, senang untuk pergi keluar dari jalan mereka untuk membuat anda tetap nyaman. Kami meminta untuk sarapan di kamar kami setiap pagi, mereka membawa itu semua untuk kita. Sama dengan kami binatu dan air panas untuk teh dan kopi. Semua dilakukan dengan senyum dan sikap yang baik.   Pasti akan merekomendasikan tinggal di sini. Paling bang untuk uang anda.",5
30,Hotel Sorga Cottages,"Hotel itu sendiri adalah sangat bagus. Hotel ini menyediakan sarapan gratis yang bagus yang dikelilingi oleh taman yang indah. Ada juga kolam renang yang bagus. Pertama kalinya kami tinggal selama 2 malam, kamar memiliki 2 single bed dan balkon pribadi yang besar. Hotel ini sangat tenang dan sangat bagus. Kami tinggal di 2nd 1 kamar untuk malam dan ini adalah lebih dari kolam renang. Ada banyak suara yang datang dari tempat di sebelahnya dan tidak ada balkon pribadi. Hanya sebuah meja di pendaratan. Mudah-mudahan, saat kami kembali di malam hari kami mendapatkan kamar yang jauh dari kolam renang.",4
31,Hotel Sorga Cottages,"Saya dan istri saya menghabiskan empat hari dengan ini menjadi kunjungan ketiga kami.  Staf pasti menyenangkan dan membantu dan lingkungan yang indah untuk akhir pekan yang damai di daerah yang agak terkenal untuk kebisingan dan kebisingan. Standar secara keseluruhan sangat baik untuk harga hotel yang rendah. Balkon pribadi yang menghadap ke taman di luar setiap kamar dan tempat yang indah untuk bersantai. Hanya beberapa menit berjalan kaki ke poppies lane, dengan berbagai macam toko dan pantai. Belok kiri keluar dari jalan, dan berjalan kaki ke kiri untuk t persimpangan di mana ada berbagai pilihan tempat makan dengan harga terjangkau dan makanan yang sangat baik dapat sebagai sedikit sebagai $2,50 Penjemputan di bandara dapat diandalkan bahkan dengan lion air tertunda dan kami…",4
32,Hotel Sorga Cottages,"Ini adalah hotel yang sangat bagus. Para staf sangat ramah dan membantu. Kamar besar dan bagus, dengan balkon dan tempat tidur yang sangat nyaman. Menawarkan mandi air panas yang tidak banyak hotel lakukan untuk harga. Kolam renangnya juga bagus. Sarapan adalah sederhana namun cukup baik. Lokasi yang bagus karena dekat dengan pergi ke utama di kuta tapi tidak berisik. Sangat direkomendasikan!",4
33,Hotel Sorga Cottages,"Aku pertama tinggal di sini 35 tahun yang lalu ketika saya masih ada yang indah dan meskipun mereka telah hilang hotel ini masih memiliki sama tenang dan tradisional suasana bali.   Banyak staf telah di sini selama bertahun-tahun dan mereka selalu sangat membantu dan profesional, dari yang menjawab email untuk penjemputan di bandara dan kemudian layanan sementara tinggal di hotel.  Taman, dan area kolam adalah baik dipelihara dan memasuki hotel dari jalan adalah kepelesiran.  Wifi gratis juga merupakan sebuah brankas di resepsionis. Damai dan tenang di pusat kuta adalah sulit untuk menemukan tapi itu Sorga dapat ditemukan di sini.",5
34,Hotel Sorga Cottages,"Telah tinggal di hotel berkali-kali selama 20 tahun terakhir Sorga. Lokasi yang baik seperti yang tenang namun dekat gerombolankita Sorga adalah untuk segala sesuatu dan hotel terletak di jalan kecil ini. Gratis layanan penjemputan di bandara adalah baik untuk larut malam. Staf yang ramah dan banyak telah ada selama bertahun-tahun. Bagus taman dan kolam renang adalah bersih. Wifi Yang Baik.   Kamar yang sedikit tertanggal tapi ok jika anda tidak memerlukan sesuatu yang mewah. Aku punya kamar, kipas angin, shower panas dan lama tv dengan saluran internasional, baik balkon yang menghadap ke taman. Sini handuk tipis. Sarapan adalah baik dan merekomendasikan anda pergi di tempat lain untuk makanan yang layak  Memiliki lokasi yang ideal di eropa bahkan wisatawan yang datang kembali…",3
35,Hotel Sorga Cottages,"Hal terhebat tentang tempat ini adalah lokasinya. 5 menit berjalan kaki ke pantai, 1 menit berjalan kaki ke belanja besar dan makanan dan 5 menit untuk klub malam. Tempat ini juga benar-benar tenang seperti adalah hanya keluar dari jalan dari semua lalu lintas utama. Benar-benar kolam renang yang bagus, memadai sarapan gratis. Hanya pit adalah kamar mandi tidak yang terbaik dan kamar yang agak tanggal. Tempat yang bagus untuk anggaran wisatawan. Semua pengalaman yang baik. ",4
36,Hotel Sorga Cottages,"Sempurna pit-stop di hotel untuk perjalanan saya ke balian, dengan 4 teman, kamarnya bersih, ac, dengan tempat tidur yang nyaman, harga yang terjangkau, termasuk transfer dan staf yang menyenangkan. Pemandangan dan area kolam renang yang tampak sangat baik terus dan sarapan yang ditawarkan memukul tempat. Saya merekomendasikan hotel ini untuk anggaran hati dan tidak akan ragu untuk menginap di sini lagi.",5
