,hotel,review,stars
0,Hotel Suma,"Hotel Suma cukup bersih, letaknya juga strategis terutama untuk berburu dolphin dipagi hari. Sayangnya koneksi internet kurang kuat, namun untuk yang niat berlibur tanpa internet tempat ini sangat cocok.",3
1,Hotel Suma,"Kami berencana menginap di Suma satu malam, tapi setelah merasa disambut begitu hangat di tempat ini, terutama oleh karyawan-karyawannya yang luar biasa, kami memperpanjang kunjungan kami 2 malam lagi. Kamarnya sangat besar, bersih, dan memiliki semua fasilitas yang biasanya akan Anda temukan di hotel bintang 5. Dari sisi makanan dan minuman, tak ada yang istimewa, sarapannya layak dan menunya menawarkan masakan tradisional Bali tapi juga masakan internasional. Bahkan jika Anda memiliki permintaan yang luar biasa atau ingin memesan tur seperti tur lumba-lumba, para staf selalu siap untuk membantu Anda. Kesimpulannya, ini adalah tempat dengan nilai terbaik yang kami dapatkan dalam seluruh perjalanan kami di Bali.",5
2,Hotel Suma,Suksma untuk semua staf di Hotel Suma. Kamar saya yang indah lebih seperti kamar bintang 5 dengan harga rendah. Lokasinya sempurna untuk menonton lumba-lumba dan ikan paus (saya beruntung bisa melihat keduanya). Kolam renangnya cukup besar untuk berenang beberapa putaran dan restoran/barnya sempurna. Saya akan kembali ke Hotel Suma.,5
3,Hotel Suma,"Kami menginap di hotel ini selama 5 malam. Kami berencana menginap 2 malam, tapi kami sangat menyukainya dan bisa benar-benar merasa santai di Suma. Stafnya sangat ramah dan mereka sangat membantu. Pacar saya jatuh sakit dan mereka benar-benar peduli tentang keadaannya dan membuatnya merasa bahkan lebih nyaman lagi. Sarapannya sangat lezat, sebenarnya semua makanannya lezat. Mereka membuat banyak makanan dari bahan-bahan segar (sup tomat, saus, selai, dsb). Anda harus mencoba selai mereka! Selain itu kolam renangnya juga sangat menyenangkan dan ada cukup banyak tempat untuk kami berbaring dan bersantai. Kamar mandinya juga sangat cantik. Di lantainya terhampar batu-batu putih dan Anda berdiri di papan kayu untuk mandi di bawah pancuran air. Saya tidak merasa kalau tempat ini…",5
4,Hotel Suma,"Jika Anda ingin keramahan, pelayanan yang baik, makanan yang luar biasa dan sekitarnya yang paling indah ini adalah tempat untuk menginap! Kami tinggal di sini 3 hari tapi saya berharap kami bisa tinggal lebih lama. Staf sangat membantu dan ada banyak tur untuk dipilih, seperti menonton lumba-lumba liar saat fajar. Ada spa di tempat yang sangat terjangkau dan juga berkualitas bagus. Kamarnya bersih dan memiliki beranda yang lucu. Tamannya luar biasa. Kami sangat menyarankan semua orang untuk mengunjungi permata ini! / Lydia & Joel",5
5,Hotel Suma,bagaimana mungkin sebuah hotel bintang 3 kamar mandi bau mereka harus memperbaikinya kotor kotor tangan mandi aliran air yang rusak membutuhkan 40 menit untuk mandi  lampu mati selama satu malam sudah cukup  musik di sebelahnya terlalu keras tidak bisa tidur?,1
6,Hotel Suma,"Tidak ada air panas dan tidak ada masalah menyelesaikan masalah sampai hari berikutnya, dan atns pergi. Handuk adalah sintetis, tidak menyerap kelembaban. Kebisingan pagi dimulai.  Kami tidak bisa tidur musik tetangga terlalu keras Tidak baik",2
7,Hotel Suma,bagaimana bisa hotel bintang 3! ! tidak ada ide. Ruangan itu ok tapi toilet! ! eww! ! mereka pasti harus memperbaiki perlengkapan & kebersihan toilet mereka. itu kotor. pancuran tangan kami rusak. aliran air sangat lambat. mandi 15 menit saya membutuhkan waktu 40 menit hanya untuk kekurangan aliran air. di malam hari suasana hotel membutuhkan lebih banyak kilat. terlalu gelap untuk berjalan di malam hari karena tangga curam.,2
8,Hotel Suma,"Hotel bukan di depan pantai, mungkin hanya 2 menit berjalan kaki ke pantai kotor hitam. . . Hotel ini bisa lebih baik dengan bersih, toilet kami tidak bisa membilas dan setelah memberitahu resepsionis 3 kali ini masih tidak dibetulkan. . Beruntung kami memiliki teman di sebelah yang mari kita gunakan di sana. Makanannya cukup enak di waktu makan malam meskipun sarapannya agak biasa, tempat tidurnya sangat sangat keras, . . Tidak akan menginap lagi",2
9,Hotel Suma,"Kami seharusnya menginap di sana selama 3 malam, tapi ketika kami tiba di sana, kami diberitahu bahwa mereka tidak memiliki kamar yang tersedia kami memesan. Jadi kami dibawa ke hotel lain untuk satu malam dan kami bisa check-in ke Hotel Suma hanya pada hari berikutnya. Kolam renangnya bagus dan kamarnya oke. Tapi kamar mandi sangat membutuhkan perbaikan! Lebih jauh lagi, bak mandi tidak bersih sama sekali dan kotor.  Sebagai pemilik hotel selalu meminta kami untuk memesan perjalanan snorkeling dan menonton lumba-lumba, kami akhirnya membeli paket untuk EUR 45 per orang. Kami seharusnya tp meninggalkan pada 08 : 30 jam dan drive untuk satu jam dengan bus dan 20 menit dengan perahu. Kami akhirnya menunggu sampai jam sampai akhirnya kami di pulau ini sekitar 12 : 00 jam.…",2
10,Hotel Suma,Kami memesan kamar di Shri Ganesh. Kami berakhir di Suma. Staf membuat overbooking. Mereka menempatkan kami di kamar yang termurah. Terlalu miskin. Kami meminta penjelasan. Mereka menempatkan kami di kamar yang lebih besar. Handuknya kotor. Kamar mandinya kotor. Mereka tidak melakukan tempat tidur setiap hari. Untuk menghindari! Staf buruk!,1
11,Hotel Suma,"Ini adalah hotel yang indah dan tempat yang indah. . tepat di depan pantai.  Ketika saya memutuskan untuk memperpanjang masa menginap saya di lovina (terutama karena bukit yang menakjubkan, dan berbagai air terjun di sekitar), saya berbelanja di sekitar untuk penawaran yang bagus.  Saya pikir saya akhirnya mendapatkan penawaran yang bagus di Suma, tetapi ternyata menjadi luar biasa untuk harga yang murah. Hotel yang indah dengan sentuhan indah, greeenery dan arsitektur. Kolam renangnya indah di sekitarnya. Sarapan paginya murah hati dan mewah. . . . Saya harus menyebutkan Ketut Martha di restoran yang merupakan tuan rumah yang sempurna serta manusia yang terang dan membantu sumber pengetahuan lokal. Kamar yang nyaman dan kamar mandi adalah air panas dan kuat.  Dua hal negatif…",4
12,Hotel Suma,"Kami ingin mencari tempat untuk menginap selama 3 malam kami di Lovina & kami sangat senang kami pergi untuk hotel ini. Meskipun agak jauh dari bagian utama Lovina, sekitar 20 menit berjalan kaki ke semua yang kami lakukan dengan berjalan kaki (meskipun cukup cepat - mungkin 30 menit) . Meskipun ada bar, toko-toko & restoran yang terletak di ujung jalan hotel ini terletak. Sangat tenang selama kami menginap karena musim hujan. Mini mart seperti 1 menit berjalan kaki.  Sambutan yang sangat ramah ketika kami tiba di Hotel Suma Sobat & Joe. Dari Menerima minuman selamat datang yang indah (melalui pemesanan. com) dan diberitahu akun dari hal-hal yang bisa dilakukan di sekitar Lovina. Kami akan melakukan perjalanan lumba-lumba namun setelah membaca ulasan di Trip Advisor, kami…",4
13,Hotel Suma,"Disambut oleh staf yang sangat ramah.  Pemiliknya selalu layang sekitar, sangat ramah dan banyak berbicara dan membantu di mana dia dapat. Segera menawarkan pilihan kegiatan yang dapat kami lakukan di dalam dan di sekitar Lovina.  Hotel ini luar biasa, kamar yang indah, area kolam renang yang istimewa, benar-benar sebuah tempat yang tenang di mana anda dapat bersantai.  Restoran hotel menawarkan makanan tradisional dan barat yang luar biasa, meskipun saya akan merekomendasikan mendapatkan makanan tradisional, banyak yang lebih lezat daripada makanan barat, tapi semua benar-benar harga yang baik.  Sarapannya juga sangat enak dengan banyak pilihan untuk memilih dari.  - ac bekerja di udara kamar, sangat luas dan pribadi.  *berhati-hati: mengambil semprotan nyamuk! Mereka memiliki…",5
