,hotel,review,stars
0,Hotel The Flora Kuta Bali,"Saya sudah berkali2 membaca review hotel ini.. dan akhirnya saya memutuskan untuk menginap disini. Staff ramah, sangat friendly.. namun banyak fasilitas hotel yg saya rasa perlu untuk dibenahi.. Sy memilih kamar deluxe, pintu kamar hampir rusak, dan susah sekali untuk mengunci pintu dari dalam, tempat tidur sepertinya juga perlu diganti, sandaran banyak yg sobek, lantai kamar yg terbuat dari kayu seperti mau roboh, pintu lemari kamar juga berisik apabila mau dibuka dan tutup kembali. lorong kamar juga sangat sempit, dan jorok banyak barang2 house keeping berkeliaran. Namun menu breakfast enak, ada menu american breakfast dan indonesian food.",3
1,Hotel The Flora Kuta Bali,"sejak membaca review yang baik dari para customer, kami memutuskan untuk memilih The Flora Kuta Hotel untuk tempat kami menginap selama 3 hari di Bali, dan ternyata kami tidak salah memilih.   staf hotel sangat friendly dan cepat tanggap akan kebutuhan customer, kamar yang sangat nyaman, kamar mandi dan kolam renang kecil yang bersih.    selain itu, letak hotel pun sangat strategis karena berada di pusat kota.  hanya membutuhkan waktu sekitar 10 menit untuk mencapai Discovery Shopping Mall dan pantai kuta. selain itu, tak jauh dari hotel terdapat warung makan ""NIKMAT"",  yang sangat populer di Bali.  jadi kami tak perlu bingung untuk mencari tempat makan. Kami sangat merekomendasikan hotel ini.  karena kami pun akan kembali ke The Flora Kuta Hotel, apabila kami berkunjung lagi ke…",4
2,Hotel The Flora Kuta Bali,"Pengalaman saya dengan hotel ini didasarkan pada saat kami tinggal satu hari yang lalu (30/8/2012), sehingga sangat tenang baru-baru ini. Kami memesan taksi ke bandara ketika kami check-in. Ketika kami kembali dari makan malam, kami ingin mengubah waktu pemesanan, karena kita tahu kita perlu lebih banyak waktu untuk sampai ke bandara. Staf baru pada penerimaan benar-benar bingung dan tidak tahu tentang pemesanan taksi, karena staf sebelumnya tidak mengingatkan mereka! Kemudian, pukul 3 pagi ketika kita bangun untuk mengambil taksi ke bandara, orang dari penerimaan pergi ke kamar kami, jadi kami bertanya lagi jika ia disebut taksi. Dia berkata ""ya, semuanya ok"" dan kembali ke resepsionis. .. Dalam beberapa menit, ia mulai histeris mengetuk pintu kami mengatakan ""Madam, ada tidak…",1
3,Hotel The Flora Kuta Bali,"Awalnya kami menginap selama 2 malam dengan sangat nyaman, kolam yang besar dan bersih. Setelah perjalanan kami dari pulau gili kami kembali ke flora kuta. Merasa mendapatkan keberuntungan yang besar karena harga kamar mewahnya berada di harga yang sama dengan harga kamar biasa. Stafnya sangat ramah dan membantu. Suasananya sangat romantis selama malam hari. Tempat ini adalah sepotong kecil dari surga dengan jarak 5 menit berjalan kaki dari semuanya.",5
4,Hotel The Flora Kuta Bali,"Kami menikmati 4 hari kami di Flora karena lokasinya yang baik, dekat dengan Matahari dan Poppies Lane untuk berbelanja. Tempat ini sudah di renovasi dan masih segar dan bersih. Flora adalah hotel kecil dan stafnya sangat ramah dan membantu. Sepertinya tempat ini sangat populer dengan wisatawan yang mempunyai sedikit anggaran dari eropa dan meskipun penuh namun sangat sepi dan kami tidak terganggu dengan tamu yang ribut. Mungkin kami tidak akan menginap disini apabila kami menginap selama seminggu atau lebih namun tempat ini sangat baik untuk menginap singkat. Untuk menginap lebih lama kami cenderung memilih tempat yang mempunyai ruang lebih besar dan mempunyai kolam serta mempunyai taman dengan gaya Bali untuk bersantai. Untuk harganya kami membayar ($52 AUD) melalui Agoda…",4
5,Hotel The Flora Kuta Bali,"Kami memesan hotel ini untuk 3 malam dan sangat kecewa dengan pengaturan kamarnya, kamar yang kami pesan adalah 3 kaimar yang terhubung / 3 kamar yang beerada di lantai yang sama. Tetapi kami diberi 2 kamar terhubung dan 1 kamar lainnya berada di lanatai berbeda (lebih atas). Kami berusaha untuk tidak merasakan keanehan dengan suasana hotel tetapi tak ada yang bicara. Kami betul-betuk kecewa dengan hotel ini dan tidak akan merekomendasikan ke orang lain.",2
6,Hotel The Flora Kuta Bali,"Ini adalah kedua kalinya saya menginap di Flora. Alasan kemballi ke sini adalah karenan tempatnya sangat bagus dan nilai nya sangat bagus untuk uang. Lokasinya bagus dan area hotelnya sangat nyaman. Tidak akan lupa juga dengan para staffnya yang sanagt ramah.   Hotelnya dikelola dengan baik, dan showernya harus dinyalakan beberapa saat sampai air panasnya keluar. Kalau tidaka anda akan mendaoatkan air dingin saja. Hal lainnya adalah sarapan yang tidak  banyak pilihan. Untuk kkunjungan selama 10 hari di Bali variasi sarapannya membosankan, jadi saya tidak menyukainya saya pikir akan adil jika membayarnya kurang dari harga yang telah dibebankan.   Kesimpulan: Nilai yang bagus untuk uang dan pastinya akan kembali ke hotel ini ketika ke Bali dengan anggaran ketat.",3
7,Hotel The Flora Kuta Bali,"Saya menginap di sini 4 malam di bulan maret 2020. harga sangat rendah dan bagus. lokasi juga baik, dekat dengan pantai dan area utama terjadi. staf yang ramah dan hotel ini adalah pilihan yang baik untuk pelancong solo:) Sarapan buruk, bisa lebih baik. mereka hanya memiliki roti dan mentega sebagai sarapan. Ukuran kamar besar dan rapi untuk harga.",2
8,Hotel The Flora Kuta Bali,"Pengalaman paling mengerikan dalam hidup saya. Tinggal di sini baru-baru ini dan memiliki PTSD. Tempat kotor, kumuh, berbahaya. Tuhan tahu bagaimana hotel (lubang) ini memiliki ulasan positif? ? Saya tidak percaya mereka. . tidak aman untuk anak-anak, prostitusi marak. Sarapan yang menyedihkan, kamar kotor, berjamur. Seprai dan handuk bagus. . saya bisa melanjutkan tetapi masih mengalami mimpi buruk. Tempat yang benar-benar menjijikkan, belanjakan dolar hasil jerih payah Anda di tempat lain. Sel polisi akan lebih nyaman dan baunya jauh lebih menyenangkan.",1
9,Hotel The Flora Kuta Bali,"Yah tidak lama kembali di Inggris setelah 15 malam menginap di Flora. Kami menemukan tempat ini sebuah hotel kecil yang indah, dengan staf yang ramah dan harga yang terjangkau. Bukan 4 atau 5 * tetapi jauh lebih banyak dengan staf yang ramah. Kami telah tinggal di sini selama 5/6 tahun terakhir, dan telah memesan 3 minggu menginap di Agustus / September 2020. Terima kasih lagi. Perbaikan yang dilakukan tahun ini termasuk pemindahan pohon palem yang memberikan lebih banyak tempat berjemur, penanaman lebih banyak bunga mayur dan pagar baru ke area barnya. Satu-satunya downside adalah udara - con di kamar kami yang sedikit bising dan tidak dapat dikendalikan dengan remote tapi itu tidak merusak segala aspek dari kami tinggal. kami menggunakan hotel untuk layanan pengemudi dan…",4
