,hotel,review,stars
0,Instyle Kuta Hotel,"Tempat nyaman, rapi, bersih, kamar mandi luas dan nyaman.. balkon super nyaman view ke kolam renang.. makanan enak2 semua... Anak bilang ingin nginep di sini lagi.. Sayangnya ga ada kolam renang khusus anak2...",5
1,Instyle Kuta Hotel,"Nginap di instyle hotel ga rugi bggt. Kamar gede , ada balkon dan makanan buat breakfast juga oke . Recommended bangeett. Lokasi juga dekat dari kawasan seminyak dan kuta. Ada fasilitas rent car and bike juga . Jadi tinggal pesan doang",4
2,Instyle Kuta Hotel,"Pada akhir Agustus s/d awal September 2018 rombongan kami memesan 4 kamar untuk 4 hari 3 malam di hotel In Style (dulu namanya Berry Hotel). Pada hari ke 3 saya ditelpon oleh resepsionis yg menyarankan saya supaya pindah kamar karena lokasi kamar kami akan di booking oleh pihak lain. Tentunya saya tidak mau pindah kamar, karena kami sudah booking dan sudah membayar untuk 4 hari 3 malam. Rekan saya di kamar lain juga mengalami hal yang sama dengan saya.   Siang harinya pada saat kami sedang makan siang diluar, salah satu rekan kami dihubungi hotel supaya kamarnya dipindahkan hari itu juga. Pada saat malam hari ketika kami tiba di hotel, ternyata semua barang-barang rekan kami tersebut sudah dipindahkan ke kamar lain oleh pihak hotel, tanpa seizin rekan kami.   Perlakuan pihak…",1
3,Instyle Kuta Hotel,Kalo ke Bali hati2 nginep di hotel inStyle (dulu namanya Berry hotel) ini yaa teman2 karena barang2 kalian bisa dipindahkan dengan seenaknya.  •• Saya booking 5 kamar utk 4 hari 3 malam dari tgl 25-28 Agustus 2018. Waktu cek in salah 1 kamar di upgrade ke kamar suite. Di hari ke 3 sekitar jam 12.28 siang saya diberi tahu bahwa harus mindahin barang2 ke kamar lain krn ada yg mau pake kamar suite tsb. Waktu pagi sebelum rombongan kami berangkat tour tidak ada info utk pindah kamar. Waktu awal cek in pun kami tidak diberi tahu bahwa kamar tsb akan dipake pd tgl 27 ini shg kami bisa beberes barang2 dulu. Sama sekali gak keberatan utk pindah kamar karena kami selalu malam sampai hotelnya gak menikmati juga fasilitasnya.  Yg jadi masalah kenapa gak ada info sebelumnya.  ••Waktu sampai…,1
4,Instyle Kuta Hotel,"Hotel ini berubah nama menjadi Instyle Hotel.  Walaupun pernak pernik di dalam kamar masih menggunakan nama Berry. Lokasi strategis karena di tengah2 antara Denpasar, Kuta dan Sanur.  Di jalanan yang sepi di belakang Bali Brasco Sunset Road yang relatif tenang dan tidak bising.    Circle K berada tepat di sebelah hotel. McDonald dan Hokben hanya berjarak 200 meter di sebelah kanan hotel.   Toko suvenir Kresna yang besar, hanya berjarak 100 meter di sebelah kiri hotel, cukup berjalan kaki 5 menit sudah sampai di pintu belakang Krisna,   Makan pagi bervariasi setiap hari.   Untuk sebuah hotel budget, segala yang disediakan sudah melebihi ekspetasi.",5
5,Instyle Kuta Hotel,"Hotel berada di kawasan berdekatan dengan oleh2 krisna sunset road,,walaupun hotel ini tidak berada di jalan utama namun bisa dijadikan refrensi menginap... suasanya astri kamar hotel bersih ada balkon menikmati pemandangan kolam renang,, budget hotel ini rate dibawah 300rb jika tidak dgn breakfast dan diatas 300rb jika dengan breakfast,,jadi bagi saya nilai hotel ini 85 bila diukur dari harganya beserta fasilitas didalamnya",4
6,Instyle Kuta Hotel,"Kamar lumayan luas,  ada balkonnya, lumayan bersih hanya saja lantai ada bercak2 kotoran sedikit,  breakfastnya tidak terlalu banyak pilihan, dan staffnya agak ramah. So far tidak begitu mengecewakan nginap disini. ",4
7,Instyle Kuta Hotel,"Saya menginap 4 malam di hotel ini bersama sahabat2 saya, hotel ini mudah di jangkau ke mana2 dan ke tempat2 yg sedang famous di bali, kamar cukup luas dan bersih, untuk seharga segitu sangat lah worth it, dan ada kolam renang nya juga bisa santai2 sore sambil duduk di pinggir kolam renang, thankyou berry hotel for your hospitality",5
8,Instyle Kuta Hotel,"Kamar nya luas, bagus, bersih dan nyaman.. dekat dengan pusat oleh2 dan karyawannya ramah2 :) love it* waktu pertama checkin langsung di kasi wellcome drinks semacam mix fruit yang ada berry2nya.. tempatnya juga tenang tdk terlalu ramai tdk terlalu sepi.. ke pie susu enak sama ke legian juga cukup dekat..",4
9,Instyle Kuta Hotel,"lokasi dekat dengan tempat makan dan pusat hiburan, namun tidak berada di jalan utama sehingga cukup tenang dan tidak berisik, namun tempat parkir agak kurang luas, tapi overall tidak ada untuk staff cukup ramah, kamar bersih, nyaman, ac dingin, air panas juga pas sangat recommended jika ingin mencari hotel di sekitar sunset road",4
