,hotel,review,stars
0,"InterContinental Bali Resort, an IHG Hotel","Kami ambil 2 kamar, 2 malam, dua2 kamarnya nya apek, lembab sampai kami tidak bisa tidur semalaman. Besok paginya kami minta pindah kamar, bersyukur kami bisa tidur nyenyak malam berikutnya. Untuk pelayanan, staf ramah, tapi kurang layak sebagai bintang 5. Ada kamar yg phone /hairdryer rusak, bantal yang bau seperti karpet basah, dll. Saat km pindah kamar, tepat di sebelah kamar ada renovasi yang mulai berisik jam 8.30 pagi 😵🙄.",2
1,"InterContinental Bali Resort, an IHG Hotel","Liburan yang sangat berkesan di InterContinental Bali Resort, pengalaman proses check in yang sangat eksklusif di Club InterContinental Lounge dan saya sangat menyukai suasana santai di dalam lounge ini dengan stafff yang sangat ramah membuat liburan saya sangat berkesan di InterContinental Bali Resort. sy juga sangat menyukai keindahan matahari terbenam di pantai Jimbaran yang sangat bisa saya dapatkan di resort ini sangat banyak tempat yang menarik untuk berfoto dan menikmati suasana alam di area Jimbaran. resort ini sangat luas dan sangat jauh dari kebisingan yang membuat liburan saya semakin berasa nyaman. Thank you InterContinental Bali Resort , I will be back again!!!",5
2,"InterContinental Bali Resort, an IHG Hotel","Liburan saya dan keluarga di InterContinental Resort Bali sangat menyenangkan, proses check in di InterContinental Club yang nyaman dan cepat. Saya dan keluarga memilih kamar duplex suite. Dimana kamar yg memiliki ruang tamu dan ruang makan di lantai bawah dan kamar tidur di lantai atas.   Fasilitas InterContinental Club Lounge memanjakan liburan kami disini, dikarenakan saat ini sedang pandemic covid 19 untuk sarapan pagi kami dapatkan di restaurant bella cucina dengan pilihan menu makanan ala carte dan juga buffet,di sore hari  untuk afternoon tea dan cocktail bisa saya dapatkan kembali di lounge area   Resort ini berada di pesisir pantai jimbaran dan disore hari mata kami dimanjakan untuk melihat matahari terbenam. Untuk mengunjungi rumah makan seafood jimbaran yang terkenal…",5
3,"InterContinental Bali Resort, an IHG Hotel","Saya datang tanggal 9 Juni untuk mengambil perhiasan teman saya yang tertinggal dan teman saya sudah pulang ke kotanya. Pada saat di depan gate satpam seperti biasa saya tanyakan dimana tempat parkirnya dan satpam dengan nada tinggi (nada preman) menanyakan ""tinggal disini?!"" Saya jawab tidak mau ambil barang teman yang tertinggal di ibu Asih - RAM club lounge, lalu daripada menawarkan masuk untuk cek id security yang bersangkutan a/n Surya Matraman marah2 bilang saya tidak sopan dan disuruh turun (padahal ada motor masuk juga tidak turun), sampai security satunya yang lebih ramah a/n Pak Gede meminta saya parkir motor untuk isi id. Saya turun motor, security a/n Surya menunjuk2 saya dengan nada tidak sopan dan mengatakan saya tidak sopan karena tidak turun motor. Saya minta…",1
4,"InterContinental Bali Resort, an IHG Hotel","Dear Intercon Bali, U are the WORST INTERCON ever.  Saya pelanggan setia IHG dan sy sgt menyukai hotel2 bagus termasuk Intercontinental. Tapi untuk IC Bali standardnya spt Hotel Mawar bintang 2.  1. Request refund , email panjang lebar suru sy buat alasan pribadu kenapa mau refund.sy sudah jelasin email panjang lebar ujung2nya jg ngabs refund. Hanya di kasih pindah hari dgn waktu limit yg singkat.  2. Ujung2nya suru tambah uang. Setelah rebooking.  3. Nunggu 2 jam untuk Check in ke kamar. Pdhal status spire ambasador. Alasan kamar blm siap.  4. Sy request kamar yg viewnya terbuka malah di kasih yg viewnya tembok, paling pojok , lembab dan Bau. Ini udh seperti sy booking hotel lewat expedia di kasih kamar yg paling jelek.  5. Minta pindah kamar di persulit. Akhirnya di pindahin…",1
5,"InterContinental Bali Resort, an IHG Hotel","Selang 2 minggu, aku ditugaskan ke Bali lagi. Kali ini nginap di hotel ini. Kesan pertama hotel ini sungguh sangat luas. Taman dimana2. Seluruh stafnya sangat ramah dan profesional. Proses check in sangat cepat. Dapet kamar agak jauh dari lobby tapi dengan view kolam yang sangat menawan. Kamarnya sangat luas dengan layanan smart tv. Bisa liat youtube dan miracast ke hp. Kamar mandi dan wc tanpa cela. Pokoknya sangat nyaman. Kolam renangnya benar2 keren. Tempat gym kurang lengkap alatnya, ada dua alat treadmill tapi yang berfungsi bagus cuma satu. Tapi yang mnyak macamnya dengan rasa yang luar biasa. Yang paling juara dari semuanya adalah view sunsetnya. Benar2 sangat menawan. Pokoknya hotel ini benar2 tanpa cela. Sangat memuaskan bisa menginap di sini. Pertahankan ",5
6,"InterContinental Bali Resort, an IHG Hotel",Ingin jalan jalan ke Bali bersama pasangan setelah wisuda selesai...dan menikmati indah nya pantai di bali. Membuat pacar suka dan nyaman untuk acaranya nanti. Apapun acaranya yang penting bisa berduaan di Bali bersama kekasih tercinta dan tersayang.,5
7,"InterContinental Bali Resort, an IHG Hotel",Sangat berkesan bisa menghabiskan liburan bersama keluarga di hotel yabg dipenuhi oleh senyum dan keramahtamahan... Dan breakfast yang sangat lezat..  Kamar yabg sangat bersih dan penuh detail di setiap sudut  Will return soon,5
8,"InterContinental Bali Resort, an IHG Hotel","Tiga hari menginap di hotel Intercontinental, suatu kepuasan tersendiri saat berlibur dan berkumpul dengan teman atau keluarga di Bali, suasa hotel yang tenang membuat rada nyaman.  Pilihan menu makanan yg banyak juga suasa resto pinggir pantai ( sunset beach bar & resto ) yang luar biasa.. Bikin betah.  Koneksi wifi yg stabil ... Dan akses yang mudah.. No worry for speed and signal. GREAT.",5
9,"InterContinental Bali Resort, an IHG Hotel","Tempatnya bagus banget suka pokonya, pemandangannya indah dan sangat sejuk, pokonya worth it. Terus tempatnya bersih GK banyak sampah. Murah juga kita bisa main main disekitar situ. Ini merupakan perjalanan yang tidak terlupakan",5
