,hotel,review,stars
0,Junjungan Suite Villa,"Terima kasih Pak Surata untuk kami menginap di villa yang indah, Kami menghabiskan masa menginap yang menyenangkan di Ubud! Terima kasih khusus kepada staf Anda dan Tuan Nyoman adalah pengemudi TERBAIK, pemandu dan lelaki Bali ramah yang kami temui di Pulau Anda yang menakjubkan. Terima kasih banyak untuk semuanya.",5
1,Junjungan Suite Villa,"Setelah tiba, kami diberi minuman selamat datang dan menginformasikan bahwa kami telah ditingkatkan ke villa pribadi sekitar 100 m dari suite.  Meskipun, itu isyarat yang baik, saya pikir itu sebagian besar dilakukan karena sebuah keluarga telah menempati kamar asli kami.  Villa adalah untuk tenang dan terisolasi (kami tidak membaca buku dan bersantai orang) jadi kami meminta kamar asli kami. Hari berikutnya kami berada di kamar yang awalnya kami pesan.  Staf sangat ramah dan murah hati. Mereka juga membantu sedapat mungkin. Saya senang bahwa mereka memiliki antar-jemput gratis sekitar 4 kali sehari ke pusat Ubud. Sekitar 7 menit berkendara atau 30 menit berjalan kaki. Untuk berjalan ke pusat Ubud satu jalan langsung dari hotel.  Sarapan adalah dasar tetapi gurih. Staf…",4
2,Junjungan Suite Villa,"Hanya waktu yang menakjubkan di Junjungan Suite. Pandangan fantastis, suite sangat menawan dan makanan di restoran enak. Mereka memiliki antar-jemput gratis ke kota, tetapi taksi mengemudi di mana-mana di Ubud jika Anda ingin melakukan perjalanan. Saya sangat merekomendasikan hotel ini. Yang pasti jika ingin merasakan rimba.",5
3,Junjungan Suite Villa,"Saya hampir tidak pernah meninggalkan ulasan buruk tetapi jangan membuat kesalahan kami dan datang jauh-jauh ke sini untuk mengetahui Anda telah ditipu dari uang Anda. Pendingin udara tidak berfungsi. Benar-benar mengerikan! Menjauhlah Jangan memesan tempat ini. Pendingin udara tidak berfungsi. Kolam renang dilapisi dengan ganggang. Mereka mengirim ""insinyur"" yang datang ke kamar kami untuk memperbaiki AC yang rusak. Yang dia lakukan hanyalah mengganti AC kami dari 18 derajat ke 32 derajat dan menyuruh kami menunggu 5 menit dan pulang! Kami harus memanggilnya kembali, yang ia kembali dengan manajer hotel yang mengatakan kepada kami bahwa ia tidak dapat mengeluarkan pengembalian uang untuk kamar yang diiklankan secara salah (tanpa AC). Kami memesan 2 kamar lain untuk kelompok…",1
4,Junjungan Suite Villa,"Oh wow, lebih baik Anda percaya saya sudah sibuk untuk menulis ulasan ini sejak kami keluar.  Dua teman perempuan dan saya memesan suite keluarga selama lebih dari seminggu. Kami menginginkan ruang, dapur, TV, pengering rambut - seluruh shebang.  Bendera merah pertama seharusnya adalah manajer yang bersikeras kami membayar seluruh biaya untuk kamar, di muka, sebelum kami bahkan ditunjukkan ke kamar - tetapi melihat ke belakang adalah 20/20, dan setelah seharian bepergian kami tidak menginginkan apa pun selain untuk sampai ke kamar kami. Jadi, dengan itikad baik, kami membayar.  Apa yang terjadi selanjutnya adalah sebuah aib dan penipuan.  Pemilik, Made, menunjukkan kita ke sebuah ruangan yang sangat jelas bukan yang kami pesan. Itu adalah satu kamar, bukan dua kamar yang saling…",1
5,Junjungan Suite Villa,"Hotel tidak terlihat seperti gambar sama sekali. Ketika kami tiba, mereka mencoba memberi kami kamar kami tetapi kami segera menyadari bahwa itu bukan yang kami pesan! ""Dapur"" mereka bahkan bukan dapur, tempat tidur rusak, kami juga mendapat tempat tidur berkemah. Anda benar-benar harus menjadi pesenam Olimpiade untuk pergi ke toilet, lebih tinggi dari 1. 65 m untuk mencuci tangan Anda. Kami memberi tahu resepsionis bahwa kami tidak akan tidur di sana. Dia menawarkan untuk meng-upgrade kami tetapi ketika kami melihat kamar baru itu bahkan lebih buruk. . . Lantai kotor, jendela kotor, tempat tidur kotor, bantal, dinding, dll. . jadi kami memutuskan bahwa kami tidak ingin tinggal dan kami harus bernegosiasi untuk waktu yang lama sebelum dia membiarkan kami pergi. Saya tidak…",1
6,Junjungan Suite Villa,"Kami menikmati pengalaman menginap kami di , Junjungan. Kami memilih kamar yang menghadap ke sawah yang tidak mengecewakan. Area kolam renangnya sangat cantik. Hotel ini terletak sedikit jauh dari kota namun hotel ini menawarkan layanan antar-jemput gratis ke dan dari pusat kota. Beberapa tips yang saya pikir akan membuat kamar sedikit lebih membantu akan untuk memasok beberapa gelas mungkin fasilitas teh dan kopi. Karena kami sangat jauh dari toko apapun akan lebih berguna untuk memiliki di kamar kami. Sementara staf yang indah, tampak sedikit tidak profesional dengan beberapa staf di meja depan yang benar-benar tidak tahu apa yang mereka lakukan dan tidak benar-benar tidak tahu banyak bahasa Inggris. Akhirnya saya memberikan beberapa informasi ke Jerman manusia yang mencoba…",3
7,Junjungan Suite Villa,"Tempat ini terletak tepat di luar kota yang ramai dan berisik di pusat Ubud, namun masih hanya 5 menit berkendara. Pemandangan di sawah dan kolam renang indah di belakang, sangat memukau, gambar-gambar di tripadvisor tidak berbohong! Stafnya juga sangat ramah dan senang untuk menawarkan sarapan yang baik dan layanan antar jemput gratis ke pusat kota.  Walaupun kami baru saja melihat kamar kami sendiri (kamar keluarga yang besar di 1 lantai bangunan jalan tepat di belakang kolam renang) , kelihatannya seperti kualitas kamar sangat berbeda. Gambar-gambar di sini di tripadvisor menunjukkan kamar yang bagus, namun yang kami dapatkan tidak begitu baik. Pada kenyataannya, banyak perawatan yang diperlukan untuk mendapatkan kamar ini ke tingkat yang tepat. Kamar mandi sangat tua dan…",3
8,Junjungan Suite Villa,"Kamar besar dan bersih dengan pemandangan yang indah dari eice sawah, sunyi, tenang, lokasi yang bagus, perlu perlu menginap di kota ro mengalahkan tujuan datang ke ubud di tempat pertama, restoran yang bagus di sebelah juga",5
9,Junjungan Suite Villa,"Kami menginap di bulan Juli 2017 dan kami senang dengan seluruh pengalaman di , Junjungan. Staf-stafnya sangat membantu dan mengatur skuter untuk kami dan membantu kami arahkan Ubud. Vila-vila yang menakjubkan dengan pemandangan yang luar biasa dan di lokasi yang sangat tenang. Saya pasti akan menginap di sini lagi!",5
