,hotel,review,stars
0,Kama Bisma Cottage,"Kami tinggal di Kama Bisma selama lima malam di awal Juni. Kamar kami sangat terang dan luas menghadap ke sawah. Sekitar 10 - 15 menit berjalan kaki ke pusat Ubud, yang tidak mengganggu kami sama sekali karena kami menyukai ketenangan hotel. Sarapan setiap pagi lezat dan disajikan dengan senyum. Staf di sini fantastis, selalu bersemangat untuk membantu. Kami memesan banyak kegiatan melalui mereka, yang semuanya menjadi jauh lebih murah daripada kutipan lain yang kami terima. Pasti mencoba restoran mereka Cafe Wayan, dan minta untuk duduk di taman! Tidak dapat kesalahan hotel atau layanan - saya hanya berharap kami bisa tinggal lebih lama.",5
1,Kama Bisma Cottage,"Lokasi adalah sedikit berjalan ke ubud, tapi ini juga bisa menjadi positif karena Anda berada di lokasi yang tenang. Kolam renang dalam naungan banyak waktu yang juga bisa menjadi positif bagi sebagian orang. Kunci kami hanya gembok jadi pintu tidak menutup dengan benar jadi mari nyamuk. Air kami tidak diisi ulang setelah kamar dibersihkan. Secara keseluruhan pengalaman menginap yang menyenangkan, sarapan cukup baik.",4
2,Kama Bisma Cottage,"Besar, elegan, kamar yang terang dengan taman atau pemandangan ladang padi. Suasana akrab, hanya 5 kamar untuk menyewa. Staf yang ramah dan membantu, sarapan yang sangat baik telah ditawarkan, semuanya segar. Taman yang bagus dengan kolam renang infinity kecil yang bagus.",4
3,Kama Bisma Cottage,"Kamar besar dengan pemandangan alam lokal yang indah. Tempat yang tenang dan romantis. Kualitas kebersihan sangat tinggi. Makanan enak, selalu segar. Yang terbaik dari semua staf yang ramah. Pilihan bagus, rekomendasi tinggi.",5
4,Kama Bisma Cottage,"Hotel ini adalah hotel yang indah. Besar tempat tidur, kelambu nyamuk yang besar itu. Kamar mandi yang indah Dengan air panas. Kamar yang dibersihkan setiap hari dan handuk baru, air di lemari es. Sarapan diantar ke kamar setiap hari Anda membiarkan mereka tahu malam sebelumnya apa yang Anda inginkan dan apa waktu. Mereka sangat bagus dan makanan yang baik. Kolam renang adalah santai dan menyenangkan. Sekitar 15 menit berjalan kaki ke jalan utama tetapi tempat yang bagus untuk mendapatkan jauh dari jalan yang sibuk. Dekat dengan Monkey Forest. Saya akan merekomendasikan tempat ini untuk siapa saja bepergian sangat baik harga juga. Kami tinggal 6 malam.",5
5,Kama Bisma Cottage,"Tempat peristirahatan yang indah di kota yang mempesona di Bali tengah selatan ini adalah permata yang mutlak. Dikelilingi oleh sawah dan taman hutan hujan tetapi hanya berjalan kaki singkat dari jalan utama, Kama Bisma adalah suatu kesenangan. Staf sangat menyenangkan. Jo Jo mendapat nominasi Oscar untuk petugas terbaik dunia.  Kamar-kamarnya cerah dan proporsional dengan baik. Tidak ada TV di sini tetapi wifi sangat baik. Terbaik untuk memesan jauh sebelumnya. Ini adalah kedua kalinya kami di sini, memesan 6 bulan di muka dan masih harus mengubah kamar selama kami tinggal lama minggu. Benar-benar layak sekalipun.",5
6,Kama Bisma Cottage,"Kami tinggal untuk malam 6 di kama Bisma dan kami benar-benar menyukainya karena dari suasana yang santai dan tenang! Staf adalah sangat membantu dan ceria. Juga, lokasi dan fasilitas sangat bagus. Sangat direkomendasikan!",5
7,Kama Bisma Cottage,"Kami tinggal selama empat malam di kama Bisma. Indah, asri, lingkungan yang mempesona. Sarapan sangat baik dan yang terbaik kami. Ketut yang di tempat penjaga/Cook/sangat manis dan akomodatif. Istrinya juga sangat manis. Akan tinggal di sini lagi pastinya.",5
8,Kama Bisma Cottage,"Hutan Monyet di ujung jl Bisma, kama Bisma memberikan yang terbaik dari kedua dunia. Dalam jarak berjalan kaki dari keramaian dan hiruk pikuk pusat Ubud, ini menyediakan tempat yang damai yang dekat dengan sawah yang sedikit demi sedikit melalui pohon tropis yang turun ke sungai kecil yang berjalan antara Jalan Bisma dan jalan Monkey Forest.  Kami menginap di kamar lantai atas Taman/hutan - Rama. Hotel ini sangat luas, nyaman, terang dan benar-benar pribadi dengan balkon yang indah dikelilingi oleh hutan yang penuh dengan setiap jenis pohon buah dari Ubud dan banyak burung, kupu-kupu dan tupai.  Ini adalah kecil, keluarga menjalankan operasi. Keluarga dan semua staf yang sangat ramah dan membantu. Seperti orang lain telah mengatakan, sarapan (disajikan di balkon Anda…",5
9,Kama Bisma Cottage,"Kami telah ke ubud beberapa kali, tapi yang lama telah berlalu sejak kunjungan terakhir kami. itu cukup mengejutkan untuk melihat bagaimana itu telah berkembang. Sawah dan suasana santai yang telah hampir benar-benar telah diganti oleh fasilitas dan memaksa penjual.   Kita tidak akan repot-repot kembali ke pusat ubud lagi, tetapi jika anda adalah kama bisma terletak tidak tempat yang buruk untuk tinggal. Agak jauh dari restaurantd tapi mungkin untuk memesan makanan dari wayan. Itu sangat terjangkau dan staf sangat bagus. Hotel ini juga dikelilingi oleh sawah dan bebek (masih).   ",4
