,hotel,review,stars
0,Kamandalu Ubud,"Pada tanggal 15-17 Mei 2017, saya & teman-teman saya bermalam di Kamandalu Ubud Hotel dengan memesan beberapa kamar. Saat check out, oleh pihak hotel dinyatakan, bahwa kamar 108 yang ditempati teman saya, telah berkurang 1 buah pakaian kimono (seharusnya jumlahnya couple). Teman saya itu diminta untuk membayar 1 buah kimono yg telah tidak ada tersebut. Padahal teman saya itu, merasa tidak membawanya. Pihak hotel tetap menyatakan bahwa jumlah kimono di kamar 108sebanyak couple, bukan 1 buah, akhirnya teman saya membayar biaya penggantinya. Saat perjalanan menuju ke bandara, teman saya itu ditelepon pihak hotel, mereka menyatakan bahwa kimono yang ada di kamar 108 itu, ternyata memang 1 buah jumlahnya (bukan couple). Alhirnya pihak hotel meminta maaf dan uang yang sudah diserahkan…",3
1,Kamandalu Ubud,"Pelayanan disini sangat ramah dan cukup membantu.  Sedikit tidak menyangka untuk receptionis yang kecil ternyata begitu masuk kedalam menuju kamar villa , ternyata area-nya sangat besar.  Kamar-nya sendiri sangat besar+bersih, dan dilengkapi bathtub dan outdoor shower, sangat menyenangkan!  Untuk breakfast cukup mengecewakan, tidak lengkap dan rasa yang standard, tidak sesuai dengan harga yang terbilang mahal.  Kolam renang-nya sangat enak, karena menggunakan air laut! walaupun ukuran tidak terlalu besar :D",4
2,Kamandalu Ubud,"sangat ramah pelayanannya, menu sarapannya sangat variatif dan enak cocok utk liburan keluarga yg mengutamakan ketenangan dgnn suasana private. lokasi mudah dijangkau dan dekat dengan wisata teras padi.",4
3,Kamandalu Ubud,"kedatangan saya disambut dengan baik. sekuriti yang ramah. penerima tamu di meja check in yang ramah dan taktis. proses check in cepat dan menyenangkan. apalagi lobby hotelnya menyuguhkan pemandangan yang luar biasa....LUAR BIASA . . . . Saya memesan kamar melalui travel, dan mendapatkan kamar yang baik. besih, luas, kamar mandi agak kecil, shower diluar. bale bale diatas kamar. penuh privasi tapi cukup bukaan cahaya dan angin.  . semua pegawai hotel begitu ramah dan tulus serta energik. entah bagaimana cara pelatihannya. tapi ini luar biasa. . kolam renang bersih, sarapan enak dan bervariasi, lokasi restoran dengan pemandangan luar biasa.  . sungguh hotel yang luar biasa. . terima kasih kamandalu",5
4,Kamandalu Ubud,Kamandalu adalah tempat yang sangat cocok bagi orang yang ingin mencari ketenangan. Suasana pedesaan yang hijau sangat terasa. Staff nya juga sangat ramah dan makanannya termasuk yang enak. Semua hampir terasa indah kecuali serangga dan kadal nya (terutama cicak). Kotoran-kotoran cicak sering dijumpai di berbagi tempat di dalam vila nya. Namun hal itu dapat dimaklumi karena memang lokasinya dikelilingi oleh pepohonan dan bukit. Secara keseluruhan Kamandalu adalah tempat yang tepat bagi orang yang mencari ketenangan dan berkompromi dengan serangga.,4
5,Kamandalu Ubud,"Tempatnya sangat indah, suasana nyaman dan mempunyai staff yang ramah. Saya berkunjung bersama pasangan disini, Atmosfir pedesaan sungguh terasa kental, saya berada seperti dirumah sendiri. betah banget....",5
6,Kamandalu Ubud,"Hotel yang bagus, nyaman, bersih, aman dan seluruh staff nya sangat friendly dan helpful..pokoknya Kamandalu Ubud is the best..pemandangannya sangat bagus dan seluruh fasilitas membuat kita betah dan nyaman..",5
7,Kamandalu Ubud,Beberapa hari yang lalu saya menginap disini 3 hari 2 malam di garden villa. Suasana hotel sangat tenang dan adem. Terletak di sekitaran persawahan menambah poin nilai untuk membuat kita ingin mencoba untuk menginap disini. Feeling yang didapat sangat nyaman.  Di teras belakang ada day-bed untuk tiduran maupun duduk santai ngobrol sekalian melihat taman hijau.  Tiap pagi ada yoga class selama 1 jam dan free untuk setiap tamu.  Dan juga ada cycling yang dipandu staf untuk mengelilingi persawahan dan rumah penduduk. Biayanya usd 20/orang.  Sarapan nya enak dan bervariasi. Cukup menyenangkan menginap disini.,4
8,Kamandalu Ubud,Honeymoon dsini.sgt terkesan.staffnya sgt ramah selalu tersenyum.room sgt airy dan privacy.pemandangan indah..candle light dinner jg enak hanya syg sy sedang sakit.bisa berjln2 melihat2 pertokoan di ubud.tdk terlupakan,4
9,Kamandalu Ubud,"Bulan November 2013 yang lalu saya menginap di hotel ini. Awalnya saya memilih hotel ini dengan melihat youtube. Sekilas sepertinya bagus. Tetapi sangat disayangkan, kenyataan tidak sesuai yang saya harapkan, karena pelayanan yang tidak profesional ( kurang tanggap atas keluhan saya) mengenai kamar yang kami tempati. Kamar Hotel beserta lingkungan halaman disekitar kamar kotor, terkesan usang. Disekitar hotel memang sedang dilakukan renovasi. Setelah komplain untuk mengganti kamar, yang bertele2, lama dan kurang tanggap akhirnya kamar kami diganti dengan yang lebih baik. Padahal kami sudah memesan sekitar 2 bulan sebelumnya. Saya rasa harga yang diberikan dengan kondisi kamar tidak sebanding. Beberapa peralatan di kamar mandi juga kelihatan kurang terawat. Makanan pada saat…",3
10,Kamandalu Ubud,"Satu-satunya hal yang terus muncul di pikiran kita adalah ""Terima kasih!"" Saya dan suami saya meneliti resor dan spa di Ubud selama berjam-jam mencari tempat yang sempurna untuk menghabiskan bulan madu kami (dan ulang tahunnya!). Kami akhirnya memilih Kamandalu Ubud, dan kami sangat senang kami melakukannya.  Properti dan kamarnya spektakuler. Kami menghabiskan beberapa malam di kamar standar, dan empat malam di villa kolam renang pribadi.  Staf membuat kami merasa seperti hanya dua orang yang tinggal di sana. Kami dimanjakan, dimanjakan, dan diperlakukan seperti tamu terhormat. Kami sangat berterima kasih kepada semua orang di Kamandalu karena membantu menjadikan bulan madu kami santai, menyenangkan dan benar-benar tak terlupakan.  Sudah empat hari sejak kami meninggalkan…",5
11,Kamandalu Ubud,"Ini adalah tempat yang sempurna untuk bulan madu, saya menginap di Garden Pool Villa dan menikmati setiap detiknya. Fasilitasnya sangat bagus, pemandangannya sangat indah. Semua staf sangat membantu dan ramah. Yang paling penting adalah makan malam romantis kami yang luar biasa dengan pemutar musik live.  Saya akan kembali lagi",5
12,Kamandalu Ubud,"Pengalaman yang fantastis, melayani lebih banyak untuk orang dewasa daripada untuk keluarga dengan anak-anak yang lebih muda. Masih bersenang-senang, dan lingkungannya jauh lebih santai dibandingkan resor lain yang berlokasi di berbagai tempat di Bali. Dasar untuk melakukan tur dari.",4
13,Kamandalu Ubud,"Alasan menakjubkan. Kamar kami menghadap ke sawah dan hutan. Kami menyaksikan matahari terbit dari kamar kami. Kami menyukai tempat tidur membaca outdoor dengan atap jerami dan bantal. Layanan ini luar biasa! Anda dapat menyewa sopir / pemandu langsung di resor, dengan harga yang sangat rendah, untuk membawa Anda ke sawah, kuil, air terjun, dll.",5
14,Kamandalu Ubud,"Saya tidak bisa memberi tahu Anda betapa istimewanya Kamandalu. Pengalaman resor bintang 5 mutlak dipadukan dengan alam yang indah. Anda akan melihat keluarga bebek di sawah, dan ikan coy yang berwarna-warni di kolam. Terlepas dari semua yang disebutkan di atas, saya menemukan shower outdoor sangat nyaman dan membuat Anda merasa sangat dekat dengan alam. Sungguh salah satu dari jenis!",5
15,Kamandalu Ubud,"Orang-orang di Kamandalu luar biasa, sangat baik dan membantu. Hotel indah dan pasti akan pergi ke sana lagi! Vila taman dengan kolam renang sangat indah dan sejumlah kegiatan yang ditawarkan hotel sangat besar",5
16,Kamandalu Ubud,"Wow! Tempat yang fantastis! Kami tinggal lima malam di Garden Pool Villa, dan seluruh pengalaman itu luar biasa! Staf menyenangkan, bahagia, sopan dan profesional, Villa bersih dan alasan, dan makanan yang luar biasa dari restoran utama dan Arla! Sempurna! Kami akan kembali! Terima kasih khusus kepada Eka dan Puri yang menjadikan perjalanan kami semakin menakjubkan! Sangat menyenangkan ketika nama Anda diingat!",5
