,hotel,review,stars
0,Kamaniiya Petitenget Seminyak,"ibis style Bali pettitenget terletak di daerah yang strategis, daerah yang penuh dengan cafe dan tempat hiburan. namun hal ini membuat akses kendaraan ke tempat ini sangat macet terutama pada jam sore sampai malam hari. kami datang larut malam dan petugas security sangat baik mau membantu mengangkat koper kami yang besar ke dalam dan kami sangat menghargainya karen posisi anak kami sudah tidur sehingga agak repot untuk naik ke lobby Petugas resepsionis membantu kami check in dan kamar kami di upgrade ke kamar balcony karena kami member dari dari accor plus platinum, apabila kami kami ingin upgrade ke family room harus menambah sejumlah uang dan kami pun menolaknya. Kamar balkoni hanyalah kamal dengan balkon terbuka yang kelilingi oleh dinding agak tinggi. sehingga ketika kita…",1
1,Kamaniiya Petitenget Seminyak,"Hotel bersih, nyaman. Saya ambil Family room (Room 139), sangat luas, terang, ada bathtub, 2 wastafel supaya ga berebut.  Kids club bersih dan mainannya cukup terawat. Ohya kidsclub buka dari jam 09.00 sd 22.00.  Pihak hotel tidak mempersulit 2 orang anak kami ikut sarapan. Sangat berterima kasih karena kebetulan anak2 kami juga kalau sarapan sedikit sekali.  Kami tidak sempat mencoba kolam renang. Tapi memang kolamnya kecil dan tidak bisa untuk anak2.  Yang kurang menyenangkan adalah bunyi air dari kamar atas tembus ke kamar kami. Dan sempat ada kejadian plafon bocor dan menetes ke wastafel. Jadi agak2 jijik membayangkan itu air apa. Tapi langsung ditangani dan beres.  Karyawan bagian resto juga kurang ramah. Tidak ada sapaan. Kurang senyuman. Cuma ada 1 bapak sudah berumur dan…",4
2,Kamaniiya Petitenget Seminyak,pelayanan cukup baik di hotel ini...kamar bersih...makanan biasa saja tapi ok lah...wifi ok...staf ramah... lokasi strategis..untuk berlibur kebali dan ingin berkeliling daerah seminyak ok...dekat dengan tempat2 akan dikunjungi di daerah itu.,3
3,Kamaniiya Petitenget Seminyak,Kolam kecil dan seperti sedikit memaksa. Menu sarapan dan rasa sarapan standar. Dekorasi kamar keren. Ac dingin. Tempat strategis tapi lahan parkir sempit. Air panas kurang maksimal tp aliran air cukup bagus. Staff ramah. ,4
4,Kamaniiya Petitenget Seminyak,Setiap kunjungan ke bali selalu stay di ibis style peitenget.  Lokasi yang strategis. Kamar yang bersih dan nyaman. Front desk yang ramah. Breakfast yang enak. Ada ruang untuk bermain anak anak. Sperti merasakan homey. Sangat nyaman. Recomended,5
5,Kamaniiya Petitenget Seminyak,"jadi pertama kali nginep disini kirain bakal yang ibis ibis yang yang biasa aja, gak kek mengharap yang gmn2 banget dan milih nginep d sini karna deket ke seminyak gitu, ternyata pas masuk kamar, kayak wah keren juga sih bersih, kasurnya nyaman dan lucu bentuk dan design  kamarnya, breakfast nya juga oke banget.",5
6,Kamaniiya Petitenget Seminyak,"Oke bgt sih pelayanan nya, hotel deket ke tmpt yg kekinian, akses gampang tinggal sewa motor depan hotel. Sarapan B aja, ada menu pork dibagian egg tp bs minta beda tmpt masaknya. Kolam renang beda yg difoto. ",4
7,Kamaniiya Petitenget Seminyak,"Kesan pertama sampai...didepan hotel yang cukup padat dengan kendaraan, membuat rasa senang ketika menapaki tangga lobby. Lobby yg adem dg semburan airconditioning nya, membuat kelelahan terbayarkan. Senyuman dan keramahan staff di sini memberikan rasa nyaman . Yang paling menyegarkan ketika segelas juice semangka yang disuguhkan membuat rasa segar dengan rasa manis natural dan dingin nya buah semangka memberi sensasi yang tersendiri untuk menghilangkan rasa haus. Kamarnya bersih dan nyaman membuat kelelahan terobati. Tempat ini sangat nyaman buat disinggahi dan menginap.  Kemudian saya duduk sembari menikmati kopi hitam  di cafe yang letaknya dipinggir kolam renang. Saya sangat menikmatinya sembari berbincang dengan teman saya .Kolam renangnya cukup nyaman ada beberapa tamu…",5
8,Kamaniiya Petitenget Seminyak,"Hotel Ibis hotel yang keren di tengah kota yang sangat nyaman untuk dijadikan tempat menginap. Memasuki hotel, aroma keramahan dari staff dan receptionist nya telah terlihat. Nuansa merah, orange menjadikan hotel ini terasa penuh keceriaan dan gairah. Sofa sofa yang cozy juga di sediakan di ruang tunggu.. Disebelahnya terdapat kursi untuk membaca dan terdapat pula ruangan untuk playground, dengan konsep yang apik dan colorful.  Di lantai yang sama, terdapat counter es krim gelato serta high chair, bersebelahan juga terdapat restoran yang bersambung dengan kolam renang.  Kolam renang yang sangat menggoda untuk dicoba, karena full glasses, sehingga warna birunya sungguh terlihat segar. Dalam kolam renang juga disediakan bantal besar sehingga kita bisa bersantai mengapung di…",5
9,Kamaniiya Petitenget Seminyak,Seperti biasa dari booking sampai check in & check out excellent. Breakfastnya improvement dari yang terakhir saya datang.Bravo ibis petitenget. Lanjutkan improvement yang telah di buat. Di pertahankan yang sudah baik.,5
10,Kamaniiya Petitenget Seminyak,Staffnya murah senyum.. kebersihan cukup baik.  Untuk sarapan perlu di tingkatkan.. rasa tidak standart. Hari kemarin dengan hari ini berbeda. Kalo bida jadwal shuttle ke pantai di tambah berikut dengan jemput..  Kopinya OK.  Secara keseluruhan OK. Kids  cornernya juga OK anak saya seneng banget. Trrima kasih utk perhatian buat anak saya dan kami sekeluarga rasakan. Jika ada kesempatan kami akan kembali lagi.,5
