,hotel,review,stars
0,Karangsari Guest House,Homestay sederhana tapi sangat bagus. Sebagian besar kamar memiliki pemandangan yang indah di atas taman yang indah. Staf sangat baik. Teras restoran memiliki pemandangan yang indah di pegunungan. Bangunan ini agak lama tapi semuanya terawat dengan baik dan bersih. Sarapan dan makan malam yang sangat baik.,4
1,Karangsari Guest House,Bagus! Ruangan itu bersih dan ukuran yang baik dengan balkon yang bagus. Wifi bekerja dengan baik. Stafnya sangat membantu dan sopan. Meminta pemandu wisata untuk sami untuk pergi melihat air terjun di daerah dan belajar tentang pohon buah dan rempah-rempah yang tumbuh di daerah ini.   Pemandangan dari restoran ini indah dan di belakang adalah tempat yang sangat bagus untuk membaca buku.   Hal yang dapat ditingkatkan: sudah termasuk sarapan kecil (roti panggang dengan teh atau kopi). Kami memesan dari menu dan bukannya sarapan (meskipun kami harus membayar). Suhu mandi adalah sulit untuk mengelola!,5
2,Karangsari Guest House,Hal Positif - pemandangan dari kamar tidur; pemandangan dari restoran; melihat bintang dari balkon; yoga di taman; iga; segelas anggur putih yang dingin; staf; kebersihan; lokasi; kamar mandi; tempat tidur yang nyaman; meminta kamar 6   Untuk meningkatkan - termasuk sarapan; musik di restoran; sayap Ayam; tidak ada kipas angin/AC;,5
3,Karangsari Guest House,"Pengaturan taman yang indah, rumah kolonial tua yang menawan. Munduk adalah di pegunungan yang sejuk. Karang Sari ini memiliki suasana yang tenang dan menyenangkan staf.  Kamar memiliki tempat tidur 4 poster yang indah dan nyaman, dengan kelambu nyamuk, tetapi saya tidak pernah menemukan nyamuk! Kamar dan kamar mandi yang sangat bersih dan nyaman.  Kamar di lantai yang lebih tinggi yang memberikan pandangan mereka taman yang indah dan damai dengan pegunungan dan lembah.",5
4,Karangsari Guest House,"Berhenti di sini di perjalanan panjang dari Denpasar Utara. Di desa munduk adalah layak dikunjungi karena air terjun dan sawah. Kami pergi ke Karang Sari untuk kopi dan kami mungkin melewati jalan itu lagi kami melihat beberapa kamar. Keduanya berfungsi ganda, baik ukuran, hanya dilengkapi tapi sangat bersih dengan tempat tidur empat poster yang luar biasa gaya bali. withc modern bergaya kamar basah dengan mandi.  Kami tidak makan makanan jadi tidak dapat mengomentari makanan tetapi restoran adalah lagi sangat disajikan dengan baik dan bersih dengan pemandangan matahari terbenam yang menakjubkan.  Kami akan dengan senang hati tinggal di sana di masa depan. Terima kasih atas selamat datang.",5
5,Karangsari Guest House,Ini adalah satu-satunya guest house yang kami temukan dengan taman subur yang indah. Anda dapat bersantai dan menikmati pemandangan gunung dan sawah. Staf adalah sangat ramah dan kamar yang bersih dan nyaman.,5
6,Karangsari Guest House,"Saya telah melakukan perjalanan ke munduk village untuk 3 hari 2 malam. Saya menginap di Munduksari guest house. Bangunan dan kamar yang sangat modern sesuai dengan selera tradisional. Saya suka suasana di sini, terutama taman ., yang benar-benar hijau dan beatifull. Alam sekitarnya sangat indah. Karyawan sangat hangat dan tampak setelah saya begitu banyak, mereka membantu saya perlu hati-hati. Harga juga sangat baik bagi wisatawan... Mereka melayani sarapan lengkap dengan kopi dan teh, roti dengan mentega dan selai stroberi, jangkar, juga buah-buahan seperti pisang lokal, manggostine, semangka atau pinaple. Mereka memiliki air panas untuk kamar mandi dan itu bagus ketika cuaca dingin di sana...",4
7,Karangsari Guest House,"Karangsari terletak di desa munduk yang unik. Kami tinggal di bali, jadi kami hanya mampir dan menginap 1 malam. Untuk harga, ini adalah tidak lebih dan tidak kurang daripada yang saya bayangkan itu akan, tapi itu pasti tidak mengatur bar terlalu tinggi untuk sebuah penginapan. Staf adalah bagus & ramah, tapi kebersihannya kurang, dan termasuk sarapan adalah cara di bawah par. Kamar kami berada di semacam aneh bekas kompleks dengan kamar kosong di sekitar kita dan anak-anak itu cukup menakutkan. Tapi hei, itu 250k rupiah, jadi kami tidak keberatan. Saya pikir 3 bintang adalah adil.",3
8,Karangsari Guest House,"Benar-benar baik nilai dan pemandangan yang indah dengan taman yang cantik, rapi dan modern dan sangat bersih, dan anda mendapatkan sarapan sangat, sangat dasar tapi itu baik-baik saja, makanan di menu adalah sedikit mahal, tapi aku tidak pernah makan di sini jadi saya tidak bisa mengatakan jika malam, terdapat banyak tempat untuk makan dalam jarak berjalan kaki 5 menit, ayah yang baik untuk menghabiskan beberapa hari di pemandangan yang menakjubkan",4
9,Karangsari Guest House,"Kamar dengan balkon - pemandangan yang sangat indah. Dengan empat poster ranjang-dengan dilengkapi kelambu Itu bersih, shower ok, tapi perlu waktu lama untuk mengatur suhu yang nyaman, setiap kali kita mandi. Kami memiliki binatu dilakukan setiap hari, tidak ada masalah Pemilik/manager adalah seorang pria yang lebih tua, ia sangat membantu dalam mengatur pemandu setempat di restoran pada malam pertama dan kemudian kami untuk hari kedua kami. Dia menyambut kami dan akomodatif, orang yang menyenangkan pengalaman terbaik dari kunjungan kami adalah 6 jam berjalan tour, kembali dan menjelaskan pematang sawah, dan banyak rempah-rempah hasil petani setempat, ia memperkenalkan kita kepada orang suci yang tua, kami berkelana converstion bersamany. Kami juga melihat 2 air terjun menawan.…",4
