,hotel,review,stars
0,KAYUN Hostel Downtown,"Saya menginap untuk 3 malam, yg baik dari hostel ini adalah Lokasi strategis tepat dijalan raya legian dan berada diwilayah nite life area ,dekat monumen bom bali dan bisa berjalan kaki kepantai lewat poppies 2 , tempatnya bersih , staffnya ramah , fasilitas lengkap ,tp kolam renangnya berukuran kecil dan lebih mirip kolam jaccuzi untuk kelompok kecil, ac dinggin ,wifi bagus meski tidak sampai dikamar ,ada komputer yg bebas digunakan oleh tamu ,makanan cukup enak dengan harga yg masuk .ruang santainya jg bagus  Yg buruk dari hostel ini adalah Anda akan mendengar suara music dari club club malam disekitar hostel hingga menjelang pagi.key cardnya sering rusak ,tidak adanya area jemur dan hair dryer ,untuk pesanan makanan sendiri datangnya jg cukup lama,cukup banyak area yg licin…",3
1,KAYUN Hostel Downtown,Tempat yang bagus. Sangat murah. Kamarnya rapi dan ACnya bagus. Staf bahkan membantu saya membawa koper besar saya ke lantai 3. Toilet bisa lebih bersih. Kolam sangat kecil saya akan merekomendasikan pantai. Tidak ada yang istimewa hanya hostel. Kamar tidak memiliki Jendela. Tidak yakin apakah saya akan kembali.,3
2,KAYUN Hostel Downtown,"Kami sangat terkesan dengan standar akomodasi ini. Kami menyewa asrama 4 tempat tidur, yang luas bersih dan memiliki pendingin udara. Area kolam terjun di lantai bawah tampak indah - kami tidak menggunakannya. Itu pusat di Kuta dan dilengkapi dengan beberapa penjaja di jalan-jalan di luar pintu. Dengan itu dan pantai dan laut dipenuhi dengan plastik, jadi kami memutuskan untuk pindah ke pantai ke Petitenget yang jauh lebih tenang dan pantai jauh lebih bersih",5
3,KAYUN Hostel Downtown,"Lokasi yang bagus, ac - AC di kamar, bersih. Ada tirai untuk privasi, lampu dan anda sendiri, plus besar port pengisian menarik di bawah tempat tidur Anda untuk menyimpan barang bawaan anda di jadi itu manis. Anda harus membeli air minum sendiri.",4
4,KAYUN Hostel Downtown,"Saya bepergian sendiri dan menginap di hostel ini selama 10 malam. Tempat ini terletak di jantung Kuta. Tempat pesta Ada banyak bar, klub dan kafe di sekitar jadi kehidupan malam sangat aktif. Tempat ini juga tidak terlalu jauh dari pantai, jadi anda bisa jalan-jalan untuk mencapai laut. Hostel yang bagus dan bersih. Terlihat cukup banyak seperti di foto di sini. Setiap tempat tidur memiliki tirai, sehingga anda dapat memiliki beberapa privasi, tempat ini juga memiliki kasur besar yang nyaman. Stafnya sangat ramah dan siap untuk membantu anda 24 / 7 . Saya memberi hostel ini 4 , karena terlalu besar dan ramai untuk memiliki suasana yang khusus, yang saya menghargai di tempat saya tinggal di dalam. Tetapi jika anda ingin berpesta dan ingin menemukan teman baru hostel ini adalah…",4
5,KAYUN Hostel Downtown,"Saya menginap di asrama wanita untuk 2 malam. Sprei kotor dan tanda/noda tapi yang lainnya bersih. Keamanan yang baik - kunci pintu dengan kartu kredit, kartu kunci masuk ke area utama dan penjaga keamanan. Tidak ada kunci untuk laci untuk menyimpan tas sehingga perlu gembok untuk mengunci sendiri. Kamar mandi sempit tapi bagus dan panas sehingga Anda memiliki waktu untuk mencuci rambut Anda jika panjang.   10 - 15 menit berjalan kaki ke pantai. Terletak di jalan utama. Tidak benar-benar tetap terjaga meskipun sebelah klub utama. Benar-benar tidak suka bergaul. Tidak banyak orang berada di sekitar.  Tirai tempat tidurnya kurang di jejaring sosial. Jus jeruk segar dari kafe 45 K; (  OK tinggal",3
6,KAYUN Hostel Downtown,"Aku tidur di atas gelap dan kecil di sudut ruangan yang berdebu dan jaring laba-laba. ""Menarik"" yang saya awalnya ditugaskan adalah tersembunyi di bawah tempat tidur bawah tempat tidur berdebu dan lantai beton yang memiliki dua pintu kayu yang tidak mengunci pintu. (Saya menaruh barang-barang saya yang kosong laci kayu yang diberikan ke tempat tidur kosong.)   Anda dapat menghindari mengalami situasi serupa dengan meminta untuk tempat tidur bawah dengan lebih banyak headroom dan loker yang fungsional.   Selain itu, seprai putih bersih dan mungkin sendiri. Ruang jauh lebih bersih, terang, dan nyaman. Kartu akses yang dibutuhkan untuk masuk ke dalam area asrama, yang jarang di Bali. Staf yang ramah dan membantu. Hostel ini sangat tenang di malam hari meskipun dekat dengan pusat…",3
7,KAYUN Hostel Downtown,"Lokasi yang bagus, dengan harga yang sangat terjangkau.   Kamar cukup nyaman dengan ac yang baik. Membawa handuk Anda sendiri atau Anda harus menyewa @ Counter (15000 saya percaya)   Kamar mandi bisa menjadi sedikit lebih besar walaupun.   Anda dapat berjalan hampir di mana-mana.",5
8,KAYUN Hostel Downtown,"Saya menginap di sini dua kali selama perjalanan saya di Bali & Lombok, mereka memiliki fasilitas untuk penyimpanan bagasi juga, lokasi hostel ini sangat nyaman, 15 menit berjalan kaki dari pantai kuta, penginapan ini adalah sangat terawat dengan baik & tepat dari segi kebersihan & roda. Staf sangat kooperatif & mendukung. Tempat yang sangat direkomendasikan untuk menginap di Kuta.",5
9,KAYUN Hostel Downtown,"Kami pergi ke sana untuk makan malam yang lain dan semua orang adalah hanya kasar. Kami menunggu setengah jam untuk minuman dan lebih dari satu jam untuk beberapa jari-jari ayam, tidak pernah akan kembali ke sana lagi!",1
10,KAYUN Hostel Downtown,Hal terbaik tentang hostel ini adalah lokasi. Itu adalah tepat di tengah-tengah area Kuta di Legian Street. Ruang adalah bagus dan sangat santai. Staf sangat baik. WiFi sangat kuat tetapi hanya tersedia di lobi dan area umum. Kamar mandi adalah baik dan bersih seperti terlihat di dalam foto.,4
11,KAYUN Hostel Downtown,kami seluruh ruangan itu penuh dengan tempat tidur bug. Teman saya dan saya semua digigit. Hanya pengalaman mengerikan. Tidak akan merekomendasikan hostel ini sama sekali. Ketika kita mengeluh kepada staf mereka pertama menolak untuk memberikan kami uang kembali. Mereka tidak tampaknya berpikir bahwa ini adalah masalah di semua. Kami berdebat dengan mereka. Mendapatkan uang kami kembali di terakhir. Tidak pernah akan kembali ke sana.,1
12,KAYUN Hostel Downtown,Kayun adalah yang terbaik. Semua staf sangat baik dan ramah. Jika salah satu penjaga keamanan tidak sopan. Terlalu genit dengan tamu dan sikap yang tidak baik. Hanya itu. Saya tidak pernah menyesal tinggal selama 4 bulan di Kayun hostel di pusat kota.,1
13,KAYUN Hostel Downtown,"Saya tidak menginap di restoran ini sebenarnya. Saya hanya mengunjungi restoran yang di depan hostel.   Harganya tidak mahal, makanan dan minuman yang sangat baik. Saya memesan Oreo susu kocok + ayam jari.",4
14,KAYUN Hostel Downtown,Staf adalah sangat membantu. Hostel ini tampaknya hampir kosong selama saya tinggal. Tempat tidur yang sangat nyaman! Hostel ini sangat bersih yang sebenarnya. Lokasinya yang tepat berada di jantung Kuta! Dengan harga yang murah dan terjangkau. Yang kedua kalinya saya akan tinggal jika aku kembali.,4
