,hotel,review,stars
0,Komaneka at Tanggayuda,"Kami menginap selama bulan madu kami di bali. Pengalaman selama di sini sangat mengesankan sehingga kami memutuskan akan kembali lagi untuk merayakan Ulang Tahun Perkawinan kami. Suasana alami yang indah dan menenangkan membuat kami betah, pelayanan yang ramah dan akrab membuat kami serasa di rumah. Terimakasih banyak kami ucapkan kepada Ibu Utami beserta crewnya. Kamto dan Nelly.",5
1,Komaneka at Tanggayuda,"ketika sya menjemput Tamu yang contact untuk jasa Tour Transport ,saya takjub dengan suasana dan Panorama di Hotel ini yang betul2 alami yang bisa dinikmati dari Lobi Hotel,suasana yang sepi dalam keindahan alami.",5
2,Komaneka at Tanggayuda,"Lokasi    Sebenarnya ada 4 Hotel Komaneka di Ubud, tiga dari mereka berada di kota sementara Tanngayuda terletak sekitar 15 menit berkendara dari pusat Ubud.  Tema hotel ini sangat kental dengan suasana desa, dengan pemandangan Sungai Oos & hutan hujan di kejauhan.   Check-in-  Lalu Lintas benar-benar kacau di Bali.. Kami tiba sekitar jam 2 siang setelah perjalanan lambat dan sangat panjang dari Nusa Dua. Kami disambut hangat oleh staf & tas kami cepat diangkut.   Villa-  Kami dibawa melalui taman tropis yang indah ke pintu masuk kami Villa 110 yang tersembunyi oleh gerbang kayu pribadi.   Kami awalnya memesan melalui situs hotel villa dengan halaman, berpemandangan taman & kolam berkedalaman1.5m & kami tidak kecewa.  Vila kami betul-betul dirancang dengan sempurna dalam…",5
3,Komaneka at Tanggayuda,"Saya tinggal di Komaneka selama 3 malam pada bulan Desember 2011. Untuk waktu yang lama, saya sudah ingin menuliskan ulasan masa menginap saya di hotel ini, karena sampai hari inipun hotel ini tetaplah yang terbaik. Para staffnya luar biasa. Keramahtamahan dengan standar yang sangat tinggi diterapkan di hotel ini. Tepat dari sambutan selama datang, sampai kepada kebutuhan pribadi, sampai ke villa kolam renangnya yang spektakuler, sarapan terlezat yang pernah ada, dan pelayanan yang tanpa cela, secara keseluruhan, semuanya sangatlah LUAR BIASA !! Sudah hampir setahun lamanya sejak saya tinggal di hotel ini, tapi saya masih ingat setiap momennya dan saya ingin berterimakasih kepada staff di Komaneka karena membuat masa tinggal saya begitu berkesan.",5
4,Komaneka at Tanggayuda,"Kami sangat terkesan ketika tiba di hotel ini, kami di perlihatkan kamar suite kami, yang ukurannya sebesar apartemen kami! Kolam renang privat kami, bak mandi penuh dengan kelopak bunga mawar, kamar mandi gaya Bali, sofa dan banyak lagi sentuhan pernak pernik kecil yang membuat anda merasa tersambut dan spesial. Pelayanannya merupakan pelayanan yang terbaik yang Anda pernah dapatkan, sarapannya sangat luar biasa, kolam renangnya spektakuler dan kamarnya merupakan tempat terteduh. Kami akan pastinya merekomendasikan hotel ini. Merupakan pengalaman hotel bintang 5 sejati.   Satu kekurangannya adalah lokasinya yang agak jauh dari Ubud, namun mereka menyediakan servis antar jemput setiap jamnya yang memberi kemudahan untuk datang dan pergi. ",5
5,Komaneka at Tanggayuda,"Kami menginap di Tanggayuda selama 2 hari tampa putri kami. Resor yang paling mengagumkan!. Servis yang efisien dengan senyuman dari staf yang tulus. Kolam renangnya dilokasi yang sangat bagus dengan pemandangan menuju teras sawah. Komplimen set menu sarapan pagi dan minum teh di siang hari dengan makanan ringan merupakan sentuhan hangat dan tulus dari resor ini. Servis antar jemput dari resor ke Ubud pusat sangat berguna bagi kami. Resor ini mempunyai perpustakaan kecil dan beberapa komputer dengan sambungan internet yang sangat membantu untuk tetap mengikuti berita luar.   Vila nya sangat luar biasa. Dalam vila yag kami tempati tidak mempunyai pemandangan yang luar biasa, namun dengan sendirinya vila ini sudah mempunyai daya tarik. Komplimen buah-buahan dan kue-kue kering,…",5
6,Komaneka at Tanggayuda,"Sejak hari kami tiba sampai checkout kami, itu adalah pengalaman yang luar biasa. Pada checkout kami, kami menerima hadiah kecil dari tim di sana. Itu sangat serius. Makanan menakjubkan, spa dan pijat salah satu yang terbaik yang kami miliki dan layanan yang diberikan oleh staf mereka keluar dari dunia ini. Betapa perhatian mereka, sulit dipercaya. Terima kasih. Suksana. Sampai Lain waktu : )",5
7,Komaneka at Tanggayuda,"Resor yang benar-benar luar biasa yang dijalankan oleh penduduk setempat. Tempat ini di luar Ubud, adalah sebuah oasis kecil. Vila-vila nyaman dengan AC yang baik dan makanan di resor luar biasa. Layanan antar-jemput gratis ke dan dari Ubud memudahkan Anda berkeliling jika ingin melihat kota. Layanan ini tidak ada duanya. Akan sangat menyarankan siapa pun yang mencari villa dekat Ubud untuk memesan di sini. Tunangan dan saya memiliki waktu yang indah.",5
8,Komaneka at Tanggayuda,"Kami memesan villa kolam renang lembah satu kamar tidur utama. Kamarnya bagus dan dilengkapi dengan baik. Kolam renang kamar tidak benar-benar sebuah kolam; lebih dari ukuran tipe jacuzzi. Ada kolam besar yang tersedia untuk umum di properti. Stafnya sangat ramah dan selalu siap membantu. Makanannya jauh di bawah rata-rata dibandingkan dengan resor mewah lainnya yang kami tinggali di Bali. Saya tidak mengerti bagaimana ini tidak disebutkan dalam ulasan lebih sering. Dari sarapan hingga hidangan makan malam, kami merasa sangat kecewa. Ada begitu banyak hotel yang menakjubkan dengan makanan lezat di Bali. . . dan ini bukan salah satunya. Alasan hotel ini cukup indah. Pemandangan hutan tak terlupakan. Saya senang saya tinggal di sini, tetapi saya tidak akan kembali.",3
9,Komaneka at Tanggayuda,"Memilih Komaneka di Tanggayuda karena kami ingin memiliki ""pemandangan hutan"" daripada tinggal di pantai. Karena kami adalah dua pasangan, kami memilih Bale Daja (Villa Dua Kamar Tidur). Akomodasi itu benar-benar menakjubkan seperti kolam renang pribadi. Beberapa dari kami menghadiri kelas yoga dan pijat dengan produk-produk hebat. Alasan indah disimpan dan staf umumnya sangat ramah. Kami memilih paket half board dan ini bekerja dengan baik karena restoran lain berjarak 20 - 30 menit berkendara di Ubud.  Jika Anda tidak suka crawlies menyeramkan maka mungkin ini bukan tempat untuk Anda; kami tidak menemukan mereka invasif tetapi saya menduga beberapa orang mungkin. Kelambu, semprotan dan gulungan disediakan tetapi kami tidak melihat banyak mossies selama kami tinggal. Semut,…",4
