,hotel,review,stars
0,Kumpul Kumpul Villa II Legian,"Jangan ditunda ketika Anda tiba di jalan menuju villa. Setelah Anda membuka pintu, Anda akan senang dengan akomodasi Anda. Lokasi fantastis, pastikan Anda melanjutkan jalan karena keluar di beberapa bar dan restoran yang sangat bagus.",4
1,Kumpul Kumpul Villa II Legian,"Aneh dan tua tapi unik dengan caranya sendiri. Nilai untuk uang. Sangat sentral ke Legian dan Kuta, dalam jarak berjalan kaki atau naik taksi Bluebird seharga $ 2 atau lebih. Kamar bersih dan nyaman meskipun menemukan tempat tidur cukup sulit tetapi mereka memberi saya Doona untuk menggandakan dan tidur. Area pelatihan privat besar yang bagus di luar ruangan. Staf sangat ramah dan membantu. Pool hanya satu tapi tidak kurang Anda bisa mendinginkan. Akan merekomendasikan untuk harga dan lokasi.",4
2,Kumpul Kumpul Villa II Legian,Tinggal di Villa dua kamar tidur. Vila bersih besar. Proses check in yang lancar. Staf yang ramah. Terletak di jalur antara Seminyak dan Legian. Akan tinggal di sini lagi. Meski berada di laneway pun tidak berisik. Villa menunjukkan usia tetapi memiliki semua yang Anda butuhkan termasuk dapur.,3
3,Kumpul Kumpul Villa II Legian,"Sangat menyukainya. Tempat tidurnya nyaman. Pelayanannya bagus. Bagian favorit saya di seluruh villa adalah kamar mandi. Itu sangat besar. Lebih besar dari kamar TBH. Staf hotel sangat sopan dan sangat membantu. Saya memesannya di 7, 800 INR selama 3 malam, satu minggu sebelum check-in. Kesepakatan terbaik yang bisa saya katakan.",5
4,Kumpul Kumpul Villa II Legian,Selalu disambut seperti pulang ke rumah Ketut Merta & para cowok selalu menjaga kami Suka orang ini & lokasi pusat & kolam renang di luar kamar yang nyaman  Akan kembali sekali lagi seperti biasa  Tempat yang tenang di pusat Legiun dengan 2 menit berjalan kaki melewati jalur ke Legion Rd & ke toko sentral Werdakudra,5
5,Kumpul Kumpul Villa II Legian,Merasa seperti di rumah. Orang-orang yang sangat baik dan bersih. Daerah yang sangat bagus dekat dengan seminyak utama. Anda bisa mengambil gojek dan berada di tengah 5 menit. Banyak area perbelanjaan bagus dengan berjalan kaki. Banyak spa dan butik restoran. Sangat nyaman untuk keluarga dan teman. Direkomendasikan ??,5
6,Kumpul Kumpul Villa II Legian,"Lokasi bagus Dekat dan nyaman berjalan kaki ke pantai, supermarket, tempat makan, bar toko dan penukaran uang. Staf yang ramah yang sangat responsif terhadap permintaan kami dan tidak ada yang terlalu banyak kesulitan. Villa itu sangat bersih ketika kami tiba dan dibersihkan setiap hari selama kami tinggal. Pendingin udara di kamar tidur bekerja dengan indah. Mungkin sedikit pemeliharaan (sebagian besar cat dan bantal sofa) tidak akan tersesat tetapi tidak menjadi penghenti acara.",4
7,Kumpul Kumpul Villa II Legian,Kamar sangat bersih dan ac sehari-hari bekerja sangat baik. Kamar mandi sangat besar dan bersih. Dapur luar ruangan dengan kulkas ukuran baik dan area lounge adalah tempat yang bagus untuk bersantai dan minum bir. Kolam renangnya bersih. Stafnya luar biasa. Untuk sebuah vila anggaran saya terkejut betapa bagusnya itu. Akan tinggal di sana lagi di perjalanan berikutnya ke bali.,5
8,Kumpul Kumpul Villa II Legian,"Saya dan mitra saya hanya menghabiskan 2 minggu yang indah di villa ini. Ini bukan bintang 5, namun kami menyukainya. sangat nyaman. Tempat tidurnya sangat besar. Kamar dibersihkan setiap hari. Staf sangat menyenangkan. Punya masalah dengan toilet kami dan mereka ada di sana langsung dan memperbaiki masalah. Kolam itu indah. Dibersihkan dan air diuji setiap pagi. Lokasi sangat bagus juga. pasti akan kembali ke Kumpul Kumpul Legian. Sudah merindukan kalian semua. :):):)",5
9,Kumpul Kumpul Villa II Legian,Kamarnya sangat luas. Saya pikir kamar mandi dan toilet perlu naik kelas. Hal terbaik yang saya suka adalah tempat yang sangat damai. Petugas keamanan yang sangat membantu. Dapur harus ditingkatkan. Kolam renangnya bagus. . .,3
10,Kumpul Kumpul Villa II Legian,"Villa yang besar, staf yang ramah. Tetapi cukup dekat untuk kumuh pantai dan toko-toko. Kolam renangnya bersih dinding berjamur, tetapi Bali. Akan menginap di sini lagi. Sangat baik untuk kelompok besar atau keluarga. Gang kecil.",3
11,Kumpul Kumpul Villa II Legian,"Kami bingung dengan Kumpul - kumpul di Seminyak, menginap di sana beberapa tahun yang lalu, tetapi Kumpul - kumpul 2 sangat berbeda 😭maaf tapi kesan pertama menyeramkan (hanya tempat yang sudah tua, tidak terawat dengan baik, jamur dimana-mana, bau) saya check in di jam 3 . 30:00 dan memutuskan untuk check out di 6:00, masih ada 2 malam tapi saya tidak bisa memesan kamar, dan saya tidak merasa aman dan nyaman. Tapi itu adalah apa adanya, bagi mereka yang tidak keberatan tua tapi murah, pergi ke tempat itu. Hotel ini terletak di tengah Seminyak, berjalan kaki ke pantai Double Six 🙂",1
12,Kumpul Kumpul Villa II Legian,"Sangat tua, staf yang fantastis yang adalah satu-satunya hal yang baik tentang tempat ini, lokasi yang bagus tapi di sebuah jalan yang gelap dinjy di padma, kulkas tidak bekerja, tempat tidur nyaman, kolam renang sangat kecil &tua. Saya tidak akan merekomendasikan sama sekali. . Kebanyakan keluarga dengan 4",2
13,Kumpul Kumpul Villa II Legian,"Saya pernah menginap di Kumpul Kumpul 2 beberapa kali dan berharap untuk melakukannya lagi di masa depan. Standar yang baik dan mewakili sangat baik nilai untuk uang. Ada 3 vila yang berpusat di sekitar kolam renang - termasuk salah satu yang akan tidur sekitar 6 . Kami sebuah keluarga besar dan memiliki semua 3 dari mereka. Ada beberapa vila di jalur yang lebih dan di halaman. Beberapa kamar bisa sedikit di cat ulang, tapi mereka semua memiliki seprai bersih, pendingin udara yang bagus dan lokasi yang tenang untuk membuat untuk itu. Legian Street, 6 Double Tinggi dan pantai adalah jalan mudah berjalan. Semua Untuk para backpacker, ada fasilitas laundry yang dekat. Selamat menikmati!",4
14,Kumpul Kumpul Villa II Legian,"Para staf sangat luar biasa dan pelayanannya bagus! Mereka membuat pengalaman menginap kami begitu menakjubkan! Kolam renangnya dibersihkan dengan baik. Staf selalu menawarkan bantuan. Hotel ini terletak di tempat yang bagus dekat dengan semuanya, tetapi masih privat dan damai.",5
15,Kumpul Kumpul Villa II Legian,"Saya memesan untuk menginap di sini dengan keluarga saya, dan itu adalah keputusan terburuk yang pernah saya buat dalam hidup saya, saya sering bepergian dan menginap di berbagai tempat, dan meskipun saya tahu itu bukan bintang 5, saya tidak mengharapkan tempat tidur untuk menjalankan hidup dengan serangga, ya kecoa yang anda harapkan di sebuah negara tropis tapi tidak benar-benar di tempat tidur anda, dan berjalan dengan hidup di seluruh lantai bangunan. Langit-langit kamar tidur bocor, sehingga kasur basah sepanjang waktu, seluruh tempat itu sangat usang dan kotor, spons yang tertinggal di wastafel dapur, dengan jamur di tempat ini, tidak ada air panas di dapur untuk membersihkan apapun, hanya air panas di kamar mandi, anda memiliki pilihan terlalu panas atau dingin, pemanas…",1
16,Kumpul Kumpul Villa II Legian,"akomodasi yang sangat bagus. Staf mari kita menggunakan kolam renang di kumpul kumpul Villa III Seminyak seperti itu jauh lebih besar. Saya pasti akan merekomendasikan tiga kumpul kumpul Villa di Double Six, Legian atau Seminyak.",5
17,Kumpul Kumpul Villa II Legian,"Villa besar dengan banyak ruang tetapi membutuhkan beberapa perhatian. Di mana-mana adalah bersih tapi lusuh. Kebutuhan dapur yang luar biasa dan menyenangkan, pendek pada peralatan dan hanya dua cincin. Handuk tua dan bernoda tapi berbau segar. Staf yang sangat bagus.",4
18,Kumpul Kumpul Villa II Legian,"Saya suka dengan Villa, dan kolam renang. Tenang dan damai.  Orang-orang sangat menyenangkan. Apa pun yang kami butuhkan adalah dilakukan sekaligus.  Dekat dengan jalan utama Legian dan dekat dengan pantai.  Berjalan kaki singkat ke toko-toko, warung, dan tempat penukaran uang bintang supermarket/ATM.",4
19,Kumpul Kumpul Villa II Legian,"Kami tinggal di sebuah 2 kamar tidur vila. Sangat bagus untuk harga yang kami dibayar, kami hanya keluhan adalah bahwa wifi - Wifi tidak bekerja sangat baik, sering kali tidak sama sekali.  Villa bisa lakukan dengan upgrade tapi jika itu terjadi di upgrade ke vila akan naik harga karena mereka berada di lokasi yang sangat baik. Saya berjuang untuk menemukan Murah 2 kamar tidur vila di Legian karena sudah ada di Bali hari super murah jika Anda ingin tinggal di daerah yang sangat populer.  Staf yang sangat ramah dan apa pun yang kami meminta untuk itu harus segera.  Saya akan dengan senang hati tinggal di sini lagi.",4
20,Kumpul Kumpul Villa II Legian,"sangat tua dan dasar. Tidak layak harga yang kami dibayar. Mungkin baik untuk anak muda, hanya untuk tempat tidur dan kamar yang tenang di malam hari.  Terletak di ujung jalan yang membuatnya sangat tenang.  Tidak ada makanan yang tersedia. Lokasi yang baik.",2
21,Kumpul Kumpul Villa II Legian,Saya telah tinggal di sini sebelum dan satu hal adalah staf yang luar biasa dan membantu tapi.   Tempat yang benar-benar butuh perbaikan - Saya merasa staf karena banyak hal yang rusak dan mereka melakukan yang terbaik untuk memperbaiki dan menampung tamu   Kami  TV rusak (tidak bisa diperbaiki)  Toilet yang rusak (tidak tetap)  Air rusak (sudah diperbaiki)   Late Check Out tidak dapat mengatur sampai hari Check out bagi saya seperti yang saya ingin memesan jadi ini adalah mengatur hotel lain yang bekerja keluar lebih murah daripada membayar untuk 1 malam biaya kumpul ingin biaya sampai 5 PM dan kami ingin sampai 7 jam.   Kulkas tidak menutup dengan benar dan sering pop terbuka secara acak   Saya tidak perlu mewah dll tapi kebutuhan dasar yang harus terutama Toilet di mana saya…,2
22,Kumpul Kumpul Villa II Legian,"Perjalanan kami mulai keluar buruk, kami telah memesan villa keluarga di kuta adalah untuk mengatakan paling tidak seperti foto yang mereka telah diposting. pada hari kedua kami di jadi aku pergi untuk mencari akomodasi yang lebih baik. Saya menemukan villa kumpul kumpul. Wow mereka benar-benar menyelamatkan liburan kami! Staf yang ramah, selalu tersenyum dan akan melakukan apa pun yang anda butuhkan untuk membuat kunjungan anda lebih nyaman dan santai. Aku suka gaya resor liburan ini adalah persis apa yang kami butuhkan. Tidak ada tekanan air, kamar bersih, staf yang ramah dan suasana santai.",5
23,Kumpul Kumpul Villa II Legian,"Ini adalah 4th. kumpul kumpul villa ii di & setiap kali kami mengatakan hal yang sama ""jika mereka hanya akan menghabiskan sedikit uang & setidaknya memperbaharuinya"" tapi kami masih datang kembali karena vila yang luas, ac, kamar mandi & toilet yang berfungsi, dekat dengan belanja & restoran, & sangat tenang, kami punya vila yang sama. Hal yang paling penting & terbaik tentang hotel adalah staf, mereka sangat sopan, membantu & menjaga vila kami tetap bersih & ya, kami akan menginap di sini lagi. Muriel Bremner. Pada bulan agustus/september 2016",3
24,Kumpul Kumpul Villa II Legian,"Kami tinggal selama dua minggu di villa dengan dua kamar tidur. Ya mereka lama, tapi ac, toilet, kamar mandi, semua bekerja dengan baik. Mereka sangat bersih. Staf tidak bisa lebih membantu, sangat ramah. Lokasi vila ini adalah sempurna, dekat dengan segala sesuatu. Harga adalah nilai untuk uang. Kami akan menginap di sini lagi tahun depan.",5
25,Kumpul Kumpul Villa II Legian,"Seperti dikatakan dalam banyak ulasan sebelumnya ini adalah tanpa embel-embel vila ini perlu memperbarui. Yang mengatakan, untuk harga dan lokasi yang kita tidak bisa mengeluh terlalu banyak. Keluarga kami 4 tinggal selama 6 malam dan itu sangat nyaman dan kami merasa aman sepanjang waktu. Banyak ruang untuk anak kami untuk bermain dan mereka mencintai kolam renang... Mereka pasti tidak khawatir dengan beberapa ubin retak dll... beberapa kursi berjemur yang baru akan menjadi luar biasa. Staf sangat membantu, kami salah satu unit ac tetap pada satu hari dan mereka memiliki seseorang untuk melakukannya segera. Mereka juga ramah meminjamkan kami sebuah dvd player untuk anak-anak untuk menggunakan. Untungnya kami membawa bayi monitor dengan kami yang memberi saya ketenangan di malam…",3
26,Kumpul Kumpul Villa II Legian,Kamar besar dan memiliki dapur dasar yang bagus untuk sarapan & makan siang jika anda tidak dapat diganggu keluar untuk bea salah satu dari banyak restoran lokal. Staf yang ramah dan membantu dan kamar yang selalu bersih. Dekat dengan pusat perbelanjaan dan pantai tapi di jalan yang tenang dan jauh dari kebisingan lalu lintas lorong. Lebih tua gaya bali gaya akomodasi yang besar nilai untuk uang.,5
27,Kumpul Kumpul Villa II Legian,"Vila itu sendiri adalah sedikit tua dan bisa lakukan dengan memperbarui tapi secara keseluruhan baik bagi mereka yang ingin tinggal di suatu tempat di tengah, tenang dan murah. Ac di kamar tidur bekerja sangat baik dan kolam renang yang luar biasa - selalu sangat bersih dan menyenangkan untuk kembali ke setelah hari yang keluar dan sekitar. Villa ini juga dilengkapi dengan koneksi wifi gratis yang besar penerimaan.  Staf yang fantastis, tidak ada yang terlalu banyak kesulitan dan selalu ada seseorang di tangan jika diperlukan.",3
28,Kumpul Kumpul Villa II Legian,"Lokasinya bagus, dekat dengan double six. Banyak restoran dan bar dekat oleh. Villa kami adalah dilayani setiap hari dan selalu meninggalkan indah, meskipun kami memiliki untuk menindaklanjuti beberapa hal (beberapa hari kita tidak mendapatkan cukup handuk, satu hari kami tidak meninggalkan setiap air minum), tetapi menghadiri untuk sangat cepat. Kami tinggal di 3 kamar tidur vila, kamar tidur di lantai atas dan ketiga saudara saya menemukan unit pendingin udara tidak cukup cukup panas untuk bertahan di kamar itu. Namun pendingin ruangan yang fantastis di dua kamar tidur di lantai bawah. Kami memiliki cepat mandi tidak akan mengalir dari kamar mandi dan kamar mandi banjir. Tempat ini pasti tidak 5 - bintang tapi sekitar $100 untuk malam (untuk 3 kamar tidur vila), anda…",4
29,Kumpul Kumpul Villa II Legian,"Sebuah oasis di jantung seminyak/legian. Hanya beberapa menit untuk: pantai, belanja, pesta... taman pribadi. ruang tamu terbuka. Staf yang ramah. Aku akan memesan tempat ini lagi! Meminta untuk menyewa sepeda motor di sana karena sederhana dan murah",5
30,Kumpul Kumpul Villa II Legian,"vila ini sangat... ruang tamu dan dapur terbuka... ada penggemar, tapi sangat panas di siang hari - kamar tidur telah ber-ac mereka.  Bersih dan rapi dan sangat pribadi - courtyard... fasilitas memasak dasar. Pembersihan dilakukan setiap hari... kolam renang yang bagus.  sangat tenang yang bagi saya dan suami saya kami keyek - berjalan ke jalan utama gang - hal-hal yang dekat di tangan - mudah untuk mendapatkan taksi untuk di pusat kuta kehidupan malam jika anda ingin yang tidak mahal Akan merekomendasikan untuk pelancong yang... benar-benar bernilai uang - juga tidak ada layanan kamar/restoran makanan pilihan tapi cukup dekat dan bisa masak",4
