,hotel,review,stars
0,Kupu Kupu Barong Villas & Spa by l'Occitane,1. Di foto dan kondisi ril di lapangan beda. Lebih menarik di foto yg di promosikan. 2. Dinner romantis di lakukan di restoran bukan di luar dengan view sungai dan sawah seperti yang di promosikan. 3. Pool nya tidak private karena tidak ada pagar pembatas antara jalan dan pool. Hanya dibatasi bunga sebagai pagar. 4. Ac lantai 2 ngga dingin. Cuma angin yg keluar karena sudah dimakan usia.  Positif: 1. Staff ramah ramah 2. Breakfast dan dinner enak banget. 3. Pelayanan dari depan sampai kamar ok banget. 4. Pijatan spa nya ok banget. Spa konsep diatas pohon mangga.,3
1,Kupu Kupu Barong Villas & Spa by l'Occitane,"Saya berada di kupu kupu barong dengan paket honeympon 3 hari 2 malam.kamar yang saya dapatkan adalah duplex pool dengan 2 lantai dan kamar tidur berada di lantai 2. Daerah penginapan whisper zone, dan pemandangan depan kamar langsung ke sungai ayung dan pegunungan. Paket honeymoon yang saya dapatkan adalah manggo tree spa, romantic dinner,dan light lunch. Spa menyenangkan, disarankan untuk datang lebih awal di janji temu. Untuk romantic dinner biasa sajq, diluar ekspektasi... tidak ada hal yang khusus, hanya disajikan makanan secara lengkap. Dan saya sedikit kecewa untuk pesanan light lunch dan hpneymoon cake yang telat diantarkan. Selebihnya untuk kamar, kebersihan, dan pelayanan cukup bagus.",3
2,Kupu Kupu Barong Villas & Spa by l'Occitane,Tempat : 10 Pemandangan alam yang indah  Penyajian : 10 Di lengkapi dengan buang berbentuk hati  Makanan: 10 Bumbu dan rasa kaya rasa Pelananan: 10 Yuli memiliki komunikasi yang baik dan sangat membantu menyediakan yang kami butuhkan. Yuli memberika pelayanan yang terbaik tanpa perlu kita meminta seperti merekomendasikan menu dan menawarkan foto Suasana: 8 Sangat tenang dan lampu yang tidak terlalu terang membuat kita makan malam kami sangat berkesan. (-2) karena jarak antar tamu yang dekat   Kami sangat senang  dengan makan malam nya terlebih lagi dengan pelayanan.  Semoga selalu jadi yang terbaik di ubud,5
3,Kupu Kupu Barong Villas & Spa by l'Occitane,"Sebagai salah satu resort yang telah ada lama di Ubud, Kupu-Kupu Barong sangat nyaman, pelayanannya juga luar biasa. Staf selalu menyapa dan tanggap terhadap kebutuhan kami. Pemandangan lembah dan sungai Ayung sungguh spektakuler, makanan yang disediakan saat breakfast sangat enak walaupun variasi terbatas,  demikian juga saat romantic dinner. Vila yang kami tempati adalah vila dengan private pool dimana kebersihan terjamin dan amenities dari brand L'Occitane yang sangat lembut di kulit. Pengalaman di Mango Tree Spa juga menyenangkan dan memuaskan. Satu yang perlu ditingkatkan adalah fasilitas seperti TV yang perlu diupdate karena 2 malam berturut-turut kami harus memanggil teknisi untuk dapat menyalakan TV karena remote controlnya bermasalah. Selain itu karena lokasi di tengah…",5
4,Kupu Kupu Barong Villas & Spa by l'Occitane,"suasana nyaman, kamar langsung menghadap ke sungai ayung samar kedengeran suara arus air sungai ayung, 1 villa cukup luas untuk 2 orang, kolam pribadi airnya mengalir terus dan selalu bersih, menu favorit sarapan banana pancake",5
5,Kupu Kupu Barong Villas & Spa by l'Occitane,"Kamar bagus, luas, bersih, private, patung dikamar agak menakutkan. Pemandangan indah..breakfast standard. Staff-staff ramah dan helpfull. Cocok untuk honeymoon.. Tidak mengecewakan menginap di kupu kupu barong. ",5
6,Kupu Kupu Barong Villas & Spa by l'Occitane,"Tempat yang luar biasa! Tempat ini luar biasa. Pelayanannya yang luar biasa ditambah lokasi yang indah, akomodasi yang luar biasa dan fasilitas yang mengesankan.   Vila kami (41) adalah vila yang sangat sempurna menyatu dengan hutan Ubud dan sungai Ayung. Meskipun terletak di sisi gunung, Anda tidak perlu khawatir tentang tangga. Villa memiliki 24 jam layanan mobil buggy (golf cart) bahkan dalam situasi hujan.   Semua staf membuat kami merasa sangat nyaman dan memiliki pelayanan pribadi yang luar biasa dengan berbagai anggota tim manajemen!   NB: Mintalah kepada Pak Karsana untuk mendapatkan pertunjukan sulap yang menakjubkan. Pertunjukan yang sangat intim, Anda tidak akan pernah berhenti untuk kagum dengan dia.   Juga terima kasih untuk Pak Amy, pelayan (butler) kami, yang…",5
7,Kupu Kupu Barong Villas & Spa by l'Occitane,"Staff ramah, namun ketika telpon untuk informasi kamar, respon sedikit kurang ramah. Harus diperbaiki lagi untuk petugas call service. Jika yang dicari adalah suasana tenang dengan pohon-pohon lebat, ini villa yang cocok! Suasana sangat nyaman. Kamar dengan ayung river wiew sangat indah. Air di private pool sangat dingin dan segar. Tapi.... pencahayaan kamar sangat kurang. Harus ditambahkan lagi. Dan ada patung emas besar di dalam kamar, tidak semua orang nyaman dengan itu.  Layanan buggy car baik. Sarapan pagi tidak banyak pilihan. Rasa standar",4
8,Kupu Kupu Barong Villas & Spa by l'Occitane,"Kami sudah booked di River front villa dengan tujuan menikmati view ayung river, begitu kami akan cek in  kami ditawarkan untuk upgrade ke Family Suite, namun kami menolak karena begitu kami melihat map lokasi family suite letaknya agak keatas dan tidak sesuai dengan harapan kami. Dikabarkan kamar akan disiapkan terlebih dahulu, sambil menunggu kami santap siang di resto, setelah menunggu lebih kurang 3 jam, kami menanyakan kembali status kamar kami apakah sudah ready atau belum dan dijawab sedang disiapkan, sampai 2x kami menanyakan dan jawabannya sama. Ketiga kali nya kami menanyakan, baru salah satu staff menghampiri kami dan mengatakan bahwa kamar yg katanya dipersiapkam utk kami dalam perbaikan karena malam sebelumnya tertimpa pohon, akhirnya karena kami tidak sesuai dengan…",2
9,Kupu Kupu Barong Villas & Spa by l'Occitane,"Perjalanan yang ga begitu jauh dari denpasar, pas sampai, sempat hopeless jalan masuknya kecil, tapi setelah masuk ternyata, keren banget tempatnya, awesome, room boy nya ramah2...pokoknya ga mengecewekan,  Kamar bersih, kolam renang bersih, di lt 4 ada kolam renang dan barnya juga..sungguh2 menyenangkan 90% Recommended :))",4
