,hotel,review,stars
0,Kusnadi Hotel,"Ini adalah tempat yang sangat indah, bersih untuk tinggal di Legian. Tempat tidur yang bagus, kamar mandi yang cukup baik, staf yang ramah dan pijat yang luar biasa. Hanya perbaikan yang bisa saya sarankan adalah memiliki wifi mencapai kamar. Pergi ke resepsi sepanjang waktu sedikit menyusahkan.",4
1,Kusnadi Hotel,"Ini adalah pertama saya tinggal di lokasi ini staf fantastis lokasi yang sangat terjangkau Kamar-kamarnya terawat dengan baik Telah ke Bali 24 kali dan tinggal di sejumlah tempat berbeda di daerah ini, menurut saya, Kusnadi jauh lebih baik dalam semua aspek Bagus sekali, ini akan menjadi pilihan # 1 saya di masa depan",5
2,Kusnadi Hotel,"Kolam renang yang indah dan taman, staf yang indah. Itu mungkin semua poin yang baik.  Kamar lari ke bawah. Kamar mandi kamar mandi hanya mandi mandi yang diblokir setiap kali Anda menggunakannya, dan air menggenang di lantai. Toilet tidak menyiram suatu pagi. Dindingnya sangat tipis sehingga Anda dapat benar-benar mendengar suara orang-orang di sebelah batuk, atau masuk jam 2 pagi. Lampu-lampu terang di luar menerangi kamar sepanjang malam, kami memang keluar dan mematikannya tetapi seseorang menyalakannya kembali. Tidak ada selimut hanya selembar sehingga terlalu dingin dengan AC, atau keringat di malam hari. Beruntung kami hanya memesan beberapa malam karena saya lebih lelah daripada ketika saya memulai liburan saya. Tidak akan kembali maaf",2
3,Kusnadi Hotel,Telah datang ke sini selama sekitar 4 tahun saya telah tinggal di banyak tempat lain di Bali dari 5 bintang ke bawah dan saya masih sangat menyukai tempat ini setiap kali saya meninggalkan saya memesan kembali. Kamar tidak ada flash gaya BALI sangat tua tetapi mereka bersih dan memiliki semua yang Anda butuhkan dan staf sangat ramah dan membantu,5
4,Kusnadi Hotel,Kami telah tinggal di Kusnadi berkali-kali dan itu seperti pulang ke rumah. Kami memilih untuk tinggal di ruang taman karena ketenangan yang kami rasakan di sana. Kamar 118 luas. Anak-anak lelaki rumah menghibur kami dengan handuk origami mereka setiap pagi dan tidak ada yang terlalu merepotkan bagi mereka. Kami meminta bantal tambahan dan selimut dan tidak ada masalah. Stafnya ramah dan membantu. Ini bukan 5 * tetapi kami sangat senang tinggal di lingkungan Bali yang lebih tradisional.,4
5,Kusnadi Hotel,Saya saat ini tinggal di gusnardi dan telah tinggal di sini berkali-kali tetapi kami memiliki pemilik baru yang memiliki dua anak laki-laki yang terus berteriak dan berteriak melompat di kolam menebas orang di kursi santai Anda tidak mendapatkan kedamaian selama sekitar 5 jam selama pemilik hari tidak tidak peduli dengan keluhan kami karena kami tidak akan pernah tinggal di sini lagi banyak orang di sini sekarang tetap merasakan hal yang sama jadi jika Anda ingin yang baik dan tidak datang ke sini sangat disayangkan karena kami menyukai tempat ini tetapi tidak lagi pergi ke tempat lain di mana,1
6,Kusnadi Hotel,Menginap 7 malam total oasis tersembunyi di luar depan. Kamarnya sangat luas dan bersih. Area luar rimbun dengan taman terawat. Sarapan makanan lokal tradisional yang berubah setiap hari Staf sangat ramah dan membuat Anda merasa di rumah. Akan tinggal lagi - sempurna!,5
7,Kusnadi Hotel,"Menginap 7 malam. Hotel adalah sebuah oase tersembunyi dengan taman yang subur dan terawat dengan baik. Kamarnya bersih dan luas dengan tempat tidur yang sangat nyaman. Staf hotel sangat penuh perhatian dan ramah dan membuat Anda merasa diterima. Sarapan sangat baik dengan makanan tradisional yang ditawarkan. Secara keseluruhan pengalaman saya di hotel sangat bagus, akan tinggal lagi tanpa ragu.",5
8,Kusnadi Hotel,"Saya sangat mencintai Kusnadi ini. Staf adalah sooooo baik & membantu, sangat ramah & luar biasa mengingat begitu banyak pengunjung. Kamar saya telah tinggal di dasar & sangat bersih & kolam renang juga sangat bersih. Puncak adalah kebun, mereka indah disimpan & tampak luar biasa, seperti surga tenang damai - sulit untuk percaya ada jalan yang ramai di luar. Jika kursi di tepi kolam renang diambil (tidak banyak), ada bungalow yang nyaman dan nyaman untuk bersantai di dalam dan mereka bertebaran di sekitar taman. Saya telah tinggal di Kusnadi beberapa kali & saya berniat untuk tinggal di sana banyak, banyak lagi.",4
9,Kusnadi Hotel,"Hotel yang sangat tenang, staf yang indah, kamar tidak luar biasa tapi ditinggali. Gaya lama bali jadi jangan berharap keajaiban. Jauh lebih baik daripada banyak tempat kami tinggal di legian, sarapan hanya ok. Kami kembali dalam waktu 2 bulan untuk menikmati hotel ini lagi.",4
10,Kusnadi Hotel,"Kami harus menunggu cukup lama sebelum staf datang di resepsionis. Dia memerintahkan kita untuk langsung membayar untuk 6 malam. Dia sudah ditambahkan 2 , 5% untuk biaya ekstra untuk tagihan kami creditcard. Dia mengatakan ini adalah di mana-mana di hotelpolicy standar dunia. Ya? Tidak ada tidak. Ya, ini adalah, gadis bersikeras, pada dasarnya menyuruh kami kita berbaring. Selamat datang di Kusnadi! Tentu saja kami ingin melihat kamar yang pertama, dan terlihat bagus. Kamar - salah satu dari mereka yang paling mahal - besar, dan memiliki balkon besar dengan area tempat duduk dan dua kursi santai. Kami kira balkon seharusnya dipan, dan diningtable juga, tetapi mereka yang hilang. Karena kami menurunkan dua sunscreens, banyak kotoran menumpuk keluar, termasuk birdsnest dengan dua…",3
11,Kusnadi Hotel,"Kami sangat senang dengan hotel murah, terletak di taman yang indah, kolam renang yang bagus. Stafnya luar biasa, ramah dan tidak bisa lebih membantu. Akomodasi kami sangat bagus, tempat tidur sedikit keras untuk kami bernuansa tempo dulu, tapi naik taksi ke outlet busa yang sangat tetap karet memungkinkannya. Terletak di seberang jalan dari Gula Ray, sebuah bar yang bagus, restoran yang dimiliki orang Australia banyak tempat makan dan pusat perbelanjaan lainnya yang berlimpah. Kami sangat senang dengan pilihan kami yang kami pesan langsung melalui email dengan Kusnadi Hotel. .",4
12,Kusnadi Hotel,"Di pusat keramaian, namun anda berjalan ke resort dan menemukan sebuah oase. Kamarnya bersih dengan kamar mandi luar ruangan yang indah. Sarapan prasmanan sangat baik tapi bisa disetujui pada sedikit. Dapatkan di sana lebih awal jadi anda jangan lewatkan. 10 menit berjalan kaki ke pantai untuk melihat matahari terbenam.",5
13,Kusnadi Hotel,Kami memesan untuk 3 malam pada berhenti rekomendasi dari seorang teman. Hotel yang luar biasa memenangkan penghargaan di trip advisor 2013 . Saya pikir seprai dan handuk harus sudah sejak 2013 abu-abu dan usang. Kamar mandi perlu dibersihkan dengan baik. Pergi untuk sarapan di 8 . 30 hampir semua pilihan yang selesai . Stafnya ramah dan sangat membantu. Mereka adalah hal yang terbaik di Kusnadi. Hotel ini sangat butuh beberapa perbaikan.,2
14,Kusnadi Hotel,"Kami menginap di sini dengan total 2 minggu dan terutama menikmati taman hijau dan kolam renang yang indah dengan air soothening drizzeling. Sarapan yang kaya. Jika anda memilih untuk makan malam di restoran, anda tidak akan Kusnadi hanya akan terkejut dengan banyak pilihan tapi juga lebih dari harga yang masuk akal dibandingkan dengan jalan restoran. Coba kakap barbecued atau Kusnadi sepiring nasi campur. Dan di atas harga happy hour yang termurah di sekitar. Kamar standar sebenarnya lebih besar dari kamar superior di sekitar kolam renang. Pejalan Kaki ke kolam renang kamarnya agak kurang beruntung. Tapi kamar standar dapat diakses bahkan menggunakan tongkat. Mereka memiliki kamar kursi roda, juga. Kami akan kembali kapan saja!",4
15,Kusnadi Hotel,"Cocok tinggal satu minggu yang memenuhi harapan saya untuk sebuah tradisional, kuno, kecil, hotel yang tenang dan sangat terjangkau. Keempat kalinya saya menginap di sini, dan sebagian besar tamu lain juga kembali pengunjung. Ini memperkatakan untuk dirinya sendiri. Taman yang sangat indah, staf yang ramah dan nalar dan kamarnya bersih dan nyaman. Pendingin udara yang bagus. Pancuran air yang baik. Tidak ada nyamuk. Fantastis, kolam renang yang bersih. WiFi dapat diandalkan. Dan petugas pijat yang sangat baik dan perawatan yang dilakukan di tepi kolam renang, santai di cabana besar, nyaman meja. $ 7 . 50 untuk satu jam! Menu yang baik untuk makan siang dan makan malam dan pilihan makanan yang lezat dan saya. Satu-satunya kritik saya adalah sarapan prasmanan bisa sedikit lebih ke…",4
16,Kusnadi Hotel,"Kusnadi adalah seperti rumah yang jauh dari rumah, murah tapi tempat tinggal yang sangat baik, kamar-kamarnya sangat bersih dan tempat tidur yang nyaman, selalu merasa aman di sini!  Menu sarapan yang baik kolam renang sangat bagus dan pijat dari Wayan adalah suatu keharusan untuk Membuai sore hari pergi dengan damai, jadi impian",5
17,Kusnadi Hotel,"Setelah menginap di hotel ini berkali-kali, saya tidak ada pujian untuk hotel ini. Semua stafnya sangat menyenangkan dan membantu. Kamar-kamarnya dibersihkan dengan disinfektan. Sarapan prasmanan yang sudah termasuk juga disajikan di piring di Indonesia, atau tertutup pilihan makanan barat. Makanan restoran untuk makan siang dan makan malam yang luar biasa dan saya sangat merekomendasikan hotel ini sebagai pilihan. Air mineral setiap hari disediakan di kamar. Ini adalah sebuah hotel kecil untuk keluarga dan saya tidak merekomendasikan hotel ini sangat cukup.",5
