,hotel,review,stars
0,Kusuma Resort,"Saya benar-benar menyukai tempat ini. Ketika anda masuk, hotel ini benar-benar menakjubkan. Sangat hijau dengan kolam renang yang besar dan bersih di tengah. Kamarnya luas dengan balkon yang besar dengan pemandangan pohon dan Seminyak. Lokasinya juga bagus, di tengah-tengah Seminyak, keduanya dengan skuter atau berjalan anda tiba di mana-mana. Direkomendasikan.",5
1,Kusuma Resort,"Hotel ini bersih, tetapi mereka kekurangan tenaga kerja. Kami memesan kamar di lantai 2 yang ke-52, tidak ada lift dan tidak ada staf untuk membantu kami dengan barang-barang kami. Ini adalah ok jika anda hanya memiliki sebuah ransel atau barang bawaan anda. dengan lampu Tetapi jika anda memiliki beberapa barang bawaan, anda harus membawa mereka sendiri. Jika youre ok dengan hal tersebut, maka pergi untuk itu.  Kamarnya bersih tapi agak tua. Air di kamar mandi sangat panas dan tidak bisa disesuaikan.  Hal yang baik tentang tempat ini adalah dekat dengan restoran, bar dan toko souvenir. Juga dekat dengan Double Six.",3
2,Kusuma Resort,"Saya mendapat kamar yang besar dan indah dengan balkon di bagian terbaru. Memiliki balkon yang bagus menghadap ke kolam renang. Tidak ada lift tapi tidak mengganggu saya. Kamarnya bersih, memiliki kamar mandi yang besar. Staf di resepsionis menunjukkan sedikit minat terhadap pekerjaan mereka.",4
3,Kusuma Resort,"Kami tinggal di sini untuk bertemu dengan keluarga di NZ. Kami datang dari Inggris. Kusuma sangat menyenangkan keluarga menjalankan hotel. Kamar besar dengan baik AC dan balkon. Dibersihkan setiap hari dan dalam pengalaman kami, untuk standar yang baik. Set Up adalah dasar tetapi nyaman.   Meskipun hotel adalah 10 tahun, tempat ini telah dipelihara dengan baik dan taman dan kolam renang yang luar biasa. Kolam renang yang sangat bagus. Ini adalah besar dengan banyak tempat tidur matahari dan tempat tidur siang yang tertutup. kolam renang yang bersih dan kolam renang handuk disediakan setiap hari.   Sarapan kontinental dan yang dimasak dengan baik. Tidak luas tapi adequite.   Staf sangat ramah dan dengan keluarga, Anda merasa sangat aman untuk anak-anak untuk bertanya-tanya di…",4
4,Kusuma Resort,Saya menginap di hotel ini selama 3 malam. Hotel ini di lokasi yang baik. Itu dekat dengan segala sesuatu namun tenang yang adalah apa yang paling memenuhi saya dengan pemesanan. Gambar hotel secara online tidak menunjukkan bagaimana hotel ini berkembang dari waktu ke waktu. Kamar saya berbau agak lembab dan bau dan dinding retak. Tempat yang memiliki merasa tua secara umum. Staf pada penerimaan yang sangat membantu dan sangat ramah dan saya merasa sangat aman di dalam hotel. Jika Anda ingin sebuah hotel dasar maka ini akan baik-baik saja tapi aku pasti melihat lebih baik hotel bintang 3 di dan sekitar Seminyak dalam standar akomodasi.,3
5,Kusuma Resort,"Di sini Anda mendapatkan apa yang Anda bayar. Staf yang tidak sangat membantu untuk lelaki yg tdk terpelajar - e. g. dengan membawakan barang bawaan kami hingga ke lantai tiga. Semua kamar bebas rokok! Tidak sangat bersih - kamar mandi bernoda digustingly, kami berakhir dengan semut di mana-mana termasuk barang bawaan kami. AC - tidak ada yang besar. Sekitar 10 menit berjalan kaki ke pantai. Kolam renang tidak tampak sangat bersih, jadi, tidak mencobanya. Handuk baik usang dan abu-abu (seharusnya putih) dan gelap. Mereka biaya 3 persen tambahan untuk pembayaran dengan kartu kredit. Senang untuk meninggalkan setelah 2 malam. Tips: restoran di pantai yang memiliki suasana yang baik di malam hari.",2
6,Kusuma Resort,"Sangat besar kamar menghadap ke kolam renang besar.   Lokasi luar biasa yang dekat dengan pantai, bar toko-toko dan restoran, dll.   Tapi menyedihkan staf memiliki beberapa masalah komunikasi dengan bahasa Inggris, & ada pria baya yang sangat kasar, & tidak berpikir dua kali sebelum mengatakan 'tidak'.   Sarapan adalah sangat sangat terbatas, pilihan & dalam jumlah yang banyak.   Tetapi jika Anda melihat melampaui masalah ini, tidak ada yang mengalahkan lokasi & kolam renang, jadi membongkar pilihan Anda sebelum membuat keputusan akhir Anda.",4
7,Kusuma Resort,Kami tinggal di sini di awal Mei seperti kelompok besar dan kami senang menginap di sini!   Kamar besar dengan balkon besar yang menghadap kolam renang dan kamar mandi besar dengan kamar mandi yang sangat baik dengan putri saya.   Kami memesan 4 kamar dan sudah meminta lantai 1 jalan bersama-sama dan kami memesan 9 bulan sebelumnya diberitahu tentang ini akan baik-baik saja. Untungnya itu adalah satu-satunya downside ke kami tinggal ketika kami tiba kami tidak menempatkan bersama-sama.   Kamar sedikit lebih tua tapi sangat luas. Saya akan merekomendasikan hotel menempatkan di lampu samping tempat tidur dan handuk tangan setelah mencuci tangan. Ini adalah semua yang saya bisa kesalahan dengan kamar. Dikunci dengan aman tapi tidak ada pintu di lemari. Saya tidak tahu apakah ini…,4
8,Kusuma Resort,Memiliki pengalaman Malang. Tidak ada air pendingin udara tidak bekerja. Tidak ada keputusan yang diberikan untuk memperbaiki masalah ini. Staf yang tidak sangat ramah dan sangat kasar. Tidak membantu sama sekali. Tidak pernah diperlakukan oleh orang Bali seperti ini sebelumnya. Akan tinggal lagi. Empat tamu pindah ke lokasi lain dan menerima layanan yang sangat baik.,1
9,Kusuma Resort,"Sangat terkesan dengan tempat ini yang sangat besar dan indah besar kamar menghadap ke kolam renang yang sangat bagus, ruangan itu bersih, itu adalah di lokasi yang sempurna dekat dengan pantai, bar toko-toko dan restoran, tetapi sedikit off Jalan utama begitu bagus dan tenang dan jauh dari kesibukan hussel dan.   Satu-satunya hal yang bisa membuat ini lebih baik akan memiliki restoran atau bar tapi tidak masalah karena dekat dengan orang lain.   Semua di dalam semua saya akan merekomendasikan dan akan tinggal lagi baik nilai untuk uang.",4
10,Kusuma Resort,Kami memesan di hari check in tidak ada minuman selamat datang 30 Januari lalu dibawa ke kamar di lantai pertama membuka pintu dan menyalakan AC kemudian menunggu dua puluh menit berpikir itu akan dingin di kamar tetapi tidak ada AC. jadi aku turun tangga untuk kembali ke penerimaan dan meminta mereka untuk memeriksa AC setelah menunggu seseorang untuk melihat itu akhirnya tiba dan mengatakan ia akan melaporkan ke penerimaan pada tahap ini kami sangat panas jadi kami dingin di balkon. Kali ini kami membeli cukup menunggu ada tanggapan. jadi kembali lagi ke lobi lagi kemudian kami meminta untuk ditunjukkan kamar lain tapi mereka mengatakan bahwa tidak ada kamar yang tersedia setiap kali ini kami yang tidak senang dengan respon yang ada kami pergi untuk mencari hotel lain dengan…,1
11,Kusuma Resort,"Hotel ini hanya dari Jalan Arjuna yang hampir di sebelah Hotel Horison. Pantai 5 menit berjalan kaki dan 5 menit jalan Legian adalah berjalan ke arah lain. Banyak toko pakaian keduanya tidak begitu banyak tempat makan atau bar di jalan ini. Di sepanjang pantai depan atau jalanan menuju Kuta Cara 1. Ini adalah 15 menit berjalan kaki ke supermarket Bintang Seminyak Square dan 5 menit naik taksi untuk ini.  Hotel tampak sangat bagus dengan kolam renang yang bagus bahwa semua kamar menghadap. Kami berada di lantai dua. Tidak ada lift dan kami harus meminta bantuan dengan tas kami ke kamar tapi tidak curam tangga. Saya telah meminta untuk lantai bawah tetapi resepsionis mengatakan kepada kami bahwa pria di ""udara segar di atas terlalu banyak bau dari pipa di lantai dasar""! Saya tidak…",4
12,Kusuma Resort,"Dekat ke seminyak, kamar yang luas, pantai lokal, restoran, dll, staf yang luar biasa - sopan, ramah & sangat membantu, sarapan yang disediakan, memiliki bungalow, sangat bersih, harga besar, bertemu orang-orang dari italia dan jepang yang masih teman, pengalaman yang luar biasa, taman indah, terpelihara dengan baik, dengan lukisan seniman lokal yang mengunjungi resort, menyediakan informasi untuk turis & tamu seperti tempat untuk pergi - pulang ke 2016",4
13,Kusuma Resort,"Kami perjalanan ke bali ini adalah 4th mungkin salah satu yang terbaik karena ukuran sempurna dengan kusuma resort kecil di lokasi yang bagus. Kamar besar, bersih & sangat tenang. Dengan hanya 18 kamar di bangunan utama yang menghadap ke kolam renang, kami mendapatkan kamar di lantai dasar dengan akses langsung ke kolam renang, meskipun sebagian besar kamar yang ditempati yang saya paling pagi dari 7am untuk berenang. Tidak pernah ada masalah mendapatkan kursi di kolam renang di sore hari & kolam renang adalah suhu yang baik & bersih. Walaupun tidak ada pelayanan di sekitar kolam renang ada minuman tersedia & penerimaan. Menakjubkan nilai untuk uang. Kami akan kembali lagi dengan kelompok yang besar tahun depan! ",4
14,Kusuma Resort,"Fantastis resort dekat dengan pantai, toko, dan restoran. Segala sesuatu adalah dalam jarak berjalan kaki. Lokasi adalah lorong kecil sehingga anda merasa seperti anda melarikan diri keramaian dan hiruk pikuk jalan tetapi sangat aman karena ada beberapa security hotel di sana dan melihat keluar untuk anda. Kamar saya sangat besar dengan balkon yang menghadap ke kolam renang dan bak mandi dan mandi di kamar mandi. Staf ramah dan membantu. Pilihan sarapan kontinental atau amerika hanya fry-up dan biaya tambahan untuk saya. ",5
15,Kusuma Resort,Kami hanya berakhir di kusuma resort ketika hotel kami sebelumnya tidak bisa memperpanjang waktu kami tinggal... dan kami senang di akhir. Kamar yang besar dan kamar mandi ditambah balkon yang menghadap properti. Kolam renang yang bagus. Sarapan sangat baik juga. Lokasi yang baik hanya off double six st itu ternyata sangat tenang dan damai. Staf sangat ramah dan membantu. Kami mencintai kami 8 malam di sini. Nilai yang baik untuk harga yang terjangkau/hotel. Beberapa masalah kecil yang saya akan memiliki mengingat ini rating 'baik'.... Kebutuhan tidur sisi lampu untuk membaca di malam hari; tv digital baru daripada kecil-tirai analog (banyak saluran) ditambah beberapa tambahan sun-lounge dan payung di sekitar kolam renang. Tapi ini adalah masalah kecil. Kami akan kembali satu…,4
16,Kusuma Resort,"Hotel di sekitar kusuma resort ini memiliki banyak restoran dan tidak terlalu jauh ke pantai. Meskipun hotel ini tidak di pusat kota lalu lintas atau kehidupan malam yang terganggu. Kamar kami, 205, itu besar dan baik, dengan balkon yang bagus. Kolam renang besar dan hangat, tapi itu adalah sedikit pelit dengan kursi santai. Satu kelemahan adalah bahwa tidak ada dalam kamar yang aman.",4
17,Kusuma Resort,"Tiba kemarin, tempat ini adalah tempat yang bagus kamar yang besar dan kolam renang yang sangat bagus dengan harga yang bisa sampai tanggal, tapi untuk harga... tidak bisa mengeluh... balkon besar untuk duduk di taman yang indah dan petugas di meja resepsionis sangat baik dan membantu (Cardo) akan merekomendasikan tempat ini memiliki bagus merasa ke tempat ini!",4
18,Kusuma Resort,"Saya agak skeptis ketika memesan hotel ini pertama kali di sekitar $45au per malam tidak berpikir bahwa kami akan semakin banyak. Apakah saya salah! Kamar luas dan bersih dengan kamar mandi besar. Bagus aircondirioning + lemari es. (ruangan itu lebih baik daripada beberapa 5 bintang resor yang kita telah tinggal di di bali! ) adalah luar biasa dan lokasi yang mudah 5 - 10 menit berjalan kaki ke pantai double six, double six luxury hotel, dan beristirahat. Staf yang ramah dan membantu. Sarapan termasuk yang mengisi tempat atau anda dapat berjalan kaki ke beberapa restoran yang bagus sekitar sudut. lokasi sangat tenang dari jalan utama. Hanya ada 18 kamar di total dengan 4 bungalow sehingga tidak pernah terlalu sibuk. Baik ukuran kolam renang yang cerah bagi mereka yang ingin…",5
19,Kusuma Resort,"Kami tinggal untuk 4 malam di kusuma, kami suka lokasinya yang jauh dari jalan utama dan tempat yang tenang yang bagus. Untuk keluarga kami dari 5 sangat ekonomis untuk 3 kamar. Kamar sangat luas, bersih & rapi. Kami menikmati kolam renang setelah perjalanan hari, wifi gratis dan tv satelit. Kami pasti akan kembali. Itu tidak mewah, tempat baru, itu memiliki pesona sendiri. ",4
20,Kusuma Resort,"Kami memesan kamar deluxe ganda untuk dua malam di kusuma resort melalui agoda.  Pemesanan tidak dibuat dengan benar dan kami ditransfer ke ""bungalow b7"".  Ruangan itu rata-rata bergaya dengan banyak detail, tetapi bekerja dengan baik.  Kamar mandi adalah di luar dan sangat tua dan toilet yang tidak menyiram dengan baik. Ini pecah sampai dua kali.  Kamar di lantai atas (yang kita tidak menggunakan) tampak menyeramkan, kotor dan berbau basah)  Tidak ada petugas keamanan di semua dan tidak ada privasi, karena lorong hotel sebelah bungalow ini menghadap teras.  Kunci pintu depan adalah sebuah lelucon.  Ac berfungsi dengan baik dan di luar daerah adalah baik-baik saja. Kami tidak menggunakan ""memasak"", tapi aku tidak akan melakukan itu karena itu tampak tua, kotor dan tidak aman. …",3
21,Kusuma Resort,"Pertama-tama kamar hotel sangat luas. Hotel ini benar-benar tempat yang baik dan tenang, sempurna untuk keluarga, pasangan atau orang yang tidak ingin tinggal di sebuah hotel pesta. dekat dengan toko-toko, kafe, restoran, dan sekitar 10 menit dengan berjalan kaki ke pantai.  Kolam renang adalah besar, biasanya tenang dan mudah untuk mendapatkan kursi dll, tapi ini adalah sedikit hangat.  Saya menginap selama 9 hari dan itu tidak pernah didekati oleh siapapun yang mencoba untuk menjual sesuatu untuk saya di hotel?  Kami memiliki tingkat atas dan kamar memiliki lounge dan meja kecil yang diatur dalam kamar dan beberapa kursi yang nyaman di balkon. Ac bekerja dengan baik. Untuk aud $42 sejauh ini hotel terbaik yang pernah saya tinggal di. Hanya kekurangannya adalah tidak ada…",4
22,Kusuma Resort,"Positif: - kamar luas dan bersih dengan tempat tidur yang nyaman, wifi gratis, taman yang indah, di lokasi yang baik dalam jarak berjalan kaki untuk semuanya. Besar bar lemari es, air gratis, kamar yang aman. Negatif: - Karena ini adalah sebuah hotel bintang 3, kami tidak terlalu nyaman karena jalan sudah mendekati kami di dalam resor untuk membeli barang dagangan mereka. Kami awalnya pikir ini staf menarik tamu pria dalam pembicaraan, tapi setelah 20 menit yang tidak nyaman dengan pria tidak ingin meninggalkan tepi kolam kami, kami adalah sedikit menempatkan off. Dengan anak perempuan yang tinggal di hotel ini, kurangnya keamanan bagi saya adalah masalah.  Kolam renang di sini tidak tampaknya telah mengatur jam, yang berarti bahwa kami bisa naik untuk berenang di pagi hari…",4
23,Kusuma Resort,"Kusuma hotel ini bagus untuk orang-orang yang bepergian pada anggaran. Hotel ini memiliki besar kamar yang luas dengan balkon yang menghadap ke area kolam renang. Lokasi ini dekat dengan banyak toko-toko, restoran dan pantai. Hotel ini terletak di tempat yang tenang dan damai. Kolam renang indah tapi cukup panas dan sarapan sangat dasar tapi tidak bisa mengeluh karena harganya yang jauh lebih positif daripada negatif. Secara keseluruhan baik anggaran hotel di lokasi yang bagus cocok untuk pasangan maupun keluarga.",3
24,Kusuma Resort,"Kamar besar dengan balkon besar. Di kamar mandi ada shower dan kamar mandi bersama-sama, dapat berguna dalam iklim panas seperti penyejukan untuk dengan cepat. Kolam renang adalah ukuran rata-rata, tetapi tidak cukup tempat untuk semua orang yang berbohong. Hotel ini tidak lebih dari 7 menit dengan berjalan kaki dari pantai dan sayangnya hotel tidak memiliki layanan turun. Sarapan adalah sama setiap hari: telur, buah-buahan dan jus tidak segar. Hotel yang bagus untuk melakukan uang terutama jika anda mencari suasana tenang. Tidak ada hiburan selama senja hari di semua. Hal terburuk adalah kebisingan dari bekerja di pompa yang bekerja sepanjang malam tanpa berhenti. Itu mengerikan dan mengganggu.",4
25,Kusuma Resort,"Saya telah menginap di kusuma untuk lebih dari satu bulan sekarang karena saya menggunakan ini sebagai basis saya untuk melakukan perjalanan dari. Tempat ini adalah tawar-menawar yang menakjubkan dan saya sangat merekomendasikan hotel ini. Kamarnya luas, mereka memiliki sebuah area duduk yang sangat bagus untuk memiliki, mereka memiliki balkon dan hotel ini memiliki besar kolam renang yang indah. Kamar yang sangat bersih, mereka memiliki lemari es dan botol air diisi ulang setiap hari. Wifi kuat dan staf adalah indah. Hotel ini berada di jantung seminyak, jarak berjalan kaki ke pantai, toko-toko dan restoran-restoran. Cari yang nyata dan tawar-menawar harga.",5
26,Kusuma Resort,"Menginap di resort (2 dewasa) Kumula di januari 2016 selama tiga malam, di salah satu kamar di lantai bawah dan menghadap kolam renang. Penemuan yang luar biasa! Kamar itu besar dengan raja tempat tidur dan tempat tidur ganda, dan lounge kecil. Tidak berisik hotel - tidak ada yang berlibur. Di beranda ada satu area duduk. Ruangan itu besar seperti kamar mandi. Semua orang. Dengan sarapan yang kami memiliki setiap hari ada tiga hari yang cukup untuk membuat anda pergi. Kolam itu besar dan bersih dengan banyak kursi geladak dan keran. Bagian terbaik adalah bahwa meskipun itu adalah hanya di lepas double six metro, hanya melewati dan horison hotel haven hotel, anda tidak pernah mendengar apapun lalu lintas atau kebisingan. Dalam jarak berjalan kaki ke pantai dan berjalan melalui…",5
27,Kusuma Resort,"Kami tinggal 3 malam... kamar bersih dan dalam gaya tradisional bali... Kolam renang indah... bersih dan ramah dengan anak-anak anda perlu kursi berjemur dan payung... Lokasi dekat dengan pantai, restoran dan perbelanjaan di... Pasti akan tinggal di sini lagi...",5
28,Kusuma Resort,"Kami tinggal di kusuma resort di penghujung januari 2016 untuk 2 malam. Kami tinggal di salah satu bungalow. Itu sempurna! Kamar bersih, tempat tidur adalah besar dan nyaman dan kolam renang yang baik (walaupun lebih dari perbelanjaan). Kamar mandi 3rd (off ke sisi dari lantai bawah) tidak bersih atau tidak memiliki layar mandi 2 kamar tidur yang lainnya yang menjadi bagian dari bungalo utama sangat fantastis! Tidak ada yang benar-benar perlu menggunakan ini karena 3rd mandi. Hanya masalah dengan hotel ini adalah bahwa kamar yang tersedia pada dasarnya menjeniskan hotel (hanya sarapan) yang berarti itu tidak sangat praktis untuk keluarga muda. Ini akan menjadi sempurna untuk pasangan 2 untuk anak-anak atau remaja. Di gerbang pintu masuk adalah sangat menyenangkan meskipun…",5
29,Kusuma Resort,"Lokasi yang baik, 5-10minute berjalan kaki ke pantai. Kami tinggal di hotel utama, ruangan itu bersih dan sangat luas dengan balkon besar. Ruangan itu hebat, besar dengan beberapa kursi malas untuk bersantai. Ac dan wifi  baik-baik saja.   Hanya beberapa menit berjalan kaki... Staf bisa menjadi sedikit lebih bermanfaat. Sebagian dari mereka datang di sebagai kadang-kadang cukup kasar. Kami menyaksikan seseorang mencacati diri di tepi kolam renang kami yang ditawarkannya, tidak memiliki perlengkapan pertolongan pertama. ",4
30,Kusuma Resort,"Jika saya bisa menilai ini nol, saya akan bisa gagal - Saya memesan akomodasi ini di line - tapi sayangnya foto kurang lebih akurat untuk akomodasi keluarga. Bungalo yang dipilih sangat berminyak, kotor, dan telah tikus mati di pagar memajemukan. Itu diiklankan sebagai memiliki fasilitas memasak, tapi ketika saya mempertanyakan manajer ini tidak pernah bekerja selama beberapa tahun. Kami diberi pilihan untuk tinggal di hotel ini tetapi memutuskan untuk tidak karena area kolam juga hangat dan di matahari penuh. Kami menemukan akomodasi untuk 50 meter menyusuri jalan $10 lebih per malam tapi 4 bintang * * * . Harap berhati-hati.",1
