,hotel,review,stars
0,Kuta Central Park Hotel,"Begitu banyak hotel tapi pertama saya pesan di daerah yang dekat dengan bandara, dan saya tiba malam,  Kuta Centra Park Hotel menyediakan penjemputan dengan biaya yang murah karena malam hari. Lokasinya strategis daerah kuta sebenernya bisa tinggal jalan kaki atau ada fasilitas mobil dari hotel, staffnya ramah. Breakfastnya bervariasi banget dan enak2 semua, karena banyak banget turis yang pada menginap disini, demen deh banyak variasi menu makanannya.  Walaupun tempatnya melewati jalan ruko,  tapi everything its ok. Kamarnya cukup luas dan nyaman sekali, Fasilitas hotel cukup komplit, ada kolam renang, billiard, lounge, resto dll. Bolehlah bisa menjadi pilihkan hotel jika ke Bali.",5
1,Kuta Central Park Hotel,Suasananya menyegarkan karena terdapat taman kecil dengan kolam ikannya di tengah lingkungan hotel..ada tempat bermain anak juga di dekat kolam renang.. Tempat makannya agak sempit jadi agak sesak kalo lagi penuh tamunya..saya sempat bingung waktu mau cari tempat duduk..karena penuh semua.. Dekat dengan lokasi kuliner.. Kemana-mana juga dekat.. Cukup ideal sebenarnya untuk tempat menginap keluarga.. Tapi sayangnya saya mendapat kamar yang pemandangan jendelanya tertutup tembok yang tidak tahu sebenarnya fungsinya apa..agak mengecewakan karena tidak bisa tukar dengan kamat yang lain...alasanya karena penuh..,3
2,Kuta Central Park Hotel,"Kami sangat senang menginap di Kuta Central Park Hotel, kamarnya sangat luas dan bersih,menu makananya juga bervariasi sedangakan para staff nya juga sangat membantu dan kami dijemput di bandara tanpa dikenakan biaya apapun.. trimakasih Kuta Central Park atas pelayanannya.",4
3,Kuta Central Park Hotel,"lokasinya strategis daerah kuta, staffnya ramah.. nginap disini karena ada acara conference disini aja sih.. Breakfastnya lumayan OK, paling suka vegetable tempura-nya.. Air panasnya juga cepat menyesuaikan..- Untuk ukuran bintang 4 dan harga yang dibayar banyak hotel yang fasilitasnya lebih OK  - Pesen kamar yang pake balkon, ternyata itu mah bukan balkon tapi teras, orang bahkan bisa lalu lalang ngelewatin teras, mau nyantai dikursi luar jadi gak nyaman karena orang lewat - lewat terus. Harusnya pihak hotel nulis infonya teras aja jangan balkon biar org nggak overexpected - TV kamar sepertinya bukan parabola berbayar, soalnya bahkan waktu siaran piala dunia nggak bisa tayang, padahal kalo siaran biasa bisa nyala. Pilihan chanel emang banyak tapi yg siarannya bagus nggak…",3
4,Kuta Central Park Hotel,"Pada Januari 2018 kami menginap di Kuta Central Park hotel, hotel ini sudah ada cukup lama. Cukup besar dan luas dengan banyak kamar. Kolam renangnya cukup bagus. Kamar hotel sebenarnya bagus, mungkin karena hotel sudah cukup lama, jadi harus peremajaan lagi dan kebersihan kamar dan kamar mandi harus diperhatikan dan ditingkatkan lagi. Pelayanan front office baik, sarapan cukup lengkap.",4
5,Kuta Central Park Hotel,"Saya tidak salah memilih Kuta Central Park Hotel untuk tujuan di Bali. Hotel yang bersih dan pelayanan memuaskan. Dan sangat berterima kasih ke Mbak Shinta dan team atas bantuan surprise birthday untuk istri, anak dan Mama. The best moment in my Life and thans for the souvenir ya Mbak Shinta ☺️",5
6,Kuta Central Park Hotel,"Terletak di tempat yang cukup strategis, memudahkan kita untuk berkeliling tempat..Dekat dengan Pantai Kuta..Menu sarapan nya lumayan beragam..Pelayanan juga cukup memuaskan..Mungkin bisa saya rekomendasikan ke orang orang",4
7,Kuta Central Park Hotel,"Dapat Hotel ini Harga Murah, Kamar yang bagus & besar Banget. Letaknya ditengah kota, Sangat mudah menemukan makanan di sekitar hotel. Jarak ke pantai kuta pun tidak jauh. Pelayanan cukup ramah dan sopan, Fasilitas hotel cukup komplit, ada kolam renang, billiard, lounge, resto dlsbnya",5
8,Kuta Central Park Hotel,"Hotel ini letaknya ditengah kota, Sangat mudah menemukan makanan di sekitar hotel. Jarak ke pantai kuta pun tidak jauh.  Exteriornya memang tidak menarik, terlebih ketika saya berjalan menuju kamar hotel dari bagian frontliner, agak aneh karena melewati jalanan ruko.  Tapi begitu sampai dikamar, semua yang kami butuhkan telah disediakan. Walaupun hotel ini terlihat agak tua dan membingungkan tapi kamarnya rapih, bersih dan memberikan kami cukup ruang.  AC bekerja dengan baik, tidak ada kendala pada kamar mandi.  Peralatan dikamar mandi disediakan lengkap dan dalam keadaan baik.  Sayangnya walaupun hotel ini menyediakan banyak pilihan untuk breakfast dengan model buffet, rasa makanannya tidak cocok dengan kami. Untungnya ada roti & omelette yang disediakan :) cukup untuk…",4
9,Kuta Central Park Hotel,"Pada tgl 11-15 Juli 2017 lalu, kami sekeluarga 5 orang menginap di hotel ini, kami mengambil kamar family dengan 3 single bed dan 1 double bed besar, kamar cukup luas dan bersih, pelayanan cukup ramah dan sopan, Fasilitas hotel cukup komplit, ada kolam renang, billiard, lounge, resto dlsbnya, untuk menu makanan kurang bervariasi, selama 4 hari kami menginap menu makanannya tidak banyak variasi, ada nasi goreng, sosis, roti, bubur dan masih banyak yang lainnya. Lokasi hotel sangat strategis dekat ke pantai Kuta, Legian, seminyak. Untuk nilai keseluruhan hotel ini sangat cocok untuk keluarga.",3
10,Kuta Central Park Hotel,"Kamar yang bagus & besar, saya memesan studio untuk 3 orang, saya berada di lantai 2 & tidak memiliki balkon. Tempat tidur yang nyaman & performa bagus dari AC. Cukup fasilitas, dengan ukuran kolam renang yang tdk besar. Tapi saat kita berenang dan melihat ke bangunan hotel paling atas, agak aneh, mengapa eksterior gedung nampaknya kurang perawatan, perlu diperbaiki sehingga bisa sedikit cantik. Saran saya di gang kamar butuh lebih banyak dekorasi agar lebih menarik. Variasi makanan saat sarapan tidak banyak, ada yang enak dan ada pula yang biasa saja. Mudah untuk menemukan makanan lain di sekitar hotel ini. Kami menikmati tinggal di kamar, meskipun tidak memiliki balkon. Terdapat area bermain untuk anak-anak dengan jumlah permainan yang terbatas, beberapa sudah hilang. Saya…",3
11,Kuta Central Park Hotel,"Hotel ini terletak dikawasan ruko kuta central park, letaknya berada dipusat kota memudahkan untuk akses ke kawasan kuta dan legian. Namun fasilitasnya minimalis untuk ukuran hotel dengan type family room yang kami pilih.",3
12,Kuta Central Park Hotel,"Lokasi lumayan tidak terlalu jauh dari kuta, parkiran hotel susah, breakfast kurang bervariasi, kamar besar tapi sayang tidak ada jendela & kasur besar2. Next time tidak akan kembali lagi. Tapi tererah pemirsa untuk memilihnya. Trima kasih",3
13,Kuta Central Park Hotel,"Check in and Check out Ok. saya menginap 2 malam di hotel ini. Ramah, senyuman Ok. Shuttle bus Ok walau saya tidak gunakan. Sayang tidak bisa mengakomodir perokok, merokok harus keluar kamar. Kolam renang kurang dalam. Sarapan ok variasinya. So Overall Ok.",4
14,Kuta Central Park Hotel,"Check in jam 1 malam untuk 3mlm, setelah masuk eh dpt 1 kamar utk ortu bau banget seperti ada bocor di pembuangan tinja nya sempat minta ganti room tetapi krn alasan full dan sudah malam jadinya kami maklumi, keesokan harinya dikasih kamar yang besar.  Lokasi cukup bagus ditengah kota, bnyk tempat makan dari sate ayam, nasi bu andhika, foodcourt jadi dijamin malam gak bakalan kelaparan, hotelnya dr depan tidak tanpa spt hotel sih menurut aku, tetapi setelah didalam luas dan remang2 tapi bagi aku cukup tidak nyaman remang2 nya.   kamar super besar, bersih dan nyaman terutama kasurnya yang membuat aku tidak mau bangun, untuk kamar value for money dah....murah tp bagus.  untuk sarapan selama 3 hari coba, tidak ada yang enak rugi banget ambil sarapan di hotel ini hari terakhir aku…",3
