,hotel,review,stars
0,La Villais Kamojang Hotel & Villas Seminyak,"Menginap di villa 1 bedroom yang bagus, tidak terlalu luas tetapi memiliki kolam renang pribadi yang cukup luas. Kualitas villa bagus, sayang lobby villa seperti hotel murah. Bisa ditingkatkan lobbynya. Jalan menuju villa agak sukar dicari walaupun lokasi yang strategis",4
1,La Villais Kamojang Hotel & Villas Seminyak,"Baru saja baru kembali dari menginap 4 malam di La Villais. Vila dan kolam renang pribadinya terawat dengan baik. Hanya ada 2 masalah, yang pertama adalah nyamuk, di siang hari masih bisa ditahan, tapi begitu malam datang nyamuknya cukup menjengkelkan (meskipun staf di sana mengasapi area dalam vila setiap malam). Masalah lainnya adalah AC (tidak cukup kuat), dengan cuaca Bali, kami perlu AC yang lebih baik dan kuat. Sarapan hariannya sangat enak, tapi pilihannya mirip dari hari ke hari. Saya memesan makan malam di bawah cahaya lilin di malam terakhir saya di vila, harganya Rp1,4 juta (dekorasi, bunga, kue, dan hidangan 5 macam), rekomendasi yang bagus untuk seseorang yang spesial di hari yang spesial. Stafnya ramah dan membantu, bantuan selalu diberikan saat diperlukan.",4
2,La Villais Kamojang Hotel & Villas Seminyak,"Saya pernah ke Bali untuk bulan madu kami .. Semuanya bagus .. Vilanya bersih dan menawan, sebenarnya saya sudah jatuh cinta dengan tempat ini. Sekarang, mari kita bahas secara detail, saat Anda memasuki vila, Anda akan melihat kolam renang yang luar biasa dengan tinggi air yang pas untuk orang yang tidak bisa berenang. Dapurnya bagus. Ruang tamunya menghadap ke kolam renang. Kamarnya bagus dengan ranjang yang sempurna, saya tidak pernah bangun dengan lebih banyak energi dibanding waktu saya tinggal di sana. Kamar mandinya sangat bagus. Tapi saya tidak suka dengan air di Bali yang membuat rambut saya jadi lengket dan saling menempel. :)",5
3,La Villais Kamojang Hotel & Villas Seminyak,"staf selalu tersenyum dan sangat baik. kamarnya seperti rumah kecil dengan kolam renang pribadi. luar biasa. sarapannya prasmanan. sangat enak. panekuk, frenchtoast, dan berbagai macam makanan. harganya juga wajar. anda bisa menyewa sepeda.",5
4,La Villais Kamojang Hotel & Villas Seminyak,Kami tinggal di sana seminggu dan itu terlalu banyak waktu.  Foto tampak tidak seperti kenyataan. Foto-foto di situs web mungkin diambil 10 tahun yang lalu.  Seluruh tempat membutuhkan pembersihan yang dalam agar jujur.   - Kamar mandi tercakup dalam cetakan dan sangat kotor  - Kepala pancuran memiliki cetakan berbulu hijau di atasnya dan limescale putih  - Handuk tertutup noda  - AC kuno dan meskipun terus menyala di 16 derajat ruangan itu masih hangat dan pengap dan lembab  - Seluruh ruangan terasa lembab dan berbau sangat busuk  - Tempat tidur terasa lembab dan kotor  - Tempat tidur memiliki noda dan lubang  - Sprei tidak sesuai dengan kasur sehingga kami pada dasarnya tidur di kasur kotor  - Permukaan berdebu  - Mandi membanjiri kamar mandi setelah satu menit dan lantai…,1
5,La Villais Kamojang Hotel & Villas Seminyak,"Akomodasi ini diberi label 'mewah' tetapi sama sekali tidak. Foto-foto yang diwakili berasal dari 20 tahun yang lalu dan tidak mewakili kondisi hotel saat ini. Atapnya benar-benar jatuh pada tamu, tidak ada bar atap, bar berenang sampai sepi, linen bernoda dan kotor, jalan rusak, tidak ada tanaman hijau tergantung dari beranda seperti pada gambar, ada huruf tebal di mana-mana , furnitur melengkung dan gagang pintu jatuh di tangan Anda. Sarapan sangat mendasar dan kami makan di restoran lokal meskipun sudah termasuk sarapan. Seluruh hotel tampak seolah akan dirobohkan setiap hari sekarang. Untuk uang yang Anda bayarkan, ada begitu banyak opsi yang lebih baik di lokasi yang sama ini.",1
6,La Villais Kamojang Hotel & Villas Seminyak,"Foto-foto tempat ini sekitar sepuluh tahun kedaluwarsa. Tidak ada yang terlihat seperti di foto. Kamar-kamarnya kecil tanpa ruang untuk menyimpan pakaian Anda atau menyimpan koper Anda sehingga kami memiliki 1 koper di lantai dan yang lainnya di ruang yang dialokasikan, keduanya penuh pakaian. Kamarnya kotor tanpa kesalahan dari staf. Itu hanya usia dan usia yang buruk pada saat itu. Semua grouting pada ubin menjadi kuning atau hitam. Kepala pancuran semuanya tertutup limescale. Lantai kayu di sekitar kolam rusak. Lantai di lift (ubin karet) hampir sepenuhnya aus. Unit AC bocor di kamar tapi itu diperbaiki cukup cepat. Tangga ke lantai sama sekali tidak rata! Perhatikan tangga karena beberapa langkah lebih tinggi dari yang lain. Teman saya pergi ke luar ke balkon untuk menelepon…",1
7,La Villais Kamojang Hotel & Villas Seminyak,"exprence buruk di tengah bulan madu saya. Saya memesan hotel ini selama 3 malam, sayangnya saya harus pergi di hari yang sama dan saya juga tidak diberi pengembalian uang.  masalah yang saya hadapi  1. tidak ada yang membantu Anda dengan bahasa Anda. 2 layanan yang sangat buruk saat penerimaan.  3 saya dijanjikan upgrade gratis ke villa tetapi mereka meminta 3 kali uang di recption.  4 hotel memiliki kebocoran di semua dinding dan bau busuk.  5 kamar sangat kecil dan kotor.  6 pintu rusak, selimut dengan noda dan mosquietos.  7 AC berada di lokasi yang sangat salah dan sangat salah sehingga Anda tidak akan mendapatkan pendinginan.  8. Kami mengubah kamar 5 kali.  9. Aku ingin check-in dan hotel tidak mengizinkan kami untuk pergi dan mereka membuat kami surat perhatian.  10.…",1
8,La Villais Kamojang Hotel & Villas Seminyak,"Kami telah datang ke Bali selama 6 hari dan menginap di La Villais Kamojang di Seminyak. Konsep villa luar biasa. Anda masuk melalui pintu kayu yang indah ke halaman dengan kolam renang dan sofa daybed dan berjalan langsung ke dapur terbuka dan ruang tamu. Di sebelah kanan adalah pintu lain yang mengarah ke kamar tidur ber-AC lengkap dengan tempat tidur king dan layanan besar dengan bathtub dan shower. Anda benar-benar terpencil di bagian surga Anda sendiri, jika Anda ingin pergi menguliti mencelupkan, tidak ada yang menghentikan Anda dan tidak ada orang yang melihat Anda. Dapur memiliki lemari es, microwave, dan kompor, serta peralatan yang cukup untuk melakukan hal-hal sederhana. Ada TV di ruang santai dan kamar tidur, meskipun Anda tidak perlu menontonnya. Vila-vila berjalan…",4
9,La Villais Kamojang Hotel & Villas Seminyak,"Saya telah memesan venue atap 2 minggu sebelumnya dari rumah saya di Perth. Saya mengadakan pesta pada tanggal 25 Agustus 2019, Kami menyewa atap untuk 40 orang. Sayangnya makanan yang disediakan tidak dapat memenuhi kebutuhan masyarakat karena tidak ada cukup makanan untuk memulai. Pada beberapa kesempatan kami telah meminta staf untuk menambah makanan tetapi mereka terlalu lama melakukannya. Bahkan mereka butuh waktu lama sehingga hanya datang begitu tamu pergi. Mengingat kami mengundang begitu banyak orang, saya berharap ada cukup makanan untuk memberi makan mereka semua dengan nyaman  Setidaknya mengecewakan",1
