,hotel,review,stars
0,Laguna Reef Huts,"Terimakasih laguna reef hut,  Pool Package yang sungguh menarik, dengan harga yang relatif terjangkau untuk sebuah pengalaman dan pemandangan yang sungguh mengesankan.   Notes: Semoga jalan menuju kesana bisa diperbaiki, dan diberi penerangan yang cukup  ",5
1,Laguna Reef Huts,"pertama kali ke lembongan dan langsung suka sama hotel ini,,, karena selain tempatnya yang tenang banget, ga berisik dan pemandangannya langsung ke laut ..sarapannya simple tapi enak banget, owner juga sangat friendly dan staff nya lucu..",4
2,Laguna Reef Huts,"Kami mengunjungi nusa lembongan untuk pertama kalinya pada tgl 18-19 juli 2015, dan kami memutuskan untuk menginap di hotel ini. View didepan restoran dan kolam renang sangat bagus, staff nya sangat ramah dan tanggap, suasana malamnya sangat romantis. Menginap dsini sangat dekat menuju Mushroom bay atau Yellow Bridge. Dan..makanan di restorannya enak. Sedikit masukan, agar disediakan palang atau penunjuk hotel jika datang dari arah Jungut Batu.",4
3,Laguna Reef Huts,"Suasana hotel yang berhadapan dengan laut membuat suasana malam semakin romantis dg terdengarnya deburan ombak,, serta suasana Pagi hari yg dapat langsung melihat petani rumput laut sembari berenang,,   Hotel yg sangat bagus dan suasana yang romantis juga karyawan yg sangat ramah,,   Dan saya pun ingin lagi menginap ditempat ini bersama keluarga😍",5
4,Laguna Reef Huts,"saya dan suami menginap 2 hari di januari 2015. tempatnya sepi menyenangkan cocok jika ingin bersantai jauh dari kebisingan.   view sunset dari hotel ini sungguh indah. pemiliknya orang lokal yg sungguh ramah dan helpful sekali. hotel masih baru, belum 1 tahun. fasilitas cukup ok dengan harga yg sesuai  utk yg ingin kuliner dan merasakan kehidupan lokal agak kurang cocok, krn lokasinya terpencil jauh dari mana2. ",4
5,Laguna Reef Huts,"gambar terlihat fantastis - percayalah - kolam renang adalah sekitar 5 meter panjang, pondok satu ke yang lain, tidak ada mebel di pondok di samping tempat tidur - tidak ada tempat untuk duduk atau meletakkan barang bawaan, membangun - di dalam lemari yang sangat bau, kamar mandi di luar ruangan memiliki peralatan yang digunakan, dan toilet adalah di bawah matahari, manajer adalah sedikit ""ramah"" - saya pikir karena bahasa Inggrisnya kurang, koneksi WiFi sering rusak, buruk Sarapan - tidak layak untuk uang - sangat overprised",1
6,Laguna Reef Huts,"Terletak di bagian selatan pulau Lembongan, Ceningan dan Pulau yang menghadap ombak Samudra Hindia yang terus anjlok. Kamar dilengkapi dengan AC - aC dan kipas angin. Namun, perlu dicatat bahwa kipas angin ini akan merasakan efek kecepatan No. 5. Ratu/raja ukuran tempat tidur yang sangat nyaman. Kelambu di tempat tidur yang dibungkus seharga seperti tirai. Toilet adalah di belakang, yang dipimpin oleh ke bawah beberapa langkah, dengan lingkungan yang alami.  Kamar yang dibuat setiap hari oleh orang di pagi hari jika Anda berencana untuk tidur di siang hari. Handuk berubah juga.  Mereka memiliki beberapa set sarapan pagi, sarapan Amerika di antara mereka adalah yang terbaik. Perlu diketahui, tidak pernah minum sedikit kopi terakhir di Bali.  Mereka memiliki kolam renang kecil di…",5
7,Laguna Reef Huts,"Laut yang indah - lokasi pemandangan, Pantai Pondok yang luar biasa dan saya benar-benar merasa seperti saya di surga! Banyak botanics di situs web, dan pemandangan yang luar biasa - terutama dari kolam renang. Banyak hal yang berbeda untuk mencoba di dekatnya, kami berjalan ke pantai mimpi dan keausan di sekitar 20 menit setan.  Layanan di pondok karang sangat bagus dan kami sangat senang dengan perawatan kami. Ini adalah tempat liburan yang sempurna untuk relaksasi setelah sibuk di Ubud. Dalam jarak berjalan kaki dari beberapa tempat yang bagus untuk makan, tapi restoran di hotel ini juga bagus dengan banyak pilihan koktail. Saya akan senang untuk tinggal di sini lagi suatu hari nanti!",5
8,Laguna Reef Huts,"Akses mudah ke Resor, hanya sekitar 5 menit dari pelabuhan untuk sampai ke sana oleh sepeda motor. Dibutuhkan waktu sekitar 30 menit dan pergi ke pulau Lembongan dari Pelabuhan Sanur Bali. Kamar yang sangat bagus. Saya memilih kamar dengan pemandangan pantai yang sangat bagus dan santai. Anda dapat melihat pantai dari balkon kamar Anda. Infinity kolam adalah luar biasa, terutama saat matahari terbenam, pemandangan yang indah yang pernah ada! Akses mudah ke kota tua dan pantai mimpi setan juga.",5
9,Laguna Reef Huts,"Jika Anda ingin memiliki liburan, tempat ini akan menjadi pilihan terbaik. Sedikit jauh dari pusat Lembongan, Ceningan dan kuning tapi dekat dengan jembatan. Sebuah Eco Lodge dengan taman dan kolam, tidak begitu banyak tamu, mereka hanya memiliki sekitar 8 kamar dengan pemandangan taman dan dengan pemandangan kolam renang. Anda juga dapat merasakan rendah dan pasang tinggi, Anda dapat melihat bagaimana air datang dan menawarkan saluran di pagi hari. Saya sangat merekomendasikan anda untuk bangun lebih awal dan pergi ke lantai bawah merasakan hembusan angin pagi. Saya akan mengerti apa yang benar-benar berarti kedamaian, dan ketika air pergi di malam hari Anda akan melihat dengan jelas pertanian rumput laut di sana. Sepanjang hari Anda dapat menatap laut dan menikmati matahari,…",4
10,Laguna Reef Huts,"Aku pergi di sini untuk bulan madu kami karena kami baru saja menikah. Kami memiliki pemandangan laut, dan kamar yang menghadap ke laut memberikan pengalaman itu baik, kami bisa mendengar suara laut dari kamar kami, meskipun tidak tempat di mana kita bisa langsung berenang, masih harus melakukan perjalanan sedikit ke pantai di mana kami bisa langsung berenang. Kami menikmati tinggal, meskipun harus mengakui kebersihan tidak sempurna, tapi masih dapat diterima, kamar mandi luar ruangan yang indah, orang-orang baik, makanan juga besar. Juga ketika kami memesan dan mereka pijat di tepi kolam renang yang menghadap ke laut, ini adalah pengalaman yang tidak terlupakan. Pijat Bali adalah selalu sesuatu untuk melihat. Tempat ini juga tenang dan damai untuk bersantai.",5
