,hotel,review,stars
0,Liberta Hotel Jimbaran,"sangata kecewa ketika pertama masuk ke dalam kamar,.. pertama,sebelum saya memakai bed'nya sangat banyak rambut dan kelihatan lecek di duve dan sheetnya,kelihatan sekalai kalau tidak di ganti.. kedua,setelah saya bersihkan sendiri bednya yang banyak rambut  kemudian saya dan istri rebahan di ranjang,kemudian kami terkejut sekali ketika ada laba"" yang cukup besar merayap di samping tempat tidur..",2
1,Liberta Hotel Jimbaran,"Walaupun cuma semalam tapi sangat puas dengan pelayanan nya.. dr receptionis yg friendly,, kamarnya bersih..tapi cm 1 yg kurang.. sabun mandi nya saat di pencet gak keluar sabun nya.. mungkin sedikit rusak.. tapi keseluruhan nyaman ...",4
2,Liberta Hotel Jimbaran,"saya makan di Ayola J'Bar di rooftop. Niatnya sih All You cat eat dengan unlimited food and beverage yang ada , sesuai dengan cost yang sudah kita bayarkan, eh malah habis pas mau tambah tambah, yang tersedia cuma sate :( parkirnya terbatas... enak sih makannya, tapi jadi kurang puas karna hampir semua habis tinggal sate doang :(",3
3,Liberta Hotel Jimbaran,"Tempat baru nih perpaduan Hotel dan Coworking space di daerah Kedonganan Bali. Lokasinya amat dekat dengan Bandara dan Kuta, cocok banget untuk kalian yang lagi liburan di Bali dan pengen menginap tidak jauh dari pusat pariwisata dan bandara. Tempat yang cocok untuk mengadakan event dan sekedar nongkrong, harga makanan dan minuman yang terjagkau serta rooftopnya memiliki pemandangan yang indah. Kita dapat langsung melihat GWK dari kejauhan 👍",5
4,Liberta Hotel Jimbaran,"Bagian koridor agak gelap, dan saluran televisi yang tidak begitu jelas. Namun kamar lumayan untuk harga yang ditawarkan, bersih, nyaman dan tidak bau rokok. Breakfast is wonderful dengan harga kamar seperti itu. Love it!",5
5,Liberta Hotel Jimbaran,"Harga terjangkau, Room bersih dengan penerangan yang cukup, staff ramah tapi saran saya menu breakfasatnya bisa lebih di tingkatkan jadi lebih bervariasi lagi karena saya stay 3 hari menunya sama saja. Terlepas dari itu semua Ayola Hotel bisa dijadikan tempat menginap bersama keluarga maupun berdua pasangan saja. Terima kasih.",4
6,Liberta Hotel Jimbaran,Untuk di dalam ruangan kamar tidur cukup oke cuma karena posisi kamar di lantai 2 dan menghadap void dimana di area lantai dasar ada ruang makan maka saat di pagi jam 7-9 kondisi ramai dan suara keramaian cukup mengganggu di pagi hari..  Tidak memiliki kolam renang dewasa.  Menu makan sarapan di saat jam 8 udh cukup sedikit sehingga mesti meminta kepada petugas utk diisi kembali bahkan ada menu yg di jam 8.30 udh gak ada sprti roti tawar dan susu  Kurangnya petugas yg melayani di saat jam sarapan,3
7,Liberta Hotel Jimbaran,"No smoking hotel. Baik buat keluarga yg bukan perokok.  Kamar mandi dan kamar tidur lumayan bersih. Breakfast standar, parkir sempit, ke pantai jimbaran dekat. Check in lambat, mungkin karena pas high season.",4
8,Liberta Hotel Jimbaran,"Kamar dengan nuansa woody bikin betah di kamar berasa di rumah sendiri. Pelayanannya ramah. Rooftopnya keren abis, bisa lihat laut dari kejauhan. oiya, hotel ini jg nggak jauh koq dari beberapa pusat wisata seperti uluwatu, pantai jimbaran, GWK bahkan kalau mau ke Denpasar cukup terjangkau. Makanan disini juga enak. Untuk harga, kalau udah pake tripadvisor buat apa khawatir harga",4
9,Liberta Hotel Jimbaran,"Pelayanan yang ramah dan baik menjadi point plus dari hotel ini, mulai dari resepsionis dan satpam selalu menawarkan bantuan untuk kami.Lokasi hotel cukup strategis, 10 mentioned ke bandara. breakfast lumayan enak tapi tidak banyak variasi makanan, kamar bersih dan rapih. Overall saya merekomendasikan hotel ini untuk yang mau berwisata ke Bali.",4
